Ticker,Date,Open,High,Low,Close,Volume
CVJC2206,9/6/2022,0.81,0.81,0.81,0.81,5000
CVJC2206,9/7/2022,0.6,0.6,0.6,0.6,100
CVJC2206,9/8/2022,0.5,0.76,0.5,0.74,5500
CVJC2206,9/9/2022,0.8,0.84,0.79,0.84,2100
CVJC2206,9/12/2022,0.83,0.83,0.81,0.81,4500
CVJC2206,9/13/2022,0.7,0.75,0.7,0.75,82700
CVJC2206,9/14/2022,0.51,0.71,0.51,0.71,57000
CVJC2206,9/15/2022,0.65,0.68,0.65,0.68,200
CVJC2206,9/16/2022,0.65,0.65,0.63,0.65,105900
CVJC2206,9/19/2022,0.65,0.65,0.65,0.65,47700
CVJC2206,9/20/2022,0.63,0.63,0.63,0.63,100
CVJC2206,9/21/2022,0.57,0.63,0.56,0.6,73600
CVJC2206,9/22/2022,0.54,0.54,0.54,0.54,100
CVJC2206,9/23/2022,0.54,0.6,0.51,0.57,202700
CVJC2206,9/26/2022,0.46,0.5,0.46,0.5,22700
CVJC2206,9/27/2022,0.46,0.51,0.46,0.51,119200
CVJC2206,9/28/2022,0.45,0.45,0.45,0.45,2300
CVJC2206,9/29/2022,0.49,0.49,0.49,0.49,100
CVJC2206,9/30/2022,0.5,0.55,0.5,0.54,2700
CVJC2206,10/3/2022,0.45,0.45,0.45,0.45,11000
CVJC2206,10/4/2022,0.5,0.54,0.5,0.54,3800
CVJC2206,10/5/2022,0.56,0.61,0.56,0.61,13200
CVJC2206,10/6/2022,0.56,0.56,0.56,0.56,300
CVJC2206,10/7/2022,0.56,0.56,0.56,0.56,0
CVJC2206,10/10/2022,0.51,0.51,0.43,0.43,48300
CVJC2206,10/11/2022,0.43,0.43,0.43,0.43,0
CVJC2206,10/12/2022,0.36,0.39,0.36,0.38,1400
CVJC2206,10/13/2022,0.37,0.37,0.3,0.3,60000
CVJC2206,10/14/2022,0.3,0.3,0.3,0.3,0
CVJC2206,10/17/2022,0.36,0.36,0.36,0.36,13300
CVJC2206,10/18/2022,0.34,0.38,0.34,0.37,207300
CVJC2206,10/19/2022,0.3,0.37,0.3,0.37,2500
CVJC2206,10/20/2022,0.35,0.36,0.35,0.36,106400
CVJC2206,10/21/2022,0.32,0.32,0.32,0.32,100
CVJC2206,10/24/2022,0.35,0.35,0.34,0.34,103400
CVJC2206,10/25/2022,0.28,0.31,0.28,0.31,42100
CVJC2206,10/26/2022,0.33,0.33,0.25,0.3,2200
CVJC2206,10/27/2022,0.31,0.31,0.31,0.31,42200
CVJC2206,10/28/2022,0.26,0.28,0.22,0.27,973900
CVJC2206,10/31/2022,0.27,0.28,0.2,0.27,204500
CVJC2206,11/1/2022,0.28,0.28,0.22,0.25,1034300
CVJC2206,11/2/2022,0.24,0.25,0.18,0.21,1764600
