Ticker,Date,Open,High,Low,Close,Volume
CVNM2206,5/17/2022,1.19,1.19,1.19,1.19,100
CVNM2206,5/18/2022,1,1,1,1,500
CVNM2206,5/19/2022,0.96,0.96,0.96,0.96,100
CVNM2206,5/20/2022,0.94,0.94,0.94,0.94,100
CVNM2206,5/23/2022,0.88,1.1,0.88,0.88,900
CVNM2206,5/24/2022,0.8,0.86,0.78,0.86,7700
CVNM2206,5/25/2022,0.88,0.88,0.88,0.88,200
CVNM2206,5/26/2022,0.92,1.01,0.92,1.01,1400
CVNM2206,5/27/2022,0.8,1.09,0.8,1.09,7200
CVNM2206,5/30/2022,1.06,1.06,1.02,1.02,29300
CVNM2206,5/31/2022,1.02,1.02,1,1,600
CVNM2206,6/1/2022,1,1,0.96,0.96,7200
CVNM2206,6/2/2022,0.98,0.98,0.94,0.94,10600
CVNM2206,6/3/2022,0.83,0.88,0.83,0.88,2200
CVNM2206,6/6/2022,0.89,0.91,0.88,0.88,28700
CVNM2206,6/7/2022,0.86,0.87,0.85,0.87,40600
CVNM2206,6/8/2022,0.9,0.91,0.89,0.91,11100
CVNM2206,6/9/2022,0.91,0.91,0.87,0.87,18500
CVNM2206,6/10/2022,0.85,0.85,0.79,0.79,12200
CVNM2206,6/13/2022,0.78,0.78,0.65,0.65,2400
CVNM2206,6/14/2022,0.59,0.65,0.59,0.63,10200
CVNM2206,6/15/2022,0.63,0.63,0.63,0.63,0
CVNM2206,6/16/2022,0.6,0.64,0.6,0.64,6200
CVNM2206,6/17/2022,0.62,0.68,0.62,0.68,3100
CVNM2206,6/20/2022,0.68,0.74,0.63,0.7,99100
CVNM2206,6/21/2022,0.81,0.95,0.81,0.95,41600
CVNM2206,6/22/2022,0.91,0.91,0.83,0.83,19500
CVNM2206,6/23/2022,0.77,0.84,0.75,0.83,101800
CVNM2206,6/24/2022,0.82,0.85,0.82,0.84,1700
CVNM2206,6/27/2022,0.86,0.86,0.79,0.79,5800
CVNM2206,6/28/2022,0.78,0.88,0.76,0.79,11500
CVNM2206,6/29/2022,0.84,0.86,0.78,0.86,23500
CVNM2206,6/30/2022,0.91,0.98,0.86,0.93,8500
CVNM2206,7/1/2022,0.96,0.96,0.8,0.95,19100
CVNM2206,7/4/2022,0.95,0.97,0.91,0.95,38600
CVNM2206,7/5/2022,0.92,0.92,0.88,0.88,76200
CVNM2206,7/6/2022,0.71,0.8,0.68,0.8,70300
CVNM2206,7/7/2022,0.75,0.9,0.75,0.9,1600
CVNM2206,7/8/2022,0.89,0.91,0.89,0.9,48800
CVNM2206,7/11/2022,0.85,0.96,0.85,0.88,59600
CVNM2206,7/12/2022,0.87,0.91,0.87,0.91,80600
CVNM2206,7/13/2022,0.89,0.89,0.86,0.86,900
CVNM2206,7/14/2022,0.84,0.84,0.84,0.84,2500
CVNM2206,7/15/2022,0.96,0.96,0.81,0.84,103600
CVNM2206,7/18/2022,0.78,0.8,0.78,0.8,2000
CVNM2206,7/19/2022,0.79,0.83,0.79,0.81,5800
CVNM2206,7/20/2022,0.85,0.88,0.85,0.86,14800
CVNM2206,7/21/2022,0.81,0.85,0.67,0.83,12100
CVNM2206,7/22/2022,0.8,0.8,0.8,0.8,100
CVNM2206,7/25/2022,0.75,0.8,0.75,0.8,6600
CVNM2206,7/26/2022,0.81,0.81,0.81,0.81,1400
CVNM2206,7/27/2022,0.85,0.85,0.85,0.85,7700
CVNM2206,7/28/2022,0.86,0.86,0.85,0.86,2300
CVNM2206,7/29/2022,0.85,0.91,0.81,0.81,45500
CVNM2206,8/1/2022,0.83,0.83,0.82,0.82,3300
CVNM2206,8/2/2022,0.85,0.85,0.85,0.85,100
CVNM2206,8/3/2022,0.85,0.85,0.85,0.85,0
CVNM2206,8/4/2022,0.83,0.84,0.83,0.84,14900
CVNM2206,8/5/2022,0.83,0.83,0.43,0.8,500
CVNM2206,8/8/2022,0.75,0.75,0.75,0.75,100
CVNM2206,8/9/2022,0.73,0.73,0.65,0.65,400
CVNM2206,8/10/2022,0.68,0.68,0.66,0.67,1600
CVNM2206,8/11/2022,0.6,0.6,0.6,0.6,100
CVNM2206,8/12/2022,0.61,0.62,0.61,0.62,10000
CVNM2206,8/15/2022,0.58,0.59,0.58,0.59,800
CVNM2206,8/16/2022,0.6,0.6,0.6,0.6,2000
CVNM2206,8/17/2022,0.62,0.62,0.62,0.62,5000
CVNM2206,8/18/2022,0.65,0.68,0.63,0.66,9100
