Ticker,Date,Open,High,Low,Close,Volume
CVPB2306,8/4/2023,2.61,2.61,2.49,2.55,68000
CVPB2306,8/7/2023,2.72,2.86,2.72,2.79,76300
CVPB2306,8/8/2023,2.76,2.76,2.64,2.64,204200
CVPB2306,8/9/2023,2.56,2.56,2.47,2.51,380300
CVPB2306,8/10/2023,2.55,2.55,2.42,2.46,165300
CVPB2306,8/11/2023,2.5,2.5,2.36,2.46,208200
CVPB2306,8/14/2023,2.38,2.45,2.36,2.45,169700
CVPB2306,8/15/2023,2.46,2.46,2.38,2.43,66900
CVPB2306,8/16/2023,1.8,2.5,1.79,2.45,1091400
CVPB2306,8/17/2023,2.51,2.51,2.25,2.31,647200
CVPB2306,8/18/2023,2.14,2.16,1.76,1.79,881300
CVPB2306,8/21/2023,1.75,2.08,1.62,1.79,721900
CVPB2306,8/22/2023,1.72,1.72,1.52,1.68,353900
CVPB2306,8/23/2023,1.83,1.83,1.57,1.57,270000
CVPB2306,8/24/2023,1.58,1.65,1.53,1.63,370800
CVPB2306,8/25/2023,1.63,1.63,1.5,1.54,178800
CVPB2306,8/28/2023,1.52,1.57,1.5,1.57,557600
CVPB2306,8/29/2023,1.55,1.71,1.55,1.7,413200
CVPB2306,8/30/2023,1.7,1.7,1.64,1.7,376300
CVPB2306,8/31/2023,1.68,1.74,1.67,1.68,97200
CVPB2306,9/5/2023,1.69,1.79,1.69,1.7,225900
CVPB2306,9/6/2023,1.79,1.9,1.69,1.9,819600
CVPB2306,9/7/2023,1.97,2.05,1.93,1.95,217600
CVPB2306,9/8/2023,1.94,1.96,1.92,1.96,325800
CVPB2306,9/11/2023,2,2.08,1.88,1.93,382200
CVPB2306,9/12/2023,1.93,2.04,1.89,2.02,438000
CVPB2306,9/13/2023,2.11,2.11,1.98,1.99,452900
CVPB2306,9/14/2023,1.99,2.12,1.94,2.03,400400
CVPB2306,9/15/2023,2.05,2.11,1.98,2.1,728800
CVPB2306,9/18/2023,2.01,2.02,1.86,1.92,452400
CVPB2306,9/19/2023,1.9,1.9,1.74,1.79,362900
CVPB2306,9/20/2023,1.8,1.85,1.72,1.85,531900
CVPB2306,9/21/2023,1.79,1.81,1.74,1.79,306700
CVPB2306,9/22/2023,1.54,1.64,1.47,1.58,332400
CVPB2306,9/25/2023,1.54,1.58,1.17,1.17,356600
CVPB2306,9/26/2023,1.35,1.36,1.26,1.33,328000
CVPB2306,9/27/2023,1.59,1.59,1.29,1.42,279600
CVPB2306,9/28/2023,1.44,1.58,1.34,1.54,197700
CVPB2306,9/29/2023,1.57,1.61,1.51,1.6,460500
CVPB2306,10/2/2023,1.6,1.68,1.56,1.63,278100
CVPB2306,10/3/2023,1.6,1.6,1.39,1.42,415400
CVPB2306,10/4/2023,1.39,1.49,1.35,1.45,309200
CVPB2306,10/5/2023,1.44,1.44,1.35,1.4,310800
CVPB2306,10/6/2023,1.37,1.43,1.33,1.4,326900
CVPB2306,10/9/2023,1.35,1.5,1.32,1.5,347000
CVPB2306,10/10/2023,1.56,1.57,1.5,1.52,269800
CVPB2306,10/11/2023,1.53,1.6,1.51,1.6,349400
CVPB2306,10/12/2023,1.65,1.65,1.56,1.61,330800
CVPB2306,10/13/2023,1.57,1.64,1.51,1.64,423800
CVPB2306,10/16/2023,1.59,1.72,1.59,1.72,560300
CVPB2306,10/17/2023,1.76,1.82,1.69,1.82,353500
CVPB2306,10/18/2023,1.81,2.01,1.55,1.65,795800
CVPB2306,10/19/2023,1.65,1.8,1.47,1.47,1266700
CVPB2306,10/20/2023,1.35,1.55,1.34,1.39,839400
CVPB2306,10/23/2023,1.38,1.38,1.07,1.2,1004400
CVPB2306,10/24/2023,1.2,1.27,1.13,1.27,610800
CVPB2306,10/25/2023,1.2,1.21,1.12,1.13,380200
CVPB2306,10/26/2023,1.05,1.05,0.66,0.78,427700
CVPB2306,10/27/2023,0.62,0.86,0.62,0.8,290600
CVPB2306,10/30/2023,0.74,0.76,0.66,0.66,405400
CVPB2306,10/31/2023,0.67,0.71,0.62,0.64,993500
CVPB2306,11/1/2023,0.72,0.73,0.68,0.72,486700
CVPB2306,11/2/2023,0.69,0.8,0.67,0.79,1167700
CVPB2306,11/3/2023,0.8,0.82,0.69,0.69,810100
CVPB2306,11/6/2023,0.72,0.9,0.72,0.87,496200
CVPB2306,11/7/2023,0.91,0.94,0.87,0.87,456200
CVPB2306,11/8/2023,0.87,1.05,0.84,1.05,306400
CVPB2306,11/9/2023,1.11,1.11,0.96,0.98,692100
CVPB2306,11/10/2023,0.84,0.89,0.8,0.8,351000
CVPB2306,11/13/2023,0.75,0.76,0.61,0.62,367200
CVPB2306,11/14/2023,0.68,0.8,0.68,0.74,152200
CVPB2306,11/15/2023,0.88,0.92,0.15,0.87,559600
CVPB2306,11/16/2023,0.84,0.86,0.82,0.83,186200
CVPB2306,11/17/2023,0.86,0.86,0.6,0.69,345300
CVPB2306,11/20/2023,0.58,0.77,0.48,0.68,635700
CVPB2306,11/21/2023,0.74,0.76,0.67,0.73,265100
CVPB2306,11/22/2023,0.68,0.72,0.63,0.67,735000
CVPB2306,11/23/2023,0.7,0.7,0.54,0.54,282400
CVPB2306,11/24/2023,0.53,0.58,0.5,0.55,93500
CVPB2306,11/27/2023,0.52,0.56,0.48,0.52,253700
CVPB2306,11/28/2023,0.49,0.55,0.47,0.55,257200
CVPB2306,11/29/2023,0.52,0.53,0.49,0.51,395700
CVPB2306,11/30/2023,0.5,0.53,0.45,0.45,383200
CVPB2306,12/1/2023,0.44,0.48,0.41,0.46,577000
CVPB2306,12/4/2023,0.44,0.52,0.44,0.5,634300
CVPB2306,12/5/2023,0.5,0.5,0.46,0.47,383400
CVPB2306,12/6/2023,0.39,0.42,0.37,0.41,339900
CVPB2306,12/7/2023,0.41,0.47,0.35,0.47,285600
CVPB2306,12/8/2023,0.48,0.49,0.4,0.43,238600
CVPB2306,12/11/2023,0.39,0.39,0.32,0.34,167100
CVPB2306,12/12/2023,0.32,0.32,0.28,0.31,150400
CVPB2306,12/13/2023,0.28,0.28,0.24,0.24,116200
CVPB2306,12/14/2023,0.23,0.23,0.21,0.21,11100
