Ticker,Date,Open,High,Low,Close,Volume
CVRE2221,1/5/2023,1.56,1.57,1.56,1.56,300
CVRE2221,1/6/2023,1.56,1.56,1.56,1.56,0
CVRE2221,1/9/2023,1.56,1.56,1.56,1.56,100
CVRE2221,1/10/2023,1.52,1.52,1.52,1.52,100
CVRE2221,1/11/2023,1.4,1.4,1.11,1.11,11700
CVRE2221,1/12/2023,1.1,1.1,1.06,1.06,2100
CVRE2221,1/13/2023,1.1,1.1,1.09,1.1,1300
CVRE2221,1/16/2023,1.06,1.06,1.04,1.04,2100
CVRE2221,1/17/2023,1.01,1.18,1.01,1.07,11000
CVRE2221,1/18/2023,1.17,1.17,1.16,1.16,6300
CVRE2221,1/19/2023,1.23,1.26,1.22,1.26,4700
CVRE2221,1/27/2023,1.3,1.3,1.1,1.1,600
CVRE2221,1/30/2023,1.1,1.1,1.1,1.1,0
CVRE2221,1/31/2023,1.1,1.1,1.1,1.1,0
CVRE2221,2/1/2023,1.1,1.1,1.1,1.1,0
CVRE2221,2/2/2023,1.04,1.04,1.02,1.03,12800
CVRE2221,2/3/2023,1.11,1.11,1.09,1.09,20500
CVRE2221,2/6/2023,1.07,1.11,1.05,1.11,4100
CVRE2221,2/7/2023,1.14,1.14,1.11,1.11,12000
CVRE2221,2/8/2023,1.11,1.11,1.11,1.11,0
CVRE2221,2/9/2023,0.99,1.02,0.98,1.02,22500
CVRE2221,2/10/2023,0.94,0.98,0.94,0.98,3000
CVRE2221,2/13/2023,0.92,0.92,0.92,0.92,500
CVRE2221,2/14/2023,0.98,0.98,0.89,0.89,14600
CVRE2221,2/15/2023,0.94,0.95,0.94,0.95,2100
CVRE2221,2/16/2023,0.95,0.95,0.95,0.95,600
CVRE2221,2/17/2023,0.95,0.95,0.95,0.95,0
CVRE2221,2/20/2023,0.96,1.01,0.96,1.01,16100
CVRE2221,2/21/2023,1.1,1.11,1.1,1.11,2000
CVRE2221,2/22/2023,1.05,1.05,1.05,1.05,300
CVRE2221,2/23/2023,0.95,0.95,0.76,0.87,29900
CVRE2221,2/24/2023,0.78,0.78,0.75,0.75,15400
CVRE2221,2/27/2023,0.68,0.71,0.67,0.68,12400
CVRE2221,2/28/2023,0.69,0.83,0.69,0.77,11900
CVRE2221,3/1/2023,0.74,0.81,0.74,0.77,10300
CVRE2221,3/2/2023,0.73,0.73,0.73,0.73,16500
CVRE2221,3/3/2023,0.72,0.72,0.64,0.67,68900
CVRE2221,3/6/2023,0.74,0.77,0.74,0.75,500
CVRE2221,3/7/2023,0.73,0.8,0.72,0.8,65300
CVRE2221,3/8/2023,0.73,0.81,0.73,0.81,6000
CVRE2221,3/9/2023,0.77,0.8,0.76,0.8,180600
CVRE2221,3/10/2023,0.8,0.87,0.79,0.87,5200
CVRE2221,3/13/2023,0.9,1.02,0.9,0.99,214000
CVRE2221,3/14/2023,0.96,0.96,0.96,0.96,2000
CVRE2221,3/15/2023,1,1.03,1,1.03,2000
CVRE2221,3/16/2023,0.97,0.97,0.97,0.97,3700
CVRE2221,3/17/2023,1.02,1.06,1.02,1.06,3000
CVRE2221,3/20/2023,1.06,1.06,0.9,0.91,3700
CVRE2221,3/21/2023,0.89,0.98,0.88,0.98,7300
CVRE2221,3/22/2023,0.98,1.04,0.98,1.04,8000
CVRE2221,3/23/2023,1.01,1.01,1.01,1.01,3500
CVRE2221,3/24/2023,0.98,0.98,0.98,0.98,100
CVRE2221,3/27/2023,0.99,0.99,0.92,0.99,13000
CVRE2221,3/28/2023,0.99,1.02,0.97,1.02,6400
CVRE2221,3/29/2023,0.94,0.95,0.92,0.95,4000
CVRE2221,3/30/2023,1.08,1.23,1.08,1.08,23900
CVRE2221,3/31/2023,1.05,1.06,0.92,0.92,2800
CVRE2221,4/3/2023,1.06,1.06,1.06,1.06,100
CVRE2221,4/4/2023,0.96,0.97,0.94,0.94,4800
CVRE2221,4/5/2023,0.98,0.98,0.96,0.96,1600
CVRE2221,4/6/2023,0.97,0.99,0.96,0.99,8100
CVRE2221,4/7/2023,0.97,0.98,0.91,0.91,8000
CVRE2221,4/10/2023,0.91,0.92,0.91,0.92,19000
CVRE2221,4/11/2023,0.9,0.9,0.9,0.9,30000
CVRE2221,4/12/2023,0.9,0.9,0.85,0.85,10800
CVRE2221,4/13/2023,0.89,0.91,0.8,0.83,23400
