Ticker,Date,Open,High,Low,Close,Volume
DPM,11/5/2007,22.53755,22.53755,21.84763,21.84763,3379950
DPM,11/6/2007,20.81283,20.81283,20.81283,20.81283,572750
DPM,11/7/2007,19.77785,21.1577,19.77785,20.35279,2758160
DPM,11/8/2007,20.2378,20.46778,19.77785,19.89284,1424890
DPM,11/9/2007,19.08809,19.43306,19.08809,19.31807,2272600
DPM,11/12/2007,19.3179,19.66286,19.08792,19.54787,1667190
DPM,11/13/2007,19.54779,19.66278,19.08784,19.4328,2910860
DPM,11/14/2007,19.54787,20.35279,19.43289,20.35279,2139660
DPM,11/15/2007,20.00783,20.12281,19.54787,19.54787,1016050
DPM,11/16/2007,19.203,19.43297,19.08801,19.203,855700
DPM,11/19/2007,19.20291,19.3179,18.97294,18.97294,887740
DPM,11/20/2007,18.51315,18.62814,18.51315,18.51315,1203340
DPM,11/21/2007,18.1681,18.39808,18.1681,18.39808,1338580
DPM,11/22/2007,18.51307,18.74304,18.39808,18.39808,900600
DPM,11/23/2007,18.398,18.51299,18.16802,18.16802,588830
DPM,11/26/2007,18.16802,18.398,18.16802,18.16802,528680
DPM,11/27/2007,18.398,18.398,18.16802,18.16802,615750
DPM,11/28/2007,18.16802,18.28301,17.93805,17.93805,667720
DPM,11/29/2007,17.93821,17.93821,17.70823,17.70823,834760
DPM,11/30/2007,17.47795,17.82291,17.47795,17.82291,848210
DPM,12/3/2007,18.16802,18.16802,18.05304,18.16802,630220
DPM,12/4/2007,18.28301,18.398,18.16802,18.28301,796420
DPM,12/5/2007,18.28301,18.28301,17.93805,18.05304,973250
DPM,12/6/2007,17.93805,18.05304,17.93805,18.05304,456540
DPM,12/7/2007,17.93805,18.05304,17.82306,17.93805,377460
DPM,12/10/2007,17.4781,17.70807,17.24813,17.24813,852870
DPM,12/11/2007,16.67326,17.2482,16.44328,16.78825,1485050
DPM,12/12/2007,16.78818,17.36311,16.78818,17.13314,581180
DPM,12/13/2007,17.13329,17.24828,16.90331,16.90331,427130
DPM,12/14/2007,16.90324,16.90324,16.78825,16.78825,492400
DPM,12/17/2007,16.67297,16.67297,16.21303,16.21303,384540
DPM,12/18/2007,16.3283,16.78825,16.21331,16.78825,1043170
DPM,12/19/2007,17.13314,17.59309,17.01815,17.4781,948480
DPM,12/20/2007,17.47825,17.47825,16.90331,16.90331,524070
DPM,12/21/2007,16.90302,17.018,16.90302,17.018,425260
DPM,12/24/2007,16.78832,17.0183,16.67333,16.90331,532460
DPM,12/25/2007,16.67319,16.78818,16.5582,16.67319,552150
DPM,12/26/2007,16.67319,16.67319,16.5582,16.67319,537030
DPM,12/27/2007,16.67319,16.78818,16.67319,16.67319,389360
DPM,12/28/2007,16.67304,17.018,16.55806,17.018,539370
DPM,1/2/2008,17.018,17.018,16.90302,17.018,700320
DPM,1/3/2008,16.78818,16.90316,16.67319,16.67319,336450
DPM,1/4/2008,16.5582,16.78818,16.5582,16.5582,277810
DPM,1/7/2008,16.55834,16.55834,16.09839,16.09839,650020
DPM,1/8/2008,16.32815,16.55813,16.32815,16.32815,630360
DPM,1/9/2008,16.21338,16.44336,16.09839,16.09839,678580
DPM,1/10/2008,15.86827,15.98326,15.52331,15.6383,789140
DPM,1/11/2008,15.86827,15.98326,15.75329,15.75329,706860
DPM,1/14/2008,15.86841,15.86841,15.29347,15.29347,567450
DPM,1/15/2008,14.83352,14.94851,14.60354,14.60354,1022110
DPM,1/16/2008,15.29347,15.29347,15.06349,15.29347,1056830
DPM,1/17/2008,15.29334,15.29334,14.7184,14.94837,830310
DPM,1/18/2008,14.94844,15.2934,14.83345,15.17842,337570
DPM,1/21/2008,14.94837,15.06336,14.83339,14.83339,248090
DPM,1/22/2008,14.48855,14.60354,14.37356,14.48855,482620
DPM,1/23/2008,14.25826,14.25826,13.79832,13.91331,911760
DPM,1/24/2008,14.14328,14.25826,13.91331,13.91331,1071270
DPM,1/25/2008,13.91349,14.25845,13.7985,14.02847,742600
DPM,1/28/2008,13.91349,14.25845,13.91349,14.25845,678990
DPM,1/29/2008,14.37344,14.94837,14.25845,14.94837,1132100
DPM,1/30/2008,15.6383,15.6383,15.40833,15.6383,1473030
DPM,1/31/2008,15.40826,15.52324,14.94831,15.52324,1554860
DPM,2/1/2008,15.6383,15.75329,15.52331,15.75329,1169310
DPM,2/12/2008,15.75342,15.75342,15.40846,15.40846,735250
DPM,2/13/2008,15.40839,15.40839,14.94844,15.17842,676590
DPM,2/14/2008,15.2934,15.52338,15.17842,15.17842,1001960
DPM,2/15/2008,15.17835,15.17835,14.94837,14.94837,490090
DPM,2/18/2008,14.37344,14.48843,14.25845,14.25845,1300970
DPM,2/19/2008,14.02847,14.37344,14.02847,14.25845,1054750
DPM,2/20/2008,14.25851,14.25851,13.56858,13.56858,1099330
DPM,2/21/2008,12.9937,13.10869,12.9937,12.9937,1570450
DPM,2/22/2008,12.41876,13.10869,12.41876,12.9937,1917560
DPM,2/25/2008,13.33861,13.56858,13.22362,13.56858,986860
DPM,2/26/2008,13.45365,13.45365,12.9937,12.9937,1462260
DPM,2/27/2008,12.87843,13.33838,12.87843,13.1084,776840
DPM,2/28/2008,13.22339,13.33838,12.99342,13.1084,966770
DPM,2/29/2008,13.10869,13.22368,12.76372,12.87871,932430
DPM,3/3/2008,12.64841,12.76339,12.30345,12.30345,1488990
