Ticker,Date,Open,High,Low,Close,Volume
AGE,8/15/2022,9.71902,9.71902,9.71902,9.71902,0
AGE,8/16/2022,13.60663,13.60663,13.60663,13.60663,200
AGE,8/17/2022,15.64762,15.64762,15.64762,15.64762,100
AGE,8/18/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,8/19/2022,17.98019,17.98019,17.98019,17.98019,100
AGE,8/22/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/23/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/24/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/25/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/26/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/29/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/30/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,8/31/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/5/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/6/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/7/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/8/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/9/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/12/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/13/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/14/2022,17.98019,17.98019,17.98019,17.98019,0
AGE,9/15/2022,15.64762,15.64762,15.64762,15.64762,200
AGE,9/16/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/19/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/20/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/21/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/22/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/23/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/26/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/27/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/28/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/29/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,9/30/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/3/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/4/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/5/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/6/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/7/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/10/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/11/2022,15.64762,15.64762,15.64762,15.64762,100
AGE,10/12/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/13/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/14/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/17/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/18/2022,15.64762,15.64762,15.64762,15.64762,0
AGE,10/19/2022,13.38413,13.58095,13.38413,13.58095,200
AGE,10/20/2022,13.48254,13.48254,13.48254,13.48254,0
AGE,10/21/2022,13.48254,13.48254,13.48254,13.48254,0
AGE,10/24/2022,13.48254,13.48254,13.48254,13.48254,0
AGE,10/25/2022,13.48254,13.48254,13.48254,13.48254,0
AGE,10/26/2022,13.48254,13.48254,13.48254,13.48254,0
AGE,10/27/2022,11.51429,11.51429,11.51429,11.51429,100
AGE,10/28/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,10/31/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/1/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/2/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/3/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/4/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/7/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/8/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/9/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/10/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/11/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/14/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/15/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/16/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/17/2022,11.51429,11.51429,11.51429,11.51429,0
AGE,11/18/2022,12.79365,12.79365,12.79365,12.79365,100
AGE,11/21/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/22/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/23/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/24/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/25/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/28/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/29/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,11/30/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/1/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/2/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/5/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/6/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/7/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/8/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/9/2022,12.79365,12.79365,12.79365,12.79365,0
AGE,12/12/2022,12.79365,12.79365,12.79365,12.79365,0
