Ticker,Date,Open,High,Low,Close,Volume
CDP,7/13/2018,13.93245,13.93245,10.20306,11.25854,2100
CDP,7/16/2018,13.08806,13.08806,11.25854,11.46964,6400
CDP,7/17/2018,13.86208,13.93245,11.11781,12.5955,3600
CDP,7/18/2018,13.29916,13.29916,10.69562,12.1733,4300
CDP,7/19/2018,12.73623,12.73623,10.69562,12.1733,2300
CDP,7/20/2018,11.61037,12.87696,10.55488,11.82147,2300
CDP,7/23/2018,12.52513,12.52513,10.41415,11.61037,5100
CDP,7/24/2018,11.89184,11.89184,11.89184,11.89184,200
CDP,7/25/2018,11.18818,11.25854,10.13269,10.13269,3900
CDP,7/26/2018,11.54001,11.54001,11.54001,11.54001,100
CDP,7/27/2018,9.851226,9.851226,9.851226,9.851226,4000
CDP,7/30/2018,10.55488,10.55488,10.55488,10.55488,100
CDP,7/31/2018,9.288299,10.48452,9.147567,10.48452,4100
CDP,8/1/2018,10.48452,10.48452,9.710494,9.710494,200
CDP,8/2/2018,10.13269,10.13269,10.13269,10.13269,0
CDP,8/3/2018,10.13269,10.13269,10.13269,10.13269,0
CDP,8/6/2018,10.13269,10.13269,10.13269,10.13269,100
CDP,8/7/2018,9.147567,9.147567,9.147567,9.147567,1300
CDP,8/8/2018,9.006835,9.006835,9.006835,9.006835,1800
CDP,8/9/2018,9.147567,9.147567,9.147567,9.147567,7500
CDP,8/10/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,8/13/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,8/14/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,8/15/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,8/16/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,8/17/2018,10.27342,10.27342,9.147567,9.147567,700
CDP,8/20/2018,9.710494,9.710494,9.710494,9.710494,0
CDP,8/21/2018,10.55488,10.55488,10.55488,10.55488,100
CDP,8/22/2018,10.55488,10.55488,10.55488,10.55488,0
CDP,8/23/2018,11.04745,11.04745,11.04745,11.04745,100
CDP,8/24/2018,9.569762,9.569762,9.499396,9.499396,5000
CDP,8/27/2018,9.569762,9.569762,9.569762,9.569762,0
CDP,8/28/2018,9.569762,9.569762,9.569762,9.569762,0
CDP,8/29/2018,9.569762,9.569762,9.569762,9.569762,0
CDP,8/30/2018,9.569762,9.569762,9.569762,9.569762,0
CDP,8/31/2018,9.569762,9.569762,9.569762,9.569762,0
CDP,9/4/2018,10.48452,10.48452,10.48452,10.48452,100
CDP,9/5/2018,10.48452,10.48452,10.48452,10.48452,0
CDP,9/6/2018,10.48452,10.48452,10.48452,10.48452,0
CDP,9/7/2018,10.69562,10.69562,10.69562,10.69562,100
CDP,9/10/2018,10.69562,10.69562,10.69562,10.69562,0
CDP,9/11/2018,10.69562,10.69562,10.69562,10.69562,0
CDP,9/12/2018,9.147567,9.147567,9.147567,9.147567,200
CDP,9/13/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,9/14/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,9/17/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,9/18/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,9/19/2018,10.41415,10.41415,10.41415,10.41415,100
CDP,9/20/2018,10.41415,10.41415,10.41415,10.41415,0
CDP,9/21/2018,11.89184,11.89184,11.89184,11.89184,100
CDP,9/24/2018,10.13269,10.13269,10.13269,10.13269,100
CDP,9/25/2018,10.13269,10.13269,10.13269,10.13269,0
CDP,9/26/2018,10.13269,10.13269,10.13269,10.13269,0
CDP,9/27/2018,9.147567,9.147567,9.147567,9.147567,3100
CDP,9/28/2018,9.147567,9.147567,9.147567,9.147567,0
CDP,10/1/2018,8.092078,8.092078,8.092078,8.092078,3000
CDP,10/2/2018,8.092078,8.092078,8.092078,8.092078,0
CDP,10/3/2018,8.092078,9.147567,8.092078,9.147567,3100
