Ticker,Date,Open,High,Low,Close,Volume
CYC,7/31/2006,20,20,20,20,16530
CYC,8/1/2006,19,19,19,19,10550
CYC,8/2/2006,18.1,18.1,18.1,18.1,29300
CYC,8/3/2006,17.8,18.8,17.8,18.8,84000
CYC,8/4/2006,19.1,19.1,18.8,18.8,68590
CYC,8/7/2006,18.8,18.8,17.9,17.9,31050
CYC,8/8/2006,17.6,17.6,17.5,17.5,22490
CYC,8/9/2006,17.6,17.7,17.6,17.7,26080
CYC,8/10/2006,17.7,17.7,17.5,17.5,36080
CYC,8/11/2006,17.7,18.2,17.7,18.2,48520
CYC,8/14/2006,19.1,19.1,19.1,19.1,44050
CYC,8/15/2006,20,20,20,20,119230
CYC,8/16/2006,21,21,21,21,149800
CYC,8/17/2006,22,22,22,22,117700
CYC,8/18/2006,23.1,23.1,23.1,23.1,76550
CYC,8/21/2006,24.2,24.2,24.2,24.2,29430
CYC,8/22/2006,25,25,23,23,241880
CYC,8/23/2006,21.9,24.1,21.9,24.1,198860
CYC,8/24/2006,24.1,24.1,24,24,110120
CYC,8/25/2006,24,24,23.8,23.8,44110
CYC,8/28/2006,23.8,24,23.8,24,46920
CYC,8/29/2006,24.3,24.3,24,24,49410
CYC,8/30/2006,24,24,24,24,116920
CYC,8/31/2006,24,24,23.8,23.8,39600
CYC,9/1/2006,23.7,24,23.7,24,70460
CYC,9/5/2006,24.8,25,24.8,25,78350
CYC,9/6/2006,25.5,25.5,25,25,74300
CYC,9/7/2006,24.5,24.8,24.5,24.8,57950
CYC,9/8/2006,24.6,24.8,24.6,24.8,49570
CYC,9/11/2006,23.6,23.6,23.6,23.6,67330
CYC,9/12/2006,22.5,22.5,22.5,22.5,14000
CYC,9/13/2006,21.4,21.4,21.4,21.4,33790
CYC,9/14/2006,20.4,21.5,20.4,21.5,244680
CYC,9/15/2006,21.4,21.4,21.1,21.1,77120
CYC,9/18/2006,20.7,20.7,20.5,20.5,42580
CYC,9/19/2006,20.5,20.5,20.5,20.5,25580
CYC,9/20/2006,20.8,21,20.8,21,62170
CYC,9/21/2006,21,21,20.8,20.8,37330
CYC,9/22/2006,20.7,20.8,20.7,20.8,8950
CYC,9/25/2006,21,21,20.8,20.8,37540
CYC,9/26/2006,20.7,20.7,20.6,20.6,33760
CYC,9/27/2006,20.4,20.4,20.4,20.4,44840
CYC,9/28/2006,20.1,20.4,20.1,20.4,38400
CYC,9/29/2006,20.4,21,20.4,21,31120
CYC,10/2/2006,22,22,22,22,52720
CYC,10/3/2006,22.5,22.5,21.8,21.8,34810
CYC,10/4/2006,21,21,21,21,54910
CYC,10/5/2006,21,21,21,21,33000
CYC,10/6/2006,21.5,21.5,21,21,5520
CYC,10/9/2006,21,21,20.9,20.9,18930
CYC,10/10/2006,20.8,20.8,20.1,20.1,19710
CYC,10/11/2006,20.5,20.5,20.3,20.3,13770
CYC,10/12/2006,20.4,20.4,20.2,20.2,20640
CYC,10/13/2006,20,20.2,20,20.2,28400
CYC,10/16/2006,20,20,20,20,28480
CYC,10/17/2006,20,20,19.2,19.2,24340
CYC,10/18/2006,19,19.3,19,19.3,6760
CYC,10/19/2006,19.6,20.2,19.6,20.2,9180
CYC,10/20/2006,20.5,20.5,20.4,20.4,12520
CYC,10/23/2006,20.4,20.4,20.1,20.1,7110
CYC,10/24/2006,20.1,20.1,20.1,20.1,7100
CYC,10/25/2006,19.6,19.8,19.6,19.8,10950
CYC,10/26/2006,19.8,19.8,19.5,19.5,12640
CYC,10/27/2006,19.5,19.5,19.4,19.4,3750
CYC,10/30/2006,18.6,18.6,18.6,18.6,21560
CYC,10/31/2006,18.6,19.4,18.6,19.4,8390
CYC,11/1/2006,19.4,20,19.4,20,12960
CYC,11/2/2006,20,20,19.9,19.9,14770
CYC,11/3/2006,19.9,19.9,19.3,19.3,6720
CYC,11/6/2006,20,20,19.1,19.1,4710
CYC,11/7/2006,19.2,19.2,19,19,7550
CYC,11/8/2006,19,19.2,19,19.2,18970
CYC,11/9/2006,19.5,19.5,19.4,19.4,12510
CYC,11/10/2006,19,19,19,19,20410
CYC,11/13/2006,19,19,18.7,18.7,13630
CYC,11/14/2006,18.7,18.7,17.9,18,31370
CYC,11/15/2006,18.2,18.2,17.9,17.9,51580
CYC,11/16/2006,17.8,17.8,17.5,17.8,20150
CYC,11/17/2006,17.8,17.8,17.7,17.8,42870
CYC,11/20/2006,17.8,17.8,17.5,17.5,18020
CYC,11/21/2006,17.3,17.3,17.3,17.3,21140
CYC,11/22/2006,18.1,18.1,18.1,18.1,20480
CYC,11/23/2006,19,19,19,19,17300
CYC,11/24/2006,19.9,19.9,19.9,19.9,33690
CYC,11/27/2006,19.9,19.9,19,19,29530
CYC,11/28/2006,18.1,18.9,18.1,18.5,14050
CYC,11/29/2006,17.7,18,17.7,17.8,13120
CYC,11/30/2006,17,17.5,17,17.5,9310
CYC,12/1/2006,17.9,17.9,17.8,17.8,10250
CYC,12/4/2006,17.7,17.7,17.5,17.5,10550
CYC,12/5/2006,17.5,17.5,17.4,17.4,22270
CYC,12/6/2006,17,17,16.9,16.9,35330
CYC,12/7/2006,16.5,16.5,16.1,16.1,23290
CYC,12/8/2006,15.4,15.4,15.4,15.4,2300
CYC,12/11/2006,15.4,15.4,15.1,15.1,24460
CYC,12/12/2006,14.6,14.6,14.6,14.6,21710
CYC,12/13/2006,13.9,14.5,13.9,14.5,27180
CYC,12/14/2006,15.2,15.2,15.2,15.2,20870
CYC,12/15/2006,15.9,15.9,15.9,15.9,18600
CYC,12/18/2006,16.6,16.6,16.6,16.6,13100
CYC,12/19/2006,16.6,17,16.6,17,18060
CYC,12/20/2006,17,17,16.6,16.6,31290
CYC,12/21/2006,15.8,15.8,15.8,15.8,12430
CYC,12/22/2006,15.1,15.1,15.1,15.1,17280
CYC,12/25/2006,15.1,15.1,15,15,5600
CYC,12/26/2006,15.7,15.7,15.1,15.1,10610
CYC,12/27/2006,15,15,15,15,9260
CYC,12/28/2006,15.1,15.1,15,15,13520
CYC,12/29/2006,15,15,15,15,8860
CYC,1/2/2007,15,15.1,15,15.1,5040
CYC,1/3/2007,15,15,15,15,8360
CYC,1/4/2007,15,15.1,15,15.1,10510
CYC,1/5/2007,14.5,15.8,14.5,15.8,16640
CYC,1/8/2007,15.8,15.8,15.5,15.5,15650
CYC,1/9/2007,15.1,15.1,15,15,8980
CYC,1/10/2007,15,15,15,15,6730
CYC,1/11/2007,14.5,15,14.5,15,15700
CYC,1/12/2007,15,15,15,15,12480
CYC,1/15/2007,14.9,14.9,14.9,14.9,33510
CYC,1/16/2007,14.9,15,14.9,15,17950
CYC,1/17/2007,14.9,15,14.9,15,23600
CYC,1/18/2007,15.1,15.2,15.1,15.2,18990
CYC,1/19/2007,15.4,15.4,15.4,15.4,25740
CYC,1/22/2007,15.5,15.7,15.5,15.7,15800
CYC,1/23/2007,15.8,15.8,15.5,15.5,11670
CYC,1/24/2007,15.4,15.4,15,15,14620
CYC,1/25/2007,15,15,15,15,17470
CYC,1/26/2007,15,15,15,15,10260
CYC,1/29/2007,14.5,15.2,14.5,15.2,11310
CYC,1/30/2007,15,15,15,15,5880
CYC,1/31/2007,15,15,15,15,2010
CYC,2/1/2007,14.3,14.3,14.3,14.3,5640
CYC,2/2/2007,13.6,13.6,13.6,13.6,1390
CYC,2/5/2007,14.1,14.2,14.1,14.2,11400
CYC,2/6/2007,14.5,14.7,14.5,14.7,19750
CYC,2/7/2007,15,15.4,15,15.4,35950
CYC,2/8/2007,15.9,15.9,15.4,15.4,46130
CYC,2/9/2007,15.5,15.5,15,15,23230
CYC,2/12/2007,15,15,14.9,14.9,19570
CYC,2/13/2007,15,15,14.9,14.9,19940
CYC,2/14/2007,15.5,15.5,15.4,15.4,31290
CYC,2/15/2007,15.8,15.8,15.8,15.8,37260
CYC,2/26/2007,16.5,16.5,16.5,16.5,47320
CYC,2/27/2007,17.3,17.3,17.3,17.3,27560
CYC,2/28/2007,18.1,18.1,18.1,18.1,53210
CYC,3/1/2007,19,19,19,19,80160
CYC,3/2/2007,19.9,19.9,19.9,19.9,103250
CYC,3/5/2007,20.8,20.8,20.8,20.8,54770
CYC,3/6/2007,21.8,21.8,21.8,21.8,23200
CYC,3/7/2007,22.8,22.8,22.8,22.8,13820
CYC,3/8/2007,23.9,23.9,23.9,23.9,11450
CYC,3/9/2007,25,25,25,25,11920
CYC,3/12/2007,26.2,26.2,26.2,26.2,32170
CYC,3/13/2007,27.5,27.5,27.5,27.5,41590
CYC,3/14/2007,28.8,28.8,28.8,28.8,211520
CYC,3/15/2007,27.4,27.4,27.4,27.4,185620
CYC,3/16/2007,26.1,26.1,26.1,26.1,152690
CYC,3/19/2007,26.5,27,26.5,27,90530
CYC,3/20/2007,27,27.5,27,27.5,96220
CYC,3/21/2007,27.3,27.3,27,27,76790
CYC,3/22/2007,27,27,26,26,45890
CYC,3/23/2007,25,25,24.7,24.7,32970
CYC,3/26/2007,23.5,23.5,23.5,23.5,7490
CYC,3/27/2007,23,23,23,23,1620
CYC,3/28/2007,21.9,21.9,21.9,21.9,6250
CYC,3/29/2007,20.9,22,20.9,22,71060
CYC,3/30/2007,23.1,23.1,23,23,101940
CYC,4/2/2007,23.5,23.5,23,23,48670
CYC,4/3/2007,22,22,22,22,18900
CYC,4/4/2007,20.9,21.9,20.9,21.9,16750
CYC,4/5/2007,21,21,21,21,19060
CYC,4/6/2007,20.2,20.2,20,20,25380
CYC,4/9/2007,19,19.5,19,19.5,28010
CYC,4/10/2007,19.1,19.1,19.1,19.1,18800
CYC,4/11/2007,18.8,18.8,18.8,18.8,17650
CYC,4/12/2007,17.9,17.9,17.9,17.9,8820
CYC,4/13/2007,17.1,17.1,17.1,17.1,4020
CYC,4/16/2007,16.3,16.3,16.3,16.3,6590
CYC,4/17/2007,15.5,15.5,15.5,15.5,14220
CYC,4/18/2007,15.5,16.2,15.5,16.2,12010
CYC,4/19/2007,17,17,17,17,2500
CYC,4/20/2007,17.8,17.8,17.5,17.5,32330
CYC,4/23/2007,17.5,17.5,17.5,17.5,18780
CYC,4/24/2007,16.7,16.7,16.7,16.7,14960
CYC,4/25/2007,16,16.9,16,16.9,24440
CYC,5/2/2007,17.6,17.6,17,17,14450
CYC,5/3/2007,17,17,16.7,16.7,7770
CYC,5/4/2007,17,17,16.7,16.7,9780
CYC,5/7/2007,16.2,16.6,16.2,16.6,5490
CYC,5/8/2007,17.4,17.4,17.4,17.4,12740
CYC,5/9/2007,18,18,17,17,12510
CYC,5/10/2007,16.9,16.9,16.9,16.9,5200
CYC,5/11/2007,16.7,17,16.7,17,16510
CYC,5/14/2007,16.3,17,16.3,17,7510
CYC,5/15/2007,16.5,16.5,16.5,16.5,19720
CYC,5/16/2007,16.1,16.5,16.1,16.5,10150
CYC,5/17/2007,16.2,16.5,16.2,16.5,7590
CYC,5/18/2007,15.8,16.2,15.8,16.2,27900
CYC,5/21/2007,16.5,16.5,16.1,16.1,24620
CYC,5/22/2007,16.5,16.5,16.5,16.5,37110
CYC,5/23/2007,17.3,17.3,17.3,17.3,40070
CYC,5/24/2007,17.5,17.5,17.1,17.1,27480
CYC,5/25/2007,17.1,17.1,17.1,17.1,27050
CYC,5/28/2007,17.2,17.2,17,17,18030
CYC,5/29/2007,17,17,16.7,16.7,26850
CYC,5/30/2007,16.7,16.8,16.7,16.8,19630
CYC,5/31/2007,16.5,16.7,16.5,16.7,8250
CYC,6/1/2007,16.7,17,16.7,17,26550
CYC,6/4/2007,16.5,16.8,16.5,16.8,18300
CYC,6/5/2007,17,17,16.5,16.5,5660
CYC,6/6/2007,16.3,16.5,16.3,16.5,8100
CYC,6/7/2007,16.6,16.8,16.6,16.8,23970
CYC,6/8/2007,17,17,17,17,39090
CYC,6/11/2007,17.5,17.8,17.5,17.8,40680
CYC,6/12/2007,18.6,18.6,18.6,18.6,17250
CYC,6/13/2007,19.5,19.5,19.5,19.5,30760
CYC,6/14/2007,20.4,20.4,20,20,98720
CYC,6/15/2007,19.5,19.5,19,19,57030
CYC,6/18/2007,19,19,19,19,23560
CYC,6/19/2007,18.9,19,18.9,19,13000
CYC,6/20/2007,19,19,18.5,18.5,24530
CYC,6/21/2007,18.4,19,18.4,19,21400
CYC,6/22/2007,19,19,18.5,18.5,5550
CYC,6/25/2007,17.9,18.5,17.9,18.5,16410
CYC,6/26/2007,18,18,17.7,17.7,22310
CYC,6/27/2007,17.5,17.7,17.5,17.7,34260
CYC,6/28/2007,17.5,17.5,17.1,17.1,23750
CYC,6/29/2007,17.1,17.1,17,17,29550
CYC,7/2/2007,16.8,16.8,16.5,16.5,20880
CYC,7/3/2007,16.3,16.3,16.2,16.2,37430
CYC,7/4/2007,16,17,16,17,28350
CYC,7/5/2007,16.9,16.9,16.5,16.5,29630
CYC,7/6/2007,16.8,16.8,16.5,16.5,19230
CYC,7/9/2007,16.5,16.5,16.5,16.5,5250
CYC,7/10/2007,16.5,16.9,16.5,16.9,18700
CYC,7/11/2007,16.9,16.9,16.8,16.8,13750
CYC,7/12/2007,16.5,16.5,16.5,16.5,26480
CYC,7/13/2007,16.4,16.4,16.4,16.4,9770
CYC,7/16/2007,16.4,16.4,16.3,16.3,10870
CYC,7/17/2007,16.2,16.8,16.2,16.8,15500
CYC,7/18/2007,16.8,16.8,16.6,16.6,10980
CYC,7/19/2007,16.4,16.5,16.4,16.5,7640
CYC,7/20/2007,16.5,16.5,16.5,16.5,17430
CYC,7/23/2007,17,17,17,17,29730
CYC,7/24/2007,17,17,17,17,2500
CYC,7/25/2007,16.5,16.9,16.5,16.9,5250
CYC,7/26/2007,16.9,16.9,16.5,16.5,4600
CYC,7/27/2007,16.5,16.5,16.5,16.5,5290
CYC,7/30/2007,16.3,16.5,16,16.2,5010
CYC,7/31/2007,16,16,16,16,16420
CYC,8/1/2007,16,16.5,16,16.4,3810
CYC,8/2/2007,16.3,16.4,16.2,16.2,7770
CYC,8/3/2007,16,16,15.4,15.4,7960
CYC,8/6/2007,15.4,15.6,15.4,15.5,4290
CYC,8/7/2007,16,16,15.5,15.5,9960
CYC,8/8/2007,15.3,15.5,15.3,15.5,7810
CYC,8/9/2007,15.5,15.8,15.5,15.8,1950
CYC,8/10/2007,15.1,16,15.1,16,360
CYC,8/13/2007,15.6,15.6,15.3,15.3,2450
CYC,8/14/2007,15.3,15.7,15.3,15.7,10620
CYC,8/15/2007,15.3,15.5,15.3,15.3,8550
CYC,8/16/2007,15.2,15.5,15,15.4,6780
CYC,8/17/2007,14.9,15,14.9,15,14330
CYC,8/20/2007,14.6,14.7,14.6,14.7,11800
CYC,8/21/2007,14.7,15,14.7,15,10080
CYC,8/22/2007,14.9,14.9,14.6,14.6,3900
CYC,8/23/2007,14.6,15,14.6,14.7,5900
CYC,8/24/2007,14.5,14.9,14.5,14.9,7720
CYC,8/27/2007,15,15.2,15,15,4320
CYC,8/28/2007,14.8,14.8,14.7,14.7,2020
CYC,8/29/2007,14.7,14.8,14.7,14.8,9860
CYC,8/30/2007,14.1,14.9,14.1,14.9,4460
CYC,8/31/2007,14.7,15,14.7,15,9150
CYC,9/4/2007,15,15,14.9,15,11120
CYC,9/5/2007,15,15,14.5,14.9,6730
CYC,9/6/2007,15.6,15.6,15.2,15.5,34680
CYC,9/7/2007,15.5,15.5,15.2,15.5,19010
CYC,9/10/2007,15.3,15.5,15.3,15.3,6860
CYC,9/11/2007,15.5,16,15.4,16,32580
CYC,9/12/2007,16,16,15.7,15.7,21800
CYC,9/13/2007,15.5,15.6,15.3,15.3,8760
CYC,9/14/2007,15.3,15.5,15.3,15.4,12330
CYC,9/17/2007,15.5,15.6,15.5,15.5,12150
CYC,9/18/2007,15.5,15.6,15.5,15.5,11020
CYC,9/19/2007,15.4,15.5,15.4,15.5,11760
CYC,9/20/2007,15.5,15.6,15.3,15.6,4530
CYC,9/21/2007,15.3,15.6,15.3,15.4,6300
CYC,9/24/2007,15.4,15.7,15.4,15.5,15320
CYC,9/25/2007,15.5,15.8,15.3,15.8,40830
CYC,9/26/2007,16.5,16.5,16.2,16.3,48890
CYC,9/27/2007,16.2,16.6,16.1,16.1,15410
CYC,9/28/2007,16,16.4,16,16.4,12470
CYC,10/1/2007,16.5,17.2,16.5,17.2,32780
CYC,10/2/2007,18,18,17.7,18,75060
CYC,10/3/2007,18.9,18.9,18.5,18.9,70170
CYC,10/4/2007,19.8,19.8,19.8,19.8,60030
CYC,10/5/2007,20.5,20.6,20,20.6,106460
CYC,10/8/2007,19.6,20.5,19.6,20.5,104190
CYC,10/9/2007,19.5,20.5,19.5,19.5,64770
CYC,10/10/2007,19,19,18.6,18.6,48080
CYC,10/11/2007,18.1,18.8,18.1,18.4,41190
CYC,10/12/2007,18.4,18.7,18.4,18.7,36720
CYC,10/15/2007,19.6,19.6,19.6,19.6,31180
CYC,10/16/2007,20.5,20.5,20,20.4,146450
CYC,10/17/2007,20,20.4,19.4,19.8,45260
CYC,10/18/2007,19.5,19.5,18.9,18.9,38400
CYC,10/19/2007,18.5,19,18.5,19,28280
CYC,10/22/2007,18.5,18.7,18.3,18.5,34860
CYC,10/23/2007,18.5,18.5,18.3,18.3,14130
CYC,10/24/2007,18,19,18,18.3,18870
CYC,10/25/2007,18.3,18.9,18.3,18.9,26650
CYC,10/26/2007,19,19.7,19,19.7,36180
CYC,10/29/2007,19.4,19.5,18.9,19.3,30460
CYC,10/30/2007,19.3,19.5,18.7,18.7,35130
CYC,10/31/2007,18,19.2,18,18.5,17730
CYC,11/1/2007,19,19,18.5,19,21120
CYC,11/2/2007,18.3,19,18.3,18.5,36710
CYC,11/5/2007,18.7,18.7,18.2,18.3,28090
CYC,11/6/2007,18.6,18.7,18,18,25140
CYC,11/7/2007,18.9,18.9,18.9,18.9,37560
CYC,11/8/2007,19.8,19.8,19.8,19.8,50010
CYC,11/9/2007,20.7,20.7,20,20.3,177980
CYC,11/12/2007,19.4,20.3,19.3,19.3,43050
CYC,11/13/2007,18.6,18.8,18.4,18.4,49230
CYC,11/14/2007,17.6,19.3,17.6,19.3,41170
CYC,11/15/2007,18.5,19.3,18.4,18.5,47310
CYC,11/16/2007,18.3,18.5,18.3,18.4,6900
CYC,11/19/2007,18.9,18.9,18.3,18.4,7350
CYC,11/20/2007,18.4,18.5,18,18.3,28220
CYC,11/21/2007,18.4,18.4,17.4,17.4,33150
CYC,11/22/2007,17.4,18,17.4,17.7,16000
