Ticker,Date,Open,High,Low,Close,Volume
D17,1/8/2024,22,22,22,22,0
D17,1/9/2024,22,22,22,22,0
D17,1/10/2024,22,22,22,22,0
D17,1/11/2024,22,22,22,22,0
D17,1/12/2024,22,22,22,22,0
D17,1/15/2024,22,22,22,22,0
D17,1/16/2024,22,22,22,22,0
D17,1/17/2024,30.8,30.8,30.8,30.8,100
D17,1/18/2024,35.4,35.4,35.4,35.4,100
D17,1/19/2024,40.7,40.7,40.7,40.7,100
D17,1/22/2024,46.8,46.8,46.8,46.8,100
D17,1/23/2024,53.8,53.8,53.8,53.8,100
D17,1/24/2024,61.8,61.8,61.8,61.8,100
D17,1/25/2024,71,71,71,71,100
D17,1/26/2024,81.6,81.6,81.6,81.6,100
D17,1/29/2024,93.8,93.8,93.8,93.8,100
D17,1/30/2024,107.8,107.8,107.8,107.8,100
D17,1/31/2024,107.8,107.8,107.8,107.8,0
