Ticker,Date,Open,High,Low,Close,Volume
KHL,2/21/2012,10.2,10.7,5.9,5.9,119400
KHL,2/23/2012,7.2,7.2,7.2,7.2,100
KHL,2/27/2012,6.7,6.7,6.7,6.7,100
KHL,2/28/2012,6.3,6.3,6.3,6.3,100
KHL,2/29/2012,5.9,5.9,5.9,5.9,100
KHL,3/1/2012,5.5,5.5,5.5,5.5,600
KHL,3/2/2012,5.2,5.2,5.2,5.2,44200
KHL,3/5/2012,4.9,5.5,4.9,5.5,115500
KHL,3/6/2012,5.4,5.4,5,5,14100
KHL,3/7/2012,5.2,5.2,4.9,5.2,8200
KHL,3/8/2012,4.7,4.8,4.6,4.6,18300
KHL,3/9/2012,4.5,4.5,4.3,4.4,26000
KHL,3/12/2012,4.2,4.2,4.2,4.2,6000
KHL,3/13/2012,4.3,4.3,4.1,4.3,36500
KHL,3/14/2012,4.2,4.3,4.1,4.3,31000
KHL,3/15/2012,4.1,4.2,3.9,4,42800
KHL,3/16/2012,4.2,4.2,4,4.1,24200
KHL,3/19/2012,3.8,4.2,3.8,4.2,24600
KHL,3/20/2012,4.2,4.2,4.2,4.2,6200
KHL,3/21/2012,4.4,4.4,4.4,4.4,21000
KHL,3/22/2012,4.7,4.7,4.7,4.7,81500
KHL,3/23/2012,5,5,5,5,45400
KHL,3/26/2012,5.3,5.3,5.1,5.3,97900
KHL,3/27/2012,5.5,5.5,5,5.1,28000
KHL,3/28/2012,5.1,5.2,4.8,5.2,41400
KHL,3/29/2012,5.1,5.1,4.9,5,42900
KHL,3/30/2012,4.8,4.9,4.7,4.8,35400
KHL,4/3/2012,4.8,4.8,4.4,4.8,23400
KHL,4/4/2012,4.5,4.9,4.5,4.5,58300
KHL,4/5/2012,4.2,4.7,4.2,4.5,21500
KHL,4/6/2012,4.5,4.6,4.2,4.5,29700
KHL,4/9/2012,4.2,4.4,4,4.4,25500
KHL,4/10/2012,4.6,4.6,4.4,4.4,600
KHL,4/11/2012,4.5,4.5,4.1,4.3,8100
KHL,4/12/2012,4.2,4.5,4.2,4.5,42000
KHL,4/13/2012,4.4,4.4,4.2,4.4,45000
KHL,4/16/2012,4.1,4.4,4.1,4.4,45900
KHL,4/17/2012,4.5,4.5,4.1,4.3,79400
KHL,4/18/2012,4.3,4.3,4.1,4.3,17500
KHL,4/19/2012,4.3,4.6,4.3,4.6,100800
KHL,4/20/2012,4.8,4.8,4.5,4.8,57200
KHL,4/23/2012,4.6,4.8,4.5,4.5,24300
KHL,4/24/2012,4.4,4.7,4.4,4.6,8800
KHL,4/25/2012,4.7,4.9,4.4,4.9,163600
KHL,4/26/2012,5.1,5.2,5.1,5.2,83100
KHL,4/27/2012,5.5,5.5,5.5,5.5,70900
KHL,5/2/2012,5.8,5.8,5.8,5.8,28400
KHL,5/3/2012,6.2,6.2,6.1,6.2,299600
KHL,5/4/2012,6.6,6.6,6.6,6.6,70800
KHL,5/7/2012,7,7,7,7,8500
