Ticker,Date,Open,High,Low,Close,Volume
PXM,6/21/2010,21.6,25,21.6,22.3,197170
PXM,6/22/2010,22.3,23.4,22.3,23.4,553640
PXM,6/23/2010,23.4,23.6,23,23.4,133870
PXM,6/24/2010,23.4,24.1,23,24.1,252720
PXM,6/25/2010,23.6,23.9,23.1,23.4,118200
PXM,6/28/2010,23,23.3,22.8,22.8,123560
PXM,6/29/2010,23.6,23.6,22.8,23,235260
PXM,6/30/2010,22.1,22.3,21.9,22.3,147620
PXM,7/1/2010,21.9,22.6,21.5,21.5,75050
PXM,7/2/2010,21.6,22,21.5,21.7,90370
PXM,7/5/2010,22.7,22.7,22,22.7,297600
PXM,7/6/2010,23.4,23.4,22,22,163870
PXM,7/7/2010,22,22.6,21.5,21.8,58880
PXM,7/8/2010,21.8,21.9,21,21,110040
PXM,7/9/2010,21,21.2,20.7,20.9,119600
PXM,7/12/2010,21.7,21.8,20.6,21.6,111000
PXM,7/13/2010,22.4,22.4,21.6,22.1,105030
PXM,7/14/2010,21.8,22.9,21.3,21.3,88980
PXM,7/15/2010,21.3,22.2,21.3,21.4,175130
PXM,7/16/2010,21.4,21.7,21.2,21.7,135320
PXM,7/19/2010,21.8,21.8,21,21.2,94500
PXM,7/20/2010,21,21.1,20.4,20.5,103960
PXM,7/21/2010,20.5,20.7,20.3,20.7,115370
PXM,7/22/2010,20.7,20.7,20.2,20.2,36620
PXM,7/23/2010,20.8,20.8,19.5,19.5,142760
PXM,7/26/2010,19.8,20.4,19.8,20.1,160060
PXM,7/27/2010,20.5,20.5,19.8,20.1,64300
PXM,7/28/2010,20,20.9,19.1,19.3,37270
PXM,7/29/2010,19,19.3,18.4,18.8,140410
PXM,7/30/2010,18.8,18.9,18.6,18.6,74990
PXM,8/2/2010,19.1,19.1,18.3,18.3,102160
PXM,8/3/2010,18.7,19,18.5,18.5,87650
PXM,8/4/2010,18.5,18.6,18.3,18.4,65670
PXM,8/5/2010,18.9,18.9,18.3,18.4,54120
PXM,8/6/2010,18.3,18.5,18,18,72340
PXM,8/9/2010,18,18,17.1,17.1,58630
PXM,8/10/2010,16.4,16.4,16.3,16.3,86830
PXM,8/11/2010,16.7,16.8,15.7,16.4,48300
PXM,8/12/2010,15.6,16.4,15.6,15.6,55990
PXM,8/13/2010,15,15.6,14.9,15.4,67050
PXM,8/16/2010,15.4,16.1,15.4,16.1,69040
PXM,8/17/2010,15.8,15.8,15.5,15.7,40140
PXM,8/18/2010,15.7,15.7,15,15,93760
PXM,8/19/2010,14.7,15.1,14.7,14.9,35380
PXM,8/20/2010,14.3,14.7,14.2,14.7,17510
PXM,8/23/2010,14.5,15,14.5,14.7,22230
PXM,8/24/2010,14.2,14.7,14,14,34570
PXM,8/25/2010,13.3,13.4,13.3,13.3,16520
PXM,8/26/2010,13,13.5,12.7,12.7,108930
PXM,8/27/2010,12.2,13.3,12.1,12.4,65420
PXM,8/30/2010,13,13,13,13,37320
PXM,8/31/2010,13.2,13.6,13.1,13.6,82710
PXM,9/1/2010,14,14,13,13.8,67400
PXM,9/6/2010,14.4,14.4,14.4,14.4,149380
PXM,9/7/2010,14.4,15.1,13.8,15.1,213380
PXM,9/8/2010,14.7,15.8,14.7,15.8,303010
PXM,9/9/2010,16.5,16.5,16.4,16.5,120560
PXM,9/10/2010,17,17.3,15.8,15.8,279630
PXM,9/13/2010,15.4,15.8,15.1,15.2,101560
PXM,9/14/2010,15.8,15.9,15.2,15.9,77890
PXM,9/15/2010,16.5,16.5,15.3,15.3,39820
PXM,9/16/2010,15.3,15.6,14.9,15.3,39230
PXM,9/17/2010,15.3,16,15.3,16,257800
PXM,9/20/2010,16.8,16.8,16.3,16.7,159110
PXM,9/21/2010,16,17.2,15.9,16.7,117380
PXM,9/22/2010,16.2,16.7,15.9,15.9,171130
PXM,9/23/2010,15.4,15.9,15.2,15.4,167270
PXM,9/24/2010,15.4,15.7,15,15.2,39720
PXM,9/27/2010,15.2,15.3,15,15,24410
PXM,9/28/2010,15.6,15.6,14.7,14.9,57360
PXM,9/29/2010,15,15,14.2,14.4,134040
PXM,9/30/2010,14.4,14.4,14.2,14.3,28140
PXM,10/1/2010,14.7,14.7,14.2,14.2,21350
PXM,10/4/2010,13.6,14.2,13.5,13.6,129910
PXM,10/5/2010,13.7,14,13.4,14,24990
PXM,10/6/2010,14.3,14.6,13.9,14,72800
PXM,10/7/2010,14.5,14.5,13.9,14.2,27870
PXM,10/8/2010,13.8,14.5,13.6,13.6,25770
PXM,10/11/2010,14.1,14.1,13.4,13.4,36470
PXM,10/12/2010,13.8,13.8,13.3,13.4,27410
PXM,10/13/2010,13.4,13.6,13.2,13.5,50120
PXM,10/14/2010,13.5,13.6,13.3,13.4,29670
PXM,10/15/2010,13,13.4,12.8,13.1,69640
PXM,10/18/2010,13.5,13.5,12.8,13,9000
PXM,10/19/2010,13,13,12.4,12.5,74600
PXM,10/20/2010,12.5,12.5,11.9,11.9,41020
PXM,10/21/2010,11.9,12.2,11.5,11.6,31560
PXM,10/22/2010,12,12,11.5,11.8,27290
PXM,10/25/2010,12.1,12.3,11.8,12.3,66800
PXM,10/26/2010,12.8,12.9,12.8,12.9,52610
PXM,10/27/2010,12.9,13.1,12.3,12.4,63370
PXM,10/28/2010,12.9,12.9,12.3,12.3,18890
PXM,10/29/2010,12.3,12.4,12,12.3,15620
PXM,11/1/2010,12.4,12.4,11.8,12.4,38040
PXM,11/2/2010,11.8,11.8,11.4,11.4,21650
PXM,11/3/2010,11.5,11.5,11.3,11.3,31030
PXM,11/4/2010,11.4,11.4,11.3,11.3,20870
PXM,11/5/2010,11.3,11.8,11.3,11.8,26740
PXM,11/8/2010,11.8,11.9,11.4,11.4,11270
PXM,11/9/2010,11,11.6,10.9,10.9,30320
PXM,11/10/2010,10.9,10.9,10.6,10.6,19500
PXM,11/11/2010,11,11,10.3,10.3,10070
PXM,11/12/2010,10.3,10.3,9.9,9.9,41980
PXM,11/15/2010,10.2,10.3,9.9,10,41950
PXM,11/16/2010,10,10.2,9.9,10,38630
PXM,11/17/2010,10,10.2,10,10,12930
PXM,11/18/2010,10.3,10.5,10,10.5,59930
PXM,11/19/2010,10.8,10.8,10.3,10.3,7230
PXM,11/22/2010,9.9,10,9.8,9.8,8420
PXM,11/23/2010,9.8,10.2,9.8,10.2,4720
PXM,11/24/2010,9.9,10.3,9.9,10.1,6830
PXM,11/25/2010,10.3,10.6,10.2,10.6,25440
PXM,11/26/2010,11,11,10.3,10.6,23640
PXM,11/29/2010,10.2,10.7,10.2,10.7,25300
PXM,11/30/2010,11.2,11.2,11.1,11.2,67090
PXM,12/1/2010,11,11.4,10.8,10.8,23750
PXM,12/2/2010,10.9,11.3,10.7,11.1,74830
PXM,12/3/2010,11.6,11.6,11.6,11.6,125500
PXM,12/6/2010,12,12.1,11.9,12.1,123500
PXM,12/7/2010,12,12.3,11.5,11.5,108430
PXM,12/8/2010,11.8,11.8,11,11,97630
PXM,12/9/2010,11.5,11.5,10.8,11.5,17710
PXM,12/10/2010,11.9,12,11.5,12,138450
PXM,12/13/2010,12.6,12.6,12.6,12.6,33320
PXM,12/14/2010,13.1,13.2,12.6,13.2,547940
PXM,12/15/2010,13.8,13.8,13.7,13.8,399550
PXM,12/16/2010,13.2,13.8,13.2,13.2,154710
PXM,12/17/2010,13.5,13.8,12.8,13.8,83710
PXM,12/20/2010,14.1,14.1,13.2,13.2,106080
PXM,12/21/2010,13.4,13.4,12.6,12.7,128930
PXM,12/22/2010,13.1,13.1,12.3,12.4,73560
PXM,12/23/2010,13,13,12,12.6,43780
PXM,12/24/2010,12.1,12.6,12.1,12.1,72310
PXM,12/27/2010,12.1,12.7,12,12.5,61940
PXM,12/28/2010,12.9,13.1,12.5,13.1,100560
PXM,12/29/2010,13.6,13.6,12.6,12.6,85610
PXM,12/30/2010,12.2,13.1,12.2,13.1,62330
PXM,12/31/2010,13.2,13.5,12.8,13.5,87300
PXM,1/4/2011,13.9,13.9,13.3,13.3,51330
PXM,1/5/2011,13.3,13.3,12.8,12.8,30530
PXM,1/6/2011,12.8,13,12.2,12.8,44630
PXM,1/7/2011,13,13,12.5,12.8,5630
PXM,1/10/2011,13.1,13.1,12.2,12.2,150730
PXM,1/11/2011,12.3,12.3,11.8,11.8,66500
PXM,1/12/2011,12,12,11.8,12,22640
PXM,1/13/2011,12.3,12.3,11.8,12.1,12230
PXM,1/14/2011,12.3,12.3,11.9,12.1,62540
PXM,1/17/2011,12.5,12.6,11.8,12.6,53510
PXM,1/18/2011,12.6,12.8,12.3,12.4,45850
PXM,1/19/2011,12.1,12.9,12.1,12.5,10380
PXM,1/20/2011,12.5,12.5,12,12,20590
PXM,1/21/2011,12,12.2,11.8,11.9,21850
PXM,1/24/2011,12,12.2,11.4,11.4,66090
PXM,1/25/2011,11.4,11.4,11,11,29850
PXM,1/26/2011,11.4,11.4,11,11.3,18780
PXM,1/27/2011,11.8,11.8,11.5,11.6,59260
PXM,1/28/2011,11.8,11.8,11.3,11.3,16710
PXM,2/8/2011,11.1,11.5,11.1,11.3,7630
PXM,2/9/2011,11.1,11.5,11.1,11.2,4850
PXM,2/10/2011,11.1,11.6,11.1,11.3,14960
PXM,2/11/2011,11.2,11.4,11,11,15170
PXM,2/14/2011,11.2,11.2,11,11,22970
PXM,2/15/2011,10.8,11,10.7,10.9,17340
PXM,2/16/2011,10.9,10.9,10.7,10.7,18460
PXM,2/17/2011,11.1,11.1,10.3,10.7,6050
PXM,2/18/2011,10.4,10.7,10.2,10.2,43840
PXM,2/21/2011,10,10,9.7,9.7,41410
PXM,2/22/2011,9.3,9.7,9.3,9.3,39890
PXM,2/23/2011,9.2,9.5,9.1,9.1,32300
PXM,2/24/2011,9.1,9.1,8.7,8.7,204500
PXM,2/25/2011,8.7,9.1,8.7,9.1,81560
PXM,2/28/2011,9.1,9.4,9.1,9.1,28150
PXM,3/1/2011,9.3,9.3,8.9,8.9,6070
PXM,3/2/2011,9,9,8.5,8.5,86710
PXM,3/3/2011,8.2,8.4,8.1,8.1,46010
PXM,3/4/2011,8.4,8.5,8.4,8.5,70480
PXM,3/7/2011,8.3,8.7,8.2,8.7,19480
PXM,3/8/2011,8.9,8.9,8.4,8.6,31290
PXM,3/9/2011,8.3,8.6,8.2,8.2,62100
PXM,3/10/2011,8.3,8.6,8.2,8.6,48110
PXM,3/11/2011,8.9,9,8.9,9,93710
PXM,3/14/2011,9,9,8.6,8.6,17740
PXM,3/15/2011,8.3,8.9,8.3,8.3,29490
PXM,3/16/2011,8.5,8.5,8.1,8.4,24740
PXM,3/17/2011,8.5,8.7,8.4,8.5,24280
PXM,3/18/2011,8.4,8.7,8.3,8.7,9590
PXM,3/21/2011,8.9,9,8.6,8.6,33450
PXM,3/22/2011,8.8,8.8,8.5,8.6,23100
PXM,3/23/2011,8.6,8.9,8.6,8.9,25040
PXM,3/24/2011,8.9,8.9,8.6,8.9,22130
PXM,3/25/2011,8.7,9,8.7,8.9,3520
PXM,3/28/2011,8.9,8.9,8.5,8.7,42060
PXM,3/29/2011,8.7,8.8,8.6,8.8,14370
PXM,3/30/2011,8.5,8.7,8.5,8.7,15760
PXM,3/31/2011,8.3,8.7,7.8,7.8,17600
PXM,4/1/2011,7.9,8,7.7,7.9,11090
PXM,4/4/2011,8,8,7.7,7.7,9530
PXM,4/5/2011,7.7,7.8,7.7,7.8,4380
PXM,4/6/2011,7.9,8,7.8,8,13840
PXM,4/7/2011,7.9,8.1,7.8,7.8,11710
PXM,4/8/2011,7.9,7.9,7.6,7.6,5020
PXM,4/13/2011,7.4,7.8,7.4,7.5,2010
PXM,4/14/2011,7.7,7.7,7.4,7.6,550
PXM,4/15/2011,7.6,7.6,7.4,7.6,14650
PXM,4/18/2011,7.4,7.6,7.3,7.3,1232
PXM,4/19/2011,7.1,7.4,7,7.4,21080
PXM,4/20/2011,7.3,7.4,7.3,7.4,8150
PXM,4/21/2011,7.2,7.4,7.1,7.2,5060
PXM,4/22/2011,7,7.2,6.9,7,22470
PXM,4/25/2011,7,7.2,7,7.2,11550
PXM,4/26/2011,7.2,7.2,6.9,6.9,16330
PXM,4/27/2011,6.7,6.8,6.7,6.8,19980
PXM,4/28/2011,6.7,6.9,6.5,6.5,8280
PXM,4/29/2011,6.7,6.7,6.5,6.6,10740
PXM,5/4/2011,6.9,6.9,6.5,6.7,8940
PXM,5/5/2011,6.6,6.7,6.5,6.6,10100
PXM,5/6/2011,6.6,6.7,6.6,6.7,11460
PXM,5/9/2011,6.7,6.8,6.7,6.7,4350
PXM,5/10/2011,6.8,7,6.7,7,2110
PXM,5/11/2011,6.9,6.9,6.7,6.7,15460
PXM,5/12/2011,6.8,6.8,6.7,6.8,13400
PXM,5/13/2011,6.7,6.8,6.7,6.8,2010
PXM,5/16/2011,6.7,6.8,6.6,6.6,5100
PXM,5/17/2011,6.7,6.7,6.5,6.5,17550
PXM,5/18/2011,6.5,6.6,6.2,6.6,21490
PXM,5/19/2011,6.5,6.6,6.4,6.4,8130
PXM,5/20/2011,6.2,6.6,6.1,6.2,24600
PXM,5/23/2011,5.9,6.4,5.9,5.9,53960
PXM,5/24/2011,6,6,5.7,5.7,19670
PXM,5/25/2011,5.5,5.5,5.5,5.5,27550
PXM,5/26/2011,5.3,5.7,5.3,5.7,27760
PXM,5/27/2011,5.5,5.7,5.5,5.7,12220
PXM,5/30/2011,5.7,5.7,5.6,5.6,2450
PXM,5/31/2011,5.5,5.7,5.5,5.7,35140
PXM,6/1/2011,5.5,5.8,5.5,5.8,9680
PXM,6/2/2011,5.9,6,5.8,6,42570
PXM,6/3/2011,6.3,6.3,6.3,6.3,54510
PXM,6/6/2011,6.6,6.6,6.6,6.6,3100
PXM,6/7/2011,6.9,6.9,6.9,6.9,3350
PXM,6/8/2011,7.2,7.2,7.2,7.2,21110
PXM,6/9/2011,7.5,7.5,7.5,7.5,8710
PXM,6/10/2011,7.8,7.8,7.8,7.8,7220
PXM,6/13/2011,8.1,8.1,7.9,8.1,115390
PXM,6/14/2011,8.5,8.5,8,8.5,303080
PXM,6/15/2011,8.3,8.6,8.1,8.1,62880
PXM,6/16/2011,7.8,8.5,7.8,8.2,70770
PXM,6/17/2011,7.8,8.4,7.8,7.8,67770
PXM,6/20/2011,7.5,7.9,7.5,7.5,10690
PXM,6/21/2011,7.5,7.5,7.2,7.5,47170
PXM,6/22/2011,7.5,7.5,7.2,7.2,39130
PXM,6/23/2011,7,7.2,6.9,6.9,76430
PXM,6/24/2011,7,7,6.8,6.8,7220
PXM,6/27/2011,6.8,7,6.8,7,16660
PXM,6/28/2011,7,7.2,6.8,7.2,25050
PXM,6/29/2011,7.2,7.4,7,7.4,31510
PXM,6/30/2011,7.4,7.6,7.1,7.6,90220
PXM,7/1/2011,7.3,7.3,7.3,7.3,23950
PXM,7/4/2011,7,7.3,7,7,34170
PXM,7/5/2011,7,7.2,7,7.2,30410
PXM,7/6/2011,7.1,7.2,6.9,6.9,26660
PXM,7/7/2011,7,7,6.9,6.9,1050
PXM,7/8/2011,6.7,6.9,6.6,6.9,54350
PXM,7/11/2011,6.7,6.9,6.6,6.6,3150
PXM,7/12/2011,6.5,6.5,6.4,6.4,15520
PXM,7/13/2011,6.5,6.6,6.2,6.5,10540
PXM,7/14/2011,6.7,6.7,6.5,6.5,230
PXM,7/15/2011,6.5,6.6,6.5,6.6,20
PXM,7/18/2011,6.3,6.6,6.3,6.3,3603
PXM,7/19/2011,6.1,6.3,6,6,29660
PXM,7/20/2011,6,6.3,6,6.1,22230
PXM,7/21/2011,6.2,6.2,5.8,5.8,22110
PXM,7/22/2011,5.8,5.9,5.8,5.8,2280
PXM,7/25/2011,5.9,6,5.8,5.8,31540
PXM,7/26/2011,6,6,5.9,6,18390
PXM,7/27/2011,6.3,6.3,6.3,6.3,33710
PXM,7/28/2011,6.6,6.6,6.6,6.6,4420
PXM,7/29/2011,6.9,6.9,6.8,6.9,136140
PXM,8/1/2011,6.6,6.9,6.6,6.6,17410
PXM,8/2/2011,6.3,6.3,6.3,6.3,21960
PXM,8/3/2011,6,6.2,6,6,38620
PXM,8/4/2011,6.2,6.3,6,6.3,96050
PXM,8/5/2011,6,6.3,6,6.1,20130
PXM,8/8/2011,6.2,6.2,5.9,5.9,11660
PXM,8/9/2011,5.9,5.9,5.7,5.8,52830
PXM,8/10/2011,5.9,5.9,5.7,5.7,20770
PXM,8/11/2011,5.7,5.8,5.6,5.8,2120
PXM,8/12/2011,5.8,6,5.8,6,10060
PXM,8/15/2011,6,6,6,6,100
PXM,8/16/2011,6,6.1,6,6.1,6500
PXM,8/17/2011,6.1,6.4,6,6,20510
PXM,8/18/2011,6.2,6.3,6.1,6.2,31710
PXM,8/19/2011,6,6.1,5.9,5.9,14400
PXM,8/22/2011,6.1,6.1,6,6.1,8880
PXM,8/23/2011,6.3,6.4,6.3,6.4,83440
PXM,8/24/2011,6.4,6.4,6.3,6.3,35890
PXM,8/25/2011,6.4,6.4,6.2,6.3,18470
PXM,8/26/2011,6.2,6.5,6.2,6.4,33190
PXM,8/29/2011,6.5,6.7,6.5,6.7,85580
PXM,8/30/2011,7,7,6.8,6.9,105370
PXM,8/31/2011,6.9,7.1,6.8,6.9,98490
PXM,9/1/2011,7,7.2,6.9,7.2,59880
PXM,9/5/2011,7.3,7.3,6.9,6.9,50250
PXM,9/6/2011,6.7,6.8,6.6,6.6,40060
PXM,9/7/2011,6.9,6.9,6.6,6.9,34110
PXM,9/8/2011,7.1,7.2,6.9,7,114800
PXM,9/9/2011,6.8,7.1,6.8,7,54800
PXM,9/12/2011,6.9,7.2,6.9,7.2,77220
PXM,9/13/2011,7.2,7.5,7.2,7.5,158940
PXM,9/14/2011,7.5,7.6,7.2,7.2,50650
PXM,9/15/2011,6.9,7.1,6.9,7.1,56810
PXM,9/16/2011,6.8,6.9,6.8,6.8,27640
PXM,9/19/2011,6.9,7,6.8,6.9,13780
PXM,9/20/2011,6.8,6.8,6.6,6.8,61990
PXM,9/21/2011,6.8,6.8,6.5,6.6,42710
PXM,9/22/2011,6.7,6.8,6.5,6.8,20840
PXM,9/23/2011,6.6,6.8,6.6,6.7,16640
PXM,9/26/2011,7,7,6.6,6.9,55830
PXM,9/27/2011,7.1,7.2,6.9,7,154810
PXM,9/28/2011,7.2,7.3,7.2,7.3,145160
PXM,9/29/2011,7.6,7.6,7.4,7.6,401530
