Ticker,Date,Open,High,Low,Close,Volume
RIC,7/31/2007,174,174,174,174,29170
RIC,8/1/2007,166,175,166,170,45140
RIC,8/2/2007,170,170,166,166,4420
RIC,8/3/2007,158,158,158,158,12670
RIC,8/6/2007,151,151,151,151,6460
RIC,8/7/2007,144,144,144,144,850
RIC,8/8/2007,137,137,137,137,12870
RIC,8/9/2007,131,131,131,131,44980
RIC,8/10/2007,137,137,137,137,132870
RIC,8/13/2007,135,142,133,139,147830
RIC,8/14/2007,140,142,140,141,164610
RIC,8/15/2007,141,142,141,141,95960
RIC,8/16/2007,138,140,136,136,112970
RIC,8/17/2007,135,136,133,133,90630
RIC,8/20/2007,112,114,112,112,59450
RIC,8/21/2007,111,112,110,112,47220
RIC,8/22/2007,113,115,113,114,45140
RIC,8/23/2007,113,114,113,113,14830
RIC,8/24/2007,112,113,112,113,28320
RIC,8/27/2007,113,114,112,112,33780
RIC,8/28/2007,111,112,110,110,29160
RIC,8/29/2007,111,111,108,109,64040
RIC,8/30/2007,110,110,109,109,27600
RIC,8/31/2007,107,109,107,109,36850
RIC,9/4/2007,105,109,105,108,51880
RIC,9/5/2007,107,107,106,106,75950
RIC,9/6/2007,105,111,105,111,86650
RIC,9/7/2007,116,116,113,116,154420
RIC,9/10/2007,121,121,116,120,162560
RIC,9/11/2007,116,118,115,115,101710
RIC,9/12/2007,110,114,110,112,34700
RIC,9/13/2007,112,114,112,113,29010
RIC,9/14/2007,115,115,114,114,33910
RIC,9/17/2007,115,115,113,113,22140
RIC,9/18/2007,112,113,112,112,34120
RIC,9/19/2007,109,112,109,112,73340
RIC,9/20/2007,115,115,113,115,72700
RIC,9/21/2007,115,116,113,113,110070
RIC,9/24/2007,111,114,111,114,49690
RIC,9/25/2007,114,115,113,114,118430
RIC,9/26/2007,119,119,116,116,96060
RIC,9/27/2007,116,116,114,114,83800
RIC,9/28/2007,114,118,114,118,192590
RIC,10/1/2007,122,123,120,123,265680
RIC,10/2/2007,129,129,125,127,205140
RIC,10/3/2007,128,128,125,126,136380
RIC,10/4/2007,124,125,122,122,143360
RIC,10/5/2007,124,125,123,125,128960
RIC,10/8/2007,125,126,122,123,111460
RIC,10/9/2007,119,123,119,121,105510
RIC,10/10/2007,122,123,121,122,77640
RIC,10/11/2007,122,122,120,121,73380
RIC,10/12/2007,121,122,120,121,67750
RIC,10/15/2007,121,124,121,122,95550
RIC,10/16/2007,124,124,121,121,73660
RIC,10/17/2007,120,121,120,120,83200
RIC,10/18/2007,119,119,118,118,63490
RIC,10/19/2007,116,118,116,117,52050
RIC,10/22/2007,117,117,115,116,56080
RIC,10/23/2007,113,115,113,114,84880
RIC,10/24/2007,115,116,115,115,88830
RIC,10/25/2007,116,116,115,115,56380
RIC,10/26/2007,114,115,113,115,91740
RIC,10/29/2007,112,115,112,112,42800
RIC,10/30/2007,112,112,110,110,50510
RIC,10/31/2007,109,110,109,109,43810
RIC,11/1/2007,104,106,104,105,246480
RIC,11/2/2007,100,102,100,100,149720
RIC,11/5/2007,95,95,95,95,52500
RIC,11/6/2007,90.5,99.5,90.5,99.5,131620
RIC,11/7/2007,98,98,95,95,52700
RIC,11/8/2007,95,95,93,93,26380
RIC,11/9/2007,90,91.5,90,90,44050
RIC,11/12/2007,93,93,90,90,71510
RIC,11/13/2007,90,90,87,87,54160
RIC,11/14/2007,85,91,85,91,48990
RIC,11/15/2007,90.5,90.5,88,88,39970
RIC,11/16/2007,88.5,90,88,90,35380
RIC,11/19/2007,88,90,88,89.5,15440
RIC,11/20/2007,87.5,88,87,87,17620
RIC,11/21/2007,84,85,83.5,84,41060
RIC,11/22/2007,84,85,83.5,84,28480
RIC,11/23/2007,84,84,83.5,84,15180
RIC,11/26/2007,84.5,84.5,83,84,31250
RIC,11/27/2007,85.5,86,84.5,85,25300
RIC,11/28/2007,85,86,84.5,85,31810
RIC,11/29/2007,85,85,84.5,84.5,22630
RIC,11/30/2007,84.5,84.5,84,84,27410
RIC,12/3/2007,84,85,84,85,11220
