Ticker,Date,Open,High,Low,Close,Volume
XPH,11/25/2014,25.2,25.2,17.9,17.9,26600
XPH,12/15/2014,17.8,17.8,17.8,17.8,100
XPH,12/19/2014,16.1,16.1,16.1,16.1,100
XPH,12/22/2014,14.5,14.5,14.5,14.5,100
XPH,12/24/2014,13.1,13.1,13.1,13.1,100
XPH,12/30/2014,11.8,11.8,11.8,11.8,100
XPH,12/31/2014,10.7,10.7,10.7,10.7,100
XPH,1/5/2015,9.7,9.7,9.7,9.7,100
XPH,1/6/2015,8.8,8.8,8.8,8.8,200
XPH,1/7/2015,8,8,8,8,200
XPH,1/8/2015,7.2,7.2,7.2,7.2,1500
XPH,1/9/2015,6.6,6.6,6.5,6.508,14400
XPH,1/12/2015,6.5,7.1,6.5,7.064,33000
XPH,1/13/2015,7.8,7.8,7.8,7.8,11100
XPH,1/14/2015,8.5,8.5,8.5,8.5,3000
XPH,1/15/2015,9.3,9.3,9.3,9.3,200
XPH,1/16/2015,10.2,10.2,10.2,10.2,60240
XPH,1/19/2015,11.2,11.2,11.2,11.2,27262
XPH,1/20/2015,12.3,12.3,12.3,12.3,52910
XPH,1/21/2015,13.5,13.5,13.5,13.5,231929
XPH,1/22/2015,14.8,14.8,14.8,14.8,86145
XPH,1/23/2015,16.2,16.2,15.1,16.2,99264
XPH,1/26/2015,17.8,17.8,15,15.8,425776
XPH,1/27/2015,15.3,15.3,14.3,14.4,179920
XPH,1/28/2015,14.4,15.8,13.2,15.2,183361
XPH,1/29/2015,15.8,16.7,15.2,15.5,91387
XPH,1/30/2015,15.5,16.2,15,15.5,92153
XPH,2/2/2015,14.5,14.9,14,14.2,55173
XPH,2/3/2015,13.7,14,12.8,13.2,76700
XPH,2/4/2015,12.5,12.5,11.9,12.1,117200
XPH,2/5/2015,12.9,13.3,12,12.8,23800
XPH,2/6/2015,12.7,13.3,12.5,12.7,24500
XPH,2/9/2015,13.1,13.2,12.7,12.9,17300
XPH,2/10/2015,12.7,12.7,12,12.3,20700
XPH,2/11/2015,12,12.7,12,12.4,9222
XPH,2/12/2015,12.8,12.8,12.4,12.8,14700
XPH,2/13/2015,12.8,13,12.6,12.8,33720
XPH,2/24/2015,13,14,13,13.8,31530
XPH,2/25/2015,15,15.1,14.6,15,135639
XPH,2/26/2015,15.2,15.5,14.5,14.9,67788
XPH,2/27/2015,14.8,15,14.7,14.8,36902
XPH,3/2/2015,15,15.1,14.7,14.8,39058
XPH,3/3/2015,14.7,14.8,14.5,14.7,45900
XPH,3/4/2015,14.7,16.1,14.7,15.8,232864
XPH,3/5/2015,16.1,17.3,16,17.2,262061
XPH,3/6/2015,17.3,18.9,16.9,18.6,242540
XPH,3/9/2015,19.2,20.4,19.2,20.4,49206
XPH,3/10/2015,22.3,22.3,20.5,21,164517
XPH,3/11/2015,21,24.4,20.1,23,346651
XPH,3/12/2015,20.1,20.1,20.1,20.1,16805
XPH,3/13/2015,18.1,20,18.1,18.1,627583
XPH,3/16/2015,17.5,18.6,17.1,18.1,53287
