,index,Ticker,Date,Open,High,Low,Close,Volume
0,2803,DAE,02/01/2021,11.23186,11.23186,11.23186,11.23186,100
1,2804,DAE,02/02/2021,10.54279,10.54279,10.54279,10.54279,100
2,2805,DAE,02/03/2021,11.16295,11.16295,11.02514,11.16295,7800
3,2806,DAE,02/04/2021,11.30076,11.30076,11.16295,11.16295,200
4,2807,DAE,02/05/2021,11.02514,11.30076,11.02514,11.16295,6400
5,2808,DAE,02/08/2021,11.16295,11.16295,11.09404,11.09404,2300
6,2809,DAE,02/09/2021,11.16295,11.30076,11.16295,11.30076,2000
7,2810,DAE,02/17/2021,11.6453,12.05874,11.36967,11.98984,19600
8,2811,DAE,02/18/2021,11.98984,13.16126,11.71421,13.02344,52000
9,2812,DAE,02/19/2021,12.40328,13.02344,12.40328,12.74781,28300
10,2813,DAE,02/22/2021,12.74781,13.29907,12.74781,12.74781,13900
11,2814,DAE,02/23/2021,13.02344,13.09235,12.74781,12.74781,11100
12,2815,DAE,02/24/2021,13.09235,13.91923,13.09235,13.64361,31200
13,2816,DAE,02/25/2021,13.64361,13.71251,13.09235,13.09235,8200
14,2817,DAE,02/26/2021,13.09235,14.40158,13.09235,13.64361,11400
15,2818,DAE,03/01/2021,14.40158,14.40158,13.29907,13.64361,30500
16,2819,DAE,03/02/2021,13.64361,13.64361,13.29907,13.36798,20100
17,2820,DAE,03/03/2021,13.36797,14.48197,13.36797,14.48197,300
18,2821,DAE,03/04/2021,13.36797,13.66504,13.36797,13.5165,2000
19,2822,DAE,03/05/2021,14.11063,14.11063,12.99664,13.36797,8600
20,2823,DAE,03/08/2021,13.36797,13.66504,12.55104,12.55104,900
21,2824,DAE,03/09/2021,12.47677,13.21944,12.47677,13.21944,3900
22,2825,DAE,03/10/2021,12.99664,12.99664,12.55104,12.92237,2800
23,2826,DAE,03/11/2021,12.8481,12.8481,12.8481,12.8481,2200
24,2827,DAE,03/12/2021,12.92237,12.92237,12.92237,12.92237,1000
25,2828,DAE,03/15/2021,12.8481,12.8481,12.77384,12.77384,200
26,2829,DAE,03/16/2021,12.69957,12.77384,12.62531,12.77384,2000
27,2830,DAE,03/17/2021,13.2937,13.2937,12.69957,12.69957,1300
