,index,Ticker,Date,Open,High,Low,Close,Volume
0,2037,DC2,02/02/2021,8.452763,8.452763,8.452763,8.452763,100
1,2038,DC2,02/03/2021,8.452763,9.06751,8.452763,9.06751,7500
2,2039,DC2,02/04/2021,8.452763,8.913823,8.452763,8.83698,3800
3,2040,DC2,02/05/2021,8.375919,8.83698,8.375919,8.83698,700
4,2041,DC2,02/08/2021,8.83698,8.990666,8.14539,8.760137,11200
5,2042,DC2,02/09/2021,9.06751,9.06751,8.299076,8.299076,24300
6,2043,DC2,02/17/2021,8.375919,8.452763,8.299076,8.452763,8100
7,2044,DC2,02/18/2021,8.760137,9.298039,8.760137,9.298039,22100
8,2045,DC2,02/19/2021,9.298039,9.912786,8.990666,9.298039,2100
9,2046,DC2,02/22/2021,9.374883,9.451726,8.913823,9.374883,17700
10,2047,DC2,02/23/2021,9.298039,9.374883,9.06751,9.06751,6500
11,2048,DC2,02/24/2021,9.06751,9.682256,9.06751,9.605412,34700
12,2049,DC2,02/25/2021,9.682256,9.912786,9.605412,9.912786,17700
13,2050,DC2,02/26/2021,9.759099,9.759099,9.221196,9.759099,19900
14,2051,DC2,03/01/2021,9.374883,9.682256,9.374883,9.682256,200
15,2052,DC2,03/02/2021,9.835942,9.835942,9.451726,9.682256,5000
16,2053,DC2,03/03/2021,9.682256,9.759099,9.605412,9.759099,103800
17,2054,DC2,03/04/2021,9.835942,10.37385,9.605412,10.06647,98900
18,2055,DC2,03/05/2021,10.06647,10.68122,10.06647,10.45069,22000
19,2056,DC2,03/08/2021,10.45069,10.52753,10.297,10.52753,13800
20,2057,DC2,03/09/2021,10.52753,10.52753,9.989629,10.52753,34500
21,2058,DC2,03/10/2021,10.45069,10.45069,10.06647,10.06647,16100
22,2059,DC2,03/11/2021,10.14332,10.14332,9.835942,9.912786,15500
23,2060,DC2,03/12/2021,10.06647,10.06647,10.06647,10.06647,200
24,2061,DC2,03/15/2021,9.912786,9.989629,9.835942,9.912786,12200
25,2062,DC2,03/16/2021,9.912786,10.14332,9.912786,10.14332,8700
26,2063,DC2,03/17/2021,10.22016,10.22016,10.14332,10.14332,400
27,2064,DC2,03/18/2021,10.22016,10.297,9.912786,9.912786,4100
28,2065,DC2,03/19/2021,9.605412,10.14332,9.605412,9.912786,7200
29,2066,DC2,03/22/2021,9.912786,10.75806,9.605412,10.37385,48400
30,2067,DC2,03/23/2021,10.52753,11.37281,10.52753,11.37281,208000
31,2068,DC2,03/24/2021,12.44862,12.44862,12.37177,12.44862,79600
32,2069,DC2,03/25/2021,13.44758,13.67811,12.52546,13.67811,54300
33,2070,DC2,03/26/2021,14.60023,14.9076,12.37177,12.90967,89500
34,2071,DC2,03/29/2021,13.06336,13.21705,12.21808,12.67914,62000
35,2072,DC2,03/30/2021,12.6023,12.75599,12.21808,12.44862,35300
36,2073,DC2,03/31/2021,12.52546,12.67914,12.44862,12.67914,21200
37,2074,DC2,04/01/2021,12.67914,12.75599,12.29493,12.52546,18000
38,2075,DC2,04/02/2021,12.67914,12.67914,12.44862,12.44862,62900
39,2076,DC2,04/05/2021,12.44862,12.52546,12.21808,12.21808,42300
40,2077,DC2,04/06/2021,12.52546,12.52546,11.44965,12.29493,12800
41,2078,DC2,04/07/2021,12.21808,12.75599,12.21808,12.6023,30800
42,2079,DC2,04/08/2021,12.6023,12.6023,12.29493,12.6023,17200
43,2080,DC2,04/09/2021,12.52546,12.67914,12.44862,12.67914,10800
44,2081,DC2,04/12/2021,12.6023,12.67914,12.44862,12.67914,26400
45,2082,DC2,04/13/2021,12.52546,12.52546,12.0644,12.29493,25700
46,2083,DC2,04/14/2021,12.29493,12.29493,12.21808,12.21808,14500
47,2084,DC2,04/15/2021,12.14124,12.29493,11.98755,12.29493,15800
48,2085,DC2,04/16/2021,12.14124,12.21808,12.0644,12.21808,22300
49,2086,DC2,04/19/2021,12.14124,12.21808,12.14124,12.14124,22200
50,2087,DC2,04/20/2021,12.29493,12.67914,12.14124,12.67914,13800
51,2088,DC2,04/22/2021,12.67914,12.67914,12.21808,12.21808,14400
52,2089,DC2,04/23/2021,12.21808,12.75599,12.21808,12.44862,36600
53,2090,DC2,04/26/2021,12.44862,13.67811,12.37177,13.52442,73500
54,2091,DC2,04/27/2021,13.52442,13.52442,12.29493,12.67914,18800
55,2092,DC2,04/28/2021,12.67914,12.67914,12.37177,12.67914,9800
56,2093,DC2,04/29/2021,12.67914,12.67914,12.29493,12.37177,23900
57,2094,DC2,05/04/2021,12.14124,12.21808,11.91071,12.14124,19300
58,2095,DC2,05/05/2021,12.14124,12.21808,12.0644,12.0644,12700
59,2096,DC2,05/06/2021,12.0644,12.44862,11.98755,12.21808,11500
60,2097,DC2,05/07/2021,12.14124,12.21808,11.91071,12.21808,11200
61,2098,DC2,05/10/2021,12.21808,12.21808,11.91071,12.14124,14500
62,2099,DC2,05/11/2021,11.91071,12.21808,11.83387,12.21808,12800
63,2100,DC2,05/12/2021,12.21808,12.21808,11.98755,12.14124,2600
64,2101,DC2,05/13/2021,12.14124,12.14124,11.83387,11.83387,16700
65,2102,DC2,05/14/2021,11.83387,11.91071,11.68018,11.83387,6200
66,2103,DC2,05/17/2021,11.83387,11.83387,11.60334,11.60334,500
67,2104,DC2,05/18/2021,11.68018,12.14124,11.68018,12.14124,1800
68,2105,DC2,05/19/2021,12.14124,12.14124,11.68018,11.68018,1600
69,2106,DC2,05/20/2021,11.75702,11.83387,10.60438,11.60334,12600
70,2107,DC2,05/21/2021,11.14228,11.83387,11.14228,11.14228,12000
71,2108,DC2,05/24/2021,11.29597,11.29597,11.21912,11.21912,1200
72,2109,DC2,05/25/2021,11.14228,11.21912,10.83491,11.14228,12100
73,2110,DC2,05/26/2021,11.06544,11.68018,10.60438,10.75806,18700
74,2111,DC2,05/27/2021,10.75806,10.75806,10.75806,10.75806,300
75,2112,DC2,05/28/2021,11.06544,11.37281,11.06544,11.37281,4900
76,2113,DC2,05/31/2021,10.83491,11.21912,10.297,10.75806,11800
77,2114,DC2,06/01/2021,10.75806,11.52649,10.45069,11.52649,21200
78,2115,DC2,06/02/2021,11.68018,11.91071,11.52649,11.52649,12500
79,2116,DC2,06/03/2021,10.91175,11.52649,10.75806,11.44965,8300
80,2117,DC2,06/04/2021,11.14228,11.37281,10.91175,10.98859,8000
81,2118,DC2,06/07/2021,11.37281,11.44965,10.91175,10.98859,17900
82,2119,DC2,06/08/2021,11.37281,11.37281,10.98859,11.29597,6500
83,2120,DC2,06/09/2021,11.44965,11.44965,11.06544,11.37281,7300
84,2121,DC2,06/10/2021,11.37281,11.37281,11.37281,11.37281,1100
85,2122,DC2,06/11/2021,11.37281,11.52649,10.98859,10.98859,13300
86,2123,DC2,06/14/2021,10.98859,11.37281,10.98859,11.37281,400
87,2124,DC2,06/15/2021,11.37281,11.37281,11.29597,11.37281,28400
88,2125,DC2,06/16/2021,11.14228,11.44965,11.14228,11.44965,3200
89,2126,DC2,06/17/2021,11.44965,11.52649,11.29597,11.52649,13400
90,2127,DC2,06/18/2021,11.52649,11.52649,10.37385,11.44965,13700
91,2128,DC2,06/21/2021,11.44965,11.44965,11.14228,11.37281,3000
92,2129,DC2,06/22/2021,11.21912,11.21912,11.06544,11.06544,6900
93,2130,DC2,06/23/2021,11.06544,11.37281,11.06544,11.21912,6600
94,2131,DC2,06/24/2021,11.06544,11.37281,11.06544,11.21912,1200
95,2132,DC2,06/25/2021,11.29597,11.29597,11.21912,11.29597,8100
