,index,Ticker,Date,Open,High,Low,Close,Volume
0,2475,DL1,02/02/2021,23.86362,23.86362,23.86362,23.86362,0.0
1,2476,DL1,02/03/2021,23.86362,23.86362,23.86362,23.86362,0.0
2,2477,DL1,02/04/2021,23.86362,23.86362,23.86362,23.86362,0.0
3,2478,DL1,02/05/2021,23.86362,23.86362,23.86362,23.86362,0.0
4,2479,DL1,02/08/2021,21.47726,21.47726,21.47726,21.47726,200.0
5,2480,DL1,02/09/2021,21.47726,21.47726,21.47726,21.47726,0.0
6,2481,DL1,02/17/2021,21.47726,21.47726,21.47726,21.47726,0.0
7,2482,DL1,02/18/2021,19.37726,19.37726,19.37726,19.37726,400.0
8,2483,DL1,02/19/2021,17.46817,17.46817,17.46817,17.46817,100.0
9,2484,DL1,02/22/2021,17.46817,17.46817,16.22726,16.22726,300.0
10,2485,DL1,02/23/2021,17.18181,17.18181,17.18181,17.18181,500.0
11,2486,DL1,02/24/2021,17.18181,17.18181,17.18181,17.18181,0.0
12,2487,DL1,02/25/2021,17.18181,17.18181,17.18181,17.18181,0.0
13,2488,DL1,02/26/2021,17.18181,17.18181,17.18181,17.18181,0.0
14,2489,DL1,03/01/2021,17.18181,17.18181,17.18181,17.18181,0.0
15,2490,DL1,03/02/2021,17.18181,17.18181,17.18181,17.18181,0.0
16,2491,DL1,03/03/2021,17.18181,17.18181,17.18181,17.18181,0.0
17,2492,DL1,03/04/2021,17.18181,17.18181,17.18181,17.18181,0.0
18,2493,DL1,03/05/2021,17.18181,17.18181,17.18181,17.18181,0.0
19,2494,DL1,03/08/2021,15.74999,15.74999,15.55908,15.65454,1200.0
20,2495,DL1,03/09/2021,14.31818,14.31818,14.12727,14.12727,2200.0
21,2496,DL1,03/10/2021,12.7909,13.36363,12.7909,13.36363,6700.0
22,2497,DL1,03/11/2021,13.17272,13.17272,12.02727,13.07727,2900.0
23,2498,DL1,03/12/2021,11.93181,12.98181,11.83636,12.7909,7700.0
24,2499,DL1,03/15/2021,12.69545,12.69545,11.7409,11.7409,3100.0
25,2500,DL1,03/16/2021,12.21818,12.88636,12.21818,12.40909,32300.0
26,2501,DL1,03/17/2021,12.40909,12.7909,12.40909,12.50454,15400.0
27,2502,DL1,03/18/2021,12.69545,12.69545,12.50454,12.50454,10400.0
28,2503,DL1,03/19/2021,12.50454,12.50454,12.40909,12.40909,1200.0
29,2504,DL1,03/22/2021,12.40909,12.69545,11.83636,12.69545,22000.0
30,2505,DL1,03/23/2021,12.69545,13.93636,12.69545,13.93636,7400.0
31,2506,DL1,03/24/2021,15.27272,15.27272,15.27272,15.27272,4800.0
32,2507,DL1,03/25/2021,16.79999,16.79999,16.79999,16.79999,10500.0
33,2508,DL1,03/26/2021,18.42272,18.42272,15.17727,15.17727,12500.0
34,2509,DL1,03/29/2021,13.8409,14.69999,13.74545,14.31818,13200.0
35,2510,DL1,03/30/2021,13.8409,15.08181,12.98181,14.79545,10500.0
36,2511,DL1,03/31/2021,14.79545,15.36817,14.79545,15.36817,9400.0
37,2512,DL1,04/01/2021,15.36817,15.36817,13.93636,15.36817,5000.0
38,2513,DL1,04/02/2021,15.08181,15.08181,14.79545,14.79545,2200.0
39,2514,DL1,04/05/2021,14.31818,14.79545,14.31818,14.79545,3500.0
40,2515,DL1,04/06/2021,14.31818,14.31818,13.36363,13.64999,3700.0
41,2516,DL1,04/07/2021,13.64999,14.22272,13.45908,14.22272,5600.0
42,2517,DL1,04/08/2021,14.22272,14.22272,14.12727,14.12727,2600.0
43,2518,DL1,04/09/2021,13.36363,14.22272,13.36363,13.55454,4100.0
44,2519,DL1,04/12/2021,13.45908,13.45908,13.45908,13.45908,2100.0
45,2520,DL1,04/13/2021,13.55454,14.12727,13.45908,13.45908,17800.0
46,2521,DL1,04/14/2021,13.17272,13.36363,13.07727,13.36363,11200.0
47,2522,DL1,04/15/2021,13.36363,13.36363,12.69545,13.17272,3900.0
48,2523,DL1,04/16/2021,12.88636,12.88636,12.50454,12.59999,6000.0
49,2524,DL1,04/19/2021,12.40909,13.17272,12.40909,12.59999,11300.0
50,2525,DL1,04/20/2021,12.59999,12.59999,12.40909,12.40909,9700.0
51,2526,DL1,04/22/2021,12.40909,12.40909,12.40909,12.40909,1100.0
52,2527,DL1,04/23/2021,12.40909,12.40909,12.40909,12.40909,200.0
53,2528,DL1,04/26/2021,12.40909,12.40909,12.12272,12.40909,400.0
54,2529,DL1,04/27/2021,12.31363,12.31363,12.31363,12.31363,500.0
55,2530,DL1,04/28/2021,12.31363,12.31363,11.45454,11.45454,19700.0
56,2531,DL1,04/29/2021,11.26363,12.02727,11.26363,12.02727,2400.0
57,2532,DL1,05/04/2021,12.02727,12.02727,12.02727,12.02727,2300.0
58,2533,DL1,05/05/2021,10.97727,11.45454,10.97727,11.45454,2100.0
59,2534,DL1,05/06/2021,11.45454,12.12272,11.45454,12.12272,600.0
60,2535,DL1,05/07/2021,11.54999,11.64545,11.45454,11.45454,10600.0
61,2536,DL1,05/10/2021,11.45454,11.45454,10.5,10.5,6700.0
62,2537,DL1,05/11/2021,10.88181,11.26363,10.88181,11.26363,4600.0
63,2538,DL1,05/12/2021,10.5,10.5,10.5,10.5,100.0
64,2539,DL1,05/13/2021,11.45454,11.45454,11.45454,11.45454,100.0
65,2540,DL1,05/14/2021,11.45454,11.45454,11.45454,11.45454,0.0
66,2541,DL1,05/17/2021,11.35909,11.45454,11.35909,11.45454,1500.0
67,2542,DL1,05/18/2021,11.45454,11.45454,11.45454,11.45454,0.0
68,2543,DL1,05/19/2021,11.07272,11.07272,11.07272,11.07272,300.0
69,2544,DL1,05/20/2021,11.07272,11.07272,11.07272,11.07272,0.0
70,2545,DL1,05/21/2021,10.5,10.5,10.11818,10.21363,2900.0
71,2546,DL1,05/24/2021,10.21363,10.21363,10.21363,10.21363,100.0
72,2547,DL1,05/25/2021,10.21363,10.21363,10.21363,10.21363,2900.0
73,2548,DL1,05/26/2021,10.21363,10.21363,10.02272,10.21363,1800.0
74,2549,DL1,05/27/2021,10.21363,10.21363,9.259087,10.21363,8200.0
75,2550,DL1,05/28/2021,9.259087,9.54545,9.259087,9.54545,1000.0
76,2551,DL1,05/31/2021,9.449995,9.449995,8.781814,8.972723,6900.0
77,2552,DL1,06/01/2021,9.831814,9.831814,9.831814,9.831814,300.0
78,2553,DL1,06/02/2021,9.831814,9.831814,9.640904,9.736359,1300.0
79,2554,DL1,06/03/2021,9.640904,9.736359,9.354541,9.736359,4200.0
80,2555,DL1,06/04/2021,10.11818,10.11818,8.972723,8.972723,8400.0
81,2556,DL1,06/07/2021,9.831814,9.831814,9.640904,9.640904,5600.0
82,2557,DL1,06/08/2021,10.5,10.59545,10.40454,10.40454,8300.0
83,2558,DL1,06/09/2021,10.21363,10.21363,10.21363,10.21363,200.0
84,2559,DL1,06/10/2021,9.449995,9.449995,9.449995,9.449995,700.0
85,2560,DL1,06/11/2021,9.449995,9.54545,9.449995,9.54545,2200.0
86,2561,DL1,06/14/2021,9.736359,9.831814,9.736359,9.736359,6400.0
87,2562,DL1,06/15/2021,9.927268,9.927268,9.927268,9.927268,100.0
88,2563,DL1,06/16/2021,9.927268,9.927268,9.831814,9.831814,8700.0
89,2564,DL1,06/17/2021,9.831814,10.78636,9.736359,10.21363,79900.0
90,2565,DL1,06/18/2021,10.21363,10.59545,9.736359,9.736359,75100.0
91,2566,DL1,06/21/2021,9.736359,9.736359,8.877269,9.54545,8000.0
92,2567,DL1,06/22/2021,9.354541,9.736359,9.354541,9.736359,16200.0
93,2568,DL1,06/23/2021,9.640904,9.736359,9.449995,9.736359,10400.0
94,2569,DL1,06/24/2021,9.259087,9.736359,9.068177,9.736359,2500.0
95,2570,DL1,06/25/2021,9.736359,9.736359,8.781814,9.640904,77300.0
96,2571,DL1,06/28/2021,9.54545,9.54545,8.686359,8.686359,75100.0
97,2572,DL1,06/29/2021,8.686359,9.068177,7.827269,8.877269,291100.0
98,2573,DL1,06/30/2021,8.781814,9.068177,8.018178,8.018178,253800.0
99,2574,DL1,07/01/2021,8.018178,8.781814,7.731814,8.781814,54200.0
100,2575,DL1,07/02/2021,8.209087,8.686359,8.209087,8.590905,51300.0
101,2576,DL1,07/05/2021,8.495451,8.495451,7.731814,8.018178,319500.0
102,2577,DL1,07/06/2021,8.018178,8.113632,7.254542,7.922723,187500.0
103,2578,DL1,07/07/2021,7.922723,7.922723,7.159088,7.731814,86800.0
104,2579,DL1,07/08/2021,7.63636,7.731814,6.968178,7.63636,135800.0
105,2580,DL1,07/09/2021,6.968178,7.445451,6.872724,7.349997,155000.0
106,2581,DL1,07/12/2021,6.681815,7.159088,6.681815,6.681815,37800.0
107,2582,DL1,07/13/2021,6.681815,6.681815,6.013634,6.681815,164600.0
108,2583,DL1,07/14/2021,6.681815,6.681815,6.013634,6.013634,118700.0
109,2584,DL1,07/15/2021,6.204543,6.299997,5.440907,6.204543,404800.0
110,2585,DL1,07/16/2021,5.918179,6.681815,5.631815,6.299997,1106100.0
111,2586,DL1,07/19/2021,6.299997,6.299997,5.72727,5.822724,208300.0
112,2587,DL1,07/20/2021,5.631815,5.631815,5.249998,5.631815,403100.0
113,2588,DL1,07/21/2021,5.249998,5.918179,5.154543,5.918179,1362400.0
114,2589,DL1,07/22/2021,5.918179,6.490906,5.918179,6.490906,270300.0
115,2590,DL1,07/23/2021,7.063633,7.063633,6.681815,7.063633,746200.0
116,2591,DL1,07/26/2021,7.063633,7.063633,6.395452,6.395452,500700.0
117,2592,DL1,07/27/2021,6.299997,6.681815,5.822724,6.490906,939900.0
118,2593,DL1,07/28/2021,6.490906,6.490906,5.918179,6.013634,482600.0
119,2594,DL1,07/29/2021,5.918179,6.204543,5.440907,6.204543,1126300.0
120,2595,DL1,07/30/2021,6.109088,6.395452,5.72727,6.395452,470200.0
121,2596,DL1,08/02/2021,6.299997,6.299997,6.013634,6.299997,290700.0
122,2597,DL1,08/03/2021,6.204543,6.204543,5.72727,5.918179,1176900.0
123,2598,DL1,08/04/2021,5.72727,5.918179,5.631815,5.918179,670700.0
124,2599,DL1,08/05/2021,5.918179,6.204543,5.536361,6.109088,801400.0
125,2600,DL1,08/06/2021,6.013634,6.109088,5.918179,6.109088,737000.0
126,2601,DL1,08/09/2021,6.109088,6.109088,5.822724,6.013634,1057100.0
127,2602,DL1,08/10/2021,6.013634,6.58636,6.013634,6.58636,3957000.0
128,2603,DL1,08/11/2021,7.063633,7.159088,6.968178,7.159088,5507300.0
129,2604,DL1,08/12/2021,7.349997,7.731814,7.159088,7.159088,3170600.0
130,2605,DL1,08/13/2021,7.159088,7.159088,6.58636,6.777269,3075400.0
131,2606,DL1,08/16/2021,6.204543,7.445451,6.204543,6.968178,2646400.0
132,2607,DL1,08/17/2021,6.968178,7.254542,6.777269,6.777269,1976600.0
133,2608,DL1,08/18/2021,6.872724,6.968178,6.490906,6.681815,2101700.0
134,2609,DL1,08/19/2021,6.681815,7.349997,6.490906,7.349997,7347500.0
135,2610,DL1,08/20/2021,7.827269,8.018178,7.349997,7.63636,7277400.0
136,2611,DL1,08/23/2021,7.63636,8.399996,7.254542,7.731814,3461500.0
137,2612,DL1,08/24/2021,7.731814,8.209087,7.540905,7.540905,4189000.0
138,2613,DL1,08/25/2021,7.540905,7.731814,6.872724,7.254542,3452900.0
139,2614,DL1,08/26/2021,7.349997,7.827269,7.159088,7.540905,2394500.0
140,2615,DL1,08/27/2021,7.540905,7.827269,7.254542,7.827269,2769100.0
