,index,Ticker,Date,Open,High,Low,Close,Volume
0,1315,DP3,02/02/2021,33.0552,33.0552,32.72465,32.72465,1100
1,1316,DP3,02/03/2021,32.62548,32.7577,32.62548,32.7577,600
2,1317,DP3,02/04/2021,31.20411,31.20411,31.20411,31.20411,100
3,1318,DP3,02/05/2021,31.23716,32.72465,31.23716,32.72465,400
4,1319,DP3,02/08/2021,32.69159,33.0552,32.69159,33.0552,2100
5,1320,DP3,02/09/2021,32.7577,33.0552,32.7577,32.92298,300
6,1321,DP3,02/17/2021,31.7991,32.92298,31.7991,32.92298,1300
7,1322,DP3,02/18/2021,32.88992,33.38575,32.88992,33.3527,4000
8,1323,DP3,02/19/2021,33.68325,34.37741,33.68325,34.37741,1500
9,1324,DP3,02/22/2021,34.70796,35.69962,34.70796,34.70796,1200
10,1325,DP3,02/23/2021,35.03851,36.26155,35.03851,36.26155,2700
11,1326,DP3,02/24/2021,35.69962,35.86489,35.69962,35.86489,1600
12,1327,DP3,02/25/2021,35.83184,36.65822,35.83184,36.36072,2600
13,1328,DP3,02/26/2021,37.35238,37.35238,37.02182,37.02182,1700
14,1329,DP3,03/01/2021,37.02182,38.01348,37.02182,37.08793,600
15,1330,DP3,03/02/2021,37.08793,38.01348,37.02182,38.01348,1700
16,1331,DP3,03/03/2021,37.68293,37.68293,37.68293,37.68293,1000
17,1332,DP3,03/04/2021,37.78209,38.01348,37.74904,38.01348,1200
18,1333,DP3,03/05/2021,37.68293,37.74904,37.68293,37.74904,400
19,1334,DP3,03/08/2021,38.64153,40.82317,38.64153,39.66624,1000
20,1335,DP3,03/09/2021,40.92234,43.63287,40.92234,43.63287,28000
21,1336,DP3,03/10/2021,45.61618,47.99615,45.61618,47.99615,35300
22,1337,DP3,03/11/2021,48.9217,52.78915,48.9217,48.9217,24900
23,1338,DP3,03/12/2021,48.9217,48.9217,45.28563,46.24422,17500
24,1339,DP3,03/15/2021,46.93839,47.56643,45.4509,46.24422,15500
25,1340,DP3,03/16/2021,46.27728,46.60783,45.61618,46.27728,6800
26,1341,DP3,03/17/2021,46.60783,46.60783,46.21117,46.44255,8500
27,1342,DP3,03/18/2021,45.81451,46.27728,45.71534,46.07895,10600
28,1343,DP3,03/19/2021,46.27728,46.27728,45.68229,45.68229,6000
29,1344,DP3,03/22/2021,45.71534,47.59949,45.71534,47.13671,10100
30,1345,DP3,03/23/2021,47.13671,47.46727,46.93839,47.26894,12200
31,1346,DP3,03/24/2021,47.73171,47.73171,47.00449,47.26894,18900
32,1347,DP3,03/25/2021,47.26894,47.43421,46.93839,47.43421,14900
33,1348,DP3,03/26/2021,49.70966,49.70966,47.22417,48.09934,6800
34,1349,DP3,03/29/2021,46.94412,47.43422,46.59405,46.90911,6300
35,1350,DP3,03/30/2021,45.64887,46.314,45.15877,45.19378,8500
36,1351,DP3,03/31/2021,45.19378,45.19378,41.65809,45.15877,7200
37,1352,DP3,04/01/2021,42.7083,44.8087,42.7083,44.63367,3600
38,1353,DP3,04/02/2021,44.2836,45.50884,43.40843,44.66868,3500
39,1354,DP3,04/05/2021,44.10857,44.63367,43.93353,44.10857,3500
40,1355,DP3,04/06/2021,44.10857,44.10857,43.89853,43.89853,1900
41,1356,DP3,04/07/2021,43.89853,44.10857,43.05836,43.54846,1600
42,1357,DP3,04/08/2021,43.58347,43.58347,43.58347,43.58347,1700
43,1358,DP3,04/09/2021,43.61847,44.8087,43.58347,43.58347,12700
44,1359,DP3,04/12/2021,43.58347,43.7585,43.51345,43.54846,6400
45,1360,DP3,04/13/2021,43.54846,43.54846,42.35823,42.35823,2000
46,1361,DP3,04/14/2021,42.35823,43.7585,41.93814,41.97315,5000
47,1362,DP3,04/15/2021,42.00816,42.07817,42.00816,42.07817,1100
48,1363,DP3,04/16/2021,42.00816,42.00816,41.34303,42.00816,1900
49,1364,DP3,04/19/2021,42.00816,42.00816,40.95795,41.30803,4900
50,1365,DP3,04/20/2021,42.00816,42.00816,41.37804,41.37804,1600
51,1366,DP3,04/22/2021,41.37804,41.37804,40.95795,40.95795,4400
52,1367,DP3,04/23/2021,41.13299,41.13299,39.38265,39.55769,2000
53,1368,DP3,04/26/2021,39.55769,40.92295,39.55769,39.90775,3200
54,1369,DP3,04/27/2021,39.90775,39.90775,39.55769,39.90775,2300
55,1370,DP3,04/28/2021,39.90775,40.95795,39.55769,40.95795,1300
56,1371,DP3,04/29/2021,40.25782,40.25782,40.25782,40.25782,1000
57,1372,DP3,05/04/2021,40.29283,40.29283,39.90775,39.90775,3800
58,1373,DP3,05/05/2021,35.91698,40.95795,35.91698,40.92295,2600
59,1374,DP3,05/06/2021,40.25782,40.60789,40.25782,40.60789,3100
60,1375,DP3,05/07/2021,40.25782,40.43285,40.25782,40.25782,2200
61,1376,DP3,05/10/2021,36.23204,41.30803,36.23204,38.68251,5600
62,1377,DP3,05/11/2021,38.85755,38.85755,38.85755,38.85755,200
63,1378,DP3,05/12/2021,39.20761,39.34764,39.20761,39.34764,500
64,1379,DP3,05/13/2021,39.55769,40.25782,39.55769,40.25782,1100
