,index,Ticker,Date,Open,High,Low,Close,Volume
0,2060,L62,02/01/2021,9.585714,9.585714,9.585714,9.585714,0
1,2061,L62,02/02/2021,9.585714,9.585714,9.585714,9.585714,0
2,2062,L62,02/03/2021,9.585714,9.585714,9.585714,9.585714,0
3,2063,L62,02/04/2021,9.585714,9.585714,9.585714,9.585714,0
4,2064,L62,02/05/2021,9.585714,9.585714,9.585714,9.585714,0
5,2065,L62,02/08/2021,9.585714,9.585714,9.585714,9.585714,0
6,2066,L62,02/09/2021,9.585714,9.585714,9.585714,9.585714,0
7,2067,L62,02/17/2021,9.585714,9.585714,9.585714,9.585714,0
8,2068,L62,02/18/2021,9.585714,9.585714,9.585714,9.585714,0
9,2069,L62,02/19/2021,9.585714,9.585714,9.585714,9.585714,0
10,2070,L62,02/22/2021,9.585714,9.585714,9.585714,9.585714,0
11,2071,L62,02/23/2021,9.585714,9.585714,9.585714,9.585714,0
12,2072,L62,02/24/2021,9.585714,9.585714,9.585714,9.585714,0
13,2073,L62,02/25/2021,9.585714,9.585714,9.585714,9.585714,0
14,2074,L62,02/26/2021,9.585714,9.585714,9.585714,9.585714,0
15,2075,L62,03/01/2021,9.585714,9.585714,9.585714,9.585714,0
16,2076,L62,03/02/2021,9.585714,9.585714,9.585714,9.585714,0
17,2077,L62,03/03/2021,9.585714,9.585714,9.585714,9.585714,0
18,2078,L62,03/04/2021,9.585714,9.585714,9.585714,9.585714,0
19,2079,L62,03/05/2021,9.585714,9.585714,9.585714,9.585714,0
20,2080,L62,03/08/2021,9.585714,9.585714,9.585714,9.585714,0
21,2081,L62,03/09/2021,9.585714,9.585714,9.585714,9.585714,0
22,2082,L62,03/10/2021,9.585714,9.585714,9.585714,9.585714,0
23,2083,L62,03/11/2021,9.585714,9.585714,9.585714,9.585714,0
24,2084,L62,03/12/2021,9.585714,9.585714,9.585714,9.585714,0
25,2085,L62,03/15/2021,9.585714,9.585714,9.585714,9.585714,0
26,2086,L62,03/16/2021,9.585714,9.585714,9.585714,9.585714,0
27,2087,L62,03/17/2021,9.585714,9.585714,9.585714,9.585714,0
28,2088,L62,03/18/2021,8.714286,8.714286,8.714286,8.714286,100
29,2089,L62,03/19/2021,8.714286,8.714286,8.714286,8.714286,0
30,2090,L62,03/22/2021,8.714286,8.714286,8.714286,8.714286,0
31,2091,L62,03/23/2021,8.714286,8.714286,8.714286,8.714286,0
32,2092,L62,03/24/2021,8.714286,8.714286,8.714286,8.714286,0
33,2093,L62,03/25/2021,8.714286,8.714286,8.714286,8.714286,0
34,2094,L62,03/26/2021,8.714286,8.714286,8.714286,8.714286,0
35,2095,L62,03/29/2021,8.714286,8.714286,8.714286,8.714286,0
36,2096,L62,03/30/2021,8.714286,8.714286,8.714286,8.714286,0
37,2097,L62,03/31/2021,8.714286,8.714286,8.714286,8.714286,0
38,2098,L62,04/01/2021,7.842857,7.842857,7.842857,7.842857,500
39,2099,L62,04/02/2021,7.842857,7.842857,7.842857,7.842857,0
40,2100,L62,04/05/2021,7.842857,7.842857,7.842857,7.842857,0
41,2101,L62,04/06/2021,7.842857,7.842857,7.842857,7.842857,0
42,2102,L62,04/07/2021,7.842857,7.842857,7.842857,7.842857,0
43,2103,L62,04/08/2021,7.842857,7.842857,7.842857,7.842857,0
44,2104,L62,04/09/2021,7.068254,7.261905,7.068254,7.261905,4500
45,2105,L62,04/12/2021,7.261905,7.261905,7.261905,7.261905,0
46,2106,L62,04/13/2021,7.261905,7.261905,7.261905,7.261905,0
47,2107,L62,04/14/2021,7.261905,7.261905,7.261905,7.261905,0
48,2108,L62,04/15/2021,7.261905,7.261905,7.261905,7.261905,0
49,2109,L62,04/16/2021,6.584127,6.777778,6.584127,6.777778,1900
50,2110,L62,04/19/2021,6.196826,6.584127,6.1,6.584127,3500
51,2111,L62,04/20/2021,6.196826,7.16508,6.196826,7.16508,3800
52,2112,L62,04/22/2021,6.487302,6.487302,6.487302,6.487302,3600
53,2113,L62,04/23/2021,6.487302,6.487302,6.487302,6.487302,0
54,2114,L62,04/26/2021,6.680953,6.680953,6.680953,6.680953,100
55,2115,L62,04/27/2021,6.196826,6.487302,6.196826,6.487302,6400
56,2116,L62,04/28/2021,6.487302,6.487302,6.487302,6.487302,1500
57,2117,L62,04/29/2021,6.1,6.584127,6.1,6.584127,1500
58,2118,L62,05/04/2021,6.487302,6.487302,6.487302,6.487302,500
59,2119,L62,05/05/2021,6.487302,6.487302,6.487302,6.487302,0
60,2120,L62,05/06/2021,6.487302,6.487302,6.487302,6.487302,0
61,2121,L62,05/07/2021,6.1,6.487302,6.1,6.487302,1600
62,2122,L62,05/10/2021,6.196826,6.487302,6.1,6.487302,6000
63,2123,L62,05/11/2021,6.487302,6.487302,6.487302,6.487302,0
64,2124,L62,05/12/2021,6.487302,6.487302,6.487302,6.487302,0
65,2125,L62,05/13/2021,6.293651,6.487302,6.293651,6.487302,2400
66,2126,L62,05/14/2021,6.487302,6.487302,6.487302,6.487302,0
67,2127,L62,05/17/2021,6.487302,6.487302,6.487302,6.487302,0
68,2128,L62,05/18/2021,6.487302,6.487302,6.487302,6.487302,0
69,2129,L62,05/19/2021,6.487302,6.487302,6.487302,6.487302,0
70,2130,L62,05/20/2021,6.003175,6.390476,6.003175,6.390476,200
71,2131,L62,05/21/2021,6.390476,6.390476,6.390476,6.390476,0
72,2132,L62,05/24/2021,6.390476,6.390476,6.390476,6.390476,0
73,2133,L62,05/25/2021,6.390476,6.390476,6.390476,6.390476,0
74,2134,L62,05/26/2021,6.1,6.390476,6.1,6.390476,200
75,2135,L62,05/27/2021,6.390476,6.390476,6.390476,6.390476,0
76,2136,L62,05/28/2021,5.906349,6.293651,5.906349,6.293651,600
77,2137,L62,05/31/2021,6.003175,6.196826,6.003175,6.196826,5200
78,2138,L62,06/01/2021,5.809524,6.1,5.809524,6.1,1200
79,2139,L62,06/02/2021,5.712698,5.712698,5.712698,5.712698,200
80,2140,L62,06/03/2021,6.1,6.1,6.1,6.1,100
81,2141,L62,06/04/2021,6.1,6.1,6.1,6.1,800
82,2142,L62,06/07/2021,5.712698,6.1,5.519048,6.1,23900
83,2143,L62,06/08/2021,6.1,6.1,6.1,6.1,0
84,2144,L62,06/09/2021,6.1,6.1,6.1,6.1,0
85,2145,L62,06/10/2021,5.712698,6.1,5.519048,6.1,5600
86,2146,L62,06/11/2021,6.1,6.1,6.1,6.1,0
87,2147,L62,06/14/2021,6.1,6.1,6.1,6.1,0
88,2148,L62,06/15/2021,6.1,6.1,6.1,6.1,0
89,2149,L62,06/16/2021,6.1,6.1,6.1,6.1,0
90,2150,L62,06/17/2021,6.1,6.1,6.1,6.1,600
91,2151,L62,06/18/2021,6.003175,6.1,6.003175,6.1,2100
92,2152,L62,06/21/2021,6.1,6.1,5.906349,6.1,3700
93,2153,L62,06/22/2021,6.1,6.1,6.003175,6.003175,2000
94,2154,L62,06/23/2021,5.906349,6.1,5.809524,6.1,1300
95,2155,L62,06/24/2021,5.906349,6.1,5.906349,6.1,1700
96,2156,L62,06/25/2021,6.1,6.1,6.1,6.1,500
97,2157,L62,06/28/2021,6.1,6.1,6.1,6.1,100
98,2158,L62,06/29/2021,5.7,6.3,5.5,6.3,22500
99,2159,L62,06/30/2021,6.3,6.3,6.3,6.3,0
100,2160,L62,07/01/2021,6.3,6.3,6.3,6.3,0
101,2161,L62,07/02/2021,6.0,6.0,6.0,6.0,100
102,2162,L62,07/05/2021,6.0,6.0,6.0,6.0,0
