,index,Ticker,Date,Open,High,Low,Close,Volume
0,2413,NVB,02/02/2021,9.04,10.48,9.04,10.24,4295100.0
1,2414,NVB,02/03/2021,10.24,10.64,10.08,10.64,5009200.0
2,2415,NVB,02/04/2021,10.48,10.64,10.24,10.64,3132000.0
3,2416,NVB,02/05/2021,10.64,11.12,10.48,11.12,8126300.0
4,2417,NVB,02/08/2021,11.12,11.2,10.8,11.04,6779800.0
5,2418,NVB,02/09/2021,11.04,11.12,10.96,11.04,6388700.0
6,2419,NVB,02/17/2021,11.12,11.28,10.96,11.12,4379200.0
7,2420,NVB,02/18/2021,11.12,11.2,10.88,10.96,5409100.0
8,2421,NVB,02/19/2021,11.04,11.12,10.72,10.96,6030400.0
9,2422,NVB,02/22/2021,10.72,11.12,10.72,10.88,7841400.0
10,2423,NVB,02/23/2021,10.88,11.76,10.8,11.68,7222500.0
11,2424,NVB,02/24/2021,11.76,11.92,11.36,11.68,5302100.0
12,2425,NVB,02/25/2021,11.68,11.84,11.44,11.68,7379000.0
13,2426,NVB,02/26/2021,11.6,11.84,11.44,11.76,6799600.0
14,2427,NVB,03/01/2021,11.76,12.4,11.76,12.08,8187900.0
15,2428,NVB,03/02/2021,12.08,12.32,12.0,12.08,4365000.0
16,2429,NVB,03/03/2021,12.08,12.48,11.84,12.24,5181900.0
17,2430,NVB,03/04/2021,12.24,12.4,11.92,12.24,4896500.0
18,2431,NVB,03/05/2021,12.24,12.32,12.0,12.16,5120400.0
19,2432,NVB,03/08/2021,12.24,12.24,12.0,12.08,3896300.0
20,2433,NVB,03/09/2021,12.08,12.16,11.92,12.08,4139100.0
21,2434,NVB,03/10/2021,12.0,12.48,11.84,12.32,9558200.0
22,2435,NVB,03/11/2021,12.32,12.48,12.16,12.16,6396200.0
23,2436,NVB,03/12/2021,12.0,12.24,12.0,12.0,6683000.0
24,2437,NVB,03/15/2021,12.0,12.0,11.52,11.52,5707300.0
25,2438,NVB,03/16/2021,11.52,11.6,11.2,11.52,4224800.0
26,2439,NVB,03/17/2021,11.52,12.24,11.52,11.84,6660000.0
27,2440,NVB,03/18/2021,12.0,12.16,11.92,12.08,5248200.0
28,2441,NVB,03/19/2021,12.08,12.16,11.84,12.08,4890000.0
29,2442,NVB,03/22/2021,12.16,12.16,11.84,12.08,6705000.0
30,2443,NVB,03/23/2021,12.0,12.0,11.6,11.68,5680300.0
31,2444,NVB,03/24/2021,11.6,11.76,11.44,11.6,8033200.0
32,2445,NVB,03/25/2021,11.6,11.68,11.44,11.6,4372000.0
33,2446,NVB,03/26/2021,11.52,11.68,11.12,11.68,4976600.0
34,2447,NVB,03/29/2021,11.68,12.0,11.6,12.0,6178500.0
35,2448,NVB,03/30/2021,12.08,12.4,11.92,12.16,5151400.0
36,2449,NVB,03/31/2021,12.16,12.32,11.28,12.16,8827400.0
37,2450,NVB,04/01/2021,12.16,12.24,12.0,12.16,5129600.0
38,2451,NVB,04/02/2021,12.16,13.36,12.16,13.36,7689500.0
39,2452,NVB,04/05/2021,13.68,14.64,13.52,14.48,4848600.0
40,2453,NVB,04/06/2021,14.56,14.64,14.0,14.24,5920300.0
41,2454,NVB,04/07/2021,14.16,14.24,13.68,13.76,5486100.0
42,2455,NVB,04/08/2021,13.84,14.56,13.68,14.24,7170500.0
43,2456,NVB,04/09/2021,14.4,14.4,14.0,14.32,7942900.0
44,2457,NVB,04/12/2021,14.4,14.88,14.16,14.64,7287000.0
45,2458,NVB,04/13/2021,14.8,14.8,14.24,14.4,6498000.0
46,2459,NVB,04/14/2021,14.4,14.4,14.08,14.16,4504500.0
47,2460,NVB,04/15/2021,14.24,14.24,13.84,14.0,5858100.0
48,2461,NVB,04/16/2021,14.0,14.08,13.52,14.08,4791400.0
49,2462,NVB,04/19/2021,14.16,14.24,13.92,14.16,5067100.0
50,2463,NVB,04/20/2021,14.24,14.56,14.0,14.16,6524000.0
51,2464,NVB,04/22/2021,14.16,14.16,13.76,13.84,5021400.0
52,2465,NVB,04/23/2021,13.84,14.0,12.96,13.68,5228200.0
53,2466,NVB,04/26/2021,13.68,13.84,13.52,13.68,5170500.0
54,2467,NVB,04/27/2021,13.68,13.76,13.44,13.76,4885500.0
55,2468,NVB,04/28/2021,13.76,13.76,13.52,13.52,5401600.0
56,2469,NVB,04/29/2021,13.6,13.68,13.44,13.52,4672200.0
57,2470,NVB,05/04/2021,13.52,13.6,13.2,13.6,6497600.0
58,2471,NVB,05/05/2021,13.6,13.68,13.2,13.6,5029800.0
59,2472,NVB,05/06/2021,13.6,13.68,13.2,13.44,5375800.0
60,2473,NVB,05/07/2021,13.44,13.44,13.2,13.44,5011200.0
61,2474,NVB,05/10/2021,13.36,13.44,13.04,13.28,5009500.0
62,2475,NVB,05/11/2021,13.28,13.28,12.96,12.96,4851700.0
63,2476,NVB,05/12/2021,12.88,13.44,12.48,13.44,5557200.0
64,2477,NVB,05/13/2021,13.36,13.76,13.28,13.44,7851700.0
65,2478,NVB,05/14/2021,13.44,14.4,13.44,14.24,10250500.0
66,2479,NVB,05/17/2021,14.4,14.48,14.0,14.32,6115100.0
67,2480,NVB,05/18/2021,14.24,14.32,13.68,13.76,5617000.0
68,2481,NVB,05/19/2021,13.76,14.32,13.36,13.44,8363400.0
69,2482,NVB,05/20/2021,13.44,13.92,13.36,13.76,5494300.0
70,2483,NVB,05/21/2021,13.84,14.32,13.52,13.84,5732200.0
71,2484,NVB,05/24/2021,13.92,14.16,13.68,13.92,6581900.0
72,2485,NVB,05/25/2021,14.0,15.12,14.0,14.4,11421400.0
73,2486,NVB,05/26/2021,14.48,14.8,14.24,14.48,5480400.0
74,2487,NVB,05/27/2021,14.72,15.92,14.48,15.84,15018900.0
75,2488,NVB,05/28/2021,16.0,17.36,15.84,17.2,5135800.0
76,2489,NVB,05/31/2021,17.44,18.8,16.0,18.64,6089600.0
77,2490,NVB,06/01/2021,18.56,18.8,16.88,17.04,10469800.0
78,2491,NVB,06/02/2021,16.96,17.04,16.0,16.64,10306000.0
79,2492,NVB,06/03/2021,16.64,17.28,16.56,17.12,10841200.0
80,2493,NVB,06/04/2021,17.2,17.36,16.32,16.48,6819600.0
81,2494,NVB,06/07/2021,16.48,16.72,15.2,16.16,9215900.0
82,2495,NVB,06/08/2021,16.16,16.16,14.88,15.44,11077000.0
83,2496,NVB,06/09/2021,15.36,16.0,14.4,15.68,6142100.0
84,2497,NVB,06/10/2021,15.68,15.76,15.12,15.12,7326000.0
85,2498,NVB,06/11/2021,15.12,16.0,14.72,15.44,8448700.0
