,index,Ticker,Date,Open,High,Low,Close,Volume
0,3501,PLC,02/02/2021,19.65797,20.80911,19.48087,20.80911,297300
1,3502,PLC,02/03/2021,21.25186,21.96025,20.80911,21.6946,383800
2,3503,PLC,02/04/2021,21.78315,23.02284,21.6946,22.5801,628000
3,3504,PLC,02/05/2021,22.66865,22.84575,22.31445,22.49155,265200
4,3505,PLC,02/08/2021,22.49155,22.49155,20.36636,21.42896,347100
5,3506,PLC,02/09/2021,20.98621,21.78315,20.89766,21.78315,250100
6,3507,PLC,02/17/2021,22.13735,23.02284,21.96025,23.02284,275800
7,3508,PLC,02/18/2021,23.11139,24.35109,23.02284,23.81979,663700
8,3509,PLC,02/19/2021,23.81979,24.17399,23.46559,23.64269,263500
9,3510,PLC,02/22/2021,23.64269,23.90834,23.46559,23.81979,303100
10,3511,PLC,02/23/2021,23.90834,24.70528,23.90834,24.43963,457800
11,3512,PLC,02/24/2021,24.52818,24.79383,23.73124,24.17399,363800
12,3513,PLC,02/25/2021,24.26254,24.61673,23.55414,23.90834,281500
13,3514,PLC,02/26/2021,23.73124,24.08544,23.46559,23.99689,334200
14,3515,PLC,03/01/2021,24.08544,24.52818,23.46559,24.43963,384400
15,3516,PLC,03/02/2021,24.52818,26.12207,24.35109,25.94497,1073100
16,3517,PLC,03/03/2021,25.94497,25.94497,25.50223,25.94497,293600
17,3518,PLC,03/04/2021,25.94497,27.18467,24.26254,27.18467,800600
18,3519,PLC,03/05/2021,27.80451,27.89306,26.12207,26.47627,600500
19,3520,PLC,03/08/2021,26.56482,27.27321,25.76788,26.21062,429600
20,3521,PLC,03/09/2021,26.12207,26.21062,25.23658,25.67933,488300
21,3522,PLC,03/10/2021,25.50223,25.67933,23.90834,25.67933,270400
22,3523,PLC,03/11/2021,25.76788,26.21062,25.32513,25.94497,288200
23,3524,PLC,03/12/2021,25.94497,27.18467,25.94497,26.74192,1053800
24,3525,PLC,03/15/2021,26.65337,27.45031,26.65337,27.09612,656900
25,3526,PLC,03/16/2021,27.09612,27.18467,26.29917,26.56482,334600
26,3527,PLC,03/17/2021,26.56482,26.83047,26.03352,26.74192,306400
27,3528,PLC,03/18/2021,26.83047,27.18467,26.56482,26.83047,348000
28,3529,PLC,03/19/2021,26.83047,26.83047,26.12207,26.38772,381600
29,3530,PLC,03/22/2021,26.38772,26.47627,24.70528,26.12207,287100
30,3531,PLC,03/23/2021,26.12207,26.47627,25.85642,25.94497,309100
31,3532,PLC,03/24/2021,25.67933,25.67933,24.35109,25.23658,695200
32,3533,PLC,03/25/2021,25.05948,25.59078,24.35109,24.43963,354900
33,3534,PLC,03/26/2021,24.43963,24.88238,22.403,24.61673,730400
34,3535,PLC,03/29/2021,24.61673,24.88238,24.52818,24.70528,215300
35,3536,PLC,03/30/2021,24.70528,24.79383,24.35109,24.79383,213600
36,3537,PLC,03/31/2021,24.70528,24.79383,24.35109,24.70528,223900
37,3538,PLC,04/01/2021,24.70528,25.59078,24.61673,25.41368,322900
38,3539,PLC,04/02/2021,25.67933,26.29917,25.41368,25.67933,278300
39,3540,PLC,04/05/2021,25.76788,26.03352,24.97093,25.59078,140000
40,3541,PLC,04/06/2021,25.05948,25.50223,24.88238,25.50223,443400
41,3542,PLC,04/07/2021,25.59078,25.67933,24.97093,25.41368,203800
42,3543,PLC,04/08/2021,25.41368,25.41368,25.05948,25.23658,141600
43,3544,PLC,04/09/2021,25.05948,25.23658,24.88238,25.05948,159900
44,3545,PLC,04/12/2021,25.05948,25.05948,24.70528,24.70528,311800
45,3546,PLC,04/13/2021,24.70528,24.79383,23.99689,24.08544,469400
46,3547,PLC,04/14/2021,24.08544,24.52818,23.55414,24.17399,138900
47,3548,PLC,04/15/2021,24.61673,24.79383,23.73124,23.81979,225500
48,3549,PLC,04/16/2021,23.99689,23.99689,22.5801,23.11139,367100
49,3550,PLC,04/19/2021,23.11139,23.55414,23.11139,23.55414,274800
50,3551,PLC,04/20/2021,23.81979,24.17399,23.46559,23.64269,303700
51,3552,PLC,04/22/2021,23.64269,23.64269,21.78315,21.78315,334900
52,3553,PLC,04/23/2021,21.78315,22.0488,20.36636,22.0488,222700
53,3554,PLC,04/26/2021,22.13735,22.403,21.42896,21.42896,165300
54,3555,PLC,04/27/2021,21.25186,21.42896,20.80911,20.98621,134600
55,3556,PLC,04/28/2021,20.98621,22.13735,20.98621,21.8717,165500
56,3557,PLC,04/29/2021,22.5801,22.5801,21.96025,21.96025,138000
57,3558,PLC,05/04/2021,22.0488,22.0488,21.25186,21.6946,117800
58,3559,PLC,05/05/2021,22.0488,22.5801,21.6946,22.403,226100
59,3560,PLC,05/06/2021,22.93429,23.28849,21.8717,21.96025,147900
60,3561,PLC,05/07/2021,21.96025,22.0488,21.25186,21.42896,207200
61,3562,PLC,05/10/2021,20.80911,22.31445,20.80911,21.78315,253200
62,3563,PLC,05/11/2021,22.403,22.403,21.3404,21.78315,255000
63,3564,PLC,05/12/2021,21.6946,22.403,21.6946,22.31445,160500
64,3565,PLC,05/13/2021,22.49155,23.19994,22.403,22.49155,306600
65,3566,PLC,05/14/2021,22.5801,22.66865,22.2259,22.2259,166400
66,3567,PLC,05/17/2021,22.49155,22.49155,21.60605,21.6946,152200
67,3568,PLC,05/18/2021,21.6946,21.78315,21.25186,21.5175,159300
68,3569,PLC,05/19/2021,21.25186,21.42896,20.98621,20.98621,169900
69,3570,PLC,05/20/2021,20.98621,22.31445,20.98621,21.60605,300700
70,3571,PLC,05/21/2021,21.60605,22.49155,21.25186,21.8717,309100
71,3572,PLC,05/24/2021,21.8717,23.55414,21.6946,23.37704,486000
72,3573,PLC,05/25/2021,23.37704,23.46559,22.66865,23.02284,227500
73,3574,PLC,05/26/2021,23.02284,23.02284,22.0488,22.403,260100
74,3575,PLC,05/27/2021,22.31445,22.49155,21.6946,22.0488,333400
75,3576,PLC,05/28/2021,22.0488,22.93429,21.96025,22.5801,245800
76,3577,PLC,05/31/2021,22.5801,23.55414,22.2259,23.28849,566600
77,3578,PLC,06/01/2021,23.469,24.28139,23.469,24.19113,497600
78,3579,PLC,06/02/2021,24.37166,25.36458,24.37166,25.00352,754700
79,3580,PLC,06/03/2021,25.00352,25.45484,24.10086,24.82298,575900
80,3581,PLC,06/04/2021,24.82298,25.8159,24.10086,25.63537,648400
81,3582,PLC,06/07/2021,25.72564,26.71856,24.37166,25.27431,688400
82,3583,PLC,06/08/2021,25.00352,25.27431,23.92033,24.0106,527000
83,3584,PLC,06/09/2021,23.83006,24.37166,23.01768,23.469,345200
84,3585,PLC,06/10/2021,23.469,23.469,23.01768,23.28847,291500
85,3586,PLC,06/11/2021,23.28847,23.83006,23.19821,23.83006,211300
86,3587,PLC,06/14/2021,24.73272,25.27431,23.7398,23.83006,261300
87,3588,PLC,06/15/2021,23.92033,24.37166,23.7398,23.7398,287900
88,3589,PLC,06/16/2021,23.83006,24.64245,23.83006,24.19113,467200
89,3590,PLC,06/17/2021,24.10086,25.27431,23.92033,25.27431,736500
90,3591,PLC,06/18/2021,25.27431,25.72564,25.00352,25.00352,510400
91,3592,PLC,06/21/2021,25.00352,26.3575,25.00352,25.99644,1164900
92,3593,PLC,06/22/2021,26.0867,26.71856,25.63537,25.63537,849900
93,3594,PLC,06/23/2021,25.63537,25.63537,24.82298,25.00352,349600
94,3595,PLC,06/24/2021,25.00352,25.18405,24.19113,24.28139,531900
95,3596,PLC,06/25/2021,24.19113,24.55219,23.83006,24.55219,552300
96,3597,PLC,06/28/2021,24.55219,25.09378,24.37166,24.55219,215900
97,3598,PLC,06/29/2021,24.55219,24.55219,24.0106,24.10086,258800
98,3599,PLC,06/30/2021,24.10086,24.28139,23.64953,23.83006,401800
99,3600,PLC,07/01/2021,23.7398,24.10086,23.469,23.92033,326500
100,3601,PLC,07/02/2021,24.0106,24.46192,23.83006,24.0106,188700
101,3602,PLC,07/05/2021,24.10086,24.37166,23.469,23.7398,386600
102,3603,PLC,07/06/2021,23.7398,24.19113,21.6637,21.6637,360900
103,3604,PLC,07/07/2021,21.75396,23.469,21.75396,22.92741,520600
104,3605,PLC,07/08/2021,23.01768,23.469,22.74688,22.92741,173100
105,3606,PLC,07/09/2021,22.74688,23.01768,22.38582,22.47608,181100
106,3607,PLC,07/12/2021,22.47608,22.47608,20.85131,21.3929,437900
107,3608,PLC,07/13/2021,21.48317,22.20529,21.3929,22.02476,117900
108,3609,PLC,07/14/2021,21.84423,22.02476,21.57343,21.84423,78900
109,3610,PLC,07/15/2021,21.84423,22.47608,21.57343,22.47608,184300
110,3611,PLC,07/16/2021,22.56635,23.28847,22.47608,22.65662,227900
111,3612,PLC,07/19/2021,22.11502,22.20529,21.57343,21.57343,168300
112,3613,PLC,07/20/2021,21.21237,23.19821,20.94157,23.19821,159300
113,3614,PLC,07/21/2021,23.19821,23.19821,22.11502,22.38582,100000
114,3615,PLC,07/22/2021,22.29555,22.83715,22.11502,22.56635,230300
115,3616,PLC,07/23/2021,22.56635,22.83715,22.20529,22.20529,114100
116,3617,PLC,07/26/2021,22.11502,22.56635,22.02476,22.56635,196300
117,3618,PLC,07/27/2021,22.92741,23.19821,22.74688,23.10794,282000
118,3619,PLC,07/28/2021,23.01768,24.64245,22.83715,24.0106,535200
119,3620,PLC,07/29/2021,24.19113,24.64245,24.0106,24.37166,364900
120,3621,PLC,07/30/2021,24.28139,25.45484,24.10086,25.27431,1699700
121,3622,PLC,08/02/2021,25.36458,25.72564,24.82298,25.27431,787600
122,3623,PLC,08/03/2021,25.36458,27.80174,25.27431,27.80174,2306900
123,3624,PLC,08/04/2021,27.80174,28.79466,27.53095,27.53095,1076400
124,3625,PLC,08/05/2021,27.35042,28.88493,27.07962,28.52387,807800
125,3626,PLC,08/06/2021,28.52387,29.06546,27.71148,27.71148,1307400
126,3627,PLC,08/09/2021,27.80174,30.23891,27.35042,30.23891,1907400
127,3628,PLC,08/10/2021,33.21767,33.21767,30.14864,30.69024,952700
128,3629,PLC,08/11/2021,30.23891,31.14156,30.23891,30.5097,859900
129,3630,PLC,08/12/2021,30.23891,33.1274,30.23891,32.04422,1675400
130,3631,PLC,08/13/2021,31.59289,32.67607,30.5097,32.67607,1509200
131,3632,PLC,08/16/2021,32.67607,33.57873,32.31501,32.67607,1105700
132,3633,PLC,08/17/2021,32.67607,32.67607,30.69024,31.59289,928200
133,3634,PLC,08/18/2021,31.41236,32.85661,31.32209,32.22475,639200
134,3635,PLC,08/19/2021,32.22475,33.93979,31.95395,33.3982,1057000
135,3636,PLC,08/20/2021,33.30793,33.30793,30.69024,31.59289,1194400
136,3637,PLC,08/23/2021,31.59289,32.40528,31.14156,31.14156,899500
137,3638,PLC,08/24/2021,31.23183,31.77342,28.79466,29.42652,1521500
138,3639,PLC,08/25/2021,30.32917,30.32917,28.7044,29.78758,794600
139,3640,PLC,08/26/2021,29.87785,32.04422,29.87785,31.0513,768800
140,3641,PLC,08/27/2021,30.87077,34.12032,30.59997,34.12032,2471400
141,3642,PLC,08/30/2021,35.11324,36.91855,34.57165,35.20351,1492000
142,3643,PLC,08/31/2021,35.20351,35.83537,34.75218,35.02298,913400
143,3644,PLC,09/01/2021,34.93271,36.82828,34.57165,36.55749,1399000
144,3645,PLC,09/06/2021,36.55749,36.82828,35.65483,35.7451,996600
145,3646,PLC,09/07/2021,34.84245,37.00882,33.84953,35.4743,1100800
146,3647,PLC,09/08/2021,35.4743,36.46722,35.20351,35.65483,741800
147,3648,PLC,09/09/2021,36.10616,37.55041,35.65483,36.91855,952500
148,3649,PLC,09/10/2021,37.00882,37.00882,36.10616,36.28669,548000
149,3650,PLC,09/13/2021,36.28669,36.37696,35.11324,35.20351,859800
150,3651,PLC,09/14/2021,35.20351,35.92563,34.30085,34.66191,805200
151,3652,PLC,09/15/2021,34.75218,37.00882,34.66191,36.73802,1156200
152,3653,PLC,09/16/2021,36.73802,38.54333,36.46722,37.8212,1240800
153,3654,PLC,09/17/2021,37.8212,38.18226,37.55041,37.55041,642800
154,3655,PLC,09/20/2021,37.55041,37.55041,35.20351,35.7451,1438800
155,3656,PLC,09/21/2021,35.65483,36.55749,34.66191,36.10616,1146600
156,3657,PLC,09/22/2021,35.92563,37.46014,35.29377,36.73802,710900
157,3658,PLC,09/23/2021,36.73802,37.36988,35.65483,36.37696,642300
158,3659,PLC,09/24/2021,36.28669,36.37696,35.02298,35.02298,662800
159,3660,PLC,09/27/2021,35.11324,35.38404,32.22475,32.22475,1134200
160,3661,PLC,09/28/2021,31.59289,34.30085,30.59997,34.30085,774500
161,3662,PLC,09/29/2021,34.39112,36.55749,34.30085,36.10616,1057000
162,3663,PLC,09/30/2021,36.37696,36.37696,35.56457,35.7451,390000
163,3664,PLC,10/01/2021,35.56457,36.37696,35.11324,35.4743,697700
164,3665,PLC,10/04/2021,35.4743,38.99465,35.20351,37.73094,1717500
165,3666,PLC,10/05/2021,37.73094,38.3628,37.00882,37.27961,537700
166,3667,PLC,10/06/2021,37.27961,38.81412,37.00882,38.63359,1082000
167,3668,PLC,10/07/2021,38.63359,38.99465,37.91147,38.45306,738600
168,3669,PLC,10/08/2021,38.45306,38.99465,37.91147,37.91147,445500
169,3670,PLC,10/11/2021,38.00173,38.27253,37.00882,37.00882,1100500
170,3671,PLC,10/12/2021,37.18935,37.8212,36.73802,37.00882,801600
171,3672,PLC,10/13/2021,37.8212,37.8212,36.64775,36.64775,493400
172,3673,PLC,10/14/2021,37.00882,38.00173,36.73802,37.00882,711900
173,3674,PLC,10/15/2021,37.73094,37.73094,36.64775,36.73802,653500
174,3675,PLC,10/18/2021,36.82828,37.46014,36.64775,36.73802,574700
175,3676,PLC,10/19/2021,36.73802,37.27961,36.55749,36.55749,424500
176,3677,PLC,10/20/2021,36.55749,36.91855,35.02298,35.92563,660100
177,3678,PLC,10/21/2021,35.92563,36.82828,35.65483,36.82828,496800
178,3679,PLC,10/22/2021,36.82828,38.3628,36.73802,38.00173,1314300
179,3680,PLC,10/25/2021,38.00173,39.26545,37.91147,38.18226,1020000
180,3681,PLC,10/26/2021,38.18226,38.18226,37.18935,37.91147,421800
181,3682,PLC,10/27/2021,38.092,40.79996,38.092,40.79996,2001000
182,3683,PLC,10/28/2021,40.79996,41.52208,40.07784,40.61943,483900
183,3684,PLC,10/29/2021,40.34863,42.42474,39.89731,41.34155,748400
184,3685,PLC,11/01/2021,41.07076,41.07076,39.17518,39.98757,1680100
185,3686,PLC,11/02/2021,39.80704,41.34155,39.53624,40.61943,687000
186,3687,PLC,11/03/2021,40.89022,40.89022,38.27253,38.27253,1199200
187,3688,PLC,11/04/2021,37.00882,38.99465,37.00882,38.45306,625100
188,3689,PLC,11/05/2021,38.81412,39.26545,38.092,38.45306,430000
189,3690,PLC,11/08/2021,38.45306,39.35571,38.00173,38.99465,791800
190,3691,PLC,11/09/2021,38.81412,38.99465,38.3628,38.54333,535500
191,3692,PLC,11/10/2021,38.54333,40.52916,38.3628,39.80704,803300
192,3693,PLC,11/11/2021,39.80704,40.52916,38.81412,39.26545,565600
193,3694,PLC,11/12/2021,39.26545,40.52916,38.99465,39.89731,976600
194,3695,PLC,11/15/2021,39.89731,42.87606,39.44598,42.42474,2342500
195,3696,PLC,11/16/2021,42.42474,42.69553,40.61943,41.70261,603400
196,3697,PLC,11/17/2021,41.70261,43.23713,40.89022,42.24421,965800
197,3698,PLC,11/18/2021,42.33447,42.42474,41.34155,41.61235,715800
198,3699,PLC,11/19/2021,41.61235,42.24421,38.3628,38.81412,1201200
199,3700,PLC,11/22/2021,38.54333,38.81412,35.20351,35.20351,1189400
200,3701,PLC,11/23/2021,35.4743,37.00882,34.30085,36.10616,382600
201,3702,PLC,11/24/2021,36.55749,37.8212,36.46722,36.64775,430500
202,3703,PLC,11/25/2021,36.64775,37.46014,36.28669,37.18935,380400
203,3704,PLC,11/26/2021,37.00882,38.72386,36.64775,38.092,604300
204,3705,PLC,11/29/2021,37.91147,39.26545,37.18935,38.45306,503600
205,3706,PLC,11/30/2021,38.092,39.26545,38.092,38.45306,495900
206,3707,PLC,12/01/2021,38.3628,38.45306,37.64067,38.3628,313600
207,3708,PLC,12/02/2021,38.3628,39.08492,37.91147,38.45306,371200
208,3709,PLC,12/03/2021,38.27253,38.72386,36.10616,36.64775,620700
209,3710,PLC,12/06/2021,36.64775,39.71678,35.65483,35.65483,420800
210,3711,PLC,12/07/2021,37.00882,37.00882,35.92563,36.64775,258800
211,3712,PLC,12/08/2021,36.82828,37.64067,36.64775,37.00882,245800
212,3713,PLC,12/09/2021,37.00882,38.18226,36.10616,37.91147,291500
213,3714,PLC,12/10/2021,38.092,38.81412,37.64067,38.27253,270100
214,3715,PLC,12/13/2021,38.27253,40.61943,38.27253,40.25837,1381000
215,3716,PLC,12/14/2021,40.25837,40.25837,39.26545,39.71678,429100
216,3717,PLC,12/15/2021,39.71678,40.1681,38.63359,38.99465,413900
217,3718,PLC,12/16/2021,38.72386,39.17518,38.00173,38.54333,486900
218,3719,PLC,12/17/2021,38.54333,38.99465,37.46014,37.46014,654300
219,3720,PLC,12/20/2021,39.17518,39.17518,36.82828,37.00882,400400
220,3721,PLC,12/21/2021,37.09908,38.27253,36.64775,37.73094,399800
221,3722,PLC,12/22/2021,37.73094,38.3628,36.82828,37.00882,366600
222,3723,PLC,12/23/2021,37.27961,37.46014,35.65483,36.28669,483500
223,3724,PLC,12/24/2021,36.28669,36.91855,36.10616,36.19643,414900
224,3725,PLC,12/27/2021,36.28669,37.46014,36.10616,37.36988,262700
225,3726,PLC,12/28/2021,37.46014,38.81412,36.73802,37.8212,522700
226,3727,PLC,12/29/2021,38.27253,38.27253,37.00882,37.46014,286400
227,3728,PLC,12/30/2021,37.46014,38.45306,37.46014,38.092,300400
228,3729,PLC,12/31/2021,38.092,38.63359,37.18935,37.36988,230100
229,3730,PLC,01/04/2022,37.91147,40.61943,37.73094,40.1681,1633200
230,3731,PLC,01/05/2022,40.1681,41.52208,39.98757,40.34863,789500
231,3732,PLC,01/06/2022,40.1681,40.1681,39.17518,39.26545,584400
232,3733,PLC,01/07/2022,39.26545,40.79996,38.45306,40.34863,1185100
233,3734,PLC,01/10/2022,40.61943,44.32031,40.34863,43.32739,2277500
234,3735,PLC,01/11/2022,44.23005,47.38934,43.14686,45.85482,1374600
235,3736,PLC,01/12/2022,45.85482,47.84066,43.23713,45.1327,1411100
236,3737,PLC,01/13/2022,45.1327,46.03535,40.61943,40.61943,1395500
237,3738,PLC,01/14/2022,40.61943,44.68137,39.35571,44.68137,1055200
238,3739,PLC,01/17/2022,44.8619,47.38934,40.61943,40.61943,1308800
239,3740,PLC,01/18/2022,40.61943,42.87606,40.4389,41.97341,884700
240,3741,PLC,01/19/2022,41.97341,44.41058,41.07076,44.13978,564400
241,3742,PLC,01/20/2022,44.95217,46.03535,42.87606,44.50084,633900
242,3743,PLC,01/21/2022,44.41058,46.30615,43.32739,44.8619,792300
243,3744,PLC,01/24/2022,44.95217,45.31323,42.06367,42.06367,1123100
244,3745,PLC,01/25/2022,41.97341,43.32739,41.52208,43.14686,430100
245,3746,PLC,01/26/2022,43.14686,44.13978,40.70969,40.89022,672900
246,3747,PLC,01/27/2022,40.89022,41.16102,36.82828,36.82828,2520900
247,3748,PLC,01/28/2022,36.82828,37.64067,34.30085,36.37696,811500
248,3749,PLC,02/07/2022,36.55749,38.3628,36.37696,37.91147,380200
249,3750,PLC,02/08/2022,37.91147,37.91147,36.91855,37.46014,500800
250,3751,PLC,02/09/2022,37.46014,38.90439,37.46014,38.3628,574500
251,3752,PLC,02/10/2022,38.63359,39.17518,38.18226,38.3628,371200
252,3753,PLC,02/11/2022,38.3628,38.81412,37.73094,38.81412,507600
253,3754,PLC,02/14/2022,38.81412,39.71678,37.73094,38.092,545100
254,3755,PLC,02/15/2022,38.092,38.63359,37.73094,38.18226,229100
255,3756,PLC,02/16/2022,38.18226,39.26545,37.8212,39.26545,567700
256,3757,PLC,02/17/2022,38.81412,40.1681,38.81412,39.71678,522000
257,3758,PLC,02/18/2022,39.71678,40.25837,39.26545,40.25837,483800
258,3759,PLC,02/21/2022,40.25837,41.25129,39.80704,40.89022,614700
259,3760,PLC,02/22/2022,40.89022,40.89022,38.99465,40.1681,664500
260,3761,PLC,02/23/2022,40.1681,41.25129,39.89731,40.89022,601900
261,3762,PLC,02/24/2022,41.07076,41.70261,39.53624,40.61943,875600
262,3763,PLC,02/25/2022,40.61943,41.16102,40.25837,40.4389,526300
263,3764,PLC,02/28/2022,40.4389,42.69553,39.71678,42.06367,849500
264,3765,PLC,03/01/2022,42.15394,42.42474,41.16102,42.15394,399600
265,3766,PLC,03/02/2022,42.15394,42.87606,41.52208,42.24421,749200
266,3767,PLC,03/03/2022,42.15394,43.50792,41.79288,43.32739,860500
267,3768,PLC,03/04/2022,43.32739,43.86898,42.96633,42.96633,523900
268,3769,PLC,03/07/2022,42.96633,44.50084,42.42474,43.95925,858500
269,3770,PLC,03/08/2022,43.95925,43.95925,41.16102,41.16102,781800
270,3771,PLC,03/09/2022,41.16102,42.06367,40.4389,41.61235,699700
271,3772,PLC,03/10/2022,41.07076,41.97341,39.26545,41.34155,475100
272,3773,PLC,03/11/2022,41.07076,43.05659,40.61943,42.42474,1079400
273,3774,PLC,03/14/2022,42.42474,43.32739,41.25129,41.25129,528600
274,3775,PLC,03/15/2022,40.79996,42.96633,40.61943,41.88314,679400
275,3776,PLC,03/16/2022,41.88314,42.515,41.52208,41.88314,270000
276,3777,PLC,03/17/2022,41.88314,42.87606,41.43182,41.61235,439000
277,3778,PLC,03/18/2022,41.79288,42.7858,41.61235,41.97341,677100
278,3779,PLC,03/21/2022,41.97341,44.95217,41.97341,43.77872,1728200
279,3780,PLC,03/22/2022,43.68845,43.86898,43.14686,43.77872,429000
