,index,Ticker,Date,Open,High,Low,Close,Volume
0,2779,SHN,02/02/2021,8.4,8.9,8.4,8.9,6000.0
1,2780,SHN,02/03/2021,8.6,9.4,8.5,8.7,9000.0
2,2781,SHN,02/04/2021,8.5,9.1,8.5,9.1,5300.0
3,2782,SHN,02/05/2021,8.6,9.1,8.6,9.0,4900.0
4,2783,SHN,02/08/2021,8.8,8.8,8.2,8.2,47700.0
5,2784,SHN,02/09/2021,8.2,8.7,8.2,8.7,500.0
6,2785,SHN,02/17/2021,8.5,9.0,8.5,9.0,2600.0
7,2786,SHN,02/18/2021,8.9,8.9,8.8,8.9,17400.0
8,2787,SHN,02/19/2021,8.9,9.0,8.6,8.7,7100.0
9,2788,SHN,02/22/2021,9.0,9.0,8.9,8.9,2300.0
10,2789,SHN,02/23/2021,9.0,9.0,8.8,8.8,1200.0
11,2790,SHN,02/24/2021,9.0,9.0,8.7,8.8,8800.0
12,2791,SHN,02/25/2021,8.8,9.0,8.8,8.8,9500.0
13,2792,SHN,02/26/2021,8.8,8.8,8.7,8.8,20800.0
14,2793,SHN,03/01/2021,8.8,8.8,8.5,8.7,14300.0
15,2794,SHN,03/02/2021,8.7,8.8,8.6,8.6,6300.0
16,2795,SHN,03/03/2021,8.6,9.0,8.3,8.6,20600.0
17,2796,SHN,03/04/2021,8.9,9.4,8.6,9.3,15100.0
18,2797,SHN,03/05/2021,9.4,9.6,9.2,9.5,26100.0
19,2798,SHN,03/08/2021,8.9,9.5,8.8,9.4,14300.0
20,2799,SHN,03/09/2021,9.3,9.4,9.0,9.4,14900.0
21,2800,SHN,03/10/2021,9.4,9.5,9.3,9.3,28300.0
22,2801,SHN,03/11/2021,9.3,9.4,8.8,9.1,44400.0
23,2802,SHN,03/12/2021,9.0,9.3,8.9,9.0,21000.0
24,2803,SHN,03/15/2021,9.0,9.3,8.8,9.2,24300.0
25,2804,SHN,03/16/2021,9.2,9.3,8.9,9.3,8700.0
26,2805,SHN,03/17/2021,9.2,9.4,9.1,9.3,32800.0
27,2806,SHN,03/18/2021,9.3,9.3,9.3,9.3,13900.0
28,2807,SHN,03/19/2021,9.3,9.3,9.1,9.2,27800.0
29,2808,SHN,03/22/2021,9.2,9.3,9.1,9.3,12300.0
30,2809,SHN,03/23/2021,9.3,9.4,9.3,9.3,26700.0
31,2810,SHN,03/24/2021,9.3,9.3,9.1,9.2,18200.0
32,2811,SHN,03/25/2021,9.1,9.3,9.0,9.3,2600.0
33,2812,SHN,03/26/2021,9.0,9.2,9.0,9.2,5500.0
34,2813,SHN,03/29/2021,9.3,9.4,9.3,9.3,22700.0
35,2814,SHN,03/30/2021,9.3,10.2,9.3,10.2,204100.0
36,2815,SHN,03/31/2021,10.3,11.2,10.3,11.0,305900.0
37,2816,SHN,04/01/2021,11.0,11.2,10.2,10.7,25100.0
38,2817,SHN,04/02/2021,10.6,11.5,10.3,11.4,171800.0
39,2818,SHN,04/05/2021,11.4,12.4,11.4,11.9,196900.0
40,2819,SHN,04/06/2021,12.2,12.2,11.3,11.3,148400.0
41,2820,SHN,04/07/2021,11.3,11.5,10.8,11.2,341100.0
42,2821,SHN,04/08/2021,12.0,12.1,11.2,11.5,179300.0
43,2822,SHN,04/09/2021,11.5,11.8,11.3,11.5,89900.0
44,2823,SHN,04/12/2021,11.5,12.0,11.0,11.3,255000.0
45,2824,SHN,04/13/2021,11.3,11.7,11.1,11.3,145100.0
46,2825,SHN,04/14/2021,11.3,11.5,10.6,11.1,129900.0
47,2826,SHN,04/15/2021,11.1,11.4,10.7,10.7,89600.0
48,2827,SHN,04/16/2021,10.7,10.7,9.7,10.2,97300.0
49,2828,SHN,04/19/2021,10.2,10.2,9.5,9.8,67100.0
50,2829,SHN,04/20/2021,9.7,9.7,9.0,9.1,119500.0
51,2830,SHN,04/22/2021,9.6,9.6,8.5,8.5,88800.0
52,2831,SHN,04/23/2021,8.5,8.7,8.1,8.6,62400.0
53,2832,SHN,04/26/2021,8.6,8.6,8.4,8.5,79700.0
54,2833,SHN,04/27/2021,8.4,8.4,7.8,8.0,51700.0
55,2834,SHN,04/28/2021,8.0,8.8,7.9,8.8,58200.0
56,2835,SHN,04/29/2021,8.8,9.1,8.8,8.8,35400.0
57,2836,SHN,05/04/2021,8.7,8.7,8.3,8.4,8400.0
58,2837,SHN,05/05/2021,8.2,8.7,8.1,8.4,38900.0
59,2838,SHN,05/06/2021,8.5,8.5,8.2,8.5,12800.0
60,2839,SHN,05/07/2021,8.3,8.3,8.1,8.2,23700.0
61,2840,SHN,05/10/2021,8.1,8.5,7.9,8.2,38100.0
62,2841,SHN,05/11/2021,8.0,8.2,8.0,8.1,36400.0
63,2842,SHN,05/12/2021,8.1,8.2,8.0,8.2,19100.0
64,2843,SHN,05/13/2021,7.8,8.2,7.8,7.9,45900.0
65,2844,SHN,05/14/2021,7.9,8.1,7.9,8.0,14000.0
66,2845,SHN,05/17/2021,8.0,8.0,7.6,7.8,18900.0
67,2846,SHN,05/18/2021,7.7,7.7,7.5,7.6,30200.0
68,2847,SHN,05/19/2021,7.5,7.5,7.4,7.5,18700.0
69,2848,SHN,05/20/2021,7.5,7.5,7.0,7.3,84100.0
70,2849,SHN,05/21/2021,7.3,7.7,7.3,7.6,57400.0
71,2850,SHN,05/24/2021,7.6,7.7,7.4,7.5,27100.0
72,2851,SHN,05/25/2021,7.5,7.5,7.4,7.5,22700.0
73,2852,SHN,05/26/2021,7.4,7.4,7.2,7.4,36700.0
74,2853,SHN,05/27/2021,7.3,7.4,7.1,7.2,16100.0
75,2854,SHN,05/28/2021,7.2,7.3,7.0,7.3,47100.0
76,2855,SHN,05/31/2021,7.3,7.5,7.0,7.2,31400.0
77,2856,SHN,06/01/2021,7.2,7.2,6.9,7.2,142500.0
78,2857,SHN,06/02/2021,7.2,7.7,7.2,7.6,61400.0
79,2858,SHN,06/03/2021,7.7,8.3,7.7,8.3,115300.0
80,2859,SHN,06/04/2021,8.4,9.1,8.3,8.6,174400.0
81,2860,SHN,06/07/2021,8.5,8.5,8.0,8.2,68500.0
82,2861,SHN,06/08/2021,8.1,8.2,7.8,8.0,73700.0
83,2862,SHN,06/09/2021,8.0,8.2,7.6,8.2,120300.0
84,2863,SHN,06/10/2021,8.6,8.6,7.9,8.2,90500.0
85,2864,SHN,06/11/2021,7.8,8.5,7.7,8.3,70600.0
86,2865,SHN,06/14/2021,8.3,8.8,8.2,8.8,113500.0
