,index,Ticker,Date,Open,High,Low,Close,Volume
0,2902,SHS,02/02/2021,7.947674,8.550341,7.75934,8.550341,4733200.0
1,2903,SHS,02/03/2021,8.738674,9.379008,8.625674,9.341342,8010100.0
2,2904,SHS,02/04/2021,9.416675,9.755675,9.077675,9.341342,4389500.0
3,2905,SHS,02/05/2021,9.341342,9.642675,9.266008,9.529675,5006800.0
4,2906,SHS,02/08/2021,9.529675,9.981675,8.588008,9.040008,8851200.0
5,2907,SHS,02/09/2021,8.814008,9.567342,8.286674,9.529675,4240700.0
6,2908,SHS,02/17/2021,9.605008,9.944009,9.492008,9.831009,5566900.0
7,2909,SHS,02/18/2021,9.831009,9.944009,9.416675,9.718009,6780700.0
8,2910,SHS,02/19/2021,9.718009,9.831009,9.454342,9.680342,4892200.0
9,2911,SHS,02/22/2021,9.680342,9.944009,9.605008,9.680342,6551500.0
10,2912,SHS,02/23/2021,9.718009,10.05701,9.567342,9.831009,9045500.0
11,2913,SHS,02/24/2021,10.05701,10.35834,9.793342,10.05701,11917200.0
12,2914,SHS,02/25/2021,10.17001,10.43368,10.01934,10.20768,5172400.0
13,2915,SHS,02/26/2021,10.13234,10.13234,9.831009,10.13234,6938800.0
14,2916,SHS,03/01/2021,10.32068,10.62201,10.09468,10.54668,10540900.0
15,2917,SHS,03/02/2021,10.58434,10.77268,10.39601,10.54668,6505200.0
16,2918,SHS,03/03/2021,10.54668,10.54668,10.32068,10.43368,5136300.0
17,2919,SHS,03/04/2021,10.35834,10.47134,9.680342,10.17001,11122800.0
18,2920,SHS,03/05/2021,10.17001,10.54668,9.755675,10.35834,8627100.0
19,2921,SHS,03/08/2021,10.35834,10.73501,10.35834,10.39601,8264100.0
20,2922,SHS,03/09/2021,10.39601,10.43368,10.13234,10.13234,5654300.0
21,2923,SHS,03/10/2021,10.13234,10.32068,10.05701,10.32068,5273500.0
22,2924,SHS,03/11/2021,10.54668,10.73501,10.35834,10.62201,12406700.0
23,2925,SHS,03/12/2021,10.35834,10.73501,10.35834,10.50901,5847500.0
24,2926,SHS,03/15/2021,10.47134,10.58434,10.39601,10.47134,4020400.0
25,2927,SHS,03/16/2021,10.47134,10.47134,10.20768,10.35834,7434200.0
26,2928,SHS,03/17/2021,10.39601,10.62201,10.28301,10.54668,6388200.0
27,2929,SHS,03/18/2021,10.58434,10.84801,10.58434,10.84801,10967200.0
28,2930,SHS,03/19/2021,10.92334,11.14934,10.84801,11.03634,9389000.0
29,2931,SHS,03/22/2021,11.07401,11.11168,10.77268,10.84801,6202200.0
30,2932,SHS,03/23/2021,10.84801,10.84801,10.47134,10.62201,10147600.0
31,2933,SHS,03/24/2021,10.54668,10.54668,9.944009,10.43368,10455300.0
32,2934,SHS,03/25/2021,10.43368,10.54668,10.20768,10.28301,4633600.0
33,2935,SHS,03/26/2021,10.28301,10.73501,9.642675,10.54668,9925300.0
34,2936,SHS,03/29/2021,10.54668,10.73501,10.35834,10.62201,6950700.0
35,2937,SHS,03/30/2021,10.62201,10.92334,10.62201,10.73501,9904300.0
36,2938,SHS,03/31/2021,10.77268,10.88568,10.54668,10.65968,8661900.0
37,2939,SHS,04/01/2021,10.65968,11.71434,10.62201,11.71434,23707500.0
38,2940,SHS,04/02/2021,11.82734,12.43001,11.75201,11.82734,11832100.0
39,2941,SHS,04/05/2021,11.97801,12.20401,11.82734,11.82734,11580700.0
40,2942,SHS,04/06/2021,11.75201,11.86501,11.52601,11.63901,14998700.0
41,2943,SHS,04/07/2021,11.63901,11.86501,11.56368,11.75201,7978700.0
42,2944,SHS,04/08/2021,11.75201,12.24168,11.71434,11.90268,9507900.0
43,2945,SHS,04/09/2021,11.90268,12.05334,11.82734,11.90268,7316200.0
44,2946,SHS,04/12/2021,11.97801,12.24168,11.90268,12.20401,11561500.0
45,2947,SHS,04/13/2021,12.24168,12.39234,11.67668,11.75201,15677500.0
46,2948,SHS,04/14/2021,11.75201,11.97801,11.60134,11.97801,7496600.0
47,2949,SHS,04/15/2021,11.97801,12.12868,11.52601,11.56368,10825800.0
48,2950,SHS,04/16/2021,11.56368,11.63901,10.96101,11.30001,14464300.0
49,2951,SHS,04/19/2021,11.37534,11.56368,11.22468,11.52601,5503600.0
50,2952,SHS,04/20/2021,11.60134,11.71434,11.22468,11.22468,6934600.0
51,2953,SHS,04/22/2021,11.22468,11.30001,10.13234,10.13234,14892200.0
52,2954,SHS,04/23/2021,10.73501,10.92334,9.868675,10.65968,8518700.0
53,2955,SHS,04/26/2021,10.65968,10.92334,10.17001,10.17001,5697500.0
54,2956,SHS,04/27/2021,10.13234,10.28301,9.981675,10.13234,4020600.0
55,2957,SHS,04/28/2021,10.13234,10.50901,10.05701,10.28301,4763700.0
56,2958,SHS,04/29/2021,10.32068,10.47134,10.24534,10.32068,4550600.0
57,2959,SHS,05/04/2021,10.17001,10.39601,9.831009,10.39601,6312900.0
58,2960,SHS,05/05/2021,10.39601,10.92334,10.35834,10.73501,6722000.0
59,2961,SHS,05/06/2021,10.73501,10.88568,10.43368,10.47134,5119800.0
60,2962,SHS,05/07/2021,10.43368,10.69734,10.20768,10.39601,6428500.0
61,2963,SHS,05/10/2021,10.43368,11.18701,10.17001,10.99868,10590000.0
62,2964,SHS,05/11/2021,10.99868,11.48834,10.92334,10.99868,10375400.0
63,2965,SHS,05/12/2021,11.03634,11.26234,10.81034,11.26234,4746000.0
64,2966,SHS,05/13/2021,11.22468,11.60134,11.11168,11.22468,9478700.0
65,2967,SHS,05/14/2021,11.22468,11.56368,11.22468,11.33768,7382500.0
66,2968,SHS,05/17/2021,11.37534,11.67668,11.22468,11.37534,8294600.0
67,2969,SHS,05/18/2021,11.37534,11.60134,11.26234,11.33768,7331000.0
68,2970,SHS,05/19/2021,11.30001,11.94034,11.30001,11.82734,12212400.0
69,2971,SHS,05/20/2021,11.90268,12.61834,11.71434,12.50534,16094200.0
70,2972,SHS,05/21/2021,12.50534,12.80668,12.27934,12.39234,12434100.0
71,2973,SHS,05/24/2021,12.43001,12.73134,12.27934,12.61834,9820900.0
72,2974,SHS,05/25/2021,12.61834,12.99501,12.54301,12.84435,8915700.0
73,2975,SHS,05/26/2021,12.84435,13.03268,12.73134,12.91968,7497300.0
74,2976,SHS,05/27/2021,12.91968,12.99501,12.24168,12.61834,11268000.0
75,2977,SHS,05/28/2021,12.39234,13.18334,12.39234,13.18334,11056100.0
76,2978,SHS,05/31/2021,13.14568,14.31335,13.10801,14.31335,11940900.0
77,2979,SHS,06/01/2021,14.35101,14.61468,13.78601,14.12501,14639500.0
78,2980,SHS,06/02/2021,14.12501,14.87835,13.89901,14.80301,13522700.0
79,2981,SHS,06/03/2021,14.87835,16.23435,14.84068,15.55635,9996400.0
80,2982,SHS,06/04/2021,15.59401,15.78235,15.10435,15.55635,8685500.0
81,2983,SHS,06/07/2021,15.55635,15.78235,14.01201,14.12501,20592900.0
82,2984,SHS,06/08/2021,14.12501,14.50168,12.73134,12.84435,16631800.0
83,2985,SHS,06/09/2021,12.65601,14.08735,12.65601,13.86135,10732800.0
84,2986,SHS,06/10/2021,13.86135,14.12501,13.63535,13.86135,10952000.0
85,2987,SHS,06/11/2021,13.86135,14.84068,13.71068,14.46401,10870100.0
86,2988,SHS,06/14/2021,14.46401,15.74468,14.46401,15.40568,14084100.0
87,2989,SHS,06/15/2021,15.44335,16.79935,15.14201,16.27201,17423400.0
88,2990,SHS,06/16/2021,16.27201,16.34735,15.36801,15.63168,12834300.0
89,2991,SHS,06/17/2021,15.63168,15.97068,14.08735,15.89535,7498600.0
90,2992,SHS,06/18/2021,15.89535,16.15901,15.70701,15.93301,6632000.0
91,2993,SHS,06/21/2021,15.93301,15.97068,15.36801,15.36801,7085000.0
92,2994,SHS,06/22/2021,15.40568,15.82001,15.33035,15.51868,4623200.0
93,2995,SHS,06/23/2021,15.51868,16.04601,15.51868,15.70701,5764100.0
