,index,Ticker,Date,Open,High,Low,Close,Volume
0,3049,TC6,02/02/2021,4.162023,4.347002,4.069534,4.347002,14900
1,3050,TC6,02/03/2021,4.254512,4.347002,4.162023,4.347002,4500
2,3051,TC6,02/04/2021,4.347002,4.347002,4.254512,4.347002,4700
3,3052,TC6,02/05/2021,4.347002,4.347002,4.254512,4.347002,4000
4,3053,TC6,02/08/2021,4.347002,4.347002,4.254512,4.254512,1100
5,3054,TC6,02/09/2021,4.162023,4.162023,4.162023,4.162023,2000
6,3055,TC6,02/17/2021,4.347002,4.347002,4.162023,4.254512,10200
7,3056,TC6,02/18/2021,4.254512,4.347002,4.254512,4.347002,6500
8,3057,TC6,02/19/2021,4.347002,4.347002,4.162023,4.162023,11300
9,3058,TC6,02/22/2021,4.254512,4.254512,4.254512,4.254512,200
10,3059,TC6,02/23/2021,4.347002,4.347002,4.254512,4.254512,4700
11,3060,TC6,02/24/2021,4.254512,4.254512,4.162023,4.162023,6100
12,3061,TC6,02/25/2021,4.347002,4.347002,4.347002,4.347002,200
13,3062,TC6,02/26/2021,4.162023,4.162023,4.162023,4.162023,700
14,3063,TC6,03/01/2021,4.254512,4.347002,4.254512,4.347002,4400
15,3064,TC6,03/02/2021,4.347002,4.347002,4.254512,4.254512,17300
16,3065,TC6,03/03/2021,4.347002,4.347002,4.347002,4.347002,800
17,3066,TC6,03/04/2021,4.347002,4.347002,4.254512,4.254512,17700
18,3067,TC6,03/05/2021,4.254512,4.254512,4.162023,4.254512,4400
19,3068,TC6,03/08/2021,4.347002,4.531981,4.347002,4.531981,37100
20,3069,TC6,03/09/2021,4.531981,4.531981,4.531981,4.531981,1100
21,3070,TC6,03/10/2021,4.347002,4.347002,4.347002,4.347002,8500
22,3071,TC6,03/11/2021,4.347002,4.347002,4.347002,4.347002,13300
23,3072,TC6,03/12/2021,4.347002,4.347002,4.254512,4.254512,10300
24,3073,TC6,03/15/2021,4.254512,4.347002,4.254512,4.347002,53200
25,3074,TC6,03/16/2021,4.347002,4.347002,4.347002,4.347002,15700
26,3075,TC6,03/17/2021,4.347002,4.347002,4.347002,4.347002,58200
27,3076,TC6,03/18/2021,4.347002,4.347002,4.254512,4.254512,6400
28,3077,TC6,03/19/2021,4.254512,4.254512,4.254512,4.254512,9700
29,3078,TC6,03/22/2021,4.254512,4.439491,4.254512,4.439491,36100
30,3079,TC6,03/23/2021,4.439491,4.439491,4.347002,4.347002,49300
31,3080,TC6,03/24/2021,4.347002,4.439491,4.347002,4.439491,142700
32,3081,TC6,03/25/2021,4.439491,4.439491,4.347002,4.347002,11300
33,3082,TC6,03/26/2021,4.347002,4.439491,4.347002,4.347002,61600
34,3083,TC6,03/29/2021,4.347002,4.439491,4.347002,4.439491,25500
35,3084,TC6,03/30/2021,4.347002,4.439491,4.347002,4.347002,400
36,3085,TC6,03/31/2021,4.439491,4.531981,4.347002,4.439491,73500
37,3086,TC6,04/01/2021,4.439491,4.809449,4.439491,4.716959,140600
38,3087,TC6,04/02/2021,4.716959,4.716959,4.62447,4.62447,19600
39,3088,TC6,04/05/2021,4.62447,5.086917,4.62447,5.086917,252700
40,3089,TC6,04/06/2021,5.086917,5.179406,4.901938,4.901938,72600
41,3090,TC6,04/07/2021,5.086917,5.086917,4.901938,4.994428,15800
42,3091,TC6,04/08/2021,4.994428,5.456874,4.994428,5.364385,349600
43,3092,TC6,04/09/2021,5.456874,5.826832,5.364385,5.734343,301400
44,3093,TC6,04/12/2021,5.826832,5.919322,5.734343,5.919322,94600
45,3094,TC6,04/13/2021,5.826832,5.919322,5.364385,5.364385,247800
46,3095,TC6,04/14/2021,5.364385,5.641853,5.179406,5.641853,159100
47,3096,TC6,04/15/2021,5.641853,5.734343,5.364385,5.549364,107600
48,3097,TC6,04/16/2021,5.456874,5.456874,5.179406,5.364385,58100
49,3098,TC6,04/19/2021,5.179406,5.456874,5.086917,5.179406,50900
50,3099,TC6,04/20/2021,5.086917,5.271896,4.994428,5.086917,78100
51,3100,TC6,04/22/2021,5.086917,5.086917,4.62447,4.901938,44900
