,index,Ticker,Date,Open,High,Low,Close,Volume
0,3206,VC7,02/02/2021,4.744187,4.744187,4.676413,4.676413,6200
1,3207,VC7,02/03/2021,4.405316,4.879735,4.405316,4.879735,12300
2,3208,VC7,02/04/2021,4.608639,5.015284,4.608639,5.015284,23900
3,3209,VC7,02/05/2021,5.015284,5.218606,5.015284,5.015284,1600
4,3210,VC7,02/08/2021,5.015284,5.421928,4.811961,5.015284,21100
5,3211,VC7,02/09/2021,5.015284,5.28638,5.015284,5.28638,3200
6,3212,VC7,02/17/2021,5.28638,5.693025,5.28638,5.693025,5100
7,3213,VC7,02/18/2021,5.693025,5.693025,5.693025,5.693025,0
8,3214,VC7,02/19/2021,5.150832,5.557476,5.150832,5.421928,1700
9,3215,VC7,02/22/2021,5.421928,5.557476,5.083057,5.557476,15800
10,3216,VC7,02/23/2021,5.489702,6.031895,5.489702,6.031895,133000
11,3217,VC7,02/24/2021,6.235217,6.235217,5.828573,5.828573,59400
12,3218,VC7,02/25/2021,5.828573,5.828573,5.62525,5.693025,87400
13,3219,VC7,02/26/2021,5.693025,6.235217,5.693025,6.167443,237200
14,3220,VC7,03/01/2021,6.302991,6.77741,6.235217,6.77741,116100
15,3221,VC7,03/02/2021,7.455151,7.455151,6.845184,7.455151,130700
16,3222,VC7,03/03/2021,7.455151,8.200666,7.455151,8.132892,109400
17,3223,VC7,03/04/2021,8.471763,8.810633,7.997344,8.336214,90500
18,3224,VC7,03/05/2021,8.132892,8.471763,7.590699,8.471763,62000
19,3225,VC7,03/08/2021,8.471763,8.471763,7.726247,8.26844,63200
20,3226,VC7,03/09/2021,7.726247,8.065118,7.455151,7.92957,54900
21,3227,VC7,03/10/2021,7.590699,8.200666,7.590699,7.92957,83400
22,3228,VC7,03/11/2021,8.132892,8.336214,7.861795,7.92957,67200
23,3229,VC7,03/12/2021,7.92957,8.065118,7.794022,7.92957,56200
24,3230,VC7,03/15/2021,7.997344,8.675085,7.997344,8.675085,229900
25,3231,VC7,03/16/2021,9.149504,9.488374,8.946181,9.488374,191700
26,3232,VC7,03/17/2021,10.30166,10.36944,9.488374,9.623922,123100
27,3233,VC7,03/18/2021,9.827245,10.03057,8.810633,9.962792,133400
28,3234,VC7,03/19/2021,9.962792,10.91163,9.827245,10.91163,307400
29,3235,VC7,03/22/2021,11.79269,11.99602,11.79269,11.99602,105400
30,3236,VC7,03/23/2021,12.53821,13.14818,12.53821,13.0804,320500
31,3237,VC7,03/24/2021,13.0804,13.0804,11.79269,11.79269,180300
32,3238,VC7,03/25/2021,11.79269,12.19934,11.2505,12.19934,102600
33,3239,VC7,03/26/2021,11.45382,12.19934,10.9794,11.92824,117300
34,3240,VC7,03/29/2021,11.45382,11.65715,11.2505,11.45382,82900
35,3241,VC7,03/30/2021,11.38605,11.38605,10.84386,10.84386,80900
36,3242,VC7,03/31/2021,10.9794,11.31827,10.57276,10.84386,66400
37,3243,VC7,04/01/2021,11.18273,11.18273,10.64053,10.84386,83900
38,3244,VC7,04/02/2021,10.84386,10.84386,10.57276,10.64053,130700
39,3245,VC7,04/05/2021,11.18273,11.58937,10.84386,11.2505,121000
40,3246,VC7,04/06/2021,11.2505,11.45382,10.91163,11.2505,78700
41,3247,VC7,04/07/2021,11.2505,11.5216,10.77608,11.04718,88100
42,3248,VC7,04/08/2021,11.04718,11.04718,10.77608,10.91163,60300
43,3249,VC7,04/09/2021,11.04718,11.04718,10.84386,11.04718,70900
44,3250,VC7,04/12/2021,9.962792,10.84386,9.962792,10.64053,85700
45,3251,VC7,04/13/2021,10.64053,11.5216,10.16611,11.31827,119900
46,3252,VC7,04/14/2021,11.31827,11.31827,10.9794,11.2505,60000
47,3253,VC7,04/15/2021,11.2505,11.38605,10.64053,10.64053,49500
48,3254,VC7,04/16/2021,10.70831,10.77608,10.23389,10.43721,79600
49,3255,VC7,04/19/2021,10.43721,10.43721,9.962792,10.36944,58200
50,3256,VC7,04/20/2021,10.23389,10.50499,9.962792,10.36944,83100
51,3257,VC7,04/22/2021,10.36944,10.36944,9.895019,10.23389,25600
52,3258,VC7,04/23/2021,10.16611,10.30166,9.556149,10.16611,13800
53,3259,VC7,04/26/2021,10.16611,10.23389,9.827245,10.03057,58100
54,3260,VC7,04/27/2021,9.827245,10.36944,9.691696,10.16611,60500
55,3261,VC7,04/28/2021,10.16611,10.36944,10.09834,10.16611,56600
56,3262,VC7,04/29/2021,10.09834,10.09834,9.895019,10.09834,26400
57,3263,VC7,05/04/2021,9.75947,10.09834,9.75947,10.03057,29100
58,3264,VC7,05/05/2021,10.03057,10.9794,10.03057,10.43721,81900
59,3265,VC7,05/06/2021,10.50499,10.50499,10.09834,10.30166,13200
60,3266,VC7,05/07/2021,10.84386,10.84386,9.962792,10.30166,66000
61,3267,VC7,05/10/2021,10.30166,10.30166,9.827245,10.09834,26400
62,3268,VC7,05/11/2021,10.09834,10.09834,9.827245,10.03057,25600
63,3269,VC7,05/12/2021,10.03057,10.23389,10.03057,10.16611,248800
64,3270,VC7,05/13/2021,10.23389,10.36944,10.09834,10.09834,113200
65,3271,VC7,05/14/2021,10.09834,10.16611,10.03057,10.09834,76700
66,3272,VC7,05/17/2021,9.895019,10.03057,9.285051,9.285051,101900
67,3273,VC7,05/18/2021,9.488374,9.691696,9.149504,9.4206,88700
68,3274,VC7,05/19/2021,9.691696,9.691696,8.742859,8.742859,63700
69,3275,VC7,05/20/2021,8.810633,8.810633,7.92957,7.997344,119200
70,3276,VC7,05/21/2021,8.471763,8.742859,7.997344,8.742859,55600
71,3277,VC7,05/24/2021,9.4206,9.4206,8.810633,9.149504,17500
72,3278,VC7,05/25/2021,9.149504,9.149504,8.810633,9.081729,14900
73,3279,VC7,05/26/2021,9.081729,9.488374,8.471763,8.878407,27800
74,3280,VC7,05/27/2021,9.013955,9.013955,8.471763,8.539536,27700
75,3281,VC7,05/28/2021,8.539536,8.742859,8.26844,8.539536,37500
