,index,Ticker,Date,Open,High,Low,Close,Volume
0,2780,WSS,02/02/2021,4.1,4.5,3.8,4.2,36900
1,2781,WSS,02/03/2021,4.2,4.6,4.0,4.6,159800
2,2782,WSS,02/04/2021,4.7,5.0,4.6,4.8,91000
3,2783,WSS,02/05/2021,4.8,4.9,4.6,4.8,57700
4,2784,WSS,02/08/2021,4.8,4.9,4.4,4.5,179800
5,2785,WSS,02/09/2021,4.6,4.7,4.4,4.6,65900
6,2786,WSS,02/17/2021,4.6,4.9,4.6,4.9,69300
7,2787,WSS,02/18/2021,4.9,5.1,4.8,4.9,89700
8,2788,WSS,02/19/2021,4.8,4.9,4.7,4.8,113900
9,2789,WSS,02/22/2021,4.7,4.8,4.6,4.6,67900
10,2790,WSS,02/23/2021,4.6,4.8,4.6,4.8,52800
11,2791,WSS,02/24/2021,4.8,5.0,4.6,4.8,135100
12,2792,WSS,02/25/2021,4.8,4.8,4.6,4.8,25600
13,2793,WSS,02/26/2021,4.6,4.7,4.5,4.7,82700
14,2794,WSS,03/01/2021,4.7,4.8,4.6,4.8,98800
15,2795,WSS,03/02/2021,4.8,4.8,4.7,4.8,154600
16,2796,WSS,03/03/2021,4.8,5.2,4.8,5.2,458400
17,2797,WSS,03/04/2021,5.5,5.7,5.4,5.7,359000
18,2798,WSS,03/05/2021,5.9,6.1,5.8,6.0,218800
19,2799,WSS,03/08/2021,6.0,6.2,5.7,6.0,245900
20,2800,WSS,03/09/2021,5.9,6.0,5.6,5.9,103500
21,2801,WSS,03/10/2021,5.8,5.9,5.7,5.9,211800
22,2802,WSS,03/11/2021,5.9,6.2,5.7,6.1,367700
23,2803,WSS,03/12/2021,6.1,6.5,6.1,6.3,617600
24,2804,WSS,03/15/2021,6.3,6.4,6.2,6.3,214200
25,2805,WSS,03/16/2021,6.3,6.3,6.0,6.2,238900
26,2806,WSS,03/17/2021,6.0,6.2,6.0,6.1,165300
27,2807,WSS,03/18/2021,6.1,6.2,6.1,6.2,133800
28,2808,WSS,03/19/2021,6.2,6.5,6.1,6.4,463700
29,2809,WSS,03/22/2021,6.4,6.5,6.3,6.4,139300
30,2810,WSS,03/23/2021,6.4,6.5,6.3,6.5,266400
31,2811,WSS,03/24/2021,6.4,6.4,6.0,6.1,247900
32,2812,WSS,03/25/2021,6.0,6.2,5.9,6.0,261300
33,2813,WSS,03/26/2021,6.0,6.0,5.5,6.0,276300
34,2814,WSS,03/29/2021,6.1,6.3,5.9,6.3,377600
35,2815,WSS,03/30/2021,6.3,6.4,6.2,6.4,219700
36,2816,WSS,03/31/2021,6.3,6.4,6.0,6.3,387600
37,2817,WSS,04/01/2021,6.3,6.9,6.3,6.9,597900
38,2818,WSS,04/02/2021,7.5,7.5,7.4,7.5,287800
39,2819,WSS,04/05/2021,8.0,8.2,7.6,7.6,860400
40,2820,WSS,04/06/2021,7.6,8.3,7.2,8.3,684700
41,2821,WSS,04/07/2021,8.7,9.1,8.4,9.1,536100
42,2822,WSS,04/08/2021,9.0,9.1,8.5,8.8,365100
43,2823,WSS,04/09/2021,8.7,8.7,8.3,8.6,340500
44,2824,WSS,04/12/2021,8.5,9.0,8.4,8.8,360700
45,2825,WSS,04/13/2021,9.0,9.6,8.9,9.3,550700
46,2826,WSS,04/14/2021,9.3,9.6,8.8,9.5,312100
47,2827,WSS,04/15/2021,9.5,9.5,9.0,9.1,321200
48,2828,WSS,04/16/2021,9.2,9.2,8.6,8.6,329200
49,2829,WSS,04/19/2021,8.6,8.9,8.4,8.7,134200
50,2830,WSS,04/20/2021,8.7,9.0,8.4,8.6,129600
51,2831,WSS,04/22/2021,8.4,8.4,7.8,7.8,353100
52,2832,WSS,04/23/2021,7.5,7.9,7.1,7.9,163300
53,2833,WSS,04/26/2021,7.6,7.7,7.2,7.2,170000
54,2834,WSS,04/27/2021,6.9,7.0,6.6,6.7,162000
55,2835,WSS,04/28/2021,6.5,7.3,6.5,7.3,93300
56,2836,WSS,04/29/2021,7.2,7.8,7.2,7.5,60400
57,2837,WSS,05/04/2021,7.4,7.5,6.8,7.4,135800
58,2838,WSS,05/05/2021,7.4,8.0,7.2,7.8,234800
59,2839,WSS,05/06/2021,7.8,7.8,7.4,7.7,130400
60,2840,WSS,05/07/2021,7.2,7.5,7.0,7.0,186600
61,2841,WSS,05/10/2021,6.7,7.4,6.7,7.4,74700
62,2842,WSS,05/11/2021,7.6,7.6,7.2,7.4,54000
63,2843,WSS,05/12/2021,7.2,7.4,6.8,7.4,49200
64,2844,WSS,05/13/2021,7.4,7.4,7.1,7.4,72700
65,2845,WSS,05/14/2021,7.2,8.0,7.1,7.6,236300
66,2846,WSS,05/17/2021,7.6,7.8,7.3,7.5,39400
67,2847,WSS,05/18/2021,7.4,7.4,7.2,7.2,24900
68,2848,WSS,05/19/2021,7.1,7.3,7.1,7.3,55500
69,2849,WSS,05/20/2021,7.0,7.6,7.0,7.4,136700
70,2850,WSS,05/21/2021,7.4,7.6,7.2,7.4,32200
71,2851,WSS,05/24/2021,7.4,7.5,7.3,7.3,51000
72,2852,WSS,05/25/2021,7.3,7.6,7.2,7.4,154000
73,2853,WSS,05/26/2021,7.5,7.6,7.4,7.6,225600
74,2854,WSS,05/27/2021,7.7,8.3,7.6,8.3,656400
75,2855,WSS,05/28/2021,8.3,9.0,8.3,8.8,199800
76,2856,WSS,05/31/2021,8.8,9.6,8.5,9.6,522100
77,2857,WSS,06/01/2021,10.0,10.5,9.8,10.5,867900
78,2858,WSS,06/02/2021,10.6,10.6,9.5,10.0,289300
79,2859,WSS,06/03/2021,10.1,10.5,9.5,10.4,538400
80,2860,WSS,06/04/2021,10.4,10.4,9.6,9.6,304000
81,2861,WSS,06/07/2021,9.5,9.6,8.7,8.7,406700
82,2862,WSS,06/08/2021,8.6,8.9,8.0,8.0,211500
83,2863,WSS,06/09/2021,8.0,8.8,7.7,8.8,205900
84,2864,WSS,06/10/2021,9.3,9.3,8.6,8.9,145300
85,2865,WSS,06/11/2021,8.8,9.1,8.6,8.8,137000
86,2866,WSS,06/14/2021,8.8,9.2,8.5,9.0,261000
87,2867,WSS,06/15/2021,8.8,9.1,8.7,8.9,126400
88,2868,WSS,06/16/2021,9.7,9.7,8.6,8.8,98200
89,2869,WSS,06/17/2021,8.8,8.8,8.6,8.7,99500
90,2870,WSS,06/18/2021,8.8,8.8,8.5,8.6,201700
91,2871,WSS,06/21/2021,8.8,8.8,8.5,8.6,61200
92,2872,WSS,06/22/2021,8.5,8.8,8.5,8.7,65200
93,2873,WSS,06/23/2021,8.5,9.2,8.5,8.8,323100
94,2874,WSS,06/24/2021,9.0,9.0,8.8,8.8,32000
95,2875,WSS,06/25/2021,8.9,9.1,8.6,9.1,197200
96,2876,WSS,06/28/2021,9.1,9.5,9.0,9.0,103600
97,2877,WSS,06/29/2021,8.9,9.1,8.8,9.0,108100
98,2878,WSS,06/30/2021,9.0,9.0,8.7,8.8,49100
99,2879,WSS,07/01/2021,8.8,9.3,8.7,9.1,289600
100,2880,WSS,07/02/2021,9.2,10.0,9.1,10.0,565300
101,2881,WSS,07/05/2021,10.0,10.5,9.5,9.5,153700
102,2882,WSS,07/06/2021,9.6,9.6,8.8,8.8,217700
103,2883,WSS,07/07/2021,8.8,8.8,8.0,8.4,456000
104,2884,WSS,07/08/2021,8.4,8.7,8.1,8.3,67400
105,2885,WSS,07/09/2021,8.3,8.3,7.6,7.6,106900
106,2886,WSS,07/12/2021,7.9,7.9,6.9,6.9,186100
107,2887,WSS,07/13/2021,7.1,7.3,6.9,7.3,97200
108,2888,WSS,07/14/2021,7.5,7.5,7.1,7.3,27000
109,2889,WSS,07/15/2021,7.2,7.5,7.1,7.5,54700
110,2890,WSS,07/16/2021,7.5,7.6,7.2,7.3,59000
111,2891,WSS,07/19/2021,7.0,7.0,6.6,6.8,162600
112,2892,WSS,07/20/2021,6.8,7.1,6.4,7.1,62500
113,2893,WSS,07/21/2021,7.4,7.4,6.8,7.2,31100
114,2894,WSS,07/22/2021,7.0,7.4,7.0,7.2,107200
115,2895,WSS,07/23/2021,7.2,7.2,6.8,7.0,83400
116,2896,WSS,07/26/2021,6.7,7.0,6.7,7.0,25400
117,2897,WSS,07/27/2021,7.0,7.2,7.0,7.2,88100
118,2898,WSS,07/28/2021,7.2,7.3,7.0,7.1,81200
119,2899,WSS,07/29/2021,7.1,7.3,7.0,7.3,57600
120,2900,WSS,07/30/2021,7.2,7.4,7.2,7.2,169200
121,2901,WSS,08/02/2021,7.3,7.3,7.1,7.2,66700
122,2902,WSS,08/03/2021,7.3,7.4,7.1,7.4,106900
123,2903,WSS,08/04/2021,7.4,8.1,7.3,8.1,460900
124,2904,WSS,08/05/2021,8.3,8.5,8.1,8.2,124700
125,2905,WSS,08/06/2021,8.2,8.2,7.8,7.9,148200
126,2906,WSS,08/09/2021,7.7,8.1,7.6,8.0,246600
127,2907,WSS,08/10/2021,8.0,8.1,7.9,8.0,115600
128,2908,WSS,08/11/2021,7.9,8.0,7.8,8.0,242300
129,2909,WSS,08/12/2021,7.9,8.1,7.8,8.0,201500
130,2910,WSS,08/13/2021,7.9,8.4,7.9,8.4,378100
131,2911,WSS,08/16/2021,8.6,9.1,8.6,9.1,448700
132,2912,WSS,08/17/2021,9.1,9.4,8.6,8.8,246100
133,2913,WSS,08/18/2021,8.8,9.1,8.6,9.0,522000
134,2914,WSS,08/19/2021,9.0,9.9,9.0,9.9,614100
135,2915,WSS,08/20/2021,10.0,10.3,9.5,10.0,738400
136,2916,WSS,08/23/2021,10.0,11.0,9.8,11.0,530300
137,2917,WSS,08/24/2021,12.0,12.1,10.6,11.1,783200
138,2918,WSS,08/25/2021,11.1,11.1,10.0,10.4,291300
139,2919,WSS,08/26/2021,10.4,10.8,10.0,10.0,449900
140,2920,WSS,08/27/2021,10.0,10.7,9.5,10.7,359900
141,2921,WSS,08/30/2021,10.7,11.1,10.5,10.8,295600
142,2922,WSS,08/31/2021,10.8,10.8,10.4,10.5,241100
143,2923,WSS,09/01/2021,10.3,10.6,10.2,10.4,254700
144,2924,WSS,09/06/2021,10.4,10.9,10.3,10.7,315200
145,2925,WSS,09/07/2021,10.9,11.4,10.9,10.9,395700
146,2926,WSS,09/08/2021,10.9,11.3,10.4,10.9,255800
147,2927,WSS,09/09/2021,10.9,10.9,10.5,10.8,193800
148,2928,WSS,09/10/2021,10.8,11.0,10.8,10.8,215300
149,2929,WSS,09/13/2021,10.8,11.8,10.8,11.8,721200
150,2930,WSS,09/14/2021,12.1,12.9,11.6,12.1,433100
151,2931,WSS,09/15/2021,12.0,12.0,10.9,11.5,325500
152,2932,WSS,09/16/2021,11.5,11.5,11.0,11.5,279000
153,2933,WSS,09/17/2021,11.5,12.3,11.3,12.0,409100
154,2934,WSS,09/20/2021,12.1,12.6,11.9,12.1,390700
155,2935,WSS,09/21/2021,11.9,12.0,10.9,11.8,412000
156,2936,WSS,09/22/2021,11.8,12.8,11.6,12.7,513200
157,2937,WSS,09/23/2021,12.8,13.0,12.1,12.1,271400
158,2938,WSS,09/24/2021,12.1,12.4,12.0,12.1,357200
159,2939,WSS,09/27/2021,12.0,12.0,10.9,10.9,364000
160,2940,WSS,09/28/2021,10.4,11.2,10.1,11.1,254800
161,2941,WSS,09/29/2021,11.2,11.4,10.8,10.9,81500
162,2942,WSS,09/30/2021,10.9,11.3,10.8,10.9,143500
163,2943,WSS,10/01/2021,10.9,11.1,10.8,10.8,132500
164,2944,WSS,10/04/2021,10.8,10.8,10.4,10.8,206000
165,2945,WSS,10/05/2021,10.8,11.5,10.8,11.4,180900
166,2946,WSS,10/06/2021,11.4,11.4,11.0,11.3,97800
167,2947,WSS,10/07/2021,11.0,11.4,11.0,11.3,154400
168,2948,WSS,10/08/2021,11.3,11.4,11.0,11.2,241300
169,2949,WSS,10/11/2021,11.3,11.3,10.9,11.2,203600
170,2950,WSS,10/12/2021,11.2,11.3,11.0,11.2,116900
171,2951,WSS,10/13/2021,11.2,11.3,11.0,11.1,84500
172,2952,WSS,10/14/2021,11.1,11.7,10.9,11.5,324700
173,2953,WSS,10/15/2021,11.5,11.8,11.4,11.5,148600
174,2954,WSS,10/18/2021,11.5,12.0,11.3,11.6,237100
175,2955,WSS,10/19/2021,11.5,11.7,11.1,11.3,326200
176,2956,WSS,10/20/2021,11.2,11.4,11.1,11.3,147000
177,2957,WSS,10/21/2021,11.3,11.4,10.9,11.2,312900
178,2958,WSS,10/22/2021,11.1,11.5,11.0,11.1,228000
179,2959,WSS,10/25/2021,11.2,11.2,11.0,11.0,198400
180,2960,WSS,10/26/2021,11.0,11.3,10.9,11.1,185700
181,2961,WSS,10/27/2021,11.1,11.5,11.0,11.4,248700
182,2962,WSS,10/28/2021,11.5,11.5,11.2,11.4,332700
183,2963,WSS,10/29/2021,11.5,11.5,11.2,11.3,127300
184,2964,WSS,11/01/2021,11.5,12.4,11.3,12.4,714100
185,2965,WSS,11/02/2021,12.9,13.0,12.2,12.4,438100
186,2966,WSS,11/03/2021,12.4,12.8,11.7,11.7,325100
187,2967,WSS,11/04/2021,11.5,12.8,11.5,12.2,412000
188,2968,WSS,11/05/2021,12.2,12.4,12.0,12.2,254000
189,2969,WSS,11/08/2021,12.4,12.9,12.3,12.6,558200
190,2970,WSS,11/09/2021,12.4,12.7,12.3,12.5,310600
191,2971,WSS,11/10/2021,12.7,12.8,12.3,12.6,232100
192,2972,WSS,11/11/2021,12.5,12.7,12.2,12.5,329500
193,2973,WSS,11/12/2021,12.5,13.7,12.3,13.7,812400
194,2974,WSS,11/15/2021,13.7,15.0,13.7,15.0,665900
195,2975,WSS,11/16/2021,15.0,15.0,14.6,14.7,393500
196,2976,WSS,11/17/2021,14.7,15.4,13.9,15.0,475000
197,2977,WSS,11/18/2021,15.2,16.5,15.1,16.5,541100
