,index,Ticker,Date,Open,High,Low,Close,Volume
0,747,X20,02/01/2021,9.328407,9.328407,9.328407,9.328407,0
1,748,X20,02/02/2021,9.328407,9.328407,9.328407,9.328407,0
2,749,X20,02/03/2021,9.328407,9.328407,9.328407,9.328407,0
3,750,X20,02/04/2021,8.395566,8.395566,8.395566,8.395566,1000
4,751,X20,02/05/2021,8.395566,8.395566,8.395566,8.395566,0
5,752,X20,02/08/2021,8.395566,8.395566,8.395566,8.395566,0
6,753,X20,02/09/2021,8.395566,8.395566,8.395566,8.395566,0
7,754,X20,02/17/2021,7.632333,7.632333,7.632333,7.632333,1000
8,755,X20,02/18/2021,6.953903,7.038707,6.953903,7.038707,2400
9,756,X20,02/19/2021,6.784296,6.784296,6.784296,6.784296,300
10,757,X20,02/22/2021,6.19067,6.19067,6.19067,6.19067,100
11,758,X20,02/23/2021,6.19067,6.19067,6.19067,6.19067,0
12,759,X20,02/24/2021,6.784296,6.784296,6.784296,6.784296,200
13,760,X20,02/25/2021,7.038707,7.208314,7.038707,7.208314,300
14,761,X20,02/26/2021,7.208314,7.208314,7.208314,7.208314,0
15,762,X20,03/01/2021,7.208314,7.208314,7.208314,7.208314,0
16,763,X20,03/02/2021,7.208314,7.208314,7.208314,7.208314,600
17,764,X20,03/03/2021,7.377922,7.377922,7.377922,7.377922,400
18,765,X20,03/04/2021,7.377922,7.377922,7.377922,7.377922,200
19,766,X20,03/05/2021,7.377922,7.377922,7.377922,7.377922,0
20,767,X20,03/08/2021,7.377922,7.377922,7.377922,7.377922,0
21,768,X20,03/09/2021,7.377922,7.377922,7.377922,7.377922,0
22,769,X20,03/10/2021,7.462726,8.056352,7.462726,7.717137,3700
23,770,X20,03/11/2021,6.953903,6.953903,6.953903,6.953903,100
24,771,X20,03/12/2021,7.293118,7.293118,7.293118,7.293118,800
25,772,X20,03/15/2021,7.971548,7.971548,7.80194,7.80194,200
26,773,X20,03/16/2021,7.971548,8.056352,7.208314,8.056352,300
27,774,X20,03/17/2021,8.48037,8.48037,8.225959,8.225959,5000
28,775,X20,03/18/2021,8.225959,8.225959,8.225959,8.225959,0
29,776,X20,03/19/2021,8.056352,8.225959,8.056352,8.225959,2000
30,777,X20,03/22/2021,7.462726,7.547529,7.462726,7.547529,3800
31,778,X20,03/23/2021,8.056352,8.056352,8.056352,8.056352,100
32,779,X20,03/24/2021,8.056352,8.056352,8.056352,8.056352,0
33,780,X20,03/25/2021,7.971548,8.056352,7.632333,7.632333,1100
34,781,X20,03/26/2021,7.632333,7.632333,7.632333,7.632333,300
35,782,X20,03/29/2021,7.632333,7.632333,7.632333,7.632333,0
36,783,X20,03/30/2021,7.886744,7.886744,7.632333,7.632333,2300
37,784,X20,03/31/2021,7.632333,7.632333,7.632333,7.632333,2000
38,785,X20,04/01/2021,7.886744,7.886744,7.632333,7.632333,300
39,786,X20,04/02/2021,7.632333,7.632333,7.632333,7.632333,0
40,787,X20,04/05/2021,7.971548,7.971548,7.971548,7.971548,300
41,788,X20,04/06/2021,7.971548,8.141155,7.971548,8.141155,5700
42,789,X20,04/07/2021,8.141155,8.141155,8.141155,8.141155,0
43,790,X20,04/08/2021,8.141155,8.141155,8.141155,8.141155,11000
44,791,X20,04/09/2021,7.717137,8.48037,7.717137,7.886744,3600
45,792,X20,04/12/2021,7.123511,8.649978,7.123511,8.649978,2200
46,793,X20,04/13/2021,8.48037,8.48037,8.48037,8.48037,3000
47,794,X20,04/14/2021,8.310762,8.48037,8.310762,8.48037,4000
48,795,X20,04/15/2021,8.48037,8.48037,8.48037,8.48037,0
49,796,X20,04/16/2021,8.48037,8.48037,8.48037,8.48037,0
50,797,X20,04/19/2021,8.48037,8.48037,8.48037,8.48037,0
51,798,X20,04/20/2021,8.48037,8.48037,8.48037,8.48037,0
52,799,X20,04/22/2021,8.48037,8.48037,8.48037,8.48037,0
53,800,X20,04/23/2021,8.48037,8.48037,8.48037,8.48037,0
54,801,X20,04/26/2021,7.80194,7.80194,7.80194,7.80194,100
55,802,X20,04/27/2021,8.48037,8.48037,7.123511,7.123511,2800
56,803,X20,04/28/2021,6.614688,6.614688,6.614688,6.614688,100
57,804,X20,04/29/2021,6.614688,6.614688,6.614688,6.614688,0
58,805,X20,05/04/2021,7.208314,7.208314,7.208314,7.208314,1100
59,806,X20,05/05/2021,7.208314,7.208314,7.208314,7.208314,0
