,index,Ticker,Date,Open,High,Low,Close,Volume
0,1751,BID,02/02/2021,27.29909,28.03595,27.05346,27.61489,2497300.0
1,1752,BID,02/03/2021,28.14122,29.1237,27.86051,29.01844,1851900.0
2,1753,BID,02/04/2021,29.05353,29.19388,28.70264,29.1237,1378500.0
3,1754,BID,02/05/2021,29.1237,29.54477,28.98335,29.33424,1279600.0
4,1755,BID,02/08/2021,29.33424,29.47459,27.40435,28.14122,1874900.0
5,1756,BID,02/09/2021,28.42193,28.91317,27.86051,28.63246,1448500.0
6,1757,BID,02/17/2021,28.66755,29.54477,28.66755,29.54477,1439000.0
7,1758,BID,02/18/2021,29.61495,30.52726,29.26406,30.45708,2339700.0
8,1759,BID,02/19/2021,30.17637,31.22903,30.0711,30.94832,2027200.0
9,1760,BID,02/22/2021,30.94832,31.22903,30.66761,30.7027,1523800.0
10,1761,BID,02/23/2021,30.7027,30.94832,30.31672,30.87814,1533100.0
11,1762,BID,02/24/2021,30.80797,31.0185,29.89566,30.21146,1640000.0
12,1763,BID,02/25/2021,30.28164,30.73779,29.61495,30.14128,1733200.0
13,1764,BID,02/26/2021,30.03601,30.66761,29.68513,30.59743,1379500.0
14,1765,BID,03/01/2021,30.59743,31.15885,30.59743,30.94832,2251400.0
15,1766,BID,03/02/2021,31.22903,31.29921,30.77288,30.91323,2124000.0
16,1767,BID,03/03/2021,30.91323,31.0185,30.66761,30.73779,1583800.0
17,1768,BID,03/04/2021,30.87814,31.05359,29.68513,30.00092,2089500.0
18,1769,BID,03/05/2021,30.00092,30.3869,29.47459,29.7553,1857200.0
19,1770,BID,03/08/2021,30.45708,30.45708,29.68513,29.79039,1595300.0
20,1771,BID,03/09/2021,29.7553,29.7553,29.1237,29.36933,2430700.0
21,1772,BID,03/10/2021,29.47459,29.61495,29.05353,29.47459,2056500.0
22,1773,BID,03/11/2021,29.96584,30.59743,29.86057,30.3869,1672400.0
23,1774,BID,03/12/2021,30.52726,30.66761,30.24655,30.42199,2536400.0
24,1775,BID,03/15/2021,30.52726,30.59743,30.03601,30.17637,2779700.0
25,1776,BID,03/16/2021,30.17637,30.31672,29.68513,29.7553,2223700.0
26,1777,BID,03/17/2021,29.82548,30.45708,29.4395,30.3869,4346500.0
27,1778,BID,03/18/2021,30.87814,31.79045,30.56235,31.57992,5666500.0
28,1779,BID,03/19/2021,31.57992,31.86063,31.36939,31.57992,2885400.0
29,1780,BID,03/22/2021,31.57992,31.57992,31.22903,31.3343,2562800.0
30,1781,BID,03/23/2021,31.22903,31.26412,30.24655,30.66761,4549300.0
31,1782,BID,03/24/2021,30.17637,30.3869,29.40442,29.57986,3341900.0
32,1783,BID,03/25/2021,29.82548,30.14128,29.4395,29.65004,2369000.0
33,1784,BID,03/26/2021,29.4395,29.7553,28.42193,29.54477,2445100.0
34,1785,BID,03/29/2021,29.82548,29.93075,29.57986,29.86057,1347900.0
35,1786,BID,03/30/2021,30.17637,30.21146,29.68513,30.0711,2304200.0
36,1787,BID,03/31/2021,30.14128,30.49217,30.03601,30.14128,2170100.0
37,1788,BID,04/01/2021,30.17637,30.87814,30.17637,30.84306,3706500.0
38,1789,BID,04/02/2021,31.15885,31.93081,30.91323,31.57992,5794100.0
39,1790,BID,04/05/2021,32.07116,32.21152,31.6501,31.9659,5969400.0
40,1791,BID,04/06/2021,31.86063,32.45714,31.61501,32.10625,4113800.0
41,1792,BID,04/07/2021,32.07116,32.10625,31.82554,31.9659,2609000.0
42,1793,BID,04/08/2021,32.07116,32.14134,31.36939,31.43957,4412400.0
43,1794,BID,04/09/2021,31.36939,31.43957,30.91323,31.08868,4489700.0
44,1795,BID,04/12/2021,31.22903,31.79045,30.94832,31.40448,5149300.0
45,1796,BID,04/13/2021,31.57992,31.6501,30.52726,30.63252,3952000.0
46,1797,BID,04/14/2021,30.52726,31.08868,30.17637,30.87814,2839300.0
47,1798,BID,04/15/2021,30.94832,31.0185,30.17637,30.21146,3705100.0
48,1799,BID,04/16/2021,30.0711,30.52726,29.36933,29.47459,4667300.0
49,1800,BID,04/19/2021,29.47459,30.24655,29.33424,30.17637,3194000.0
50,1801,BID,04/20/2021,30.24655,30.87814,30.14128,30.31672,2676100.0
51,1802,BID,04/22/2021,30.31672,30.31672,28.77282,28.77282,2929700.0
52,1803,BID,04/23/2021,28.77282,29.57986,28.66755,29.47459,3078200.0
53,1804,BID,04/26/2021,29.29915,29.47459,28.42193,28.42193,3328300.0
54,1805,BID,04/27/2021,28.42193,28.63246,28.2114,28.31666,1978500.0
55,1806,BID,04/28/2021,28.31666,28.70264,28.31666,28.49211,1379200.0
56,1807,BID,04/29/2021,28.49211,29.40442,28.49211,28.77282,1949100.0
57,1808,BID,05/04/2021,28.07104,29.33424,28.07104,28.98335,2171900.0
58,1809,BID,05/05/2021,29.26406,29.72021,29.1237,29.40442,2692200.0
59,1810,BID,05/06/2021,29.40442,29.40442,28.91317,28.94826,2246100.0
60,1811,BID,05/07/2021,28.49211,28.91317,28.42193,28.52719,3706600.0
61,1812,BID,05/10/2021,28.42193,29.1237,28.31666,29.05353,3027800.0
62,1813,BID,05/11/2021,29.47459,30.52726,29.33424,29.54477,5349300.0
63,1814,BID,05/12/2021,29.47459,29.96584,29.33424,29.93075,3331500.0
64,1815,BID,05/13/2021,29.82548,30.45708,29.47459,29.89566,3483900.0
65,1816,BID,05/14/2021,30.03601,30.17637,29.68513,29.72021,2724600.0
66,1817,BID,05/17/2021,29.82548,30.17637,29.26406,29.33424,2992400.0
67,1818,BID,05/18/2021,29.26406,29.26406,28.63246,28.70264,3903100.0
68,1819,BID,05/19/2021,28.77282,29.05353,28.49211,28.70264,2872100.0
69,1820,BID,05/20/2021,28.70264,29.40442,28.07104,29.36933,3495000.0
70,1821,BID,05/21/2021,29.47459,31.40448,29.36933,31.40448,13027500.0
71,1822,BID,05/24/2021,31.93081,32.5624,31.93081,32.2817,6994100.0
72,1823,BID,05/25/2021,32.2817,32.8782,31.89572,32.77294,6329600.0
73,1824,BID,05/26/2021,32.77294,33.05365,32.42205,32.73785,7369800.0
74,1825,BID,05/27/2021,32.84312,32.84312,31.61501,31.86063,5862300.0
75,1826,BID,05/28/2021,32.00098,33.47472,31.50974,33.08874,7857000.0
76,1827,BID,05/31/2021,33.54489,34.24667,33.33436,34.17649,5597900.0
77,1828,BID,06/01/2021,34.28176,34.38702,33.68525,33.68525,4096100.0
78,1829,BID,06/02/2021,33.194,33.65016,33.12383,33.26418,6043600.0
79,1830,BID,06/03/2021,33.54489,34.73791,33.26418,34.24667,6715400.0
80,1831,BID,06/04/2021,34.17649,34.73791,33.68525,34.38702,5939600.0
81,1832,BID,06/07/2021,34.03614,34.10631,32.00098,32.84312,5275100.0
82,1833,BID,06/08/2021,32.9133,33.12383,31.36939,31.43957,5685400.0
83,1834,BID,06/09/2021,31.57992,32.07116,30.87814,31.89572,4454300.0
84,1835,BID,06/10/2021,31.89572,32.00098,30.80797,30.80797,4463400.0
85,1836,BID,06/11/2021,30.87814,31.75536,30.52726,31.72028,6390300.0
86,1837,BID,06/14/2021,31.93081,32.00098,31.3343,31.50974,3394300.0
87,1838,BID,06/15/2021,31.40448,31.68519,30.87814,31.50974,3257000.0
88,1839,BID,06/16/2021,31.36939,32.77294,31.0185,31.79045,4217600.0
89,1840,BID,06/17/2021,31.29921,32.52732,31.29921,32.21152,3579300.0
90,1841,BID,06/18/2021,32.45714,32.63258,32.07116,32.38696,3200200.0
91,1842,BID,06/21/2021,32.21152,32.2817,31.47465,31.57992,4237600.0
92,1843,BID,06/22/2021,31.79045,31.89572,31.50974,31.57992,2781900.0
93,1844,BID,06/23/2021,31.50974,32.5624,31.50974,31.86063,2574200.0
94,1845,BID,06/24/2021,31.86063,32.21152,31.57992,31.72028,2110700.0
95,1846,BID,06/25/2021,31.6501,32.2817,31.36939,31.9659,2572300.0
96,1847,BID,06/28/2021,32.2817,33.05365,32.03608,32.9133,6685100.0
97,1848,BID,06/29/2021,32.98347,33.61507,32.70276,32.9133,3945700.0
98,1849,BID,06/30/2021,32.9133,33.29927,32.8782,33.15892,4001800.0
99,1850,BID,07/01/2021,33.33436,33.43962,32.8782,33.194,4601600.0
100,1851,BID,07/02/2021,33.33436,33.5098,32.9133,33.01856,4204700.0
101,1852,BID,07/05/2021,33.01856,33.01856,31.72028,32.73785,3489500.0
102,1853,BID,07/06/2021,32.9133,34.10631,30.87814,30.87814,6896000.0
103,1854,BID,07/07/2021,31.22903,32.03608,30.59743,31.93081,3943600.0
104,1855,BID,07/08/2021,31.93081,32.38696,31.54483,32.14134,2127400.0
105,1856,BID,07/09/2021,31.72028,32.2817,30.87814,31.50974,3587800.0
106,1857,BID,07/12/2021,31.29921,31.29921,29.33424,29.47459,6021800.0
107,1858,BID,07/13/2021,29.82548,30.00092,29.15879,29.7553,1982500.0
108,1859,BID,07/14/2021,29.82548,29.96584,28.77282,29.89566,1788900.0
109,1860,BID,07/15/2021,29.50968,30.28164,29.47459,29.96584,1793200.0
110,1861,BID,07/16/2021,30.03601,30.17637,29.82548,29.82548,1416400.0
111,1862,BID,07/19/2021,28.84299,29.40442,27.82542,27.82542,2960800.0
112,1863,BID,07/20/2021,27.86051,28.77282,27.29909,28.77282,2713600.0
113,1864,BID,07/21/2021,29.05353,29.05353,28.42193,28.56228,1157700.0
114,1865,BID,07/22/2021,28.49211,28.84299,28.49211,28.77282,1700900.0
115,1866,BID,07/23/2021,28.70264,29.1237,28.2114,28.2114,1823500.0
116,1867,BID,07/26/2021,28.07104,28.31666,27.72015,28.07104,1436900.0
