,index,Ticker,Date,Open,High,Low,Close,Volume
0,2049,C32,02/01/2021,20.54063,20.62447,20.03759,20.12143,104500
1,2050,C32,02/02/2021,19.91183,20.37295,19.91183,20.28911,93300
2,2051,C32,02/03/2021,20.41487,21.29518,20.33103,21.00175,103300
3,2052,C32,02/04/2021,21.04366,21.1275,20.62447,21.04366,167500
4,2053,C32,02/05/2021,21.04366,21.29518,20.83407,21.21134,68400
5,2054,C32,02/08/2021,21.21134,21.37902,20.58255,20.87599,97700
6,2055,C32,02/09/2021,20.87599,21.1275,20.62447,21.1275,74600
7,2056,C32,02/17/2021,21.21134,21.7563,21.04366,21.7563,122600
8,2057,C32,02/18/2021,21.7563,21.92398,21.37902,21.79822,115500
9,2058,C32,02/19/2021,21.79822,22.80429,21.42094,22.72045,216000
10,2059,C32,02/22/2021,23.01389,23.13965,22.63661,22.80429,160600
11,2060,C32,02/23/2021,22.80429,22.80429,22.38509,22.55277,122800
12,2061,C32,02/24/2021,22.55277,22.63661,22.09166,22.38509,114600
13,2062,C32,02/25/2021,22.63661,22.72045,22.21741,22.55277,88800
14,2063,C32,02/26/2021,22.38509,23.64268,22.04974,23.475,303300
15,2064,C32,03/01/2021,23.72652,23.93612,23.39116,23.55884,206600
16,2065,C32,03/02/2021,23.64268,23.76844,23.43308,23.72652,171600
17,2066,C32,03/03/2021,23.64268,23.64268,22.80429,23.39116,142700
18,2067,C32,03/04/2021,23.39116,23.39116,22.63661,22.76237,123900
19,2068,C32,03/05/2021,22.72045,23.13965,22.63661,23.13965,126400
20,2069,C32,03/08/2021,23.13965,24.27148,23.09773,23.97804,637000
21,2070,C32,03/09/2021,23.97804,24.64875,23.97804,24.35532,434000
22,2071,C32,03/10/2021,24.35532,24.48108,24.14572,24.27148,216300
23,2072,C32,03/11/2021,24.3134,24.60683,23.93612,24.56491,269100
24,2073,C32,03/12/2021,24.35532,24.64875,24.1038,24.22956,170600
25,2074,C32,03/15/2021,24.22956,24.22956,23.81036,24.1038,147300
26,2075,C32,03/16/2021,23.8942,24.1038,23.81036,24.06188,306100
27,2076,C32,03/17/2021,24.06188,24.06188,23.72652,24.06188,111900
28,2077,C32,03/18/2021,24.14572,24.22956,24.01996,24.06188,95400
29,2078,C32,03/19/2021,24.01996,24.14572,23.8942,23.97804,98900
30,2079,C32,03/22/2021,24.06188,24.64875,23.93612,24.18764,323100
31,2080,C32,03/23/2021,24.3134,25.02603,24.22956,24.64875,657100
32,2081,C32,03/24/2021,24.64875,24.94219,24.14572,24.14572,287600
33,2082,C32,03/25/2021,24.18764,24.3134,22.63661,23.72652,192200
34,2083,C32,03/26/2021,22.88813,23.8942,22.46893,23.30733,228700
35,2084,C32,03/29/2021,23.30733,23.97804,23.22349,23.97804,161100
36,2085,C32,03/30/2021,24.35532,24.35532,23.6846,24.06188,116800
37,2086,C32,03/31/2021,23.93612,24.1038,23.475,23.81036,91900
38,2087,C32,04/01/2021,24.06188,24.06188,23.72652,23.8942,151200
39,2088,C32,04/02/2021,23.97804,24.06188,23.72652,23.8942,169300
40,2089,C32,04/05/2021,23.97804,24.01996,23.55884,23.85228,156700
41,2090,C32,04/06/2021,23.97804,23.97804,23.475,23.72652,133400
42,2091,C32,04/07/2021,23.475,23.81036,23.475,23.72652,116700
43,2092,C32,04/08/2021,23.72652,23.72652,23.55884,23.6846,88000
44,2093,C32,04/09/2021,23.6846,23.6846,23.43308,23.60076,160100
45,2094,C32,04/12/2021,23.64268,24.43916,23.22349,24.27148,521000
46,2095,C32,04/13/2021,24.22956,24.22956,23.55884,23.81036,143100
47,2096,C32,04/14/2021,23.51692,23.85228,23.39116,23.85228,66900
48,2097,C32,04/15/2021,23.8942,23.8942,23.39116,23.43308,135600
49,2098,C32,04/16/2021,23.30733,23.475,22.38509,22.63661,223200
50,2099,C32,04/19/2021,22.63661,23.475,22.21741,23.39116,151300
51,2100,C32,04/20/2021,23.39116,23.39116,22.88813,22.88813,89300
52,2101,C32,04/22/2021,22.84621,23.13965,22.51085,22.51085,134600
53,2102,C32,04/23/2021,22.38509,22.63661,22.30125,22.59469,75300
54,2103,C32,04/26/2021,22.55277,22.76237,22.46893,22.59469,86700
55,2104,C32,04/27/2021,22.59469,22.63661,22.34317,22.59469,85500
56,2105,C32,04/28/2021,22.30125,22.42701,21.9659,22.13358,153200
57,2106,C32,04/29/2021,22.09166,22.09166,21.79822,22.04974,122500
58,2107,C32,05/04/2021,21.5467,21.71438,21.37902,21.63054,85100
59,2108,C32,05/05/2021,22.04974,22.04974,21.63054,21.88206,114000
60,2109,C32,05/06/2021,21.9659,22.04974,21.71438,21.88206,82700
61,2110,C32,05/07/2021,21.71438,21.71438,21.50478,21.67246,75200
62,2111,C32,05/10/2021,21.63054,21.63054,21.1275,21.63054,111000
63,2112,C32,05/11/2021,21.63054,21.79822,21.37902,21.7563,32600
64,2113,C32,05/12/2021,21.7563,21.7563,21.58862,21.7563,42100
65,2114,C32,05/13/2021,21.58862,21.79822,21.58862,21.63054,63500
66,2115,C32,05/14/2021,21.63054,21.63054,21.46286,21.46286,54100
67,2116,C32,05/17/2021,21.42094,21.46286,21.3371,21.3371,140000
68,2117,C32,05/18/2021,21.25326,21.29518,20.95983,21.04366,126200
69,2118,C32,05/19/2021,21.04366,21.25326,20.95983,21.21134,44700
70,2119,C32,05/20/2021,21.21134,21.3371,21.00175,21.04366,86700
71,2120,C32,05/21/2021,21.04366,21.42094,21.04366,21.37902,62200
72,2121,C32,05/24/2021,21.37902,21.79822,21.37902,21.71438,49200
73,2122,C32,05/25/2021,21.88206,21.9659,21.5467,21.79822,59500
74,2123,C32,05/26/2021,21.88206,21.88206,21.50478,21.67246,30700
75,2124,C32,05/27/2021,21.71438,21.71438,21.21134,21.21134,137100
76,2125,C32,05/28/2021,21.71438,21.71438,21.21134,21.29518,26700
77,2126,C32,05/31/2021,21.29518,21.50478,21.16942,21.16942,43600
78,2127,C32,06/01/2021,21.16942,21.37902,21.00175,21.16942,86800
79,2128,C32,06/02/2021,21.16942,21.21134,21.08558,21.1275,43800
80,2129,C32,06/03/2021,21.92398,21.92398,21.16942,21.46286,48600
81,2130,C32,06/04/2021,21.71438,21.71438,21.25326,21.29518,63100
82,2131,C32,06/07/2021,21.29518,21.5467,21.29518,21.3371,53700
83,2132,C32,06/08/2021,21.37902,21.46286,21.29518,21.3371,70400
84,2133,C32,06/09/2021,21.3371,21.79822,21.1275,21.5467,98600
85,2134,C32,06/10/2021,21.5467,21.58862,21.29518,21.37902,36900
86,2135,C32,06/11/2021,21.37902,21.5467,21.37902,21.50478,60200
87,2136,C32,06/14/2021,21.58862,22.63661,21.58862,22.1755,255600
88,2137,C32,06/15/2021,22.51085,22.51085,22.04974,22.21741,67500
89,2138,C32,06/16/2021,22.21741,22.55277,21.79822,22.55277,271800
90,2139,C32,06/17/2021,22.63661,22.63661,21.88206,22.30125,189900
91,2140,C32,06/18/2021,22.30123,23.00363,22.30123,22.65243,195400
92,2141,C32,06/21/2021,22.47683,22.65243,22.34513,22.65243,110300
93,2142,C32,06/22/2021,22.65243,22.65243,22.03782,22.30123,133900
94,2143,C32,06/23/2021,22.30123,22.30123,21.68662,22.30123,149800
95,2144,C32,06/24/2021,21.95003,21.95003,21.81833,21.86222,116000
96,2145,C32,06/25/2021,21.77443,21.86222,21.68662,21.86222,71000
97,2146,C32,06/28/2021,21.95003,21.95003,21.59883,21.77443,61500
98,2147,C32,06/29/2021,21.68662,21.68662,21.55492,21.55492,138100
99,2148,C32,06/30/2021,21.55492,21.59883,21.51102,21.55492,35100
100,2149,C32,07/01/2021,21.59883,21.59883,21.42322,21.51102,36600
