,index,Ticker,Date,Open,High,Low,Close,Volume
0,2867,CSM,02/02/2021,16.3072,16.77312,15.84128,16.67994,54900
1,2868,CSM,02/03/2021,15.93446,17.05267,15.93446,16.77312,60000
2,2869,CSM,02/04/2021,16.77312,17.23904,15.84128,16.58675,113300
3,2870,CSM,02/05/2021,17.28563,17.28563,16.77312,17.14586,34800
4,2871,CSM,02/08/2021,17.14586,17.14586,16.49357,16.67994,31600
5,2872,CSM,02/09/2021,16.67994,17.05267,16.67994,16.95949,66600
6,2873,CSM,02/17/2021,16.95949,17.33222,16.95949,17.23904,71000
7,2874,CSM,02/18/2021,17.51859,17.89133,17.23904,17.51859,178200
8,2875,CSM,02/19/2021,17.51859,17.98451,17.42541,17.70496,88500
9,2876,CSM,02/22/2021,17.70496,17.70496,17.56518,17.70496,58700
10,2877,CSM,02/23/2021,17.70496,18.12429,17.70496,17.89133,151700
11,2878,CSM,02/24/2021,18.26406,18.26406,16.95949,17.42541,63300
12,2879,CSM,02/25/2021,17.70496,17.70496,17.23904,17.61178,63900
13,2880,CSM,02/26/2021,16.77312,17.42541,16.77312,17.33222,36500
14,2881,CSM,03/01/2021,16.77312,17.56518,16.77312,17.56518,53800
15,2882,CSM,03/02/2021,18.35725,18.45043,17.70496,17.98451,126100
16,2883,CSM,03/03/2021,17.98451,18.17088,17.89133,17.98451,37600
17,2884,CSM,03/04/2021,17.98451,17.98451,17.51859,17.51859,40800
18,2885,CSM,03/05/2021,17.51859,17.89133,17.51859,17.79814,91100
19,2886,CSM,03/08/2021,18.17088,18.17088,17.79814,17.89133,71000
20,2887,CSM,03/09/2021,17.70496,17.89133,17.51859,17.70496,51200
21,2888,CSM,03/10/2021,17.65837,18.17088,17.65837,17.98451,87200
22,2889,CSM,03/11/2021,17.98451,18.17088,17.79814,17.79814,32900
23,2890,CSM,03/12/2021,17.98451,17.98451,17.51859,17.70496,35700
24,2891,CSM,03/15/2021,17.79814,17.89133,17.51859,17.89133,36700
25,2892,CSM,03/16/2021,17.98451,17.98451,17.33222,17.84474,61800
26,2893,CSM,03/17/2021,17.84474,17.84474,17.70496,17.70496,38800
27,2894,CSM,03/18/2021,17.70496,17.98451,17.28563,17.84474,44300
28,2895,CSM,03/19/2021,17.84474,17.98451,17.61178,17.89133,83400
29,2896,CSM,03/22/2021,17.98451,18.82317,17.98451,18.72998,347200
30,2897,CSM,03/23/2021,18.72998,18.82317,18.26406,18.40384,120100
31,2898,CSM,03/24/2021,18.40384,18.40384,17.70496,17.98451,28500
32,2899,CSM,03/25/2021,17.98451,18.26406,17.70496,18.0777,116000
33,2900,CSM,03/26/2021,17.79814,18.12429,17.23904,17.61178,60000
34,2901,CSM,03/29/2021,17.61178,17.79814,17.51859,17.70496,72500
35,2902,CSM,03/30/2021,17.70496,17.70496,17.51859,17.51859,40300
36,2903,CSM,03/31/2021,17.51859,17.70496,17.33222,17.61178,27900
37,2904,CSM,04/01/2021,17.61178,17.70496,17.51859,17.56518,50500
38,2905,CSM,04/02/2021,17.70496,17.89133,17.56518,17.56518,75600
39,2906,CSM,04/05/2021,17.70496,17.70496,17.51859,17.56518,25800
40,2907,CSM,04/06/2021,17.56518,17.61178,17.42541,17.51859,64400
41,2908,CSM,04/07/2021,17.37882,17.61178,17.23904,17.33222,59200
42,2909,CSM,04/08/2021,17.33222,17.37882,17.14586,17.28563,52000
43,2910,CSM,04/09/2021,17.33222,17.472,16.77312,17.33222,77700
44,2911,CSM,04/12/2021,17.472,17.79814,17.33222,17.70496,118500
45,2912,CSM,04/13/2021,17.79814,17.79814,17.33222,17.33222,42700
46,2913,CSM,04/14/2021,17.23904,17.65837,16.8663,17.61178,79300
47,2914,CSM,04/15/2021,17.51859,17.61178,17.33222,17.61178,46200
48,2915,CSM,04/16/2021,17.61178,17.61178,17.14586,17.19245,21800
49,2916,CSM,04/19/2021,17.23904,17.23904,16.77312,17.19245,37900
50,2917,CSM,04/20/2021,17.14586,17.65837,16.77312,17.23904,14300
51,2918,CSM,04/22/2021,17.23904,17.23904,16.67994,16.95949,67400
52,2919,CSM,04/23/2021,17.33222,17.33222,16.40038,17.14586,17200
53,2920,CSM,04/26/2021,17.23904,17.33222,16.35379,16.35379,66700
54,2921,CSM,04/27/2021,16.35379,16.77312,16.35379,16.77312,31500
55,2922,CSM,04/28/2021,16.77312,17.93792,16.49357,17.70496,91400
56,2923,CSM,04/29/2021,17.51859,17.75155,17.42541,17.42541,81200
57,2924,CSM,05/04/2021,16.77312,17.33222,16.77312,17.23904,9500
58,2925,CSM,05/05/2021,17.23904,17.42541,16.81971,17.33222,29000
59,2926,CSM,05/06/2021,17.23904,17.51859,17.09926,17.33222,51500
