,index,Ticker,Date,Open,High,Low,Close,Volume
0,2305,FLC,01/05/2021,4.52,4.6,4.48,4.49,18797400.0
1,2306,FLC,01/06/2021,4.5,4.53,4.38,4.39,22116400.0
2,2307,FLC,01/07/2021,4.38,4.55,4.38,4.43,13101500.0
3,2308,FLC,01/08/2021,4.48,4.55,4.43,4.44,12386000.0
4,2309,FLC,01/11/2021,4.51,4.75,4.47,4.75,31098200.0
5,2310,FLC,01/12/2021,4.99,5.05,4.83,5.02,21627800.0
6,2311,FLC,01/13/2021,5.02,5.23,4.91,4.91,26281100.0
7,2312,FLC,01/14/2021,4.9,5.01,4.78,4.93,20222600.0
8,2313,FLC,01/15/2021,5.0,5.18,4.95,5.18,24099200.0
9,2314,FLC,01/18/2021,5.5,5.54,5.45,5.54,22645300.0
10,2315,FLC,01/19/2021,5.7,5.7,5.16,5.28,36892700.0
11,2316,FLC,01/20/2021,5.4,5.4,4.92,5.13,30895700.0
12,2317,FLC,01/21/2021,5.29,5.48,5.17,5.48,22267300.0
13,2318,FLC,01/22/2021,5.63,5.86,5.56,5.86,57389700.0
14,2319,FLC,01/25/2021,5.95,6.27,5.91,6.27,33384800.0
15,2320,FLC,01/26/2021,6.3,6.7,6.0,6.7,34691700.0
16,2321,FLC,01/27/2021,6.69,7.16,6.4,7.15,45589500.0
17,2322,FLC,01/28/2021,6.65,7.0,6.65,6.65,28417700.0
18,2323,FLC,01/29/2021,6.19,6.4,6.19,6.19,55629400.0
19,2324,FLC,02/01/2021,6.1,6.57,5.76,5.76,29993600.0
20,2325,FLC,02/02/2021,5.76,6.16,5.4,6.16,26862300.0
21,2326,FLC,02/03/2021,6.39,6.45,6.2,6.2,18653300.0
22,2327,FLC,02/04/2021,6.16,6.45,6.03,6.1,10679400.0
23,2328,FLC,02/05/2021,6.13,6.52,6.04,6.52,29833600.0
24,2329,FLC,02/08/2021,6.65,6.84,6.08,6.1,29496000.0
25,2330,FLC,02/09/2021,6.1,6.39,6.03,6.39,10867800.0
26,2331,FLC,02/17/2021,6.4,6.74,6.3,6.7,18891700.0
27,2332,FLC,02/18/2021,6.65,6.71,6.29,6.3,30338300.0
28,2333,FLC,02/19/2021,6.25,6.4,6.08,6.08,13325300.0
29,2334,FLC,02/22/2021,6.15,6.35,6.14,6.32,13097000.0
30,2335,FLC,02/23/2021,6.35,6.44,6.1,6.15,18229200.0
31,2336,FLC,02/24/2021,6.25,6.27,6.05,6.05,12131300.0
32,2337,FLC,02/25/2021,6.09,6.18,6.05,6.1,8511900.0
33,2338,FLC,02/26/2021,6.0,6.35,6.0,6.29,14510300.0
34,2339,FLC,03/01/2021,6.3,6.5,6.22,6.5,17363600.0
35,2340,FLC,03/02/2021,6.5,6.52,6.1,6.1,15788200.0
36,2341,FLC,03/03/2021,6.21,6.52,6.15,6.52,21569500.0
37,2342,FLC,03/04/2021,6.63,6.8,6.41,6.55,23654300.0
38,2343,FLC,03/05/2021,6.49,6.56,6.19,6.3,15709800.0
39,2344,FLC,03/08/2021,6.48,6.5,6.31,6.35,8243100.0
40,2345,FLC,03/09/2021,6.36,6.68,6.35,6.5,14575800.0
41,2346,FLC,03/10/2021,6.5,6.65,6.45,6.59,14028300.0
42,2347,FLC,03/11/2021,6.4,6.68,6.35,6.62,27336400.0
43,2348,FLC,03/12/2021,6.9,6.98,6.75,6.9,22284800.0
44,2349,FLC,03/15/2021,7.19,7.38,7.15,7.38,34200700.0
45,2350,FLC,03/16/2021,7.69,7.75,7.45,7.7,33384000.0
46,2351,FLC,03/17/2021,7.6,7.79,7.17,7.2,51129400.0
47,2352,FLC,03/18/2021,7.25,7.56,7.05,7.5,22217100.0
48,2353,FLC,03/19/2021,7.49,8.02,7.39,8.02,26294900.0
49,2354,FLC,03/22/2021,8.3,8.58,8.2,8.58,45886600.0
50,2355,FLC,03/23/2021,8.78,9.18,8.6,9.18,45073300.0
51,2356,FLC,03/24/2021,9.1,9.81,8.9,9.79,42615000.0
52,2357,FLC,03/25/2021,9.51,10.45,9.36,10.45,55471500.0
53,2358,FLC,03/26/2021,10.45,11.15,10.1,11.05,52547400.0
54,2359,FLC,03/29/2021,11.4,11.8,11.2,11.8,37992700.0
