,index,Ticker,Date,Open,High,Low,Close,Volume
0,1474,FUCVREIT,01/31/2023,7.0,7.0,7.0,7.0,0
1,285,FUCTVGF3,01/31/2023,16.8,16.8,16.8,16.8,0
2,82,FUCTVGF4,01/31/2023,14.85,14.85,14.85,14.85,0
3,286,FUCTVGF3,02/01/2023,16.8,16.8,16.8,16.8,0
4,83,FUCTVGF4,02/01/2023,14.85,14.85,14.85,14.85,0
5,1475,FUCVREIT,02/01/2023,7.15,7.48,7.0,7.48,900
6,287,FUCTVGF3,02/02/2023,16.8,16.8,16.8,16.8,0
7,84,FUCTVGF4,02/02/2023,14.85,14.85,14.85,14.85,0
8,1476,FUCVREIT,02/02/2023,7.48,7.48,7.48,7.48,0
9,288,FUCTVGF3,02/03/2023,16.8,16.8,16.8,16.8,0
10,85,FUCTVGF4,02/03/2023,14.85,14.85,14.85,14.85,0
11,1477,FUCVREIT,02/03/2023,7.98,7.98,7.48,7.48,200
12,289,FUCTVGF3,02/06/2023,16.8,16.8,16.8,16.8,0
13,1478,FUCVREIT,02/06/2023,7.48,7.48,7.48,7.48,0
14,86,FUCTVGF4,02/06/2023,14.85,14.85,14.85,14.85,0
15,1479,FUCVREIT,02/07/2023,7.48,7.48,7.48,7.48,0
16,290,FUCTVGF3,02/07/2023,16.8,16.8,16.8,16.8,0
17,87,FUCTVGF4,02/07/2023,14.85,14.85,14.85,14.85,0
18,1480,FUCVREIT,02/08/2023,7.48,7.48,7.48,7.48,0
19,291,FUCTVGF3,02/08/2023,16.8,16.8,16.8,16.8,0
20,88,FUCTVGF4,02/08/2023,14.85,14.85,14.85,14.85,0
21,89,FUCTVGF4,02/09/2023,14.85,14.85,14.85,14.85,0
22,1481,FUCVREIT,02/09/2023,6.97,6.97,6.97,6.97,100
23,292,FUCTVGF3,02/09/2023,16.8,16.8,16.8,16.8,0
24,90,FUCTVGF4,02/10/2023,14.85,14.85,14.85,14.85,0
25,1482,FUCVREIT,02/10/2023,6.97,7.2,6.97,7.2,300
26,293,FUCTVGF3,02/10/2023,16.8,16.8,16.8,16.8,0
27,1483,FUCVREIT,02/13/2023,7.2,7.2,6.89,6.89,2700
28,294,FUCTVGF3,02/13/2023,16.8,16.8,16.8,16.8,0
29,91,FUCTVGF4,02/13/2023,14.85,14.85,14.85,14.85,0
30,92,FUCTVGF4,02/14/2023,14.85,14.85,14.85,14.85,0
31,295,FUCTVGF3,02/14/2023,16.8,16.8,16.8,16.8,0
32,1484,FUCVREIT,02/14/2023,7.37,7.37,7.37,7.37,100
33,93,FUCTVGF4,02/15/2023,14.85,14.85,14.85,14.85,0
34,296,FUCTVGF3,02/15/2023,16.8,16.8,16.8,16.8,0
35,1485,FUCVREIT,02/15/2023,7.37,7.37,7.37,7.37,0
36,94,FUCTVGF4,02/16/2023,14.85,14.85,14.85,14.85,0
37,297,FUCTVGF3,02/16/2023,16.8,16.8,16.8,16.8,0
38,1486,FUCVREIT,02/16/2023,7.36,7.36,7.36,7.36,100
39,298,FUCTVGF3,02/17/2023,16.8,16.8,16.8,16.8,0
40,95,FUCTVGF4,02/17/2023,14.85,14.85,14.85,14.85,0
41,1487,FUCVREIT,02/17/2023,7.87,7.87,7.87,7.87,100
42,299,FUCTVGF3,02/20/2023,16.8,16.8,16.8,16.8,100
43,96,FUCTVGF4,02/20/2023,14.85,14.85,14.85,14.85,100
44,1488,FUCVREIT,02/20/2023,7.32,7.75,7.32,7.75,11100
45,300,FUCTVGF3,02/21/2023,16.8,16.8,16.8,16.8,0
46,97,FUCTVGF4,02/21/2023,14.85,14.85,14.85,14.85,0
47,1489,FUCVREIT,02/21/2023,8.2,8.2,8.2,8.2,100
48,301,FUCTVGF3,02/22/2023,16.8,16.8,16.8,16.8,0
49,1490,FUCVREIT,02/22/2023,7.63,7.78,7.63,7.63,2800
50,98,FUCTVGF4,02/22/2023,14.85,14.85,14.85,14.85,0
51,99,FUCTVGF4,02/23/2023,14.85,14.85,14.85,14.85,0
52,302,FUCTVGF3,02/23/2023,16.8,16.8,16.8,16.8,0
53,1491,FUCVREIT,02/23/2023,7.63,7.63,7.63,7.63,0
54,100,FUCTVGF4,02/24/2023,14.85,14.85,14.85,14.85,0
55,1492,FUCVREIT,02/24/2023,7.63,7.63,7.63,7.63,0
56,303,FUCTVGF3,02/24/2023,16.8,16.8,16.8,16.8,0
57,304,FUCTVGF3,02/27/2023,16.8,16.8,16.8,16.8,0
58,101,FUCTVGF4,02/27/2023,14.85,14.85,14.85,14.85,0
59,1493,FUCVREIT,02/27/2023,7.1,7.59,7.1,7.59,400
60,305,FUCTVGF3,02/28/2023,16.8,16.8,16.8,16.8,0
61,1494,FUCVREIT,02/28/2023,7.59,7.59,7.59,7.59,0
62,102,FUCTVGF4,02/28/2023,14.85,14.85,14.85,14.85,0
63,1495,FUCVREIT,03/01/2023,7.59,7.59,7.59,7.59,0
64,306,FUCTVGF3,03/01/2023,16.8,16.8,16.8,16.8,0
65,103,FUCTVGF4,03/01/2023,14.85,14.85,14.85,14.85,0
66,307,FUCTVGF3,03/02/2023,16.8,16.8,16.8,16.8,0
67,104,FUCTVGF4,03/02/2023,14.85,14.85,14.85,14.85,0
68,1496,FUCVREIT,03/02/2023,7.59,7.59,7.59,7.59,0
69,308,FUCTVGF3,03/03/2023,16.8,16.8,16.8,16.8,0
70,1497,FUCVREIT,03/03/2023,7.4,7.4,7.4,7.4,100
71,105,FUCTVGF4,03/03/2023,14.85,14.85,14.85,14.85,0
72,106,FUCTVGF4,03/06/2023,14.85,14.85,14.85,14.85,0
73,1498,FUCVREIT,03/06/2023,7.4,7.4,7.4,7.4,100
74,309,FUCTVGF3,03/06/2023,16.8,16.8,16.8,16.8,0
75,310,FUCTVGF3,03/07/2023,16.8,16.8,16.8,16.8,0
76,1499,FUCVREIT,03/07/2023,7.4,7.4,7.4,7.4,0
77,107,FUCTVGF4,03/07/2023,14.85,14.85,14.85,14.85,0
78,1500,FUCVREIT,03/08/2023,7.4,7.4,7.4,7.4,0
79,311,FUCTVGF3,03/08/2023,16.8,16.8,16.8,16.8,0
80,108,FUCTVGF4,03/08/2023,14.85,14.85,14.85,14.85,0
81,312,FUCTVGF3,03/09/2023,16.8,16.8,16.8,16.8,0
82,1501,FUCVREIT,03/09/2023,6.9,6.9,6.9,6.9,500
83,109,FUCTVGF4,03/09/2023,14.85,14.85,14.85,14.85,0
84,313,FUCTVGF3,03/10/2023,16.8,16.8,16.8,16.8,0
85,1502,FUCVREIT,03/10/2023,6.9,6.9,6.9,6.9,0
86,110,FUCTVGF4,03/10/2023,14.85,14.85,14.85,14.85,0
87,111,FUCTVGF4,03/13/2023,14.85,14.85,14.85,14.85,0
88,314,FUCTVGF3,03/13/2023,16.8,16.8,16.8,16.8,0
89,1503,FUCVREIT,03/13/2023,6.9,6.9,6.9,6.9,100
90,1504,FUCVREIT,03/14/2023,6.51,6.51,6.51,6.51,100
91,315,FUCTVGF3,03/14/2023,16.8,16.8,16.8,16.8,0
92,112,FUCTVGF4,03/14/2023,14.85,14.85,14.85,14.85,0
93,1505,FUCVREIT,03/15/2023,6.51,6.52,6.51,6.52,300
94,113,FUCTVGF4,03/15/2023,14.85,14.85,14.85,14.85,0
95,316,FUCTVGF3,03/15/2023,16.8,16.8,16.8,16.8,0
96,114,FUCTVGF4,03/16/2023,14.85,14.85,14.85,14.85,0
97,1506,FUCVREIT,03/16/2023,6.97,6.97,6.15,6.15,200
98,317,FUCTVGF3,03/16/2023,16.8,16.8,16.8,16.8,0
99,318,FUCTVGF3,03/17/2023,16.8,16.8,16.8,16.8,0
100,115,FUCTVGF4,03/17/2023,14.85,14.85,14.85,14.85,0
101,1507,FUCVREIT,03/17/2023,6.58,6.58,5.73,6.5,11000
102,1508,FUCVREIT,03/20/2023,6.89,6.89,6.05,6.7,2000
103,116,FUCTVGF4,03/20/2023,14.85,14.85,14.85,14.85,0
104,319,FUCTVGF3,03/20/2023,16.8,16.8,16.8,16.8,0
105,117,FUCTVGF4,03/21/2023,14.85,14.85,14.85,14.85,0
106,320,FUCTVGF3,03/21/2023,16.8,16.8,16.8,16.8,0
107,1509,FUCVREIT,03/21/2023,6.7,6.7,6.7,6.7,0
108,118,FUCTVGF4,03/22/2023,14.85,14.85,14.85,14.85,0
109,1510,FUCVREIT,03/22/2023,6.7,6.7,6.7,6.7,0
110,321,FUCTVGF3,03/22/2023,16.8,16.8,16.8,16.8,0
111,119,FUCTVGF4,03/23/2023,14.85,14.85,14.85,14.85,0
112,1511,FUCVREIT,03/23/2023,7.16,7.16,6.24,6.68,8400
