,index,Ticker,Date,Open,High,Low,Close,Volume
0,3419,GMC,01/22/2021,24.76869,24.76869,23.65965,24.32508,76200
1,3420,GMC,01/25/2021,24.32508,24.36204,22.62454,22.62454,35500
2,3421,GMC,01/26/2021,21.07187,21.07187,21.07187,21.07187,23700
3,3422,GMC,01/27/2021,19.66708,21.10884,19.63011,19.63011,32400
4,3423,GMC,01/28/2021,18.26229,18.26229,18.26229,18.26229,46700
5,3424,GMC,01/29/2021,18.26229,19.37134,17.74474,19.07559,95600
6,3425,GMC,02/01/2021,20.33251,20.33251,18.81681,18.81681,43800
7,3426,GMC,02/02/2021,18.81681,19.22346,18.77985,19.22346,23700
8,3427,GMC,02/03/2021,20.40645,20.40645,18.11442,20.22161,11000
9,3428,GMC,02/04/2021,19.22346,20.33251,19.22346,20.18464,7900
10,3429,GMC,02/05/2021,20.18464,21.44156,20.18464,20.25857,58200
11,3430,GMC,02/08/2021,21.44156,21.66336,21.36762,21.66336,106600
12,3431,GMC,02/09/2021,21.81124,23.17906,21.81124,23.17906,142900
13,3432,GMC,02/17/2021,23.17906,24.32508,22.99422,24.25114,105900
14,3433,GMC,02/18/2021,24.62082,24.62082,23.58571,24.25114,28600
15,3434,GMC,02/19/2021,22.92028,24.1772,22.92028,23.65965,39700
16,3435,GMC,02/22/2021,22.21789,24.10327,22.03305,24.10327,85100
17,3436,GMC,02/23/2021,23.95539,24.36204,23.95539,24.36204,35900
18,3437,GMC,02/24/2021,24.36204,25.06444,24.36204,24.9905,56800
19,3438,GMC,02/25/2021,24.9905,25.13838,24.9905,25.06444,63200
20,3439,GMC,02/26/2021,25.06444,26.80194,25.06444,26.80194,235100
21,3440,GMC,03/01/2021,26.98679,28.65035,26.98679,28.53945,233200
22,3441,GMC,03/02/2021,28.53945,29.20488,28.53945,29.02004,29800
23,3442,GMC,03/03/2021,27.24556,28.98307,27.02375,27.09769,58900
24,3443,GMC,03/04/2021,25.95168,27.06072,25.61896,25.95168,39500
25,3444,GMC,03/05/2021,25.95168,27.35647,25.50806,27.35647,6200
26,3445,GMC,03/08/2021,26.17348,27.72615,26.17348,27.28253,43700
27,3446,GMC,03/09/2021,27.35647,28.09583,26.6171,28.09583,41900
28,3447,GMC,03/10/2021,28.09583,28.68732,28.09583,28.24371,123100
29,3448,GMC,03/11/2021,28.39158,28.50248,28.09583,28.39158,18200
30,3449,GMC,03/12/2021,26.98679,28.61339,26.91285,27.72615,6200
31,3450,GMC,03/15/2021,27.72615,27.72615,25.87774,26.69104,8000
32,3451,GMC,03/16/2021,26.76498,28.09583,26.76498,27.35647,9500
33,3452,GMC,03/17/2021,26.83891,27.72615,26.83891,27.72615,11100
34,3453,GMC,03/18/2021,27.35647,27.35647,27.13466,27.2086,3500
35,3454,GMC,03/19/2021,26.83891,27.54131,26.83891,27.54131,5800
36,3455,GMC,03/22/2021,26.76498,27.24556,26.24742,26.91285,6500
37,3456,GMC,03/23/2021,26.98679,26.98679,25.43412,26.17348,27700
38,3457,GMC,03/24/2021,24.76869,26.6171,24.76869,26.6171,8900
39,3458,GMC,03/25/2021,25.28625,26.6171,25.21231,26.6171,2400
40,3459,GMC,03/26/2021,25.21231,25.28625,25.13838,25.28625,9100
41,3460,GMC,03/29/2021,25.28625,26.6171,25.28625,26.6171,5000
42,3461,GMC,03/30/2021,26.46923,26.46923,26.46923,26.46923,100
43,3462,GMC,03/31/2021,24.91657,25.50806,24.84263,25.50806,2800
44,3463,GMC,04/01/2021,25.13838,26.09955,25.13838,25.50806,10100
45,3464,GMC,04/02/2021,25.21231,25.95168,25.21231,25.21231,4100
46,3465,GMC,04/05/2021,25.21231,25.21231,24.91657,25.06444,3500
47,3466,GMC,04/06/2021,25.06444,25.06444,24.91657,24.91657,3100
48,3467,GMC,04/07/2021,24.91657,25.87774,24.91657,25.87774,3100
