,index,Ticker,Date,Open,High,Low,Close,Volume
0,617,HHP,01/21/2021,10.40159,10.81435,10.31904,10.64925,72400
1,618,HHP,01/22/2021,10.64925,10.64925,10.48414,10.64925,40600
2,619,HHP,01/25/2021,10.64925,10.7318,10.56669,10.64925,40100
3,620,HHP,01/26/2021,10.64925,10.64925,10.40159,10.56669,253500
4,621,HHP,01/27/2021,10.56669,10.64925,10.40159,10.40159,320400
5,622,HHP,01/28/2021,10.31904,10.40159,9.410962,10.07138,544200
6,623,HHP,01/29/2021,9.988829,9.988829,9.906276,9.988829,50300
7,624,HHP,02/01/2021,9.988829,10.40159,9.988829,10.07138,375400
8,625,HHP,02/02/2021,9.988829,10.15393,9.906276,10.07138,41800
9,626,HHP,02/03/2021,10.07138,10.23649,10.07138,10.15393,73300
10,627,HHP,02/04/2021,10.15393,10.40159,10.15393,10.40159,135300
11,628,HHP,02/05/2021,10.40159,10.8969,10.40159,10.8969,132300
12,629,HHP,02/08/2021,10.8969,11.22711,10.81435,10.81435,71300
13,630,HHP,02/09/2021,10.81435,11.06201,10.81435,11.06201,218700
14,631,HHP,02/17/2021,11.06201,11.97008,11.06201,11.72243,708700
15,632,HHP,02/18/2021,11.72243,11.72243,11.39222,11.72243,984900
16,633,HHP,03/03/2021,12.75433,12.75433,12.71305,12.75433,491400
17,634,HHP,03/04/2021,13.20837,13.37347,12.79561,13.12582,527300
18,635,HHP,03/05/2021,13.08454,13.24964,13.00199,13.16709,434100
19,636,HHP,03/08/2021,13.12582,13.45603,12.75433,13.45603,443600
20,637,HHP,03/09/2021,13.45603,13.45603,13.12582,13.24964,336700
21,638,HHP,03/10/2021,13.20837,13.53858,13.20837,13.53858,295100
22,639,HHP,03/11/2021,13.62113,14.44665,13.62113,14.44665,696800
23,640,HHP,03/12/2021,14.5292,15.2309,14.44665,14.81814,634800
24,641,HHP,03/15/2021,14.85941,15.27218,14.69431,14.73559,282500
25,642,HHP,03/16/2021,14.73559,14.73559,14.199,14.32282,249000
26,643,HHP,03/17/2021,14.28155,14.73559,14.15772,14.48793,389500
27,644,HHP,03/18/2021,14.48793,14.65303,14.44665,14.5292,201700
28,645,HHP,03/19/2021,14.5292,15.31345,14.5292,14.98324,849800
29,646,HHP,03/22/2021,15.06579,15.2309,14.90069,14.90069,421900
30,647,HHP,03/23/2021,14.94197,15.27218,14.73559,14.73559,422500
31,648,HHP,03/24/2021,14.61176,14.61176,14.199,14.28155,208800
32,649,HHP,03/25/2021,14.24027,14.32282,13.86879,14.28155,204000
33,650,HHP,03/26/2021,14.24027,14.57048,13.99261,14.11644,257200
34,651,HHP,03/29/2021,14.11644,14.90069,14.11644,14.81814,646400
35,652,HHP,03/30/2021,14.94197,15.85004,14.94197,15.396,1002400
36,653,HHP,03/31/2021,15.51983,15.97387,14.5292,15.10707,664100
37,654,HHP,04/01/2021,15.02452,15.06579,14.44665,14.85941,412500
38,655,HHP,04/02/2021,14.77147,14.94732,14.0241,14.94732,400600
39,656,HHP,04/05/2021,14.85939,14.94732,14.46373,14.46373,300900
40,657,HHP,04/06/2021,14.3758,14.41977,14.06806,14.15599,347500
