,index,Ticker,Date,Open,High,Low,Close,Volume
0,2687,ITD,02/02/2021,8.541802,8.704503,8.379102,8.541802,28400
1,2688,ITD,02/03/2021,8.419777,9.111256,8.419777,8.867205,86900
2,2689,ITD,02/04/2021,8.948555,8.948555,8.785854,8.90788,17900
3,2690,ITD,02/05/2021,9.111256,9.111256,8.82653,8.82653,33200
4,2691,ITD,02/08/2021,8.867205,8.948555,8.623153,8.663828,23300
5,2692,ITD,02/09/2021,8.867205,8.867205,8.623153,8.663828,39700
6,2693,ITD,02/17/2021,8.663828,9.111256,8.663828,9.111256,49600
7,2694,ITD,02/18/2021,9.314632,9.314632,8.867205,8.90788,20300
8,2695,ITD,02/19/2021,8.90788,8.948555,8.704503,8.867205,36500
9,2696,ITD,02/22/2021,8.867205,9.07058,8.704503,9.07058,74500
10,2697,ITD,02/23/2021,8.867205,9.111256,8.785854,9.07058,24400
11,2698,ITD,02/24/2021,8.948555,9.029905,8.867205,8.90788,31500
12,2699,ITD,02/25/2021,8.90788,9.07058,8.867205,9.07058,36500
13,2700,ITD,02/26/2021,9.029905,9.111256,8.948555,9.07058,15300
14,2701,ITD,03/01/2021,9.07058,9.68071,9.07058,9.68071,282200
15,2702,ITD,03/02/2021,10.33151,10.33151,10.25016,10.33151,470200
16,2703,ITD,03/03/2021,10.98232,10.98232,10.33151,10.49421,120600
17,2704,ITD,03/04/2021,10.98232,10.98232,10.08746,10.16881,290000
18,2705,ITD,03/05/2021,9.924761,10.16881,9.721385,10.08746,161000
19,2706,ITD,03/08/2021,10.08746,10.65692,10.08746,10.37219,54300
20,2707,ITD,03/09/2021,10.20949,10.41286,9.76206,10.16881,115100
21,2708,ITD,03/10/2021,10.16881,10.16881,9.924761,9.965436,53300
22,2709,ITD,03/11/2021,10.00611,10.16881,9.965436,9.965436,51700
23,2710,ITD,03/12/2021,9.965436,10.16881,9.924761,10.04679,68400
24,2711,ITD,03/15/2021,10.04679,10.08746,10.00611,10.04679,70400
25,2712,ITD,03/16/2021,10.08746,10.08746,9.884086,10.04679,49300
26,2713,ITD,03/17/2021,10.08746,10.08746,9.436658,9.924761,120800
27,2714,ITD,03/18/2021,9.924761,10.00611,9.924761,9.924761,26300
28,2715,ITD,03/19/2021,9.924761,10.61624,9.84341,10.61624,314600
29,2716,ITD,03/22/2021,10.61624,11.10434,10.57557,10.86029,151100
30,2717,ITD,03/23/2021,10.86029,10.94164,10.57557,10.73827,72600
31,2718,ITD,03/24/2021,10.33151,10.53489,10.08746,10.25016,176900
32,2719,ITD,03/25/2021,10.41286,10.49421,10.25016,10.25016,72500
33,2720,ITD,03/26/2021,10.25016,10.81962,10.16881,10.57557,140600
34,2721,ITD,03/29/2021,10.73827,10.81962,10.49421,10.65692,88100
35,2722,ITD,03/30/2021,10.57557,10.73827,10.45354,10.73827,138600
36,2723,ITD,03/31/2021,10.73827,10.73827,10.41286,10.65692,218300
37,2724,ITD,04/01/2021,10.69759,10.69759,10.57557,10.65692,60400
38,2725,ITD,04/02/2021,10.65692,10.65692,10.49421,10.49421,93700
39,2726,ITD,04/05/2021,10.65692,11.22637,10.49421,11.14502,296500
40,2727,ITD,04/06/2021,11.38907,11.38907,10.98232,11.02299,98600
41,2728,ITD,04/07/2021,11.02299,11.14502,10.98232,11.02299,132400
42,2729,ITD,04/08/2021,11.02299,11.02299,10.57557,10.81962,58000
43,2730,ITD,04/09/2021,10.81962,10.81962,10.69759,10.69759,82000
44,2731,ITD,04/12/2021,10.69759,10.94164,10.57557,10.81962,66500
45,2732,ITD,04/13/2021,10.90097,10.98232,10.57557,10.81962,65400
46,2733,ITD,04/14/2021,10.57557,10.90097,10.57557,10.90097,89800
47,2734,ITD,04/15/2021,10.81962,10.90097,10.57557,10.86029,83700
48,2735,ITD,04/16/2021,10.90097,10.90097,10.45354,10.49421,38100
49,2736,ITD,04/19/2021,10.49421,10.57557,10.25016,10.49421,59100
50,2737,ITD,04/20/2021,10.49421,10.57557,10.41286,10.41286,36000
51,2738,ITD,04/22/2021,10.41286,10.53489,10.25016,10.25016,44100
52,2739,ITD,04/23/2021,9.84341,10.41286,9.84341,10.33151,64900
53,2740,ITD,04/26/2021,10.25016,10.49421,10.25016,10.25016,7400
54,2741,ITD,04/27/2021,10.16881,10.33151,10.00611,10.33151,39000
55,2742,ITD,04/28/2021,10.08746,11.02299,10.08746,10.73827,1168300
56,2743,ITD,04/29/2021,10.98232,11.02299,10.57557,10.57557,183600
57,2744,ITD,05/04/2021,10.57557,10.57557,10.37219,10.37219,30000
58,2745,ITD,05/05/2021,10.33151,10.57557,10.08746,10.16881,100300
59,2746,ITD,05/06/2021,10.16881,10.86029,10.16881,10.86029,357100
60,2747,ITD,05/07/2021,10.98232,11.34839,10.90097,11.06367,196100
61,2748,ITD,05/10/2021,11.22637,11.59245,11.14502,11.55177,318600
62,2749,ITD,05/11/2021,11.55177,11.55177,11.14502,11.47042,223100
63,2750,ITD,05/12/2021,11.38907,11.55177,11.14502,11.47042,73900
64,2751,ITD,05/13/2021,11.47042,11.55177,11.30772,11.38907,74900
65,2752,ITD,05/14/2021,11.38907,11.38907,11.02299,11.06367,54200
66,2753,ITD,05/17/2021,11.22637,11.22637,10.73827,11.02299,63900
67,2754,ITD,05/18/2021,11.02299,11.47042,10.73827,11.18569,54600
68,2755,ITD,05/19/2021,11.30772,11.42975,10.73827,10.77894,93100
69,2756,ITD,05/20/2021,11.18569,11.18569,10.33151,10.49421,79900
70,2757,ITD,05/21/2021,10.33151,11.14502,10.20949,10.94164,74000
71,2758,ITD,05/24/2021,10.94164,11.02299,10.33151,10.57557,64300
72,2759,ITD,05/25/2021,10.81962,10.81962,10.49421,10.57557,48700
73,2760,ITD,05/26/2021,10.45354,10.65692,10.45354,10.57557,95000
74,2761,ITD,05/27/2021,10.41286,10.65692,10.33151,10.41286,13100
75,2762,ITD,05/28/2021,10.41286,10.53489,10.41286,10.45354,48100
76,2763,ITD,05/31/2021,10.41286,10.45354,10.33151,10.41286,45000
77,2764,ITD,06/01/2021,10.41286,10.53489,10.37219,10.53489,46100
78,2765,ITD,06/02/2021,10.53489,10.69759,10.49421,10.65692,31100
79,2766,ITD,06/03/2021,11.06367,11.06367,10.65692,10.77894,50400
80,2767,ITD,06/04/2021,10.61624,10.77894,10.57557,10.73827,88200
81,2768,ITD,06/07/2021,10.65692,10.86029,10.49421,10.65692,109900
82,2769,ITD,06/08/2021,10.69759,10.69759,10.53489,10.53489,39200
83,2770,ITD,06/09/2021,10.53489,10.69759,10.45354,10.69759,54900
84,2771,ITD,06/10/2021,10.69759,10.73827,10.49421,10.49421,27200
85,2772,ITD,06/11/2021,10.69759,10.69759,10.53489,10.53489,25700
86,2773,ITD,06/14/2021,10.53489,10.69759,10.49421,10.57557,71700
87,2774,ITD,06/15/2021,10.57557,10.61624,10.49421,10.57557,84800
88,2775,ITD,06/16/2021,10.57557,10.65692,10.49421,10.57557,36400
89,2776,ITD,06/17/2021,10.37219,10.61624,10.37219,10.57557,40000
90,2777,ITD,06/18/2021,10.57557,10.69759,10.41286,10.57557,121100
91,2778,ITD,06/21/2021,10.57557,11.30772,10.49421,11.30772,242500
92,2779,ITD,06/22/2021,11.38907,11.38907,10.69759,10.81962,57200
93,2780,ITD,06/23/2021,10.81962,10.81962,10.49421,10.81962,109700
94,2781,ITD,06/24/2021,10.57557,10.77894,10.49421,10.73827,104100
95,2782,ITD,06/25/2021,10.73827,10.73827,10.49421,10.65692,30900
96,2783,ITD,06/28/2021,10.65692,11.06367,10.65692,10.98232,84400
97,2784,ITD,06/29/2021,10.98232,11.18569,10.98232,10.98232,110700
98,2785,ITD,06/30/2021,10.98232,11.71447,10.98232,11.71447,854900
99,2786,ITD,07/01/2021,11.71447,12.52798,11.71447,12.52798,798500
100,2787,ITD,07/02/2021,12.93473,13.38216,12.69068,13.38216,464700
101,2788,ITD,07/05/2021,13.74823,13.74823,12.44663,12.93473,384800
102,2789,ITD,07/06/2021,12.60933,12.69068,12.20257,12.20257,289900
103,2790,ITD,07/07/2021,12.52798,13.05676,11.63312,13.05676,351400
104,2791,ITD,07/08/2021,13.74823,13.95161,13.34148,13.95161,740500
105,2792,ITD,07/09/2021,14.03296,14.92782,13.66688,14.64309,628800
106,2793,ITD,07/12/2021,14.56174,14.64309,13.82959,14.23634,367300
107,2794,ITD,07/13/2021,14.31769,15.17187,14.23634,15.04984,320200
108,2795,ITD,07/14/2021,15.4566,15.53795,14.07364,14.56174,306700
109,2796,ITD,07/15/2021,14.56174,14.56174,14.03296,14.15499,88000
110,2797,ITD,07/16/2021,13.82959,15.04984,13.82959,14.48039,186000
111,2798,ITD,07/19/2021,13.74823,14.31769,13.74823,13.78891,212400
112,2799,ITD,07/20/2021,13.82959,14.07364,13.58553,13.99229,157900
113,2800,ITD,07/21/2021,14.15499,14.15499,13.78891,13.99229,109400
114,2801,ITD,07/22/2021,13.99229,14.56174,13.91094,14.11431,99800
115,2802,ITD,07/23/2021,14.27701,14.48039,13.91094,14.11431,95600
116,2803,ITD,07/26/2021,14.07364,14.07364,13.13811,13.34148,353800
117,2804,ITD,07/27/2021,13.42283,13.42283,12.85338,13.01608,173400
118,2805,ITD,07/28/2021,13.01608,13.26013,12.85338,13.26013,140600
119,2806,ITD,07/29/2021,13.34148,13.34148,12.77203,12.85338,166200
