,index,Ticker,Date,Open,High,Low,Close,Volume
0,713,PGV,01/20/2021,15.53734,15.53734,14.44426,14.83465,12100
1,714,PGV,01/21/2021,14.83465,14.83465,14.44426,14.52234,23200
2,715,PGV,01/22/2021,15.22503,15.22503,14.44426,14.44426,22700
3,716,PGV,01/25/2021,14.67849,15.14696,14.44426,14.44426,28500
4,717,PGV,01/26/2021,14.75657,14.75657,14.13196,14.13196,13100
5,718,PGV,01/27/2021,14.28811,14.28811,13.27311,13.27311,2800
6,719,PGV,01/28/2021,12.72657,12.72657,11.71157,11.9458,45800
7,720,PGV,01/29/2021,12.10195,13.81965,12.10195,13.27311,25900
8,721,PGV,02/01/2021,13.42926,13.81965,13.27311,13.27311,15700
9,722,PGV,02/02/2021,13.74157,13.74157,13.50734,13.58542,7300
10,723,PGV,02/03/2021,14.05388,14.75657,13.66349,14.75657,21100
11,724,PGV,02/04/2021,14.05388,14.05388,13.89772,13.9758,4200
12,725,PGV,02/05/2021,14.13196,14.52234,13.66349,14.05388,10900
13,726,PGV,02/08/2021,14.28811,14.44426,13.66349,13.66349,2100
14,727,PGV,02/09/2021,13.9758,14.28811,13.66349,14.21003,10900
15,728,PGV,02/17/2021,14.67849,15.14696,14.05388,14.36619,30100
16,729,PGV,02/18/2021,14.44426,14.67849,14.28811,14.36619,34900
17,730,PGV,02/19/2021,14.44426,14.60042,14.21003,14.28811,16500
18,731,PGV,02/22/2021,14.36619,14.36619,13.9758,14.21003,28200
19,732,PGV,02/23/2021,13.89772,14.44426,13.89772,14.28811,79500
20,733,PGV,02/24/2021,14.44426,14.44426,14.13196,14.13196,15100
21,734,PGV,02/25/2021,14.21003,14.21003,13.9758,14.13196,13200
22,735,PGV,02/26/2021,14.21003,14.36619,13.89772,14.05388,7200
23,736,PGV,03/01/2021,13.89772,14.52234,13.89772,14.21003,15800
24,737,PGV,03/02/2021,14.21003,14.21003,13.9758,14.05388,6000
25,738,PGV,03/03/2021,14.52234,14.52234,13.89772,14.05388,11200
26,739,PGV,03/04/2021,14.05388,14.05388,13.42926,13.9758,20400
27,740,PGV,03/05/2021,13.74157,13.9758,13.66349,13.9758,16800
28,741,PGV,03/08/2021,14.36619,14.44426,14.05388,14.21003,46300
29,742,PGV,03/09/2021,14.44426,14.44426,14.05388,14.05388,16200
30,743,PGV,03/10/2021,14.36619,14.44426,14.05388,14.05388,9700
31,744,PGV,03/11/2021,14.05388,14.13196,13.89772,14.13196,38600
