,index,Ticker,Date,Open,High,Low,Close,Volume
0,748,PMG,01/21/2021,18.35,18.5,17.3,17.3,3200
1,749,PMG,01/22/2021,17.3,17.3,16.1,16.1,9400
2,750,PMG,01/25/2021,15.85,16.15,15.85,16.15,1500
3,751,PMG,01/26/2021,16.15,16.15,15.1,15.1,3000
4,752,PMG,01/27/2021,15.0,15.2,15.0,15.05,2900
5,753,PMG,01/28/2021,15.0,15.05,14.5,15.05,1600
6,754,PMG,01/29/2021,15.05,15.8,15.05,15.8,6300
7,755,PMG,02/01/2021,15.85,16.0,15.8,16.0,8800
8,756,PMG,02/02/2021,16.05,17.1,16.05,17.1,6000
9,757,PMG,02/03/2021,17.15,18.25,17.15,18.25,4100
10,758,PMG,02/04/2021,18.3,19.0,18.3,19.0,27500
11,759,PMG,02/05/2021,19.0,19.0,19.0,19.0,3800
12,760,PMG,02/08/2021,19.0,19.0,18.95,19.0,17900
13,761,PMG,02/09/2021,19.1,19.5,19.05,19.4,2400
14,762,PMG,02/17/2021,19.45,19.8,19.4,19.8,5900
15,763,PMG,02/18/2021,19.85,19.95,19.8,19.95,1300
16,764,PMG,02/19/2021,20.0,20.7,19.95,20.7,6500
17,765,PMG,02/22/2021,20.75,21.35,20.7,21.35,16900
18,766,PMG,02/23/2021,21.4,21.6,21.4,21.5,19400
19,767,PMG,02/24/2021,21.55,21.6,21.5,21.6,12400
20,768,PMG,02/25/2021,21.65,21.65,21.6,21.6,9700
21,769,PMG,02/26/2021,21.65,21.65,21.5,21.6,16600
22,770,PMG,03/01/2021,21.65,22.25,21.6,22.25,25200
23,771,PMG,03/02/2021,22.3,22.5,21.9,21.9,10500
24,772,PMG,03/03/2021,21.95,22.0,21.9,22.0,10500
25,773,PMG,03/04/2021,22.05,22.05,22.0,22.0,8100
26,774,PMG,03/05/2021,22.05,23.05,22.05,23.05,15400
27,775,PMG,03/08/2021,23.05,24.2,23.05,24.2,15600
28,776,PMG,03/09/2021,24.2,24.7,24.15,24.7,12700
29,777,PMG,03/10/2021,24.7,25.0,24.7,25.0,5300
30,778,PMG,03/11/2021,25.0,25.6,25.0,25.6,8400
31,779,PMG,03/12/2021,25.7,26.0,25.7,26.0,7900
32,780,PMG,03/15/2021,26.05,27.8,26.05,27.8,13500
33,781,PMG,03/16/2021,27.9,28.2,27.9,28.0,4300
34,782,PMG,03/17/2021,28.0,28.5,28.0,28.3,7300
35,783,PMG,03/18/2021,28.25,28.4,28.05,28.05,8600
