,index,Ticker,Date,Open,High,Low,Close,Volume
0,2487,SVI,12/17/2020,81.67364,87.31258,81.67364,87.31258,2490
1,2488,SVI,12/18/2020,93.40627,93.40627,93.40627,93.40627,4640
2,2489,SVI,12/21/2020,99.86376,99.86376,87.31258,97.31714,5360
3,2490,SVI,12/22/2020,99.13615,99.13615,90.9506,90.9506,870
4,2491,SVI,12/23/2020,84.58406,84.58406,84.58406,84.58406,3460
5,2492,SVI,12/24/2020,84.58406,84.58406,78.67227,81.85554,2350
6,2493,SVI,12/25/2020,79.12702,85.49356,76.21661,85.49356,2640
7,2494,SVI,12/28/2020,80.49128,85.22071,80.49128,85.22071,160
8,2495,SVI,12/29/2020,85.49356,86.40307,85.49356,86.40307,640
9,2496,SVI,12/30/2020,85.94832,85.94832,81.40079,85.40261,980
10,2497,SVI,12/31/2020,81.85554,83.67455,81.85554,81.85554,1390
11,2498,SVI,01/04/2021,77.76276,83.12885,77.76276,83.12885,2300
12,2499,SVI,01/05/2021,83.12885,83.12885,83.12885,83.12885,0
13,2500,SVI,01/06/2021,78.76322,78.76322,78.76322,78.76322,100
14,2501,SVI,01/07/2021,78.76322,78.94512,78.58132,78.58132,1500
15,2502,SVI,01/08/2021,78.58132,78.58132,78.58132,78.58132,200
16,2503,SVI,01/11/2021,78.21751,78.21751,78.21751,78.21751,100
17,2504,SVI,01/12/2021,75.57995,80.94604,75.57995,80.94604,800
18,2505,SVI,01/13/2021,75.489,80.67318,75.3071,80.67318,600
19,2506,SVI,01/14/2021,80.67318,80.67318,80.67318,80.67318,0
20,2507,SVI,01/15/2021,79.67272,79.67272,79.67272,79.67272,100
21,2508,SVI,01/18/2021,77.30801,83.49265,77.30801,80.94604,400
22,2509,SVI,01/19/2021,75.39805,78.03561,75.39805,75.39805,500
23,2510,SVI,01/20/2021,80.30938,80.30938,70.21386,77.12611,400
24,2511,SVI,01/21/2021,72.85143,79.85463,72.76048,79.12702,1900
25,2512,SVI,01/22/2021,73.76093,78.58132,73.76093,78.58132,400
26,2513,SVI,01/25/2021,78.21751,78.21751,74.57949,74.57949,2100
27,2514,SVI,01/26/2021,70.30482,72.48763,70.03196,72.48763,1600
28,2515,SVI,01/27/2021,75.94375,75.94375,68.75865,68.75865,900
29,2516,SVI,01/28/2021,68.75865,68.75865,67.30344,67.30344,1300
30,2517,SVI,01/29/2021,67.21249,71.66908,67.21249,71.66908,2700
31,2518,SVI,02/01/2021,72.66953,72.66953,72.66953,72.66953,100
32,2519,SVI,02/02/2021,73.21523,73.21523,73.21523,73.21523,100
33,2520,SVI,02/03/2021,73.66998,77.12611,73.66998,77.12611,900
34,2521,SVI,02/04/2021,77.30801,78.39941,76.85326,78.39941,800
35,2522,SVI,02/05/2021,76.39851,76.39851,76.39851,76.39851,1200
36,2523,SVI,02/08/2021,76.39851,76.39851,76.39851,76.39851,100
37,2524,SVI,02/09/2021,76.39851,76.39851,76.39851,76.39851,0
