,index,Ticker,Date,Open,High,Low,Close,Volume
0,3361,VNE,02/02/2021,5.5,5.6,5.28,5.55,63200.0
1,3362,VNE,02/03/2021,5.55,5.75,5.5,5.75,199400.0
2,3363,VNE,02/04/2021,5.7,5.8,5.6,5.8,154000.0
3,3364,VNE,02/05/2021,5.8,5.85,5.65,5.78,168500.0
4,3365,VNE,02/08/2021,5.78,5.8,5.5,5.65,215200.0
5,3366,VNE,02/09/2021,5.8,5.88,5.5,5.61,114900.0
6,3367,VNE,02/17/2021,5.79,5.84,5.65,5.82,196500.0
7,3368,VNE,02/18/2021,5.8,5.85,5.75,5.8,81600.0
8,3369,VNE,02/19/2021,5.77,6.2,5.75,5.9,135400.0
9,3370,VNE,02/22/2021,6.0,6.31,6.0,6.22,608900.0
10,3371,VNE,02/23/2021,6.22,6.55,6.22,6.45,438500.0
11,3372,VNE,02/24/2021,6.49,6.7,6.4,6.4,500600.0
12,3373,VNE,02/25/2021,6.45,6.5,6.3,6.4,244600.0
13,3374,VNE,02/26/2021,6.45,6.61,6.4,6.5,401400.0
14,3375,VNE,03/01/2021,6.69,6.76,6.6,6.7,428400.0
15,3376,VNE,03/02/2021,6.7,6.75,6.51,6.55,185000.0
16,3377,VNE,03/03/2021,6.6,6.6,6.35,6.4,328300.0
17,3378,VNE,03/04/2021,6.5,6.6,6.1,6.25,282000.0
18,3379,VNE,03/05/2021,6.25,6.45,6.25,6.35,200300.0
19,3380,VNE,03/08/2021,6.35,6.52,6.35,6.48,312000.0
20,3381,VNE,03/09/2021,6.48,6.48,6.3,6.3,179800.0
21,3382,VNE,03/10/2021,6.45,6.45,6.3,6.42,187400.0
22,3383,VNE,03/11/2021,6.56,6.59,6.34,6.47,206500.0
23,3384,VNE,03/12/2021,6.47,6.47,6.31,6.37,174900.0
24,3385,VNE,03/15/2021,6.45,6.47,6.37,6.43,181200.0
25,3386,VNE,03/16/2021,6.43,6.46,6.33,6.43,221400.0
26,3387,VNE,03/17/2021,6.43,6.48,6.3,6.43,182800.0
27,3388,VNE,03/18/2021,6.5,6.88,6.5,6.88,1338600.0
28,3389,VNE,03/19/2021,7.36,7.36,7.36,7.36,574500.0
29,3390,VNE,03/22/2021,7.87,7.87,7.81,7.87,1246800.0
30,3391,VNE,03/23/2021,8.4,8.4,7.45,7.99,1586400.0
31,3392,VNE,03/24/2021,7.5,8.07,7.44,7.8,764800.0
32,3393,VNE,03/25/2021,7.61,7.79,7.44,7.5,393700.0
33,3394,VNE,03/26/2021,7.22,7.5,6.98,7.49,1003100.0
34,3395,VNE,03/29/2021,7.49,7.49,7.1,7.25,353800.0
35,3396,VNE,03/30/2021,7.25,7.58,6.9,7.56,548700.0
36,3397,VNE,03/31/2021,7.77,7.77,7.2,7.68,489900.0
37,3398,VNE,04/01/2021,7.5,7.6,7.5,7.51,197900.0
38,3399,VNE,04/02/2021,7.5,7.6,7.41,7.52,492200.0
39,3400,VNE,04/05/2021,7.52,7.52,7.35,7.52,738700.0
40,3401,VNE,04/06/2021,7.6,8.04,7.51,7.85,639300.0
41,3402,VNE,04/07/2021,8.0,8.1,7.85,8.0,342400.0
42,3403,VNE,04/08/2021,8.05,8.05,7.7,7.92,294700.0
43,3404,VNE,04/09/2021,7.84,7.85,7.6,7.75,424800.0
44,3405,VNE,04/12/2021,7.85,8.02,7.3,8.0,618300.0
45,3406,VNE,04/13/2021,8.0,8.15,7.65,7.75,372500.0
46,3407,VNE,04/14/2021,7.75,7.95,7.4,7.84,270100.0
47,3408,VNE,04/15/2021,7.81,7.83,7.65,7.8,366500.0
48,3409,VNE,04/16/2021,7.8,7.8,7.35,7.35,443100.0
49,3410,VNE,04/19/2021,7.35,7.6,7.35,7.37,482800.0
50,3411,VNE,04/20/2021,7.37,7.67,7.37,7.39,230800.0
51,3412,VNE,04/22/2021,7.39,7.4,7.1,7.11,167700.0
52,3413,VNE,04/23/2021,7.11,7.3,7.0,7.2,208100.0
53,3414,VNE,04/26/2021,7.55,7.55,7.13,7.15,78300.0
54,3415,VNE,04/27/2021,7.06,7.19,7.0,7.05,69300.0
55,3416,VNE,04/28/2021,6.79,7.05,6.79,6.9,410800.0
56,3417,VNE,04/29/2021,6.9,7.29,6.8,6.9,141000.0
57,3418,VNE,05/04/2021,6.45,6.88,6.45,6.62,185300.0
58,3419,VNE,05/05/2021,6.62,7.0,6.62,6.73,124600.0
59,3420,VNE,05/06/2021,6.75,6.8,6.65,6.79,91800.0
60,3421,VNE,05/07/2021,6.79,6.8,6.6,6.69,95700.0
61,3422,VNE,05/10/2021,6.69,6.69,6.41,6.61,68500.0
62,3423,VNE,05/11/2021,6.61,6.99,6.52,6.7,69500.0
63,3424,VNE,05/12/2021,6.7,6.73,6.61,6.73,125700.0
64,3425,VNE,05/13/2021,6.65,6.89,6.65,6.75,103800.0
65,3426,VNE,05/14/2021,6.75,6.86,6.6,6.71,304500.0
66,3427,VNE,05/17/2021,6.89,6.89,6.71,6.71,89700.0
67,3428,VNE,05/18/2021,6.71,6.72,6.67,6.7,81700.0
68,3429,VNE,05/19/2021,6.6,6.78,6.5,6.67,138500.0
69,3430,VNE,05/20/2021,6.67,6.67,6.41,6.42,156000.0
70,3431,VNE,05/21/2021,6.4,6.55,6.21,6.45,303300.0
71,3432,VNE,05/24/2021,6.45,6.76,6.45,6.55,96100.0
72,3433,VNE,05/25/2021,6.55,6.55,6.47,6.54,112800.0
