,index,Ticker,Date,Open,High,Low,Close,Volume
0,1100,ATG,01/18/2021,0.61,0.61,0.61,0.61,0
1,1101,ATG,01/19/2021,0.61,0.61,0.61,0.61,0
2,1102,ATG,01/20/2021,0.61,0.61,0.61,0.61,0
3,1103,ATG,01/21/2021,0.61,0.61,0.61,0.61,0
4,1104,ATG,01/22/2021,0.61,0.61,0.61,0.61,0
5,1105,ATG,01/25/2021,0.61,0.61,0.61,0.61,0
6,1106,ATG,01/26/2021,0.61,0.61,0.61,0.61,0
7,1107,ATG,01/27/2021,0.61,0.61,0.61,0.61,0
8,1108,ATG,01/28/2021,0.61,0.61,0.61,0.61,0
9,1109,ATG,01/29/2021,0.61,0.61,0.61,0.61,0
10,1110,ATG,02/01/2021,0.61,0.61,0.61,0.61,0
11,1111,ATG,02/02/2021,0.61,0.61,0.61,0.61,0
12,1112,ATG,02/03/2021,0.61,0.61,0.61,0.61,0
13,1113,ATG,02/04/2021,0.61,0.61,0.61,0.61,0
14,1114,ATG,02/05/2021,0.61,0.61,0.61,0.61,0
15,1115,ATG,02/08/2021,0.61,0.61,0.61,0.61,0
16,1116,ATG,02/09/2021,0.61,0.61,0.61,0.61,0
17,1117,ATG,02/17/2021,0.61,0.61,0.61,0.61,0
18,1118,ATG,02/18/2021,0.61,0.61,0.61,0.61,0
19,1119,ATG,02/19/2021,0.61,0.61,0.61,0.61,0
20,1120,ATG,02/22/2021,0.61,0.61,0.61,0.61,0
21,1121,ATG,02/23/2021,0.61,0.61,0.61,0.61,0
22,1122,ATG,02/24/2021,0.61,0.61,0.61,0.61,0
23,1123,ATG,02/25/2021,0.61,0.61,0.61,0.61,0
24,1124,ATG,02/26/2021,0.61,0.61,0.61,0.61,0
25,1125,ATG,03/01/2021,0.61,0.61,0.61,0.61,0
26,1126,ATG,03/02/2021,0.61,0.61,0.61,0.61,0
27,1127,ATG,03/03/2021,0.61,0.61,0.61,0.61,0
28,1128,ATG,03/04/2021,0.61,0.61,0.61,0.61,0
29,1129,ATG,03/05/2021,0.61,0.61,0.61,0.61,0
30,1130,ATG,03/08/2021,0.61,0.61,0.61,0.61,0
31,1131,ATG,03/09/2021,0.61,0.61,0.61,0.61,0
32,1132,ATG,03/10/2021,0.61,0.61,0.61,0.61,0
