,index,Ticker,Date,Open,High,Low,Close,Volume
0,519,BNW,01/28/2021,8.10144,8.10144,8.10144,8.10144,0
1,520,BNW,01/29/2021,8.10144,8.10144,8.10144,8.10144,0
2,521,BNW,02/01/2021,8.10144,8.10144,8.10144,8.10144,0
3,522,BNW,02/02/2021,8.10144,8.10144,8.10144,8.10144,0
4,523,BNW,02/03/2021,8.10144,8.10144,8.10144,8.10144,0
5,524,BNW,02/04/2021,8.10144,8.10144,8.10144,8.10144,0
6,525,BNW,02/05/2021,8.10144,8.10144,8.10144,8.10144,0
7,526,BNW,02/08/2021,8.10144,8.10144,8.10144,8.10144,0
8,527,BNW,02/09/2021,8.10144,8.10144,8.10144,8.10144,0
9,528,BNW,02/17/2021,8.10144,8.10144,8.10144,8.10144,0
10,529,BNW,02/18/2021,8.10144,8.10144,8.10144,8.10144,0
11,530,BNW,02/19/2021,8.10144,8.10144,8.10144,8.10144,0
12,531,BNW,02/22/2021,8.10144,8.10144,8.10144,8.10144,0
13,532,BNW,02/23/2021,8.10144,8.10144,8.10144,8.10144,0
14,533,BNW,02/24/2021,8.10144,8.10144,8.10144,8.10144,0
15,534,BNW,02/25/2021,8.10144,8.10144,8.10144,8.10144,0
16,535,BNW,02/26/2021,8.10144,8.10144,8.10144,8.10144,0
17,536,BNW,03/01/2021,8.10144,8.10144,8.10144,8.10144,0
18,537,BNW,03/02/2021,8.10144,8.10144,8.10144,8.10144,0
19,538,BNW,03/03/2021,8.10144,8.10144,8.10144,8.10144,0
20,539,BNW,03/04/2021,8.10144,8.10144,8.10144,8.10144,0
21,540,BNW,03/05/2021,8.10144,8.10144,8.10144,8.10144,0
22,541,BNW,03/08/2021,8.10144,8.10144,8.10144,8.10144,0
23,542,BNW,03/09/2021,8.10144,8.10144,8.10144,8.10144,0
24,543,BNW,03/10/2021,8.10144,8.10144,8.10144,8.10144,0
25,544,BNW,03/11/2021,8.10144,8.10144,8.10144,8.10144,0
26,545,BNW,03/12/2021,8.10144,8.10144,8.10144,8.10144,0
27,546,BNW,03/15/2021,8.10144,8.10144,8.10144,8.10144,0
