,index,Ticker,Date,Open,High,Low,Close,Volume
0,979,BT6,01/29/2021,2.4,2.4,1.8,2.0,2400
1,980,BT6,02/01/2021,2.0,2.0,2.0,2.0,0
2,981,BT6,02/02/2021,2.0,2.0,2.0,2.0,0
3,982,BT6,02/03/2021,2.0,2.0,2.0,2.0,0
4,983,BT6,02/04/2021,2.0,2.0,2.0,2.0,0
5,984,BT6,02/05/2021,1.7,2.2,1.7,2.0,12300
6,985,BT6,02/08/2021,1.7,1.7,1.7,1.7,0
7,986,BT6,02/09/2021,1.7,1.7,1.7,1.7,0
8,987,BT6,02/17/2021,1.7,1.7,1.7,1.7,0
9,988,BT6,02/18/2021,1.7,1.7,1.7,1.7,0
10,989,BT6,02/19/2021,1.7,1.9,1.7,1.9,4500
11,990,BT6,02/22/2021,1.9,1.9,1.9,1.9,0
12,991,BT6,02/23/2021,1.9,1.9,1.9,1.9,0
13,992,BT6,02/24/2021,1.9,1.9,1.9,1.9,0
14,993,BT6,02/25/2021,1.9,1.9,1.9,1.9,0
15,994,BT6,02/26/2021,2.0,2.0,2.0,2.0,4100
16,995,BT6,03/01/2021,2.0,2.0,2.0,2.0,0
17,996,BT6,03/02/2021,2.0,2.0,2.0,2.0,0
18,997,BT6,03/03/2021,2.0,2.0,2.0,2.0,0
19,998,BT6,03/04/2021,2.0,2.0,2.0,2.0,0
20,999,BT6,03/05/2021,1.9,2.1,1.8,1.9,9100
21,1000,BT6,03/08/2021,1.9,1.9,1.9,1.9,0
22,1001,BT6,03/09/2021,1.9,1.9,1.9,1.9,0
23,1002,BT6,03/10/2021,1.9,1.9,1.9,1.9,0
24,1003,BT6,03/11/2021,1.9,1.9,1.9,1.9,0
25,1004,BT6,03/12/2021,2.1,2.1,1.9,1.9,400
26,1005,BT6,03/15/2021,2.0,2.0,2.0,2.0,0
27,1006,BT6,03/16/2021,2.0,2.0,2.0,2.0,0
28,1007,BT6,03/17/2021,2.0,2.0,2.0,2.0,0
29,1008,BT6,03/18/2021,2.0,2.0,2.0,2.0,0
30,1009,BT6,03/19/2021,2.0,2.0,2.0,2.0,0
31,1010,BT6,03/22/2021,2.0,2.0,2.0,2.0,0
32,1011,BT6,03/23/2021,2.0,2.0,2.0,2.0,0
33,1012,BT6,03/24/2021,2.0,2.0,2.0,2.0,0
34,1013,BT6,03/25/2021,2.0,2.0,2.0,2.0,0
35,1014,BT6,03/26/2021,2.0,2.2,1.8,2.0,14200
36,1015,BT6,03/29/2021,2.0,2.0,2.0,2.0,0
37,1016,BT6,03/30/2021,2.0,2.0,2.0,2.0,0
38,1017,BT6,03/31/2021,2.0,2.0,2.0,2.0,0
39,1018,BT6,04/01/2021,2.0,2.0,2.0,2.0,0
40,1019,BT6,04/02/2021,1.8,1.9,1.7,1.7,27200
41,1020,BT6,04/05/2021,1.7,1.7,1.7,1.7,0
42,1021,BT6,04/06/2021,1.7,1.7,1.7,1.7,0
43,1022,BT6,04/07/2021,1.7,1.7,1.7,1.7,0
44,1023,BT6,04/08/2021,1.7,1.7,1.7,1.7,0
45,1024,BT6,04/09/2021,1.6,1.9,1.6,1.9,35200
46,1025,BT6,04/12/2021,1.8,1.8,1.8,1.8,0
47,1026,BT6,04/13/2021,1.8,1.8,1.8,1.8,0
48,1027,BT6,04/14/2021,1.8,1.8,1.8,1.8,0
49,1028,BT6,04/15/2021,1.8,1.8,1.8,1.8,0
50,1029,BT6,04/16/2021,2.0,2.0,1.9,2.0,38200
51,1030,BT6,04/19/2021,2.0,2.0,2.0,2.0,0
52,1031,BT6,04/20/2021,2.0,2.0,2.0,2.0,0
53,1032,BT6,04/22/2021,2.0,2.0,2.0,2.0,0
54,1033,BT6,04/23/2021,2.2,2.3,2.2,2.3,96600
55,1034,BT6,04/26/2021,2.3,2.3,2.3,2.3,0
56,1035,BT6,04/27/2021,2.3,2.3,2.3,2.3,0
57,1036,BT6,04/28/2021,2.3,2.3,2.3,2.3,0
58,1037,BT6,04/29/2021,2.3,2.3,2.3,2.3,0
59,1038,BT6,05/04/2021,2.3,2.3,2.3,2.3,0
60,1039,BT6,05/05/2021,2.3,2.3,2.3,2.3,0
61,1040,BT6,05/06/2021,2.3,2.3,2.3,2.3,0
62,1041,BT6,05/07/2021,2.4,2.6,2.4,2.6,59400
63,1042,BT6,05/10/2021,2.5,2.5,2.5,2.5,0
64,1043,BT6,05/11/2021,2.5,2.5,2.5,2.5,0
65,1044,BT6,05/12/2021,2.5,2.5,2.5,2.5,0
66,1045,BT6,05/13/2021,2.5,2.5,2.5,2.5,0
67,1046,BT6,05/14/2021,2.7,2.7,2.4,2.4,25500
68,1047,BT6,05/17/2021,2.5,2.5,2.5,2.5,0
69,1048,BT6,05/18/2021,2.5,2.5,2.5,2.5,0
70,1049,BT6,05/19/2021,2.5,2.5,2.5,2.5,0
71,1050,BT6,05/20/2021,2.5,2.5,2.5,2.5,0
72,1051,BT6,05/21/2021,2.6,2.6,2.4,2.5,23500
