,index,Ticker,Date,Open,High,Low,Close,Volume
0,1652,CTX,01/18/2021,8.4,8.5,8.3,8.4,6700
1,1653,CTX,01/19/2021,8.4,8.6,7.9,8.2,5700
2,1654,CTX,01/20/2021,7.8,7.8,7.8,7.8,700
3,1655,CTX,01/21/2021,7.8,8.5,7.8,8.5,15900
4,1656,CTX,01/22/2021,8.5,8.5,8.3,8.4,16800
5,1657,CTX,01/25/2021,8.4,8.5,8.4,8.4,8400
6,1658,CTX,01/26/2021,8.3,8.3,8.2,8.2,11400
7,1659,CTX,01/27/2021,8.2,8.3,8.2,8.2,11100
8,1660,CTX,01/28/2021,8.2,8.2,7.4,7.4,9000
9,1661,CTX,01/29/2021,7.7,8.1,6.8,8.1,1800
10,1662,CTX,02/01/2021,8.1,8.1,8.1,8.1,100
11,1663,CTX,02/02/2021,8.1,8.1,8.1,8.1,0
12,1664,CTX,02/03/2021,8.1,8.1,8.1,8.1,300
13,1665,CTX,02/04/2021,7.6,8.1,7.5,8.1,1200
14,1666,CTX,02/05/2021,8.1,8.1,8.1,8.1,0
15,1667,CTX,02/08/2021,8.1,8.1,8.1,8.1,0
16,1668,CTX,02/09/2021,8.1,8.1,8.1,8.1,0
17,1669,CTX,02/17/2021,8.6,8.6,8.5,8.5,500
18,1670,CTX,02/18/2021,8.5,8.5,8.5,8.5,0
19,1671,CTX,02/19/2021,8.5,8.5,8.5,8.5,0
20,1672,CTX,02/22/2021,7.8,8.4,7.7,8.4,8700
21,1673,CTX,02/23/2021,8.0,8.2,8.0,8.2,1400
22,1674,CTX,02/24/2021,8.4,8.4,8.0,8.2,700
23,1675,CTX,02/25/2021,8.2,8.9,8.2,8.5,1600
24,1676,CTX,02/26/2021,8.5,8.5,8.3,8.3,1100
25,1677,CTX,03/01/2021,7.8,9.0,7.7,8.4,28000
26,1678,CTX,03/02/2021,8.3,8.3,8.3,8.3,200
27,1679,CTX,03/03/2021,8.0,8.0,8.0,8.0,1100
28,1680,CTX,03/04/2021,8.0,8.1,7.8,8.1,1000
29,1681,CTX,03/05/2021,8.1,8.1,8.0,8.0,31800
30,1682,CTX,03/08/2021,7.7,8.5,7.7,8.2,5500
31,1683,CTX,03/09/2021,7.8,7.8,7.8,7.8,1100
32,1684,CTX,03/10/2021,8.1,8.4,8.1,8.4,2000
33,1685,CTX,03/11/2021,7.9,8.3,7.9,8.3,1200
