,index,Ticker,Date,Open,High,Low,Close,Volume
0,971,EIN,02/01/2021,10.0,10.1,10.0,10.0,53000
1,972,EIN,02/02/2021,10.0,10.1,10.0,10.0,26600
2,973,EIN,02/03/2021,10.0,10.1,10.0,10.1,33200
3,974,EIN,02/04/2021,10.1,10.1,10.1,10.1,2400
4,975,EIN,02/05/2021,10.1,10.1,10.1,10.1,11000
5,976,EIN,02/08/2021,10.1,10.1,10.1,10.1,1400
6,977,EIN,02/09/2021,10.3,10.3,10.3,10.3,100
7,978,EIN,02/17/2021,10.3,10.5,10.3,10.5,9200
8,979,EIN,02/18/2021,10.4,11.0,10.3,10.3,45600
9,980,EIN,02/19/2021,10.5,11.2,10.5,10.7,30100
10,981,EIN,02/22/2021,10.7,11.0,10.7,11.0,7700
11,982,EIN,02/23/2021,11.2,12.5,11.2,12.5,65500
12,983,EIN,02/24/2021,13.8,13.8,13.8,13.8,17600
13,984,EIN,02/25/2021,15.8,15.8,15.8,15.8,60400
14,985,EIN,02/26/2021,18.1,18.1,16.0,18.1,66400
15,986,EIN,03/01/2021,19.9,20.8,19.0,20.8,105000
16,987,EIN,03/02/2021,22.8,23.8,21.0,23.8,150000
17,988,EIN,03/03/2021,27.1,27.2,24.1,27.2,167200
18,989,EIN,03/04/2021,28.4,31.1,25.0,25.5,229600
19,990,EIN,03/05/2021,24.0,24.0,22.6,22.6,97700
20,991,EIN,03/08/2021,19.3,19.3,19.3,19.3,29300
21,992,EIN,03/09/2021,16.5,19.3,16.5,17.5,109100
22,993,EIN,03/10/2021,17.3,19.8,17.0,19.8,117200
23,994,EIN,03/11/2021,19.9,21.2,19.9,20.8,66600
24,995,EIN,03/12/2021,20.6,20.8,18.6,19.2,70100
25,996,EIN,03/15/2021,19.4,19.4,18.0,19.0,78600
26,997,EIN,03/16/2021,18.0,19.0,18.0,18.9,45300
27,998,EIN,03/17/2021,18.5,18.7,18.1,18.5,46600
28,999,EIN,03/18/2021,18.4,19.0,18.4,18.9,63500
29,1000,EIN,03/19/2021,18.6,19.0,18.0,18.6,67500
30,1001,EIN,03/22/2021,18.5,18.8,18.2,18.8,69600
31,1002,EIN,03/23/2021,18.5,19.5,18.5,18.9,93900
32,1003,EIN,03/24/2021,18.8,19.0,18.3,19.0,93200
33,1004,EIN,03/25/2021,18.5,20.0,18.5,19.4,139000
34,1005,EIN,03/26/2021,19.2,19.2,18.7,18.8,60500
35,1006,EIN,03/29/2021,18.4,18.7,18.1,18.5,34600
36,1007,EIN,03/30/2021,18.2,18.8,18.2,18.5,55100
37,1008,EIN,03/31/2021,18.4,18.5,18.2,18.4,59000
38,1009,EIN,04/01/2021,18.2,18.5,18.1,18.3,44900
39,1010,EIN,04/02/2021,18.2,18.4,18.1,18.3,51500
40,1011,EIN,04/05/2021,18.0,18.2,18.0,18.1,68000
41,1012,EIN,04/06/2021,18.0,18.2,18.0,18.0,62000
42,1013,EIN,04/07/2021,18.0,18.0,17.5,17.9,51600
