,index,Ticker,Date,Open,High,Low,Close,Volume
0,2059,GHC,02/02/2021,19.81663,19.81663,19.81663,19.81663,6500
1,2060,GHC,02/03/2021,19.94531,19.94531,19.94531,19.94531,2000
2,2061,GHC,02/04/2021,19.94531,20.13833,19.94531,20.13833,3200
3,2062,GHC,02/05/2021,19.94531,19.94531,19.94531,19.94531,3000
4,2063,GHC,02/08/2021,19.68795,19.68795,19.62361,19.62361,4500
5,2064,GHC,02/09/2021,19.62361,19.75229,19.62361,19.75229,4000
6,2065,GHC,02/17/2021,19.81663,19.88097,19.75229,19.88097,5100
7,2066,GHC,02/18/2021,19.49493,19.68795,19.36625,19.68795,7900
8,2067,GHC,02/19/2021,19.62361,19.62361,19.62361,19.62361,5000
9,2068,GHC,02/22/2021,19.55927,19.94531,19.55927,19.81663,4200
10,2069,GHC,02/23/2021,19.81663,19.88097,19.81663,19.81663,6800
11,2070,GHC,02/24/2021,19.62361,19.81663,19.62361,19.68795,28100
12,2071,GHC,02/25/2021,19.68795,19.68795,19.68795,19.68795,200
13,2072,GHC,02/26/2021,19.68795,19.94531,19.62361,19.88097,20800
14,2073,GHC,03/01/2021,19.94531,19.94531,19.75229,19.75229,13100
15,2074,GHC,03/02/2021,19.81663,19.94531,19.81663,19.81663,3100
16,2075,GHC,03/03/2021,19.81663,19.81663,19.81663,19.81663,4100
17,2076,GHC,03/04/2021,19.94531,20.26701,19.88097,19.88097,20500
18,2077,GHC,03/05/2021,19.81663,20.07399,19.81663,20.07399,12800
19,2078,GHC,03/08/2021,20.26701,20.26701,20.07399,20.13833,13300
20,2079,GHC,03/09/2021,20.07399,20.07399,19.81663,20.07399,29000
21,2080,GHC,03/10/2021,19.94531,20.13833,19.94531,20.13833,5400
22,2081,GHC,03/11/2021,20.07399,20.13833,19.94531,20.07399,9400
23,2082,GHC,03/12/2021,20.13833,20.13833,20.07399,20.07399,1200
24,2083,GHC,03/15/2021,20.07399,20.13833,20.07399,20.07399,10000
25,2084,GHC,03/16/2021,19.94531,20.20267,19.94531,19.94531,18600
26,2085,GHC,03/17/2021,20.00965,20.13833,20.00965,20.00965,2400
27,2086,GHC,03/18/2021,20.07399,20.13833,20.00965,20.00965,2700
28,2087,GHC,03/19/2021,20.00965,20.07399,20.00965,20.00965,5600
29,2088,GHC,03/22/2021,20.07399,20.20267,20.07399,20.13833,23800
30,2089,GHC,03/23/2021,20.5887,20.5887,20.07399,20.07399,3600
31,2090,GHC,03/24/2021,20.07399,20.07399,19.94531,20.07399,23100
32,2091,GHC,03/25/2021,20.07399,20.07399,19.94531,20.07399,23400
33,2092,GHC,03/26/2021,20.07399,20.13833,19.94531,20.13833,33500
34,2093,GHC,03/29/2021,19.94531,20.07399,19.94531,20.07399,11300
35,2094,GHC,03/30/2021,20.07399,20.07399,20.07399,20.07399,4000
36,2095,GHC,03/31/2021,20.07399,20.13833,19.94531,20.07399,9200
37,2096,GHC,04/01/2021,20.07399,20.07399,20.00965,20.07399,12000
38,2097,GHC,04/02/2021,20.07399,20.13833,20.07399,20.13833,4200
39,2098,GHC,04/05/2021,20.07399,20.13833,20.07399,20.13833,20000
40,2099,GHC,04/06/2021,20.13833,20.26701,20.13833,20.20267,25200
41,2100,GHC,04/07/2021,20.20267,20.20267,19.94531,19.94531,106500
42,2101,GHC,04/08/2021,19.94531,20.07399,19.88097,19.88097,44700
43,2102,GHC,04/09/2021,19.94531,19.94531,19.88097,19.94531,37000
44,2103,GHC,04/12/2021,19.88097,19.94531,19.81663,19.94531,55700
45,2104,GHC,04/13/2021,19.94531,20.00965,19.88097,19.88097,13900
46,2105,GHC,04/14/2021,19.88097,19.88097,19.81663,19.88097,72000
47,2106,GHC,04/15/2021,19.81663,19.81663,19.75229,19.81663,11800
48,2107,GHC,04/16/2021,19.75229,19.81663,19.68795,19.68795,21200
49,2108,GHC,04/19/2021,19.68795,19.75229,19.68795,19.75229,7300
50,2109,GHC,04/20/2021,19.62361,19.68795,19.62361,19.68795,12400
51,2110,GHC,04/22/2021,19.68795,19.75229,19.68795,19.68795,18300
52,2111,GHC,04/23/2021,19.68795,19.68795,19.62361,19.68795,12100
53,2112,GHC,04/26/2021,19.62361,19.62361,19.55927,19.55927,25700
54,2113,GHC,04/27/2021,19.49493,19.62361,19.49493,19.62361,24400
55,2114,GHC,04/28/2021,19.30191,19.81663,19.30191,19.81663,28200
56,2115,GHC,04/29/2021,19.55927,19.55927,19.43059,19.49493,3700
57,2116,GHC,05/04/2021,19.49493,19.68795,19.49493,19.68795,5200
58,2117,GHC,05/05/2021,19.68795,19.88097,19.62361,19.88097,23400
59,2118,GHC,05/06/2021,19.55927,19.68795,19.55927,19.68795,4900
60,2119,GHC,05/07/2021,19.62361,19.68795,19.62361,19.68795,1900
61,2120,GHC,05/10/2021,19.62361,19.68795,19.62361,19.68795,2300
62,2121,GHC,05/11/2021,19.68795,19.75229,19.68795,19.75229,3500
63,2122,GHC,05/12/2021,19.62361,19.68795,19.62361,19.62361,3000
64,2123,GHC,05/13/2021,19.62361,19.62361,19.62361,19.62361,6400
65,2124,GHC,05/14/2021,19.55927,19.62361,19.55927,19.62361,8200
66,2125,GHC,05/17/2021,19.55927,19.55927,19.43059,19.55927,4000
67,2126,GHC,05/18/2021,19.49493,19.62361,19.49493,19.55927,17000
68,2127,GHC,05/19/2021,19.55927,19.55927,19.55927,19.55927,7000
69,2128,GHC,05/20/2021,19.55927,19.62361,19.49493,19.55927,16000
70,2129,GHC,05/21/2021,19.49493,19.55927,19.30191,19.30191,19300
71,2130,GHC,05/24/2021,19.36625,19.49493,19.30191,19.49493,7600
72,2131,GHC,05/25/2021,19.43059,19.43059,19.30191,19.43059,18600
73,2132,GHC,05/26/2021,19.43059,19.43059,19.43059,19.43059,7500
74,2133,GHC,05/27/2021,19.43059,19.43059,19.23757,19.30191,10100
75,2134,GHC,05/28/2021,19.30191,19.36625,19.30191,19.36625,13800
76,2135,GHC,05/31/2021,19.30191,19.30191,19.30191,19.30191,9700
77,2136,GHC,06/01/2021,19.30191,19.30191,19.17323,19.30191,12600
78,2137,GHC,06/02/2021,19.30191,19.36625,19.30191,19.36625,25600
