,index,Ticker,Date,Open,High,Low,Close,Volume
0,780,HUG,01/29/2021,19.26984,19.26984,19.26984,19.26984,1800
1,781,HUG,02/01/2021,19.26984,19.26984,19.26984,19.26984,0
2,782,HUG,02/02/2021,22.16032,22.16032,22.16032,22.16032,200
3,783,HUG,02/03/2021,23.12381,23.12381,23.12381,23.12381,200
4,784,HUG,02/04/2021,23.12381,23.12381,23.12381,23.12381,500
5,785,HUG,02/05/2021,23.12381,23.12381,23.12381,23.12381,0
6,786,HUG,02/08/2021,23.12381,23.12381,23.12381,23.12381,0
7,787,HUG,02/09/2021,23.12381,23.12381,23.12381,23.12381,0
8,788,HUG,02/17/2021,23.12381,23.12381,23.12381,23.12381,0
9,789,HUG,02/18/2021,25.69312,25.69312,25.69312,25.69312,100
10,790,HUG,02/19/2021,25.69312,25.69312,25.69312,25.69312,0
11,791,HUG,02/22/2021,24.40846,25.05079,24.40846,25.05079,1300
12,792,HUG,02/23/2021,24.4727,24.4727,24.4727,24.4727,0
13,793,HUG,02/24/2021,24.4727,24.4727,24.4727,24.4727,0
14,794,HUG,02/25/2021,24.4727,24.4727,24.4727,24.4727,0
15,795,HUG,02/26/2021,26.97778,26.97778,26.97778,26.97778,100
16,796,HUG,03/01/2021,26.33545,26.33545,26.33545,26.33545,100
17,797,HUG,03/02/2021,26.33545,26.33545,26.33545,26.33545,0
18,798,HUG,03/03/2021,25.69312,25.69312,25.69312,25.69312,200
19,799,HUG,03/04/2021,25.69312,25.69312,25.69312,25.69312,0
20,800,HUG,03/05/2021,25.69312,25.69312,25.69312,25.69312,0
21,801,HUG,03/08/2021,25.69312,25.69312,25.69312,25.69312,0
22,802,HUG,03/09/2021,25.69312,25.69312,25.69312,25.69312,0
23,803,HUG,03/10/2021,25.69312,25.69312,25.69312,25.69312,0
24,804,HUG,03/11/2021,25.69312,25.69312,25.69312,25.69312,0
25,805,HUG,03/12/2021,29.48285,29.48285,29.48285,29.48285,100
26,806,HUG,03/15/2021,29.48285,29.48285,29.48285,29.48285,0
27,807,HUG,03/16/2021,29.48285,29.48285,29.48285,29.48285,0
28,808,HUG,03/17/2021,31.731,31.731,31.731,31.731,100
29,809,HUG,03/18/2021,31.731,31.731,31.731,31.731,300
30,810,HUG,03/19/2021,31.731,31.731,31.731,31.731,0
31,811,HUG,03/22/2021,26.97778,26.97778,26.97778,26.97778,100
32,812,HUG,03/23/2021,26.97778,26.97778,26.97778,26.97778,0
33,813,HUG,03/24/2021,26.97778,26.97778,26.97778,26.97778,0
34,814,HUG,03/25/2021,26.97778,26.97778,26.97778,26.97778,0
35,815,HUG,03/26/2021,26.97778,26.97778,26.97778,26.97778,0
36,816,HUG,03/29/2021,26.97778,26.97778,26.97778,26.97778,0
37,817,HUG,03/30/2021,26.97778,26.97778,26.97778,26.97778,0
38,818,HUG,03/31/2021,26.97778,26.97778,26.97778,26.97778,0
39,819,HUG,04/01/2021,26.97778,26.97778,26.97778,26.97778,300
40,820,HUG,04/02/2021,26.97778,26.97778,26.97778,26.97778,300
41,821,HUG,04/05/2021,26.97778,26.97778,26.97778,26.97778,0
42,822,HUG,04/06/2021,26.97778,26.97778,26.97778,26.97778,0
43,823,HUG,04/07/2021,26.97778,26.97778,26.97778,26.97778,0
44,824,HUG,04/08/2021,26.97778,26.97778,26.97778,26.97778,0
45,825,HUG,04/09/2021,26.97778,26.97778,26.97778,26.97778,0
46,826,HUG,04/12/2021,26.97778,26.97778,26.97778,26.97778,100
47,827,HUG,04/13/2021,26.84931,26.84931,26.84931,26.84931,100
48,828,HUG,04/14/2021,26.84931,26.84931,26.84931,26.84931,0
49,829,HUG,04/15/2021,26.97778,26.97778,26.97778,26.97778,100
50,830,HUG,04/16/2021,26.97778,26.97778,26.97778,26.97778,0
51,831,HUG,04/19/2021,26.97778,26.97778,26.97778,26.97778,100
52,832,HUG,04/20/2021,26.97778,26.97778,26.97778,26.97778,0
53,833,HUG,04/22/2021,26.97778,26.97778,26.97778,26.97778,0
54,834,HUG,04/23/2021,23.76614,23.76614,23.76614,23.76614,200
55,835,HUG,04/26/2021,23.76614,23.76614,23.76614,23.76614,0
56,836,HUG,04/27/2021,23.76614,23.76614,23.76614,23.76614,0
57,837,HUG,04/28/2021,23.76614,23.76614,23.76614,23.76614,0
58,838,HUG,04/29/2021,23.76614,23.76614,23.76614,23.76614,0
