,index,Ticker,Date,Open,High,Low,Close,Volume
0,1056,ISH,01/29/2021,11.79497,11.79497,11.79497,11.79497,400
1,1057,ISH,02/01/2021,12.02777,12.41576,12.02777,12.33816,500
2,1058,ISH,02/02/2021,12.33816,12.33816,12.33816,12.33816,0
3,1059,ISH,02/03/2021,12.33816,12.33816,12.33816,12.33816,0
4,1060,ISH,02/04/2021,12.02777,12.02777,12.02777,12.02777,1700
5,1061,ISH,02/05/2021,12.02777,12.02777,12.02777,12.02777,500
6,1062,ISH,02/08/2021,12.02777,12.02777,12.02777,12.02777,500
7,1063,ISH,02/09/2021,12.02777,12.02777,12.02777,12.02777,0
8,1064,ISH,02/17/2021,12.41576,12.41576,12.41576,12.41576,200
9,1065,ISH,02/18/2021,12.41576,12.41576,12.41576,12.41576,0
10,1066,ISH,02/19/2021,12.41576,12.41576,12.41576,12.41576,0
11,1067,ISH,02/22/2021,12.41576,12.41576,12.41576,12.41576,10000
12,1068,ISH,02/23/2021,12.41576,12.41576,12.41576,12.41576,0
13,1069,ISH,02/24/2021,12.41576,12.41576,12.41576,12.41576,0
14,1070,ISH,02/25/2021,10.86379,12.41576,10.86379,12.02777,8600
15,1071,ISH,02/26/2021,12.10537,12.10537,12.10537,12.10537,0
16,1072,ISH,03/01/2021,12.10537,12.10537,12.10537,12.10537,0
17,1073,ISH,03/02/2021,12.72615,12.80375,12.26056,12.26056,6400
18,1074,ISH,03/03/2021,12.41576,12.41576,12.26056,12.41576,24400
19,1075,ISH,03/04/2021,12.41576,12.41576,12.41576,12.41576,0
20,1076,ISH,03/05/2021,12.41576,12.41576,12.41576,12.41576,0
21,1077,ISH,03/08/2021,12.02777,12.41576,12.02777,12.41576,1100
22,1078,ISH,03/09/2021,12.41576,12.41576,11.71737,11.71737,23600
23,1079,ISH,03/10/2021,11.63978,12.41576,11.63978,12.41576,10500
24,1080,ISH,03/11/2021,12.41576,12.41576,12.41576,12.41576,0
25,1081,ISH,03/12/2021,12.41576,12.41576,12.41576,12.41576,0
26,1082,ISH,03/15/2021,12.41576,12.41576,12.41576,12.41576,22500
27,1083,ISH,03/16/2021,12.26056,12.26056,12.26056,12.26056,500
28,1084,ISH,03/17/2021,12.26056,12.26056,12.26056,12.26056,0
29,1085,ISH,03/18/2021,12.26056,12.26056,12.26056,12.26056,0
30,1086,ISH,03/19/2021,12.26056,12.26056,12.26056,12.26056,0
31,1087,ISH,03/22/2021,12.02777,12.02777,12.02777,12.02777,1000
32,1088,ISH,03/23/2021,12.41576,12.80375,12.41576,12.80375,41000
33,1089,ISH,03/24/2021,12.57096,12.57096,12.57096,12.57096,0
34,1090,ISH,03/25/2021,12.57096,12.57096,12.57096,12.57096,0
35,1091,ISH,03/26/2021,12.80375,12.80375,12.57096,12.57096,3100
36,1092,ISH,03/29/2021,12.41576,12.41576,12.41576,12.41576,500
37,1093,ISH,03/30/2021,12.41576,12.41576,12.41576,12.41576,0
38,1094,ISH,03/31/2021,12.41576,12.80375,12.41576,12.80375,2500
39,1095,ISH,04/01/2021,12.49336,12.49336,12.41576,12.41576,3000
40,1096,ISH,04/02/2021,12.57096,12.57096,12.57096,12.57096,100
41,1097,ISH,04/05/2021,12.57096,12.57096,12.57096,12.57096,0
42,1098,ISH,04/06/2021,12.57096,12.57096,12.57096,12.57096,0
43,1099,ISH,04/07/2021,12.41576,12.41576,12.41576,12.41576,200
44,1100,ISH,04/08/2021,14.27812,14.27812,12.80375,12.80375,2200
45,1101,ISH,04/09/2021,14.74372,14.74372,13.19174,13.19174,200
46,1102,ISH,04/12/2021,12.41576,12.57096,12.41576,12.57096,69500
47,1103,ISH,04/13/2021,12.57096,12.57096,12.57096,12.57096,20300
48,1104,ISH,04/14/2021,12.57096,12.57096,12.57096,12.57096,12800
49,1105,ISH,04/15/2021,12.57096,12.57096,12.10537,12.10537,10500
