,index,Ticker,Date,Open,High,Low,Close,Volume
0,842,KGM,02/01/2021,7.768179,7.768179,7.768179,7.768179,0
1,843,KGM,02/02/2021,7.768179,7.768179,7.768179,7.768179,0
2,844,KGM,02/03/2021,7.768179,7.768179,7.768179,7.768179,0
3,845,KGM,02/04/2021,7.768179,7.768179,7.768179,7.768179,0
4,846,KGM,02/05/2021,7.768179,7.768179,7.768179,7.768179,0
5,847,KGM,02/08/2021,7.768179,7.768179,7.768179,7.768179,0
6,848,KGM,02/09/2021,7.768179,7.768179,7.768179,7.768179,0
7,849,KGM,02/17/2021,7.768179,7.768179,7.768179,7.768179,0
8,850,KGM,02/18/2021,7.768179,7.768179,7.768179,7.768179,0
9,851,KGM,02/19/2021,7.768179,7.768179,7.768179,7.768179,0
10,852,KGM,02/22/2021,7.768179,7.768179,7.768179,7.768179,0
11,853,KGM,02/23/2021,7.768179,7.768179,7.768179,7.768179,0
12,854,KGM,02/24/2021,7.768179,7.768179,7.768179,7.768179,0
13,855,KGM,02/25/2021,7.768179,7.768179,7.768179,7.768179,0
14,856,KGM,02/26/2021,7.768179,7.768179,7.768179,7.768179,0
15,857,KGM,03/01/2021,7.768179,7.768179,7.768179,7.768179,0
16,858,KGM,03/02/2021,7.768179,7.768179,7.768179,7.768179,0
17,859,KGM,03/03/2021,7.768179,7.768179,7.768179,7.768179,0
18,860,KGM,03/04/2021,10.87545,10.87545,10.87545,10.87545,100
19,861,KGM,03/05/2021,10.87545,10.87545,10.87545,10.87545,100
20,862,KGM,03/08/2021,10.87545,10.87545,10.87545,10.87545,0
21,863,KGM,03/09/2021,10.87545,10.87545,10.87545,10.87545,0
22,864,KGM,03/10/2021,10.87545,10.87545,10.87545,10.87545,0
23,865,KGM,03/11/2021,10.87545,10.87545,10.87545,10.87545,0
24,866,KGM,03/12/2021,10.87545,10.87545,10.87545,10.87545,0
25,867,KGM,03/15/2021,9.321815,9.321815,9.321815,9.321815,1200
26,868,KGM,03/16/2021,9.321815,9.321815,9.321815,9.321815,0
27,869,KGM,03/17/2021,9.321815,9.321815,9.321815,9.321815,0
28,870,KGM,03/18/2021,9.321815,9.321815,9.321815,9.321815,0
29,871,KGM,03/19/2021,9.321815,9.321815,9.321815,9.321815,0
30,872,KGM,03/22/2021,9.321815,9.321815,9.321815,9.321815,0
31,873,KGM,03/23/2021,7.940805,7.940805,7.940805,7.940805,300
32,874,KGM,03/24/2021,6.818735,6.818735,6.818735,6.818735,1300
33,875,KGM,03/25/2021,6.818735,6.818735,6.041917,6.041917,2900
34,876,KGM,03/26/2021,6.041917,6.041917,6.041917,6.041917,0
35,877,KGM,03/29/2021,6.041917,6.041917,6.041917,6.041917,0
36,878,KGM,03/30/2021,6.905048,6.905048,6.905048,6.905048,1100
37,879,KGM,03/31/2021,7.854492,7.854492,7.854492,7.854492,1400
38,880,KGM,04/01/2021,7.854492,7.854492,7.854492,7.854492,0
39,881,KGM,04/02/2021,7.768179,8.199744,7.768179,8.199744,200
