,index,Ticker,Date,Open,High,Low,Close,Volume
0,2998,KSH,02/01/2021,2.0,2.1,1.8,1.9,1449500.0
1,2999,KSH,02/02/2021,2.0,2.0,1.7,1.9,1453700.0
2,3000,KSH,02/03/2021,1.9,2.0,1.8,2.0,1900300.0
3,3001,KSH,02/04/2021,2.1,2.1,1.9,2.0,565600.0
4,3002,KSH,02/05/2021,2.0,2.0,1.8,1.9,1305500.0
5,3003,KSH,02/08/2021,1.9,2.0,1.7,1.8,1358300.0
6,3004,KSH,02/09/2021,1.8,2.0,1.7,1.9,2025300.0
7,3005,KSH,02/17/2021,1.9,2.1,1.9,2.1,694100.0
8,3006,KSH,02/18/2021,2.1,2.1,1.9,1.9,480300.0
9,3007,KSH,02/19/2021,1.9,2.0,1.9,1.9,872200.0
10,3008,KSH,02/22/2021,2.0,2.0,1.8,1.9,271400.0
11,3009,KSH,02/23/2021,1.9,1.9,1.7,1.9,1119100.0
12,3010,KSH,02/24/2021,1.9,1.9,1.6,1.7,1561700.0
13,3011,KSH,02/25/2021,1.8,1.9,1.7,1.8,1005300.0
14,3012,KSH,02/26/2021,1.8,1.9,1.7,1.9,421200.0
15,3013,KSH,03/01/2021,1.9,2.0,1.8,1.9,1823600.0
16,3014,KSH,03/02/2021,2.0,2.0,1.8,1.8,376300.0
17,3015,KSH,03/03/2021,1.9,2.0,1.8,1.9,1176000.0
18,3016,KSH,03/04/2021,2.0,2.1,1.9,2.1,3446800.0
19,3017,KSH,03/05/2021,2.2,2.4,2.1,2.4,2625700.0
20,3018,KSH,03/08/2021,2.4,2.6,2.3,2.4,2898500.0
21,3019,KSH,03/09/2021,2.4,2.4,2.1,2.2,2098100.0
22,3020,KSH,03/10/2021,2.3,2.3,2.2,2.3,1580600.0
23,3021,KSH,03/11/2021,2.3,2.4,2.2,2.3,1349700.0
24,3022,KSH,03/12/2021,2.3,2.3,2.1,2.1,2106200.0
25,3023,KSH,03/15/2021,2.2,2.3,2.1,2.3,1195900.0
26,3024,KSH,03/16/2021,2.3,2.3,2.1,2.3,1017900.0
27,3025,KSH,03/17/2021,2.2,2.3,2.1,2.3,1234600.0
28,3026,KSH,03/18/2021,2.2,2.3,2.2,2.3,2122500.0
29,3027,KSH,03/19/2021,2.2,2.3,2.1,2.2,1112100.0
30,3028,KSH,03/22/2021,2.2,2.2,2.0,2.2,2769400.0
31,3029,KSH,03/23/2021,2.1,2.2,2.0,2.1,2665500.0
32,3030,KSH,03/24/2021,2.1,2.1,1.9,2.1,1622900.0
33,3031,KSH,03/25/2021,2.0,2.2,2.0,2.2,2157500.0
34,3032,KSH,03/26/2021,2.1,2.2,2.0,2.1,1688100.0
35,3033,KSH,03/29/2021,2.1,2.3,2.0,2.3,6522000.0
36,3034,KSH,03/30/2021,2.3,2.5,2.3,2.5,4124100.0
37,3035,KSH,03/31/2021,2.5,2.5,2.3,2.4,4396900.0
