,index,Ticker,Date,Open,High,Low,Close,Volume
0,2176,LM3,01/29/2021,1.2,1.2,1.2,1.2,0
1,2177,LM3,02/01/2021,1.2,1.2,1.2,1.2,0
2,2178,LM3,02/02/2021,1.2,1.2,1.2,1.2,0
3,2179,LM3,02/03/2021,1.2,1.2,1.2,1.2,0
4,2180,LM3,02/04/2021,1.2,1.2,1.2,1.2,0
5,2181,LM3,02/05/2021,1.2,1.2,1.2,1.2,0
6,2182,LM3,02/08/2021,1.2,1.2,1.2,1.2,0
7,2183,LM3,02/09/2021,1.2,1.2,1.2,1.2,0
8,2184,LM3,02/17/2021,1.2,1.2,1.2,1.2,0
9,2185,LM3,02/18/2021,1.2,1.2,1.2,1.2,0
10,2186,LM3,02/19/2021,1.3,1.3,1.3,1.3,100
11,2187,LM3,02/22/2021,1.3,1.3,1.3,1.3,0
12,2188,LM3,02/23/2021,1.3,1.3,1.3,1.3,0
13,2189,LM3,02/24/2021,1.3,1.3,1.3,1.3,0
14,2190,LM3,02/25/2021,1.3,1.3,1.3,1.3,0
15,2191,LM3,02/26/2021,1.4,1.4,1.4,1.4,100
16,2192,LM3,03/01/2021,1.4,1.4,1.4,1.4,0
17,2193,LM3,03/02/2021,1.4,1.4,1.4,1.4,0
18,2194,LM3,03/03/2021,1.4,1.4,1.4,1.4,0
19,2195,LM3,03/04/2021,1.4,1.4,1.4,1.4,0
20,2196,LM3,03/05/2021,1.6,1.6,1.6,1.6,13200
21,2197,LM3,03/08/2021,1.6,1.6,1.6,1.6,0
22,2198,LM3,03/09/2021,1.6,1.6,1.6,1.6,0
23,2199,LM3,03/10/2021,1.6,1.6,1.6,1.6,0
24,2200,LM3,03/11/2021,1.6,1.6,1.6,1.6,0
25,2201,LM3,03/12/2021,1.8,1.8,1.8,1.8,200
26,2202,LM3,03/15/2021,1.8,1.8,1.8,1.8,0
27,2203,LM3,03/16/2021,1.8,1.8,1.8,1.8,0
28,2204,LM3,03/17/2021,1.8,1.8,1.8,1.8,0
29,2205,LM3,03/18/2021,1.8,1.8,1.8,1.8,0
30,2206,LM3,03/19/2021,2.0,2.0,2.0,2.0,100
31,2207,LM3,03/22/2021,2.0,2.0,2.0,2.0,0
32,2208,LM3,03/23/2021,2.0,2.0,2.0,2.0,0
33,2209,LM3,03/24/2021,2.0,2.0,2.0,2.0,0
34,2210,LM3,03/25/2021,2.0,2.0,2.0,2.0,0
35,2211,LM3,03/26/2021,2.0,2.3,2.0,2.0,6500
36,2212,LM3,03/29/2021,2.0,2.0,2.0,2.0,0
37,2213,LM3,03/30/2021,2.0,2.0,2.0,2.0,0
38,2214,LM3,03/31/2021,2.0,2.0,2.0,2.0,0
39,2215,LM3,04/01/2021,2.0,2.0,2.0,2.0,0
40,2216,LM3,04/02/2021,2.2,2.3,2.2,2.3,6500
41,2217,LM3,04/05/2021,2.3,2.3,2.3,2.3,0
42,2218,LM3,04/06/2021,2.3,2.3,2.3,2.3,0
43,2219,LM3,04/07/2021,2.3,2.3,2.3,2.3,0
44,2220,LM3,04/08/2021,2.3,2.3,2.3,2.3,0
45,2221,LM3,04/09/2021,2.2,2.2,2.1,2.2,12300
46,2222,LM3,04/12/2021,2.1,2.1,2.1,2.1,0
47,2223,LM3,04/13/2021,2.1,2.1,2.1,2.1,0
48,2224,LM3,04/14/2021,2.1,2.1,2.1,2.1,0
49,2225,LM3,04/15/2021,2.1,2.1,2.1,2.1,0
50,2226,LM3,04/16/2021,2.1,2.1,1.8,2.1,6600
51,2227,LM3,04/19/2021,1.8,1.8,1.8,1.8,0
52,2228,LM3,04/20/2021,1.8,1.8,1.8,1.8,0
53,2229,LM3,04/22/2021,1.8,1.8,1.8,1.8,0
54,2230,LM3,04/23/2021,1.6,1.6,1.6,1.6,7100
55,2231,LM3,04/26/2021,1.6,1.6,1.6,1.6,0
56,2232,LM3,04/27/2021,1.6,1.6,1.6,1.6,0
57,2233,LM3,04/28/2021,1.6,1.6,1.6,1.6,0
58,2234,LM3,04/29/2021,1.6,1.6,1.6,1.6,0
59,2235,LM3,05/04/2021,1.6,1.6,1.6,1.6,0
60,2236,LM3,05/05/2021,1.6,1.6,1.6,1.6,0
61,2237,LM3,05/06/2021,1.6,1.6,1.6,1.6,0
62,2238,LM3,05/07/2021,1.4,1.7,1.4,1.7,1000
63,2239,LM3,05/10/2021,1.5,1.5,1.5,1.5,0
64,2240,LM3,05/11/2021,1.5,1.5,1.5,1.5,0
65,2241,LM3,05/12/2021,1.5,1.5,1.5,1.5,0
66,2242,LM3,05/13/2021,1.5,1.5,1.5,1.5,0
67,2243,LM3,05/14/2021,1.3,1.3,1.3,1.3,1800
68,2244,LM3,05/17/2021,1.3,1.3,1.3,1.3,0
69,2245,LM3,05/18/2021,1.3,1.3,1.3,1.3,0
70,2246,LM3,05/19/2021,1.3,1.3,1.3,1.3,0
71,2247,LM3,05/20/2021,1.3,1.3,1.3,1.3,0
72,2248,LM3,05/21/2021,1.2,1.4,1.2,1.4,200
73,2249,LM3,05/24/2021,1.3,1.3,1.3,1.3,0
74,2250,LM3,05/25/2021,1.3,1.3,1.3,1.3,0
75,2251,LM3,05/26/2021,1.3,1.3,1.3,1.3,0
76,2252,LM3,05/27/2021,1.3,1.3,1.3,1.3,0
77,2253,LM3,05/28/2021,1.3,1.4,1.3,1.4,4300
78,2254,LM3,05/31/2021,1.4,1.4,1.4,1.4,0
79,2255,LM3,06/01/2021,1.4,1.4,1.4,1.4,0
80,2256,LM3,06/02/2021,1.4,1.4,1.4,1.4,0
81,2257,LM3,06/03/2021,1.4,1.4,1.4,1.4,0
82,2258,LM3,06/04/2021,1.3,1.4,1.2,1.4,3300
83,2259,LM3,06/07/2021,1.2,1.2,1.2,1.2,0
