,index,Ticker,Date,Open,High,Low,Close,Volume
0,844,LMC,02/01/2021,11.0,11.0,11.0,11.0,2000
1,845,LMC,02/02/2021,11.0,11.0,11.0,11.0,0
2,846,LMC,02/03/2021,11.0,11.0,11.0,11.0,0
3,847,LMC,02/04/2021,11.0,11.0,11.0,11.0,0
4,848,LMC,02/05/2021,11.0,11.0,11.0,11.0,0
5,849,LMC,02/08/2021,11.0,11.0,11.0,11.0,0
6,850,LMC,02/09/2021,11.0,11.0,11.0,11.0,0
7,851,LMC,02/17/2021,11.0,11.0,11.0,11.0,0
8,852,LMC,02/18/2021,11.0,11.0,11.0,11.0,0
9,853,LMC,02/19/2021,11.0,11.0,11.0,11.0,0
10,854,LMC,02/22/2021,11.0,11.0,11.0,11.0,0
11,855,LMC,02/23/2021,11.0,11.0,11.0,11.0,0
12,856,LMC,02/24/2021,10.9,10.9,10.8,10.8,137000
13,857,LMC,02/25/2021,10.0,10.0,10.0,10.0,400
14,858,LMC,02/26/2021,10.0,10.0,10.0,10.0,100
15,859,LMC,03/01/2021,10.0,11.3,10.0,11.3,45300
16,860,LMC,03/02/2021,11.3,11.3,11.3,11.3,20000
17,861,LMC,03/03/2021,11.3,11.3,11.3,11.3,0
18,862,LMC,03/04/2021,11.8,11.8,11.8,11.8,100
19,863,LMC,03/05/2021,11.8,11.8,11.8,11.8,0
20,864,LMC,03/08/2021,11.8,11.8,11.8,11.8,1000
21,865,LMC,03/09/2021,11.8,11.8,11.8,11.8,0
22,866,LMC,03/10/2021,10.1,10.1,10.1,10.1,172200
23,867,LMC,03/11/2021,10.1,10.1,10.0,10.0,305500
24,868,LMC,03/12/2021,10.0,10.0,10.0,10.0,0
25,869,LMC,03/15/2021,10.0,10.0,9.5,9.5,151000
26,870,LMC,03/16/2021,9.5,9.5,9.5,9.5,0
27,871,LMC,03/17/2021,9.5,9.5,9.5,9.5,0
28,872,LMC,03/18/2021,9.5,9.5,9.5,9.5,0
29,873,LMC,03/19/2021,9.5,9.5,9.5,9.5,0
30,874,LMC,03/22/2021,9.5,9.5,9.5,9.5,0
31,875,LMC,03/23/2021,8.9,8.9,8.9,8.9,100
32,876,LMC,03/24/2021,9.9,9.9,9.8,9.8,300
33,877,LMC,03/25/2021,9.8,9.8,9.1,9.1,1900
34,878,LMC,03/26/2021,9.4,9.4,9.4,9.4,0
35,879,LMC,03/29/2021,9.4,9.4,9.4,9.4,0
36,880,LMC,03/30/2021,9.3,9.4,9.3,9.4,500
37,881,LMC,03/31/2021,9.5,9.5,9.5,9.5,600
38,882,LMC,04/01/2021,9.5,9.5,9.5,9.5,0
39,883,LMC,04/02/2021,9.5,9.5,9.5,9.5,0
40,884,LMC,04/05/2021,9.6,9.8,9.6,9.8,300
41,885,LMC,04/06/2021,9.8,9.8,9.8,9.8,400
42,886,LMC,04/07/2021,10.9,10.9,10.9,10.9,300
43,887,LMC,04/08/2021,10.9,10.9,10.9,10.9,0
44,888,LMC,04/09/2021,10.9,10.9,10.9,10.9,0
45,889,LMC,04/12/2021,10.0,10.0,10.0,10.0,2100
46,890,LMC,04/13/2021,10.0,10.0,10.0,10.0,0
47,891,LMC,04/14/2021,10.0,10.0,10.0,10.0,0
48,892,LMC,04/15/2021,10.5,10.5,10.0,10.0,3000
49,893,LMC,04/16/2021,10.1,10.1,10.1,10.1,0
50,894,LMC,04/19/2021,10.1,10.1,10.1,10.1,0
51,895,LMC,04/20/2021,10.0,10.0,10.0,10.0,500
52,896,LMC,04/22/2021,9.0,9.0,9.0,9.0,200
53,897,LMC,04/23/2021,9.0,9.0,9.0,9.0,0
54,898,LMC,04/26/2021,9.0,9.0,9.0,9.0,300
55,899,LMC,04/27/2021,9.0,9.0,9.0,9.0,0
56,900,LMC,04/28/2021,9.0,9.0,9.0,9.0,0
57,901,LMC,04/29/2021,9.0,9.0,9.0,9.0,0
58,902,LMC,05/04/2021,9.0,9.0,9.0,9.0,300
59,903,LMC,05/05/2021,9.0,9.0,9.0,9.0,500
60,904,LMC,05/06/2021,9.0,9.0,9.0,9.0,100
61,905,LMC,05/07/2021,10.3,10.3,10.3,10.3,10400
62,906,LMC,05/10/2021,10.3,10.3,10.3,10.3,0
63,907,LMC,05/11/2021,10.3,10.3,10.3,10.3,0
64,908,LMC,05/12/2021,10.3,10.3,10.3,10.3,500
65,909,LMC,05/13/2021,10.3,10.3,10.3,10.3,0
66,910,LMC,05/14/2021,10.3,10.3,10.3,10.3,0
67,911,LMC,05/17/2021,11.8,11.8,11.8,11.8,4000
68,912,LMC,05/18/2021,11.0,11.0,11.0,11.0,170000
69,913,LMC,05/19/2021,11.0,11.0,11.0,11.0,0
70,914,LMC,05/20/2021,11.0,11.0,11.0,11.0,0
71,915,LMC,05/21/2021,11.0,11.0,11.0,11.0,0
72,916,LMC,05/24/2021,11.0,11.0,11.0,11.0,0
73,917,LMC,05/25/2021,11.0,11.0,11.0,11.0,0
74,918,LMC,05/26/2021,11.0,11.0,11.0,11.0,0
75,919,LMC,05/27/2021,11.0,11.0,11.0,11.0,0
76,920,LMC,05/28/2021,11.0,11.0,11.0,11.0,108000
77,921,LMC,05/31/2021,11.0,11.0,11.0,11.0,0
78,922,LMC,06/01/2021,11.0,11.0,11.0,11.0,0
79,923,LMC,06/02/2021,11.0,11.0,11.0,11.0,0
80,924,LMC,06/03/2021,11.0,11.0,11.0,11.0,0
81,925,LMC,06/04/2021,11.0,11.0,11.0,11.0,0
82,926,LMC,06/07/2021,12.0,12.0,12.0,12.0,100
83,927,LMC,06/08/2021,12.0,12.0,12.0,12.0,0
84,928,LMC,06/09/2021,12.0,12.0,12.0,12.0,1000
85,929,LMC,06/10/2021,12.0,12.0,12.0,12.0,0
86,930,LMC,06/11/2021,13.5,13.5,10.2,10.2,149600
87,931,LMC,06/14/2021,10.2,10.2,10.2,10.2,0
88,932,LMC,06/15/2021,10.2,10.2,10.2,10.2,0
89,933,LMC,06/16/2021,10.2,10.2,10.0,10.0,494300
90,934,LMC,06/17/2021,10.0,10.0,10.0,10.0,0
91,935,LMC,06/18/2021,10.0,10.0,10.0,10.0,0
92,936,LMC,06/21/2021,10.0,10.0,10.0,10.0,0
93,937,LMC,06/22/2021,10.0,10.0,10.0,10.0,0
94,938,LMC,06/23/2021,10.0,10.0,10.0,10.0,0
95,939,LMC,06/24/2021,10.0,10.0,10.0,10.0,0
96,940,LMC,06/25/2021,10.0,10.0,10.0,10.0,0
97,941,LMC,06/28/2021,10.0,10.0,10.0,10.0,0
98,942,LMC,06/29/2021,10.0,10.0,10.0,10.0,0
99,943,LMC,06/30/2021,10.5,11.0,10.5,11.0,2000
100,944,LMC,07/01/2021,10.8,12.0,10.8,12.0,2100
101,945,LMC,07/02/2021,13.0,13.0,13.0,13.0,2300
102,946,LMC,07/05/2021,13.4,13.4,13.4,13.4,100
103,947,LMC,07/06/2021,15.4,15.4,11.5,11.5,200
104,948,LMC,07/07/2021,14.8,14.9,11.5,11.5,300
105,949,LMC,07/08/2021,14.8,14.8,14.8,14.8,100
106,950,LMC,07/09/2021,16.9,16.9,16.6,16.8,4000
107,951,LMC,07/12/2021,16.8,19.2,16.8,19.1,68100
108,952,LMC,07/13/2021,16.4,16.4,16.4,16.4,5000
109,953,LMC,07/14/2021,14.3,14.3,14.0,14.0,5800
110,954,LMC,07/15/2021,12.0,12.0,12.0,12.0,1100800
111,955,LMC,07/16/2021,10.2,11.0,10.2,10.4,170800
112,956,LMC,07/19/2021,10.2,10.2,10.2,10.2,5000
113,957,LMC,07/20/2021,10.5,10.5,10.5,10.5,1000
114,958,LMC,07/21/2021,10.6,10.6,10.6,10.6,1000
115,959,LMC,07/22/2021,10.7,10.7,10.7,10.7,1000
116,960,LMC,07/23/2021,10.8,10.8,10.8,10.8,1000
117,961,LMC,07/26/2021,10.9,10.9,10.9,10.9,1000
118,962,LMC,07/27/2021,11.0,11.0,11.0,11.0,1000
119,963,LMC,07/28/2021,11.1,11.1,9.4,9.4,1100
120,964,LMC,07/29/2021,11.0,11.0,11.0,11.0,1000
121,965,LMC,07/30/2021,11.0,11.0,11.0,11.0,0
122,966,LMC,08/02/2021,11.1,11.1,11.1,11.1,1000
123,967,LMC,08/03/2021,11.2,12.0,11.2,12.0,16500
124,968,LMC,08/04/2021,12.1,12.1,12.1,12.1,1000
125,969,LMC,08/05/2021,12.2,12.2,12.2,12.2,1000
126,970,LMC,08/06/2021,12.3,12.3,12.3,12.3,1000
127,971,LMC,08/09/2021,12.4,12.4,12.4,12.4,1400
128,972,LMC,08/10/2021,12.5,12.5,12.5,12.5,1500
129,973,LMC,08/11/2021,12.6,12.6,12.6,12.6,2100
130,974,LMC,08/12/2021,12.7,12.8,12.7,12.8,2100
131,975,LMC,08/13/2021,12.8,12.8,12.8,12.8,1500
132,976,LMC,08/16/2021,12.8,12.8,12.8,12.8,1100
133,977,LMC,08/17/2021,12.9,12.9,12.8,12.8,6100
134,978,LMC,08/18/2021,12.9,12.9,12.8,12.9,6100
135,979,LMC,08/19/2021,12.9,12.9,12.8,12.8,6100
136,980,LMC,08/20/2021,12.8,13.0,12.8,13.0,6200
137,981,LMC,08/23/2021,12.8,13.0,12.8,13.0,6400
138,982,LMC,08/24/2021,12.9,12.9,12.8,12.8,6000
139,983,LMC,08/25/2021,13.0,13.0,12.9,12.9,6000
140,984,LMC,08/26/2021,13.0,14.7,12.9,13.0,6400
141,985,LMC,08/27/2021,13.0,13.0,13.0,13.0,100
142,986,LMC,08/30/2021,13.1,14.0,13.1,14.0,1600
143,987,LMC,08/31/2021,13.2,13.2,13.0,13.0,1500
144,988,LMC,09/01/2021,13.2,13.2,13.1,13.1,1500
145,989,LMC,09/06/2021,13.3,13.3,13.2,13.2,1300
146,990,LMC,09/07/2021,13.3,13.3,13.3,13.3,1000
147,991,LMC,09/08/2021,13.3,13.3,13.3,13.3,1000
148,992,LMC,09/09/2021,13.3,13.3,13.3,13.3,1000
149,993,LMC,09/10/2021,13.3,13.3,13.3,13.3,1100
150,994,LMC,09/13/2021,13.3,13.3,13.3,13.3,5500
151,995,LMC,09/14/2021,13.4,13.4,13.4,13.4,1000
152,996,LMC,09/15/2021,13.4,13.4,13.4,13.4,1000
153,997,LMC,09/16/2021,13.4,13.4,13.4,13.4,1000
154,998,LMC,09/17/2021,13.4,13.4,13.4,13.4,1000
155,999,LMC,09/20/2021,13.4,13.4,13.4,13.4,200
156,1000,LMC,09/21/2021,13.4,13.4,13.4,13.4,0
157,1001,LMC,09/22/2021,13.0,13.0,13.0,13.0,5000
158,1002,LMC,09/23/2021,13.0,13.0,13.0,13.0,0
159,1003,LMC,09/24/2021,13.0,13.0,13.0,13.0,0
160,1004,LMC,09/27/2021,13.0,13.0,13.0,13.0,0
161,1005,LMC,09/28/2021,13.0,13.0,13.0,13.0,0
162,1006,LMC,09/29/2021,13.0,13.0,13.0,13.0,0
163,1007,LMC,09/30/2021,12.5,12.7,12.4,12.4,69600
164,1008,LMC,10/01/2021,12.8,12.8,12.8,12.8,5100
165,1009,LMC,10/04/2021,12.8,12.8,12.8,12.8,100
166,1010,LMC,10/05/2021,12.8,12.8,12.8,12.8,0
167,1011,LMC,10/06/2021,12.8,12.8,12.8,12.8,0
168,1012,LMC,10/07/2021,12.8,12.8,12.8,12.8,0
169,1013,LMC,10/08/2021,12.8,12.8,12.8,12.8,0
170,1014,LMC,10/11/2021,12.8,12.8,12.8,12.8,0
171,1015,LMC,10/12/2021,12.8,12.8,12.8,12.8,5000
172,1016,LMC,10/13/2021,12.8,12.8,12.8,12.8,0
173,1017,LMC,10/14/2021,12.8,12.8,12.8,12.8,0
174,1018,LMC,10/15/2021,12.8,12.8,12.8,12.8,0
175,1019,LMC,10/18/2021,12.5,12.5,12.5,12.5,5000
176,1020,LMC,10/19/2021,12.5,12.5,12.5,12.5,0
177,1021,LMC,10/20/2021,12.5,12.5,12.5,12.5,0
178,1022,LMC,10/21/2021,12.5,12.5,12.5,12.5,0
179,1023,LMC,10/22/2021,12.5,12.5,12.5,12.5,0
180,1024,LMC,10/25/2021,12.5,12.5,12.5,12.5,0
181,1025,LMC,10/26/2021,12.5,12.5,12.5,12.5,0
182,1026,LMC,10/27/2021,12.5,12.5,12.5,12.5,0
183,1027,LMC,10/28/2021,12.5,12.5,12.5,12.5,0
184,1028,LMC,10/29/2021,12.5,12.5,12.5,12.5,0
185,1029,LMC,11/01/2021,12.5,12.5,12.5,12.5,0
186,1030,LMC,11/02/2021,12.5,12.6,12.5,12.6,2600
187,1031,LMC,11/03/2021,12.6,12.6,12.6,12.6,0
188,1032,LMC,11/04/2021,12.6,12.6,12.6,12.6,0
189,1033,LMC,11/05/2021,12.6,12.6,12.6,12.6,0
190,1034,LMC,11/08/2021,12.6,12.6,12.6,12.6,0
191,1035,LMC,11/09/2021,12.6,12.6,12.6,12.6,0
192,1036,LMC,11/10/2021,12.6,12.6,12.6,12.6,0
193,1037,LMC,11/11/2021,12.6,12.6,12.6,12.6,0
194,1038,LMC,11/12/2021,12.6,12.6,12.6,12.6,0
195,1039,LMC,11/15/2021,12.6,12.6,12.6,12.6,0
196,1040,LMC,11/16/2021,12.6,12.6,12.6,12.6,0
197,1041,LMC,11/17/2021,12.6,12.6,12.6,12.6,0
198,1042,LMC,11/18/2021,11.0,11.0,11.0,11.0,500
199,1043,LMC,11/19/2021,10.5,12.6,10.5,12.6,6600
200,1044,LMC,11/22/2021,11.6,11.6,11.6,11.6,0
201,1045,LMC,11/23/2021,13.0,13.0,13.0,13.0,100
202,1046,LMC,11/24/2021,13.0,13.0,13.0,13.0,0
203,1047,LMC,11/25/2021,13.0,13.0,13.0,13.0,0
204,1048,LMC,11/26/2021,13.0,13.0,13.0,13.0,0
205,1049,LMC,11/29/2021,13.0,13.0,13.0,13.0,0
206,1050,LMC,11/30/2021,13.0,13.0,13.0,13.0,1100
207,1051,LMC,12/01/2021,13.0,13.0,13.0,13.0,0
208,1052,LMC,12/02/2021,13.0,13.0,13.0,13.0,0
209,1053,LMC,12/03/2021,12.0,12.8,12.0,12.8,51000
210,1054,LMC,12/06/2021,13.0,13.5,13.0,13.5,5700
211,1055,LMC,12/07/2021,14.8,14.8,14.8,14.8,100
212,1056,LMC,12/08/2021,15.0,16.0,15.0,16.0,51000
213,1057,LMC,12/09/2021,16.0,16.0,16.0,16.0,0
214,1058,LMC,12/10/2021,15.0,15.5,15.0,15.5,2100
215,1059,LMC,12/13/2021,15.0,15.0,15.0,15.0,0
216,1060,LMC,12/14/2021,15.0,15.0,15.0,15.0,0
217,1061,LMC,12/15/2021,16.0,16.0,16.0,16.0,200
218,1062,LMC,12/16/2021,16.0,16.0,16.0,16.0,0
219,1063,LMC,12/17/2021,16.0,16.0,16.0,16.0,0
220,1064,LMC,12/20/2021,16.0,16.0,16.0,16.0,0
221,1065,LMC,12/21/2021,16.0,16.0,16.0,16.0,0
222,1066,LMC,12/22/2021,16.0,16.0,16.0,16.0,0
223,1067,LMC,12/23/2021,16.0,16.0,16.0,16.0,0
224,1068,LMC,12/24/2021,16.0,16.0,16.0,16.0,0
225,1069,LMC,12/27/2021,13.6,13.6,13.6,13.6,100
226,1070,LMC,12/28/2021,11.6,11.6,11.6,11.6,100
227,1071,LMC,12/29/2021,12.0,12.1,12.0,12.1,125000
228,1072,LMC,12/30/2021,12.0,12.0,12.0,12.0,0
229,1073,LMC,12/31/2021,12.0,12.0,12.0,12.0,0
230,1074,LMC,01/04/2022,12.0,12.0,12.0,12.0,0
231,1075,LMC,01/05/2022,12.0,12.0,11.5,11.5,500
232,1076,LMC,01/06/2022,11.6,11.6,11.6,11.6,0
233,1077,LMC,01/07/2022,11.6,11.6,11.6,11.6,0
234,1078,LMC,01/10/2022,13.0,13.0,13.0,13.0,100
235,1079,LMC,01/11/2022,13.0,13.0,13.0,13.0,0
236,1080,LMC,01/12/2022,14.0,14.0,14.0,14.0,100
237,1081,LMC,01/13/2022,15.0,15.0,15.0,15.0,100
238,1082,LMC,01/14/2022,15.0,15.0,15.0,15.0,0
239,1083,LMC,01/17/2022,15.0,15.0,15.0,15.0,0
240,1084,LMC,01/18/2022,15.0,15.0,15.0,15.0,0
241,1085,LMC,01/19/2022,15.0,15.0,15.0,15.0,0
242,1086,LMC,01/20/2022,15.0,15.0,15.0,15.0,0
243,1087,LMC,01/21/2022,15.0,15.0,15.0,15.0,0
244,1088,LMC,01/24/2022,15.0,15.0,15.0,15.0,0
