,index,Ticker,Date,Open,High,Low,Close,Volume
0,396,LNC,01/28/2021,10,10,10,10,0
1,397,LNC,01/29/2021,10,10,10,10,0
2,398,LNC,02/01/2021,10,10,10,10,0
3,399,LNC,02/02/2021,10,10,10,10,0
4,400,LNC,02/03/2021,10,10,10,10,0
5,401,LNC,02/04/2021,10,10,10,10,0
6,402,LNC,02/05/2021,10,10,10,10,0
7,403,LNC,02/08/2021,10,10,10,10,0
8,404,LNC,02/09/2021,10,10,10,10,0
9,405,LNC,02/17/2021,10,10,10,10,0
10,406,LNC,02/18/2021,10,10,10,10,0
11,407,LNC,02/19/2021,10,10,10,10,0
12,408,LNC,02/22/2021,10,10,10,10,0
13,409,LNC,02/23/2021,10,10,10,10,0
14,410,LNC,02/24/2021,10,10,10,10,0
15,411,LNC,02/25/2021,10,10,10,10,0
16,412,LNC,02/26/2021,10,10,10,10,0
17,413,LNC,03/01/2021,10,10,10,10,0
18,414,LNC,03/02/2021,10,10,10,10,0
19,415,LNC,03/03/2021,10,10,10,10,0
20,416,LNC,03/04/2021,10,10,10,10,0
21,417,LNC,03/05/2021,10,10,10,10,0
22,418,LNC,03/08/2021,10,10,10,10,0
23,419,LNC,03/09/2021,10,10,10,10,0
24,420,LNC,03/10/2021,10,10,10,10,0
25,421,LNC,03/11/2021,10,10,10,10,0
26,422,LNC,03/12/2021,10,10,10,10,0
27,423,LNC,03/15/2021,10,10,10,10,0
28,424,LNC,03/16/2021,10,10,10,10,0
29,425,LNC,03/17/2021,10,10,10,10,0
30,426,LNC,03/18/2021,10,10,10,10,0
31,427,LNC,03/19/2021,10,10,10,10,0
32,428,LNC,03/22/2021,10,10,10,10,0
33,429,LNC,03/23/2021,10,10,10,10,0
34,430,LNC,03/24/2021,10,10,10,10,0
35,431,LNC,03/25/2021,10,10,10,10,0
36,432,LNC,03/26/2021,10,10,10,10,0
37,433,LNC,03/29/2021,10,10,10,10,0
38,434,LNC,03/30/2021,10,10,10,10,0
39,435,LNC,03/31/2021,10,10,10,10,0
40,436,LNC,04/01/2021,10,10,10,10,0
41,437,LNC,04/02/2021,10,10,10,10,0
42,438,LNC,04/05/2021,10,10,10,10,0
43,439,LNC,04/06/2021,10,10,10,10,0
44,440,LNC,04/07/2021,10,10,10,10,0
45,441,LNC,04/08/2021,10,10,10,10,0
46,442,LNC,04/09/2021,10,10,10,10,0
47,443,LNC,04/12/2021,10,10,10,10,0
48,444,LNC,04/13/2021,10,10,10,10,0
49,445,LNC,04/14/2021,10,10,10,10,0
50,446,LNC,04/15/2021,10,10,10,10,0
51,447,LNC,04/16/2021,10,10,10,10,0
52,448,LNC,04/19/2021,10,10,10,10,0
53,449,LNC,04/20/2021,10,10,10,10,0
54,450,LNC,04/22/2021,10,10,10,10,0
