,index,Ticker,Date,Open,High,Low,Close,Volume
0,863,PPH,02/01/2021,13.42971,13.49753,12.34448,12.34448,17500
1,864,PPH,02/02/2021,12.34448,12.88709,12.34448,12.88709,700
2,865,PPH,02/03/2021,13.22623,13.56536,12.95492,13.56536,10400
3,866,PPH,02/04/2021,13.90449,13.90449,13.22623,13.49753,4400
4,867,PPH,02/05/2021,13.36188,13.42971,13.36188,13.42971,6600
5,868,PPH,02/08/2021,13.49753,13.49753,13.22623,13.29405,8100
6,869,PPH,02/09/2021,13.42971,14.44711,13.42971,14.44711,12000
7,870,PPH,02/17/2021,14.1758,14.1758,14.04015,14.1758,6500
8,871,PPH,02/18/2021,13.49753,14.24363,13.49753,14.24363,12500
9,872,PPH,02/19/2021,13.90449,14.65059,13.90449,14.51494,83600
10,873,PPH,02/22/2021,14.37928,14.37928,14.04015,14.37928,9800
11,874,PPH,02/23/2021,14.51494,14.51494,14.10797,14.1758,25200
12,875,PPH,02/24/2021,14.24363,14.24363,13.83667,14.24363,7900
13,876,PPH,02/25/2021,14.04015,14.1758,13.90449,14.1758,28900
14,877,PPH,02/26/2021,14.04015,14.37928,13.90449,14.04015,28100
15,878,PPH,03/01/2021,14.10797,14.51494,14.10797,14.51494,16200
16,879,PPH,03/02/2021,14.37928,14.58276,14.31145,14.58276,4800
17,880,PPH,03/03/2021,14.58276,15.1932,14.51494,14.58276,46800
18,881,PPH,03/04/2021,15.05755,15.05755,14.58276,14.65059,48100
19,882,PPH,03/05/2021,14.65059,14.9219,14.24363,14.9219,18900
20,883,PPH,03/08/2021,14.9219,15.39668,14.78624,15.05755,161800
21,884,PPH,03/09/2021,15.05755,15.60016,14.85407,15.1932,110200
22,885,PPH,03/10/2021,15.26103,16.61757,14.98972,16.61757,121800
23,886,PPH,03/11/2021,16.61757,17.63497,16.14278,16.61757,127900
24,887,PPH,03/12/2021,16.54974,16.61757,16.14278,16.27843,65100
25,888,PPH,03/15/2021,16.21061,16.9567,15.80364,15.80364,140000
26,889,PPH,03/16/2021,16.48191,16.48191,15.9393,16.34626,111200
27,890,PPH,03/17/2021,16.14278,16.68539,16.14278,16.68539,128400
28,891,PPH,03/18/2021,16.68539,16.68539,16.21061,16.34626,50400
29,892,PPH,03/19/2021,16.41409,16.41409,15.9393,16.34626,47600
30,893,PPH,03/22/2021,16.27843,16.27843,15.80364,16.07495,100000
31,894,PPH,03/23/2021,15.9393,16.00712,15.66799,15.80364,59500
32,895,PPH,03/24/2021,15.80364,17.9741,15.80364,17.49932,218700
33,896,PPH,03/25/2021,17.43149,18.58454,17.43149,17.9741,256300
34,897,PPH,03/26/2021,17.9741,18.04193,16.9567,17.9741,121100
35,898,PPH,03/29/2021,17.7028,18.44889,17.29583,17.77062,164400
36,899,PPH,03/30/2021,17.90627,19.66977,17.49932,19.60195,475100
37,900,PPH,03/31/2021,20.28021,20.48369,19.66977,20.00891,151700
38,901,PPH,04/01/2021,19.94108,19.94108,19.26281,19.66977,114300
39,902,PPH,04/02/2021,19.53412,21.22979,19.53412,20.48369,217800
