,index,Ticker,Date,Open,High,Low,Close,Volume
0,901,PSN,02/01/2021,9.150933,9.150933,9.150933,9.150933,0
1,902,PSN,02/02/2021,9.150933,9.150933,9.150933,9.150933,0
2,903,PSN,02/03/2021,9.150933,9.150933,9.150933,9.150933,0
3,904,PSN,02/04/2021,9.150933,9.150933,9.150933,9.150933,0
4,905,PSN,02/05/2021,9.150933,9.150933,9.150933,9.150933,0
5,906,PSN,02/08/2021,9.150933,9.150933,9.150933,9.150933,0
6,907,PSN,02/09/2021,9.150933,9.150933,9.150933,9.150933,0
7,908,PSN,02/17/2021,9.150933,9.150933,9.150933,9.150933,0
8,909,PSN,02/18/2021,9.150933,9.150933,9.150933,9.150933,0
9,910,PSN,02/19/2021,9.150933,9.150933,9.150933,9.150933,0
10,911,PSN,02/22/2021,9.150933,9.150933,9.150933,9.150933,0
11,912,PSN,02/23/2021,9.150933,9.150933,9.150933,9.150933,0
12,913,PSN,02/24/2021,9.150933,9.150933,9.150933,9.150933,0
13,914,PSN,02/25/2021,9.150933,9.150933,9.150933,9.150933,0
14,915,PSN,02/26/2021,9.150933,9.150933,9.150933,9.150933,0
15,916,PSN,03/01/2021,9.067742,9.067742,8.23584,8.23584,6000
16,917,PSN,03/02/2021,8.402221,8.402221,8.402221,8.402221,0
17,918,PSN,03/03/2021,8.402221,8.402221,8.402221,8.402221,0
18,919,PSN,03/04/2021,8.402221,8.402221,8.402221,8.402221,0
19,920,PSN,03/05/2021,8.402221,8.402221,8.402221,8.402221,0
20,921,PSN,03/08/2021,8.402221,8.402221,8.402221,8.402221,0
21,922,PSN,03/09/2021,8.31903,8.31903,8.31903,8.31903,600
22,923,PSN,03/10/2021,8.31903,8.31903,8.31903,8.31903,0
23,924,PSN,03/11/2021,8.31903,8.31903,8.31903,8.31903,0
24,925,PSN,03/12/2021,8.734982,8.734982,8.734982,8.734982,1000
25,926,PSN,03/15/2021,8.734982,8.734982,8.734982,8.734982,0
26,927,PSN,03/16/2021,8.734982,8.734982,8.734982,8.734982,0
27,928,PSN,03/17/2021,8.31903,8.31903,8.31903,8.31903,4000
28,929,PSN,03/18/2021,8.31903,8.31903,8.31903,8.31903,100
29,930,PSN,03/19/2021,8.31903,9.566884,8.31903,9.566884,400
30,931,PSN,03/22/2021,8.651792,8.651792,8.651792,8.651792,0
31,932,PSN,03/23/2021,8.651792,8.651792,8.651792,8.651792,0
32,933,PSN,03/24/2021,8.31903,8.31903,8.31903,8.31903,1800
33,934,PSN,03/25/2021,8.31903,8.31903,8.31903,8.31903,2900
34,935,PSN,03/26/2021,8.31903,8.31903,8.31903,8.31903,0
35,936,PSN,03/29/2021,7.903079,7.903079,7.903079,7.903079,100
36,937,PSN,03/30/2021,7.903079,7.903079,7.903079,7.903079,0
37,938,PSN,03/31/2021,7.903079,7.903079,7.903079,7.903079,2000
38,939,PSN,04/01/2021,7.903079,7.903079,7.903079,7.903079,0
39,940,PSN,04/02/2021,7.903079,7.903079,7.903079,7.903079,500
40,941,PSN,04/05/2021,7.903079,7.903079,7.903079,7.903079,1000
41,942,PSN,04/06/2021,7.653508,7.653508,7.653508,7.653508,1000
42,943,PSN,04/07/2021,7.653508,7.653508,7.653508,7.653508,0
43,944,PSN,04/08/2021,7.653508,7.653508,7.653508,7.653508,0
44,945,PSN,04/09/2021,7.903079,8.734982,7.903079,8.734982,2100
45,946,PSN,04/12/2021,7.903079,7.903079,7.903079,7.903079,0
46,947,PSN,04/13/2021,7.903079,7.903079,7.903079,7.903079,0
47,948,PSN,04/14/2021,7.903079,7.903079,7.903079,7.903079,0
48,949,PSN,04/15/2021,9.067742,9.067742,9.067742,9.067742,200
49,950,PSN,04/16/2021,7.736698,10.39879,7.736698,10.39879,1300
50,951,PSN,04/19/2021,8.152649,8.152649,8.152649,8.152649,0
51,952,PSN,04/20/2021,7.653508,7.653508,7.653508,7.653508,1000
52,953,PSN,04/22/2021,7.653508,7.653508,7.653508,7.653508,600
53,954,PSN,04/23/2021,7.653508,7.653508,7.653508,7.653508,0
54,955,PSN,04/26/2021,7.487127,7.487127,7.487127,7.487127,2000
55,956,PSN,04/27/2021,7.487127,7.487127,7.487127,7.487127,0
56,957,PSN,04/28/2021,7.487127,7.487127,7.487127,7.487127,0
57,958,PSN,04/29/2021,7.487127,7.487127,7.487127,7.487127,0
58,959,PSN,05/04/2021,7.487127,7.487127,7.487127,7.487127,1400
59,960,PSN,05/05/2021,7.237556,7.237556,7.237556,7.237556,5000
