,index,Ticker,Date,Open,High,Low,Close,Volume
0,960,SBD,01/29/2021,9.074175,9.074175,9.074175,9.074175,5000
1,961,SBD,02/01/2021,8.629362,8.629362,8.5404,8.5404,1200
2,962,SBD,02/02/2021,8.5404,8.5404,8.5404,8.5404,0
3,963,SBD,02/03/2021,8.5404,8.5404,8.5404,8.5404,0
4,964,SBD,02/04/2021,8.5404,8.5404,8.5404,8.5404,0
5,965,SBD,02/05/2021,8.629362,8.629362,8.629362,8.629362,700
6,966,SBD,02/08/2021,8.89625,8.89625,8.89625,8.89625,2400
7,967,SBD,02/09/2021,8.89625,8.89625,8.89625,8.89625,0
8,968,SBD,02/17/2021,8.89625,8.89625,8.89625,8.89625,200
9,969,SBD,02/18/2021,8.89625,8.89625,8.89625,8.89625,3000
10,970,SBD,02/19/2021,8.89625,8.89625,8.89625,8.89625,8500
11,971,SBD,02/22/2021,8.89625,8.89625,8.89625,8.89625,0
12,972,SBD,02/23/2021,8.89625,8.89625,8.89625,8.89625,2600
13,973,SBD,02/24/2021,8.89625,8.89625,8.89625,8.89625,12200
14,974,SBD,02/25/2021,9.2521,9.2521,9.163137,9.163137,1100
15,975,SBD,02/26/2021,8.89625,8.89625,8.89625,8.89625,8200
16,976,SBD,03/01/2021,8.89625,8.89625,8.89625,8.89625,0
17,977,SBD,03/02/2021,8.89625,9.074175,8.362475,9.074175,25100
18,978,SBD,03/03/2021,8.89625,8.89625,8.89625,8.89625,800
19,979,SBD,03/04/2021,8.89625,8.89625,8.89625,8.89625,0
20,980,SBD,03/05/2021,8.89625,8.89625,8.89625,8.89625,1000
21,981,SBD,03/08/2021,8.89625,9.074175,8.89625,9.074175,19700
22,982,SBD,03/09/2021,8.985212,9.074175,8.985212,9.074175,800
23,983,SBD,03/10/2021,9.074175,9.074175,9.074175,9.074175,0
24,984,SBD,03/11/2021,9.341063,9.341063,8.89625,8.89625,10200
25,985,SBD,03/12/2021,8.718325,8.718325,8.718325,8.718325,700
26,986,SBD,03/15/2021,9.163137,9.341063,9.163137,9.341063,700
27,987,SBD,03/16/2021,9.341063,9.60795,9.341063,9.60795,4900
28,988,SBD,03/17/2021,9.430025,9.430025,9.430025,9.430025,0
29,989,SBD,03/18/2021,8.89625,9.518988,8.89625,9.518988,15500
30,990,SBD,03/19/2021,8.985212,8.985212,8.89625,8.89625,13900
31,991,SBD,03/22/2021,9.074175,9.074175,9.074175,9.074175,6200
32,992,SBD,03/23/2021,8.89625,8.89625,8.89625,8.89625,400
33,993,SBD,03/24/2021,9.163137,9.163137,9.163137,9.163137,1000
34,994,SBD,03/25/2021,9.163137,9.163137,9.163137,9.163137,0
35,995,SBD,03/26/2021,9.163137,9.163137,9.163137,9.163137,5000
36,996,SBD,03/29/2021,9.163137,9.163137,9.163137,9.163137,0
37,997,SBD,03/30/2021,9.163137,9.163137,9.163137,9.163137,0
