,index,Ticker,Date,Open,High,Low,Close,Volume
0,1158,SSF,01/28/2021,2.7,2.7,2.7,2.7,0
1,1159,SSF,01/29/2021,2.7,2.7,2.7,2.7,0
2,1160,SSF,02/01/2021,2.7,2.7,2.7,2.7,0
3,1161,SSF,02/02/2021,2.7,2.7,2.7,2.7,0
4,1162,SSF,02/03/2021,2.7,2.7,2.7,2.7,0
5,1163,SSF,02/04/2021,2.7,2.7,2.7,2.7,0
6,1164,SSF,02/05/2021,2.7,2.7,2.7,2.7,0
7,1165,SSF,02/08/2021,2.7,2.7,2.7,2.7,0
8,1166,SSF,02/09/2021,2.7,2.7,2.7,2.7,0
9,1167,SSF,02/17/2021,2.7,2.7,2.7,2.7,0
10,1168,SSF,02/18/2021,2.7,2.7,2.7,2.7,0
11,1169,SSF,02/19/2021,2.7,2.7,2.7,2.7,0
12,1170,SSF,02/22/2021,2.7,2.7,2.7,2.7,0
13,1171,SSF,02/23/2021,2.7,2.7,2.7,2.7,0
14,1172,SSF,02/24/2021,2.7,2.7,2.7,2.7,0
15,1173,SSF,02/25/2021,2.7,2.7,2.7,2.7,0
16,1174,SSF,02/26/2021,2.7,2.7,2.7,2.7,0
17,1175,SSF,03/01/2021,2.7,2.7,2.7,2.7,0
18,1176,SSF,03/02/2021,2.7,2.7,2.7,2.7,0
19,1177,SSF,03/03/2021,2.7,2.7,2.7,2.7,0
20,1178,SSF,03/04/2021,2.7,2.7,2.7,2.7,0
21,1179,SSF,03/05/2021,2.7,2.7,2.7,2.7,0
22,1180,SSF,03/08/2021,2.7,2.7,2.7,2.7,0
23,1181,SSF,03/09/2021,2.7,2.7,2.7,2.7,0
24,1182,SSF,03/10/2021,2.7,2.7,2.7,2.7,0
25,1183,SSF,03/11/2021,2.7,2.7,2.7,2.7,0
26,1184,SSF,03/12/2021,2.7,2.7,2.7,2.7,0
27,1185,SSF,03/15/2021,2.7,2.7,2.7,2.7,0
28,1186,SSF,03/16/2021,2.7,2.7,2.7,2.7,0
29,1187,SSF,03/17/2021,2.7,2.7,2.7,2.7,0
30,1188,SSF,03/18/2021,2.7,2.7,2.7,2.7,0
31,1189,SSF,03/19/2021,2.7,2.7,2.7,2.7,0
32,1190,SSF,03/22/2021,2.7,2.7,2.7,2.7,0
33,1191,SSF,03/23/2021,2.7,2.7,2.7,2.7,0
34,1192,SSF,03/24/2021,2.7,2.7,2.7,2.7,0
35,1193,SSF,03/25/2021,2.7,2.7,2.7,2.7,0
36,1194,SSF,03/26/2021,2.7,2.7,2.7,2.7,0
37,1195,SSF,03/29/2021,2.7,2.7,2.7,2.7,0
38,1196,SSF,03/30/2021,2.7,2.7,2.7,2.7,0
39,1197,SSF,03/31/2021,2.7,2.7,2.7,2.7,0
40,1198,SSF,04/01/2021,2.7,2.7,2.7,2.7,0
41,1199,SSF,04/02/2021,2.7,2.7,2.7,2.7,0
42,1200,SSF,04/05/2021,2.7,2.7,2.7,2.7,0
43,1201,SSF,04/06/2021,2.7,2.7,2.7,2.7,0
44,1202,SSF,04/07/2021,2.7,2.7,2.7,2.7,0
45,1203,SSF,04/08/2021,2.7,2.7,2.7,2.7,0
46,1204,SSF,04/09/2021,2.7,2.7,2.7,2.7,0
47,1205,SSF,04/12/2021,2.7,2.7,2.7,2.7,0
48,1206,SSF,04/13/2021,2.7,2.7,2.7,2.7,0
49,1207,SSF,04/14/2021,2.7,2.7,2.7,2.7,0
50,1208,SSF,04/15/2021,2.7,2.7,2.7,2.7,0
51,1209,SSF,04/16/2021,2.7,2.7,2.7,2.7,0
52,1210,SSF,04/19/2021,2.7,2.7,2.7,2.7,0
53,1211,SSF,04/20/2021,2.7,2.7,2.7,2.7,0
54,1212,SSF,04/22/2021,2.7,2.7,2.7,2.7,0
55,1213,SSF,04/23/2021,2.7,2.7,2.7,2.7,0
56,1214,SSF,04/26/2021,2.7,2.7,2.7,2.7,0
57,1215,SSF,04/27/2021,2.7,2.7,2.7,2.7,0
58,1216,SSF,04/28/2021,2.7,2.7,2.7,2.7,0
59,1217,SSF,04/29/2021,2.7,2.7,2.7,2.7,0
60,1218,SSF,05/04/2021,2.7,2.7,2.7,2.7,0
61,1219,SSF,05/05/2021,2.7,2.7,2.7,2.7,0
62,1220,SSF,05/06/2021,2.7,2.7,2.7,2.7,0
63,1221,SSF,05/07/2021,2.7,2.7,2.7,2.7,0
64,1222,SSF,05/10/2021,2.7,2.7,2.7,2.7,0
65,1223,SSF,05/11/2021,2.7,2.7,2.7,2.7,0
66,1224,SSF,05/12/2021,2.7,2.7,2.7,2.7,0
67,1225,SSF,05/13/2021,2.7,2.7,2.7,2.7,0
68,1226,SSF,05/14/2021,2.7,2.7,2.7,2.7,0
69,1227,SSF,05/17/2021,2.7,2.7,2.7,2.7,0
70,1228,SSF,05/18/2021,2.7,2.7,2.7,2.7,0
71,1229,SSF,05/19/2021,2.7,2.7,2.7,2.7,0
72,1230,SSF,05/20/2021,2.7,2.7,2.7,2.7,0
73,1231,SSF,05/21/2021,2.7,2.7,2.7,2.7,0
74,1232,SSF,05/24/2021,2.7,2.7,2.7,2.7,0
75,1233,SSF,05/25/2021,2.7,2.7,2.7,2.7,0
76,1234,SSF,05/26/2021,2.7,2.7,2.7,2.7,0
77,1235,SSF,05/27/2021,2.7,2.7,2.7,2.7,0
78,1236,SSF,05/28/2021,2.7,2.7,2.7,2.7,0
79,1237,SSF,05/31/2021,2.7,2.7,2.7,2.7,0
80,1238,SSF,06/01/2021,2.7,2.7,2.7,2.7,0
81,1239,SSF,06/02/2021,2.7,2.7,2.7,2.7,0
82,1240,SSF,06/03/2021,2.7,2.7,2.7,2.7,0
83,1241,SSF,06/04/2021,2.7,2.7,2.7,2.7,0
84,1242,SSF,06/07/2021,2.7,2.7,2.7,2.7,0
85,1243,SSF,06/08/2021,2.7,2.7,2.7,2.7,0
86,1244,SSF,06/09/2021,2.7,2.7,2.7,2.7,0
87,1245,SSF,06/10/2021,2.7,2.7,2.7,2.7,0
88,1246,SSF,06/11/2021,2.7,2.7,2.7,2.7,0
89,1247,SSF,06/14/2021,2.7,2.7,2.7,2.7,0
90,1248,SSF,06/15/2021,2.7,2.7,2.7,2.7,0
91,1249,SSF,06/16/2021,2.7,2.7,2.7,2.7,0
92,1250,SSF,06/17/2021,2.7,2.7,2.7,2.7,0
93,1251,SSF,06/18/2021,2.7,2.7,2.7,2.7,0
94,1252,SSF,06/21/2021,2.7,2.7,2.7,2.7,0
95,1253,SSF,06/22/2021,2.7,2.7,2.7,2.7,0
96,1254,SSF,06/23/2021,2.7,2.7,2.7,2.7,0
97,1255,SSF,06/24/2021,2.7,2.7,2.7,2.7,0
98,1256,SSF,06/25/2021,2.7,2.7,2.7,2.7,0
99,1257,SSF,06/28/2021,2.7,2.7,2.7,2.7,0
100,1258,SSF,06/29/2021,2.7,2.7,2.7,2.7,0
101,1259,SSF,06/30/2021,2.7,2.7,2.7,2.7,0
102,1260,SSF,07/01/2021,2.7,2.7,2.7,2.7,0
103,1261,SSF,07/02/2021,2.7,2.7,2.7,2.7,0
104,1262,SSF,07/05/2021,2.7,2.7,2.7,2.7,0
105,1263,SSF,07/06/2021,2.7,2.7,2.7,2.7,0
106,1264,SSF,07/07/2021,2.7,2.7,2.7,2.7,0
107,1265,SSF,07/08/2021,2.7,2.7,2.7,2.7,0
108,1266,SSF,07/12/2021,2.7,2.7,2.7,2.7,0
109,1267,SSF,07/13/2021,2.7,2.7,2.7,2.7,0
110,1268,SSF,07/14/2021,2.7,2.7,2.7,2.7,0
111,1269,SSF,07/15/2021,2.7,2.7,2.7,2.7,0
112,1270,SSF,07/16/2021,2.7,2.7,2.7,2.7,0
113,1271,SSF,07/19/2021,2.7,2.7,2.7,2.7,0
114,1272,SSF,07/20/2021,2.7,2.7,2.7,2.7,0
115,1273,SSF,07/21/2021,2.7,2.7,2.7,2.7,0
116,1274,SSF,07/22/2021,2.7,2.7,2.7,2.7,0
117,1275,SSF,07/23/2021,2.7,2.7,2.7,2.7,0
118,1276,SSF,07/26/2021,2.7,2.7,2.7,2.7,0
119,1277,SSF,07/27/2021,2.7,2.7,2.7,2.7,0
120,1278,SSF,07/28/2021,2.7,2.7,2.7,2.7,0
121,1279,SSF,07/29/2021,2.7,2.7,2.7,2.7,0
122,1280,SSF,07/30/2021,2.7,2.7,2.7,2.7,0
123,1281,SSF,08/02/2021,2.7,2.7,2.7,2.7,0
124,1282,SSF,08/03/2021,2.7,2.7,2.7,2.7,0
125,1283,SSF,08/04/2021,2.7,2.7,2.7,2.7,0
126,1284,SSF,08/05/2021,2.7,2.7,2.7,2.7,0
127,1285,SSF,08/06/2021,2.7,2.7,2.7,2.7,0
128,1286,SSF,08/09/2021,2.7,2.7,2.7,2.7,0
129,1287,SSF,08/10/2021,2.7,2.7,2.7,2.7,0
130,1288,SSF,08/11/2021,2.7,2.7,2.7,2.7,0
131,1289,SSF,08/12/2021,2.7,2.7,2.7,2.7,0
132,1290,SSF,08/13/2021,2.7,2.7,2.7,2.7,0
133,1291,SSF,08/17/2021,2.7,2.7,2.7,2.7,0
134,1292,SSF,08/18/2021,2.7,2.7,2.7,2.7,0
135,1293,SSF,08/19/2021,2.7,2.7,2.7,2.7,0
136,1294,SSF,08/20/2021,2.7,2.7,2.7,2.7,0
137,1295,SSF,08/23/2021,2.7,2.7,2.7,2.7,0
138,1296,SSF,08/24/2021,2.7,2.7,2.7,2.7,0
139,1297,SSF,08/25/2021,2.7,2.7,2.7,2.7,0
140,1298,SSF,08/26/2021,2.7,2.7,2.7,2.7,0
141,1299,SSF,08/27/2021,2.7,2.7,2.7,2.7,0
142,1300,SSF,08/30/2021,2.7,2.7,2.7,2.7,0
143,1301,SSF,08/31/2021,2.7,2.7,2.7,2.7,0
144,1302,SSF,09/01/2021,2.7,2.7,2.7,2.7,0
145,1303,SSF,09/06/2021,2.7,2.7,2.7,2.7,0
146,1304,SSF,09/07/2021,2.7,2.7,2.7,2.7,0
147,1305,SSF,09/08/2021,2.7,2.7,2.7,2.7,0
148,1306,SSF,09/09/2021,2.7,2.7,2.7,2.7,0
149,1307,SSF,09/10/2021,2.7,2.7,2.7,2.7,0
150,1308,SSF,09/13/2021,2.7,2.7,2.7,2.7,0
151,1309,SSF,09/14/2021,2.7,2.7,2.7,2.7,0
152,1310,SSF,09/15/2021,2.7,2.7,2.7,2.7,0
153,1311,SSF,09/16/2021,2.7,2.7,2.7,2.7,0
154,1312,SSF,09/17/2021,2.7,2.7,2.7,2.7,0
155,1313,SSF,09/20/2021,2.7,2.7,2.7,2.7,0
156,1314,SSF,09/21/2021,2.7,2.7,2.7,2.7,0
157,1315,SSF,09/22/2021,2.7,2.7,2.7,2.7,0
158,1316,SSF,09/23/2021,2.7,2.7,2.7,2.7,0
159,1317,SSF,09/24/2021,2.7,2.7,2.7,2.7,0
160,1318,SSF,09/27/2021,2.7,2.7,2.7,2.7,0
161,1319,SSF,09/28/2021,2.7,2.7,2.7,2.7,0
162,1320,SSF,09/29/2021,2.7,2.7,2.7,2.7,0
163,1321,SSF,09/30/2021,2.7,2.7,2.7,2.7,0
164,1322,SSF,10/01/2021,2.7,2.7,2.7,2.7,0
165,1323,SSF,10/04/2021,2.7,2.7,2.7,2.7,0
166,1324,SSF,10/05/2021,2.7,2.7,2.7,2.7,0
167,1325,SSF,10/06/2021,2.7,2.7,2.7,2.7,0
168,1326,SSF,10/07/2021,2.7,2.7,2.7,2.7,0
169,1327,SSF,10/08/2021,2.7,2.7,2.7,2.7,0
170,1328,SSF,10/11/2021,2.7,2.7,2.7,2.7,0
171,1329,SSF,10/12/2021,2.7,2.7,2.7,2.7,0
172,1330,SSF,10/13/2021,2.7,2.7,2.7,2.7,0
173,1331,SSF,10/14/2021,2.7,2.7,2.7,2.7,0
174,1332,SSF,10/15/2021,2.7,2.7,2.7,2.7,0
175,1333,SSF,10/18/2021,2.7,2.7,2.7,2.7,0
176,1334,SSF,10/19/2021,2.7,2.7,2.7,2.7,0
177,1335,SSF,10/20/2021,2.7,2.7,2.7,2.7,0
178,1336,SSF,10/21/2021,2.7,2.7,2.7,2.7,0
179,1337,SSF,10/22/2021,2.7,2.7,2.7,2.7,0
180,1338,SSF,10/25/2021,2.7,2.7,2.7,2.7,0
181,1339,SSF,10/26/2021,2.7,2.7,2.7,2.7,0
182,1340,SSF,10/27/2021,2.7,2.7,2.7,2.7,0
183,1341,SSF,10/28/2021,2.7,2.7,2.7,2.7,0
184,1342,SSF,10/29/2021,2.7,2.7,2.7,2.7,0
185,1343,SSF,11/01/2021,2.7,2.7,2.7,2.7,0
186,1344,SSF,11/02/2021,2.7,2.7,2.7,2.7,0
187,1345,SSF,11/03/2021,2.7,2.7,2.7,2.7,0
188,1346,SSF,11/04/2021,2.7,2.7,2.7,2.7,0
189,1347,SSF,11/05/2021,2.7,2.7,2.7,2.7,0
190,1348,SSF,11/08/2021,2.7,2.7,2.7,2.7,0
191,1349,SSF,11/09/2021,2.7,2.7,2.7,2.7,0
192,1350,SSF,11/10/2021,2.7,2.7,2.7,2.7,0
193,1351,SSF,11/11/2021,2.7,2.7,2.7,2.7,0
194,1352,SSF,11/12/2021,2.7,2.7,2.7,2.7,0
195,1353,SSF,11/15/2021,2.7,2.7,2.7,2.7,0
196,1354,SSF,11/16/2021,2.7,2.7,2.7,2.7,0
197,1355,SSF,11/17/2021,2.7,2.7,2.7,2.7,0
198,1356,SSF,11/18/2021,2.7,2.7,2.7,2.7,0
199,1357,SSF,11/19/2021,2.7,2.7,2.7,2.7,0
200,1358,SSF,11/22/2021,2.7,2.7,2.7,2.7,0
201,1359,SSF,11/23/2021,2.7,2.7,2.7,2.7,0
202,1360,SSF,11/24/2021,2.7,2.7,2.7,2.7,0
203,1361,SSF,11/25/2021,2.7,2.7,2.7,2.7,0
204,1362,SSF,11/26/2021,2.7,2.7,2.7,2.7,0
205,1363,SSF,11/29/2021,2.7,2.7,2.7,2.7,0
206,1364,SSF,11/30/2021,2.7,2.7,2.7,2.7,0
207,1365,SSF,12/01/2021,2.7,2.7,2.7,2.7,0
208,1366,SSF,12/02/2021,2.7,2.7,2.7,2.7,0
209,1367,SSF,12/03/2021,2.7,2.7,2.7,2.7,0
210,1368,SSF,12/06/2021,2.7,2.7,2.7,2.7,0
211,1369,SSF,12/07/2021,2.7,2.7,2.7,2.7,0
212,1370,SSF,12/08/2021,2.7,2.7,2.7,2.7,0
213,1371,SSF,12/09/2021,2.7,2.7,2.7,2.7,0
214,1372,SSF,12/10/2021,2.7,2.7,2.7,2.7,0
215,1373,SSF,12/13/2021,2.7,2.7,2.7,2.7,0
216,1374,SSF,12/14/2021,2.7,2.7,2.7,2.7,0
217,1375,SSF,12/15/2021,2.7,2.7,2.7,2.7,0
218,1376,SSF,12/16/2021,2.7,2.7,2.7,2.7,0
219,1377,SSF,12/17/2021,2.7,2.7,2.7,2.7,0
220,1378,SSF,12/20/2021,2.7,2.7,2.7,2.7,0
221,1379,SSF,12/21/2021,2.7,2.7,2.7,2.7,0
222,1380,SSF,12/22/2021,2.7,2.7,2.7,2.7,0
