,index,Ticker,Date,Open,High,Low,Close,Volume
0,1016,SZE,02/01/2021,11.56872,11.56872,10.05976,10.14359,33600
1,1017,SZE,02/02/2021,11.14956,11.31723,10.89807,10.9819,23000
2,1018,SZE,02/03/2021,11.14956,11.56872,11.14956,11.48489,40700
3,1019,SZE,02/04/2021,11.48489,11.65255,11.48489,11.65255,10800
4,1020,SZE,02/05/2021,11.65255,11.65255,10.47891,11.40106,17600
5,1021,SZE,02/08/2021,11.73638,11.73638,11.23339,11.40106,21900
6,1022,SZE,02/09/2021,11.56872,11.56872,11.56872,11.56872,3200
7,1023,SZE,02/17/2021,11.56872,11.73638,11.56872,11.73638,8300
8,1024,SZE,02/18/2021,11.65255,11.73638,11.40106,11.40106,28900
9,1025,SZE,02/19/2021,11.56872,11.73638,11.56872,11.73638,2100
10,1026,SZE,02/22/2021,11.73638,11.73638,11.56872,11.56872,10300
11,1027,SZE,02/23/2021,11.73638,11.73638,11.48489,11.56872,9400
12,1028,SZE,02/24/2021,11.73638,11.73638,11.56872,11.65255,18700
13,1029,SZE,02/25/2021,11.82021,11.82021,11.65255,11.65255,12400
14,1030,SZE,02/26/2021,11.82021,11.82021,11.65255,11.73638,9700
15,1031,SZE,03/01/2021,11.73638,11.82021,11.65255,11.73638,22800
16,1032,SZE,03/02/2021,11.73638,11.90404,11.65255,11.73638,22100
17,1033,SZE,03/03/2021,11.65255,11.73638,11.56872,11.73638,22400
18,1034,SZE,03/04/2021,11.73638,11.73638,11.65255,11.73638,12200
19,1035,SZE,03/05/2021,11.73638,12.15554,11.73638,11.82021,14300
20,1036,SZE,03/08/2021,12.07171,12.07171,11.73638,11.73638,12000
21,1037,SZE,03/09/2021,11.65255,11.65255,11.48489,11.65255,43200
22,1038,SZE,03/10/2021,11.65255,11.73638,11.56872,11.56872,37000
23,1039,SZE,03/11/2021,11.82021,12.49086,11.82021,11.98788,39500
24,1040,SZE,03/12/2021,11.98788,12.07171,11.73638,11.73638,31600
25,1041,SZE,03/15/2021,11.90404,11.90404,11.56872,11.73638,26700
26,1042,SZE,03/16/2021,11.73638,11.73638,11.56872,11.73638,55100
27,1043,SZE,03/17/2021,11.73638,11.90404,11.65255,11.65255,15500
28,1044,SZE,03/18/2021,11.73638,11.73638,11.56872,11.65255,21800
29,1045,SZE,03/19/2021,11.65255,11.73638,11.48489,11.48489,9100
30,1046,SZE,03/22/2021,11.73638,11.73638,11.56872,11.73638,30300
31,1047,SZE,03/23/2021,11.73638,11.90404,11.56872,11.82021,35800
32,1048,SZE,03/24/2021,11.90404,11.90404,11.65255,11.82021,30700
33,1049,SZE,03/25/2021,11.90404,11.90404,11.73638,11.73638,11400
34,1050,SZE,03/26/2021,11.73638,12.57469,11.48489,12.15554,52300
35,1051,SZE,03/29/2021,11.73638,12.3232,11.73638,12.23937,79700
36,1052,SZE,03/30/2021,12.23937,12.3232,12.15554,12.3232,20100
37,1053,SZE,03/31/2021,12.23937,13.41301,12.23937,12.91002,54200
38,1054,SZE,04/01/2021,12.91002,12.91002,12.65853,12.74236,29900
39,1055,SZE,04/02/2021,12.74236,13.32918,12.65853,12.74236,24300
40,1056,SZE,04/05/2021,13.24535,13.24535,12.57469,12.82619,67100
41,1057,SZE,04/06/2021,13.07768,13.07768,12.65853,12.82619,35800
42,1058,SZE,04/07/2021,12.99385,12.99385,12.65853,12.74236,12800
43,1059,SZE,04/08/2021,12.74236,12.74236,12.65853,12.65853,17100
44,1060,SZE,04/09/2021,12.99385,12.99385,12.57469,12.74236,10300
45,1061,SZE,04/12/2021,12.65853,12.74236,11.98788,12.49086,60400
46,1062,SZE,04/13/2021,12.49086,12.49086,12.07171,12.15554,28700
47,1063,SZE,04/14/2021,11.98788,12.15554,11.98788,12.15554,5900
48,1064,SZE,04/15/2021,11.98788,12.23937,11.98788,12.15554,28100
49,1065,SZE,04/16/2021,12.15554,12.15554,11.82021,11.90404,22800
50,1066,SZE,04/19/2021,11.98788,11.98788,11.98788,11.98788,8200
51,1067,SZE,04/20/2021,11.98788,12.07171,11.73638,11.82021,22400
52,1068,SZE,04/22/2021,11.73638,11.90404,11.56872,11.90404,27200
53,1069,SZE,04/23/2021,11.73638,12.07171,11.73638,11.90404,18200
54,1070,SZE,04/26/2021,12.3232,12.3232,11.90404,11.98788,13400
55,1071,SZE,04/27/2021,11.90404,12.15554,11.82021,12.15554,54600
56,1072,SZE,04/28/2021,11.98788,12.15554,11.98788,11.98788,9300
57,1073,SZE,04/29/2021,12.07171,12.15554,11.98788,11.98788,13400
58,1074,SZE,05/04/2021,12.15554,12.15554,11.82021,11.98788,17000
59,1075,SZE,05/05/2021,11.98788,12.07171,11.98788,11.98788,2100
60,1076,SZE,05/06/2021,11.98788,11.98788,11.82021,11.90404,5700
61,1077,SZE,05/07/2021,11.98788,11.98788,11.73638,11.73638,14000
62,1078,SZE,05/10/2021,11.73638,11.82021,11.65255,11.73638,11600
63,1079,SZE,05/11/2021,11.73638,11.82021,11.73638,11.82021,10100
64,1080,SZE,05/12/2021,11.73638,11.82021,11.65255,11.82021,18700
65,1081,SZE,05/13/2021,11.73638,11.73638,11.65255,11.65255,12700
66,1082,SZE,05/14/2021,11.82021,11.90404,11.65255,11.65255,24600
67,1083,SZE,05/17/2021,11.73638,11.73638,11.73638,11.73638,4600
68,1084,SZE,05/18/2021,11.73638,11.73638,11.40106,11.40106,32500
69,1085,SZE,05/19/2021,11.48489,11.73638,11.48489,11.56872,7500
70,1086,SZE,05/20/2021,11.73638,11.73638,11.31723,11.73638,19800
71,1087,SZE,05/21/2021,11.73638,11.73638,11.73638,11.73638,14600
72,1088,SZE,05/24/2021,11.73638,11.82021,11.65255,11.82021,2700
73,1089,SZE,05/25/2021,11.56872,11.73638,11.56872,11.56872,4200
74,1090,SZE,05/26/2021,11.48489,11.82021,11.48489,11.82021,8600
75,1091,SZE,05/27/2021,11.65255,11.73638,11.65255,11.65255,1300
76,1092,SZE,05/28/2021,11.73638,11.73638,11.56872,11.73638,5100
77,1093,SZE,05/31/2021,11.56872,11.73638,11.56872,11.73638,5700
78,1094,SZE,06/01/2021,11.65255,11.90404,11.65255,11.73638,10500
79,1095,SZE,06/02/2021,11.73638,11.73638,11.73638,11.73638,4500
80,1096,SZE,06/03/2021,11.90404,11.90404,11.31723,11.40106,27300
81,1097,SZE,06/04/2021,11.48489,11.73638,11.48489,11.48489,3400
82,1098,SZE,06/07/2021,11.65255,11.65255,11.48489,11.56872,4900
83,1099,SZE,06/08/2021,11.48489,11.65255,11.40106,11.56872,20100
84,1100,SZE,06/09/2021,11.48489,11.48489,11.48489,11.48489,400
85,1101,SZE,06/10/2021,11.40106,11.48489,11.40106,11.48489,2400
86,1102,SZE,06/11/2021,11.48489,11.48489,11.40106,11.48489,3700
87,1103,SZE,06/14/2021,11.48489,11.48489,11.40106,11.48489,1700
88,1104,SZE,06/15/2021,11.40106,11.56872,11.40106,11.48489,7100
89,1105,SZE,06/16/2021,11.40106,11.40106,11.40106,11.40106,2600
90,1106,SZE,06/17/2021,11.48489,11.48489,11.48489,11.48489,4600
91,1107,SZE,06/18/2021,10.9819,11.48489,10.9819,11.48489,5700
92,1108,SZE,06/21/2021,11.31723,11.56872,11.31723,11.40106,5400
93,1109,SZE,06/22/2021,11.31723,11.56872,11.31723,11.56872,5900
94,1110,SZE,06/23/2021,11.56872,11.56872,11.56872,11.56872,9000
95,1111,SZE,06/24/2021,11.56872,11.56872,11.48489,11.48489,6900
96,1112,SZE,06/25/2021,11.31723,11.48489,11.31723,11.31723,16100
97,1113,SZE,06/28/2021,11.40106,11.73638,11.40106,11.73638,7500
98,1114,SZE,06/29/2021,11.40106,11.73638,11.40106,11.56872,7300
99,1115,SZE,06/30/2021,11.73638,11.82021,11.73638,11.73638,11600
100,1116,SZE,07/01/2021,11.73638,11.73638,11.56872,11.73638,9600
101,1117,SZE,07/02/2021,11.73638,11.73638,11.73638,11.73638,2000
102,1118,SZE,07/05/2021,11.73638,11.73638,11.65255,11.65255,1900
103,1119,SZE,07/06/2021,11.65255,11.65255,11.56872,11.56872,15000
104,1120,SZE,07/07/2021,11.48489,11.65255,10.89807,11.56872,16500
105,1121,SZE,07/08/2021,11.65255,11.65255,11.40106,11.56872,27700
106,1122,SZE,07/09/2021,11.56872,11.56872,11.48489,11.48489,4900
107,1123,SZE,07/12/2021,11.31723,11.65255,11.06573,11.65255,18400
108,1124,SZE,07/13/2021,11.48489,11.56872,11.06573,11.40106,6100
109,1125,SZE,07/14/2021,11.65255,11.65255,10.89807,11.56872,8800
110,1126,SZE,07/15/2021,11.65255,11.65255,11.31723,11.65255,15900
111,1127,SZE,07/16/2021,11.73638,11.73638,11.40106,11.73638,6600
112,1128,SZE,07/19/2021,11.65255,11.65255,11.65255,11.65255,500
113,1129,SZE,07/20/2021,11.31723,11.65255,11.31723,11.65255,2200
114,1130,SZE,07/21/2021,11.65255,11.65255,11.40106,11.40106,6200
115,1131,SZE,07/22/2021,11.65255,11.65255,11.31723,11.48489,22000
116,1132,SZE,07/23/2021,11.48489,11.48489,11.48489,11.48489,0
117,1133,SZE,07/26/2021,11.06573,11.31723,11.06573,11.31723,11000
118,1134,SZE,07/27/2021,11.31723,11.31723,11.31723,11.31723,1000
119,1135,SZE,07/28/2021,11.14956,11.65255,11.06573,11.56872,12600
120,1136,SZE,07/29/2021,11.56872,11.56872,11.31723,11.31723,3500
121,1137,SZE,07/30/2021,11.56872,11.56872,11.31723,11.31723,3300
122,1138,SZE,08/02/2021,11.14956,11.65255,11.14956,11.65255,1100
123,1139,SZE,08/03/2021,11.65255,11.65255,11.31723,11.56872,7300
124,1140,SZE,08/04/2021,11.40106,11.56872,11.40106,11.56872,7800
125,1141,SZE,08/05/2021,11.73638,11.73638,11.56872,11.65255,2700
126,1142,SZE,08/06/2021,11.73638,11.73638,11.73638,11.73638,2000
127,1143,SZE,08/09/2021,11.73638,11.73638,11.73638,11.73638,7000
128,1144,SZE,08/10/2021,11.73638,11.73638,11.65255,11.65255,9100
129,1145,SZE,08/11/2021,11.73638,11.73638,11.56872,11.56872,9300
130,1146,SZE,08/12/2021,11.73638,11.73638,11.56872,11.56872,5300
131,1147,SZE,08/13/2021,11.56872,11.56872,11.48489,11.56872,11700
132,1148,SZE,08/16/2021,11.56872,11.56872,11.56872,11.56872,6900
133,1149,SZE,08/17/2021,11.56872,11.65255,11.40106,11.65255,11000
134,1150,SZE,08/18/2021,11.65255,11.65255,11.65255,11.65255,400
135,1151,SZE,08/19/2021,11.65255,11.65255,11.56872,11.56872,5000
136,1152,SZE,08/20/2021,11.48489,11.48489,11.40106,11.40106,10100
137,1153,SZE,08/23/2021,11.40106,11.40106,11.40106,11.40106,800
138,1154,SZE,08/24/2021,11.40106,11.56872,11.40106,11.56872,500
139,1155,SZE,08/25/2021,11.56872,11.56872,11.56872,11.56872,100
140,1156,SZE,08/26/2021,11.56872,11.56872,11.56872,11.56872,0
141,1157,SZE,08/27/2021,11.48489,11.48489,11.48489,11.48489,1800
142,1158,SZE,08/30/2021,11.31723,11.48489,11.31723,11.48489,9700
143,1159,SZE,08/31/2021,11.56872,11.56872,11.40106,11.40106,14500
