,index,Ticker,Date,Open,High,Low,Close,Volume
0,1964,TNM,01/29/2021,2.7,2.7,2.7,2.7,0
1,1965,TNM,02/01/2021,2.7,2.7,2.7,2.7,0
2,1966,TNM,02/02/2021,2.7,2.7,2.7,2.7,0
3,1967,TNM,02/03/2021,2.7,2.7,2.7,2.7,0
4,1968,TNM,02/04/2021,2.7,2.7,2.7,2.7,0
5,1969,TNM,02/05/2021,2.7,2.7,2.7,2.7,0
6,1970,TNM,02/08/2021,2.7,2.7,2.7,2.7,0
7,1971,TNM,02/09/2021,2.7,2.7,2.7,2.7,0
8,1972,TNM,02/17/2021,2.7,2.7,2.7,2.7,0
9,1973,TNM,02/18/2021,2.7,2.7,2.7,2.7,0
10,1974,TNM,02/19/2021,2.7,2.7,2.7,2.7,0
11,1975,TNM,02/22/2021,2.7,2.7,2.7,2.7,0
12,1976,TNM,02/23/2021,2.7,2.7,2.7,2.7,0
13,1977,TNM,02/24/2021,2.7,2.7,2.7,2.7,0
14,1978,TNM,02/25/2021,2.7,2.7,2.7,2.7,0
15,1979,TNM,02/26/2021,2.7,2.7,2.7,2.7,0
16,1980,TNM,03/01/2021,2.7,2.7,2.7,2.7,0
17,1981,TNM,03/02/2021,2.7,2.7,2.7,2.7,0
18,1982,TNM,03/03/2021,2.7,2.7,2.7,2.7,0
19,1983,TNM,03/04/2021,2.7,2.7,2.7,2.7,0
20,1984,TNM,03/05/2021,2.7,2.7,2.7,2.7,0
21,1985,TNM,03/08/2021,2.7,2.7,2.7,2.7,0
22,1986,TNM,03/09/2021,2.7,2.7,2.7,2.7,0
23,1987,TNM,03/10/2021,2.7,2.7,2.7,2.7,0
24,1988,TNM,03/11/2021,2.7,2.7,2.7,2.7,0
25,1989,TNM,03/12/2021,2.7,2.7,2.7,2.7,0
26,1990,TNM,03/15/2021,2.7,2.7,2.7,2.7,0
27,1991,TNM,03/16/2021,2.7,2.7,2.7,2.7,0
28,1992,TNM,03/17/2021,2.7,2.7,2.7,2.7,0
29,1993,TNM,03/18/2021,2.7,2.7,2.7,2.7,0
30,1994,TNM,03/19/2021,2.7,2.7,2.7,2.7,2000
31,1995,TNM,03/22/2021,2.7,2.7,2.7,2.7,0
32,1996,TNM,03/23/2021,2.7,2.7,2.7,2.7,0
33,1997,TNM,03/24/2021,2.7,2.7,2.7,2.7,0
34,1998,TNM,03/25/2021,2.7,2.7,2.7,2.7,0
35,1999,TNM,03/26/2021,2.4,2.4,2.4,2.4,500
36,2000,TNM,03/29/2021,2.4,2.4,2.4,2.4,0
37,2001,TNM,03/30/2021,2.4,2.4,2.4,2.4,0
38,2002,TNM,03/31/2021,2.4,2.4,2.4,2.4,0
39,2003,TNM,04/01/2021,2.4,2.4,2.4,2.4,0
40,2004,TNM,04/02/2021,2.1,2.7,2.1,2.7,13100
41,2005,TNM,04/05/2021,2.5,2.5,2.5,2.5,0
42,2006,TNM,04/06/2021,2.5,2.5,2.5,2.5,0
43,2007,TNM,04/07/2021,2.5,2.5,2.5,2.5,0
44,2008,TNM,04/08/2021,2.5,2.5,2.5,2.5,0
45,2009,TNM,04/09/2021,2.2,2.8,2.2,2.8,400
46,2010,TNM,04/12/2021,2.4,2.4,2.4,2.4,0
47,2011,TNM,04/13/2021,2.4,2.4,2.4,2.4,0
48,2012,TNM,04/14/2021,2.4,2.4,2.4,2.4,0
49,2013,TNM,04/15/2021,2.4,2.4,2.4,2.4,0
50,2014,TNM,04/16/2021,2.5,2.7,2.5,2.7,200
51,2015,TNM,04/19/2021,2.6,2.6,2.6,2.6,0
52,2016,TNM,04/20/2021,2.6,2.6,2.6,2.6,0
53,2017,TNM,04/22/2021,2.6,2.6,2.6,2.6,0
54,2018,TNM,04/23/2021,2.3,2.9,2.3,2.9,5400
55,2019,TNM,04/26/2021,2.9,2.9,2.9,2.9,0
56,2020,TNM,04/27/2021,2.9,2.9,2.9,2.9,0
57,2021,TNM,04/28/2021,2.9,2.9,2.9,2.9,0
58,2022,TNM,04/29/2021,2.9,2.9,2.9,2.9,0
59,2023,TNM,05/04/2021,2.9,2.9,2.9,2.9,0
60,2024,TNM,05/05/2021,2.9,2.9,2.9,2.9,0
61,2025,TNM,05/06/2021,2.9,2.9,2.9,2.9,0
62,2026,TNM,05/07/2021,2.6,2.6,2.6,2.6,100
63,2027,TNM,05/10/2021,2.6,2.6,2.6,2.6,0
64,2028,TNM,05/11/2021,2.6,2.6,2.6,2.6,0
65,2029,TNM,05/12/2021,2.6,2.6,2.6,2.6,0
66,2030,TNM,05/13/2021,2.6,2.6,2.6,2.6,0
67,2031,TNM,05/14/2021,2.4,2.4,2.4,2.4,200
68,2032,TNM,05/17/2021,2.4,2.4,2.4,2.4,0
69,2033,TNM,05/18/2021,2.4,2.4,2.4,2.4,0
70,2034,TNM,05/19/2021,2.4,2.4,2.4,2.4,0
71,2035,TNM,05/20/2021,2.4,2.4,2.4,2.4,0
72,2036,TNM,05/21/2021,2.1,2.2,2.1,2.2,15400
73,2037,TNM,05/24/2021,2.2,2.2,2.2,2.2,0
74,2038,TNM,05/25/2021,2.2,2.2,2.2,2.2,0
75,2039,TNM,05/26/2021,2.2,2.2,2.2,2.2,0
76,2040,TNM,05/27/2021,2.2,2.2,2.2,2.2,0
77,2041,TNM,05/28/2021,2.2,2.3,2.2,2.3,8900
78,2042,TNM,05/31/2021,2.2,2.2,2.2,2.2,0
79,2043,TNM,06/01/2021,2.2,2.2,2.2,2.2,0
80,2044,TNM,06/02/2021,2.2,2.2,2.2,2.2,0
81,2045,TNM,06/03/2021,2.2,2.2,2.2,2.2,0
82,2046,TNM,06/04/2021,2.2,2.2,2.2,2.2,0
83,2047,TNM,06/07/2021,2.2,2.2,2.2,2.2,0
84,2048,TNM,06/08/2021,2.2,2.2,2.2,2.2,0
85,2049,TNM,06/09/2021,2.2,2.2,2.2,2.2,0
86,2050,TNM,06/10/2021,2.2,2.2,2.2,2.2,0
87,2051,TNM,06/11/2021,1.9,2.4,1.9,2.4,14900
88,2052,TNM,06/14/2021,2.4,2.4,2.4,2.4,0
89,2053,TNM,06/15/2021,2.4,2.4,2.4,2.4,0
90,2054,TNM,06/16/2021,2.4,2.4,2.4,2.4,0
91,2055,TNM,06/17/2021,2.4,2.4,2.4,2.4,0
92,2056,TNM,06/18/2021,2.4,2.7,2.2,2.7,40100
93,2057,TNM,06/21/2021,2.5,2.5,2.5,2.5,0
94,2058,TNM,06/22/2021,2.5,2.5,2.5,2.5,0
95,2059,TNM,06/23/2021,2.5,2.5,2.5,2.5,0
96,2060,TNM,06/24/2021,2.5,2.5,2.5,2.5,0
97,2061,TNM,06/25/2021,2.5,2.5,2.5,2.5,900
98,2062,TNM,06/28/2021,2.5,2.5,2.5,2.5,0
99,2063,TNM,06/29/2021,2.5,2.5,2.5,2.5,0
100,2064,TNM,06/30/2021,2.5,2.5,2.5,2.5,0
101,2065,TNM,07/01/2021,2.5,2.5,2.5,2.5,0
102,2066,TNM,07/02/2021,2.7,2.7,2.6,2.6,3900
103,2067,TNM,07/05/2021,2.6,2.6,2.6,2.6,0
104,2068,TNM,07/06/2021,2.6,2.6,2.6,2.6,0
105,2069,TNM,07/07/2021,2.6,2.6,2.6,2.6,0
106,2070,TNM,07/08/2021,2.6,2.6,2.6,2.6,0
107,2071,TNM,07/09/2021,2.8,2.8,2.8,2.8,16000
108,2072,TNM,07/12/2021,2.8,2.8,2.8,2.8,0
109,2073,TNM,07/13/2021,2.8,2.8,2.8,2.8,0
110,2074,TNM,07/14/2021,2.8,2.8,2.8,2.8,0
111,2075,TNM,07/15/2021,2.8,2.8,2.8,2.8,0
112,2076,TNM,07/16/2021,2.5,2.5,2.5,2.5,100
113,2077,TNM,07/19/2021,2.5,2.5,2.5,2.5,0
114,2078,TNM,07/20/2021,2.5,2.5,2.5,2.5,0
115,2079,TNM,07/21/2021,2.5,2.5,2.5,2.5,0
116,2080,TNM,07/22/2021,2.5,2.5,2.5,2.5,0
117,2081,TNM,07/23/2021,2.2,2.6,2.2,2.6,1200
118,2082,TNM,07/26/2021,2.6,2.6,2.6,2.6,0
119,2083,TNM,07/27/2021,2.6,2.6,2.6,2.6,0
120,2084,TNM,07/28/2021,2.6,2.6,2.6,2.6,0
121,2085,TNM,07/29/2021,2.6,2.6,2.6,2.6,0
122,2086,TNM,07/30/2021,2.6,2.9,2.6,2.9,5100
123,2087,TNM,08/02/2021,2.8,2.8,2.8,2.8,0
124,2088,TNM,08/03/2021,2.8,2.8,2.8,2.8,0
125,2089,TNM,08/04/2021,2.8,2.8,2.8,2.8,0
126,2090,TNM,08/05/2021,2.8,2.8,2.8,2.8,0
127,2091,TNM,08/06/2021,3.2,3.2,3.2,3.2,1000
128,2092,TNM,08/09/2021,3.2,3.2,3.2,3.2,0
129,2093,TNM,08/10/2021,3.2,3.2,3.2,3.2,0
130,2094,TNM,08/11/2021,3.2,3.2,3.2,3.2,0
131,2095,TNM,08/12/2021,3.2,3.2,3.2,3.2,0
132,2096,TNM,08/13/2021,3.2,3.2,3.2,3.2,0
133,2097,TNM,08/17/2021,3.2,3.2,3.2,3.2,0
134,2098,TNM,08/18/2021,3.2,3.2,3.2,3.2,0
135,2099,TNM,08/19/2021,3.2,3.2,3.2,3.2,0
136,2100,TNM,08/20/2021,2.8,2.8,2.8,2.8,83700
137,2101,TNM,08/23/2021,2.8,2.8,2.8,2.8,0
138,2102,TNM,08/24/2021,2.8,2.8,2.8,2.8,0
139,2103,TNM,08/25/2021,2.8,2.8,2.8,2.8,0
140,2104,TNM,08/26/2021,2.8,2.8,2.8,2.8,0
141,2105,TNM,08/27/2021,3.2,3.2,3.2,3.2,2000
142,2106,TNM,08/30/2021,3.2,3.2,3.2,3.2,0
143,2107,TNM,08/31/2021,3.2,3.2,3.2,3.2,0
144,2108,TNM,09/01/2021,3.2,3.2,3.2,3.2,0
145,2109,TNM,09/06/2021,3.2,3.2,3.2,3.2,0
146,2110,TNM,09/07/2021,3.2,3.2,3.2,3.2,0
147,2111,TNM,09/08/2021,3.2,3.2,3.2,3.2,0
148,2112,TNM,09/09/2021,3.2,3.2,3.2,3.2,0
149,2113,TNM,09/10/2021,3.2,3.2,3.2,3.2,7500
150,2114,TNM,09/13/2021,3.2,3.2,3.2,3.2,0
151,2115,TNM,09/14/2021,3.2,3.2,3.2,3.2,0
152,2116,TNM,09/15/2021,3.2,3.2,3.2,3.2,0
153,2117,TNM,09/16/2021,3.2,3.2,3.2,3.2,0
154,2118,TNM,09/17/2021,3.2,3.2,3.2,3.2,0
155,2119,TNM,09/20/2021,3.2,3.2,3.2,3.2,0
156,2120,TNM,09/21/2021,3.2,3.2,3.2,3.2,0
157,2121,TNM,09/22/2021,3.2,3.2,3.2,3.2,0
158,2122,TNM,09/23/2021,3.2,3.2,3.2,3.2,0
159,2123,TNM,09/24/2021,3.2,3.2,3.2,3.2,0
160,2124,TNM,09/27/2021,3.2,3.2,3.2,3.2,0
161,2125,TNM,09/28/2021,3.2,3.2,3.2,3.2,0
162,2126,TNM,09/29/2021,3.2,3.2,3.2,3.2,0
163,2127,TNM,09/30/2021,3.2,3.2,3.2,3.2,0
164,2128,TNM,10/01/2021,3.2,3.2,3.2,3.2,0
165,2129,TNM,10/04/2021,3.2,3.2,3.2,3.2,0
166,2130,TNM,10/05/2021,3.2,3.2,3.2,3.2,0
167,2131,TNM,10/06/2021,3.2,3.2,3.2,3.2,0
168,2132,TNM,10/07/2021,3.2,3.2,3.2,3.2,0
169,2133,TNM,10/08/2021,3.2,3.2,3.2,3.2,0
170,2134,TNM,10/11/2021,3.2,3.2,3.2,3.2,0
171,2135,TNM,10/12/2021,3.2,3.2,3.2,3.2,0
172,2136,TNM,10/13/2021,3.2,3.2,3.2,3.2,0
173,2137,TNM,10/14/2021,3.2,3.2,3.2,3.2,0
174,2138,TNM,10/15/2021,3.2,3.2,3.2,3.2,0
175,2139,TNM,10/18/2021,3.2,3.2,3.2,3.2,0
176,2140,TNM,10/19/2021,3.2,3.2,3.2,3.2,0
177,2141,TNM,10/20/2021,3.2,3.2,3.2,3.2,0
178,2142,TNM,10/21/2021,3.2,3.2,3.2,3.2,0
179,2143,TNM,10/22/2021,3.2,3.2,3.2,3.2,0
180,2144,TNM,10/25/2021,3.2,3.2,3.2,3.2,0
181,2145,TNM,10/26/2021,3.2,3.2,3.2,3.2,0
182,2146,TNM,10/27/2021,3.2,3.2,3.2,3.2,0
183,2147,TNM,10/28/2021,3.2,3.2,3.2,3.2,0
184,2148,TNM,10/29/2021,3.6,3.6,3.6,3.6,100
185,2149,TNM,11/01/2021,3.6,3.6,3.6,3.6,0
186,2150,TNM,11/02/2021,3.6,3.6,3.6,3.6,0
187,2151,TNM,11/03/2021,3.6,3.6,3.6,3.6,0
188,2152,TNM,11/04/2021,3.6,3.6,3.6,3.6,0
189,2153,TNM,11/05/2021,3.6,3.6,3.6,3.6,100
190,2154,TNM,11/08/2021,3.6,3.6,3.6,3.6,0
191,2155,TNM,11/09/2021,3.6,3.6,3.6,3.6,0
192,2156,TNM,11/10/2021,3.6,3.6,3.6,3.6,0
193,2157,TNM,11/11/2021,3.6,3.6,3.6,3.6,0
194,2158,TNM,11/12/2021,4.1,4.1,4.1,4.1,1600
195,2159,TNM,11/15/2021,4.1,4.1,4.1,4.1,0
196,2160,TNM,11/16/2021,4.1,4.1,4.1,4.1,0
197,2161,TNM,11/17/2021,4.1,4.1,4.1,4.1,0
