,index,Ticker,Date,Open,High,Low,Close,Volume
0,784,VET,02/02/2021,79.5267,79.5267,79.5267,79.5267,1600
1,785,VET,02/03/2021,88.27464,88.27464,76.87581,79.5267,1400
2,786,VET,02/04/2021,79.5267,83.41467,78.73143,78.90816,1000
3,787,VET,02/05/2021,81.2056,81.73578,81.2056,81.73578,500
4,788,VET,02/08/2021,72.45766,72.45766,72.45766,72.45766,700
5,789,VET,02/09/2021,76.87581,76.87581,76.87581,76.87581,400
6,790,VET,02/17/2021,76.78745,76.78745,76.78745,76.78745,200
7,791,VET,02/18/2021,76.61072,76.78745,73.42965,76.78745,2600
8,792,VET,02/19/2021,75.10855,76.87581,75.10855,75.99218,2000
9,793,VET,02/22/2021,79.5267,83.06122,79.5267,83.06122,1000
10,794,VET,02/23/2021,79.5267,79.5267,79.5267,79.5267,1000
11,795,VET,02/24/2021,78.90816,79.5267,78.90816,79.5267,3300
12,796,VET,02/25/2021,91.19061,91.19061,78.55471,79.5267,3100
13,797,VET,02/26/2021,83.94485,83.94485,76.08054,79.5267,400
14,798,VET,03/01/2021,76.52236,78.46635,75.99218,78.46635,2900
15,799,VET,03/02/2021,75.63873,78.20126,73.7831,74.22492,3300
16,800,VET,03/03/2021,74.22492,74.22492,71.57403,74.13656,7200
17,801,VET,03/04/2021,72.01585,72.01585,71.57403,71.57403,800
18,802,VET,03/05/2021,73.95983,74.04819,73.95983,74.04819,300
19,803,VET,03/08/2021,73.95983,73.95983,73.7831,73.7831,1700
20,804,VET,03/09/2021,73.7831,73.87147,73.7831,73.87147,400
21,805,VET,03/10/2021,73.87147,73.87147,73.87147,73.87147,3300
22,806,VET,03/11/2021,73.87147,73.87147,73.7831,73.87147,1800
23,807,VET,03/12/2021,73.7831,73.87147,73.7831,73.87147,700
24,808,VET,03/15/2021,72.45766,74.22492,72.45766,72.72275,500
25,809,VET,03/16/2021,74.22492,74.22492,74.22492,74.22492,500
26,810,VET,03/17/2021,74.22492,74.66673,74.22492,74.66673,600
27,811,VET,03/18/2021,74.31329,74.31329,74.22492,74.22492,400
