,index,Ticker,Date,Open,High,Low,Close,Volume
0,1357,VNP,02/01/2021,9.6,10.0,8.6,9.2,355700
1,1358,VNP,02/02/2021,9.7,10.1,8.7,9.2,139900
2,1359,VNP,02/03/2021,9.0,9.3,8.9,9.0,124100
3,1360,VNP,02/04/2021,9.0,9.2,8.9,9.2,135300
4,1361,VNP,02/05/2021,9.1,9.6,9.0,9.1,87800
5,1362,VNP,02/08/2021,9.0,9.1,8.6,8.8,235000
6,1363,VNP,02/09/2021,8.8,9.1,8.8,9.1,43800
7,1364,VNP,02/17/2021,9.0,9.1,8.9,9.0,89100
8,1365,VNP,02/18/2021,9.4,10.0,9.1,9.5,218200
9,1366,VNP,02/19/2021,9.3,9.6,9.3,9.5,72600
10,1367,VNP,02/22/2021,9.5,9.9,9.3,9.5,99400
11,1368,VNP,02/23/2021,9.3,9.8,9.3,9.7,298900
12,1369,VNP,02/24/2021,9.7,10.6,9.7,10.2,391400
13,1370,VNP,02/25/2021,10.2,10.6,10.1,10.4,131700
14,1371,VNP,02/26/2021,10.4,10.6,10.1,10.6,160000
15,1372,VNP,03/01/2021,10.6,10.7,10.1,10.6,231900
16,1373,VNP,03/02/2021,10.5,10.8,10.5,10.6,249900
17,1374,VNP,03/03/2021,10.6,10.6,10.2,10.4,175200
18,1375,VNP,03/04/2021,10.3,10.3,9.9,10.2,221800
19,1376,VNP,03/05/2021,10.1,10.4,9.8,10.3,99000
20,1377,VNP,03/08/2021,10.2,10.7,10.2,10.6,183100
21,1378,VNP,03/09/2021,10.5,10.7,10.1,10.5,198500
22,1379,VNP,03/10/2021,10.5,10.7,10.4,10.7,107400
23,1380,VNP,03/11/2021,10.7,10.7,10.5,10.6,97100
24,1381,VNP,03/12/2021,10.6,10.6,10.3,10.5,89200
25,1382,VNP,03/15/2021,10.5,10.5,10.3,10.3,70600
26,1383,VNP,03/16/2021,10.3,10.4,10.2,10.3,172300
27,1384,VNP,03/17/2021,10.3,10.3,10.1,10.2,65500
28,1385,VNP,03/18/2021,10.2,10.3,10.0,10.2,169000
29,1386,VNP,03/19/2021,10.1,10.3,10.0,10.2,130300
30,1387,VNP,03/22/2021,10.3,10.3,10.0,10.0,71700
31,1388,VNP,03/23/2021,10.0,10.1,9.9,10.0,101800
32,1389,VNP,03/24/2021,9.9,9.9,9.5,9.8,182100
33,1390,VNP,03/25/2021,9.8,9.9,9.6,9.7,79400
34,1391,VNP,03/26/2021,9.6,9.8,9.2,9.8,213300
35,1392,VNP,03/29/2021,9.9,9.9,9.6,9.8,58600
36,1393,VNP,03/30/2021,9.9,9.9,9.6,9.8,54400
37,1394,VNP,03/31/2021,9.7,9.8,9.5,9.7,89600
38,1395,VNP,04/01/2021,9.8,9.9,9.5,9.7,119900
39,1396,VNP,04/02/2021,9.7,9.7,9.6,9.7,153200
40,1397,VNP,04/05/2021,9.7,9.7,9.5,9.6,125900
41,1398,VNP,04/06/2021,9.6,9.9,9.5,9.9,149300
42,1399,VNP,04/07/2021,9.8,10.3,9.7,10.3,171100
43,1400,VNP,04/08/2021,10.2,10.5,10.1,10.3,232900
44,1401,VNP,04/09/2021,10.3,10.4,10.2,10.2,144900
45,1402,VNP,04/12/2021,10.2,10.2,9.9,10.0,80900
46,1403,VNP,04/13/2021,10.0,10.0,9.6,9.6,120100
47,1404,VNP,04/14/2021,9.6,9.8,9.6,9.8,97300
48,1405,VNP,04/15/2021,9.7,9.8,9.6,9.6,80700
49,1406,VNP,04/16/2021,9.6,9.7,9.2,9.6,118000
50,1407,VNP,04/19/2021,9.6,10.9,9.6,10.9,803400
51,1408,VNP,04/20/2021,11.6,12.0,10.9,11.4,473600
52,1409,VNP,04/22/2021,11.6,11.6,10.4,10.5,292500
53,1410,VNP,04/23/2021,10.3,10.5,9.8,10.4,356100
54,1411,VNP,04/26/2021,10.7,10.7,10.0,10.1,141500
55,1412,VNP,04/27/2021,10.0,10.2,9.9,10.1,99300
56,1413,VNP,04/28/2021,9.9,10.4,9.9,10.3,100700
57,1414,VNP,04/29/2021,10.3,10.4,10.1,10.2,55200
58,1415,VNP,05/04/2021,10.0,10.1,9.7,10.1,145900
59,1416,VNP,05/05/2021,10.0,10.2,10.0,10.0,122800
60,1417,VNP,05/06/2021,10.1,10.2,9.9,10.1,127500
61,1418,VNP,05/07/2021,10.1,10.1,9.8,9.8,138800
62,1419,VNP,05/10/2021,9.8,9.9,9.7,9.8,82500
63,1420,VNP,05/11/2021,10.0,10.4,9.8,10.3,203300
64,1421,VNP,05/12/2021,10.1,10.9,10.1,10.7,346900
65,1422,VNP,05/13/2021,10.7,10.8,10.4,10.5,134100
66,1423,VNP,05/14/2021,10.5,10.5,10.1,10.3,83200
67,1424,VNP,05/17/2021,10.2,10.2,10.0,10.1,134900
68,1425,VNP,05/18/2021,10.0,10.5,10.0,10.4,206300
69,1426,VNP,05/19/2021,10.5,11.2,10.4,10.7,484300
70,1427,VNP,05/20/2021,10.8,11.2,10.8,11.0,243600
71,1428,VNP,05/21/2021,11.0,12.6,11.0,12.2,472400
72,1429,VNP,05/24/2021,12.2,13.0,12.2,12.8,350200
73,1430,VNP,05/25/2021,12.8,13.5,12.0,12.3,415400
74,1431,VNP,05/26/2021,12.5,12.5,11.6,11.9,250300
75,1432,VNP,05/27/2021,11.9,12.1,11.7,12.0,163100
76,1433,VNP,05/28/2021,11.8,12.7,11.6,12.2,176600
77,1434,VNP,05/31/2021,12.2,12.4,11.9,12.2,122700
78,1435,VNP,06/01/2021,12.2,13.0,12.0,12.9,253400
79,1436,VNP,06/02/2021,12.6,13.4,12.6,12.9,519600
80,1437,VNP,06/03/2021,13.2,13.2,12.7,12.8,301200
81,1438,VNP,06/04/2021,12.8,12.8,12.4,12.5,188400
82,1439,VNP,06/07/2021,12.6,12.8,12.2,12.4,247900
83,1440,VNP,06/08/2021,12.4,12.6,11.6,11.9,247700
84,1441,VNP,06/09/2021,11.8,12.7,11.6,12.5,220900
85,1442,VNP,06/10/2021,12.8,12.8,12.1,12.7,142400
86,1443,VNP,06/11/2021,12.7,12.9,12.3,12.6,75900
87,1444,VNP,06/14/2021,12.6,13.3,12.4,13.0,505300
88,1445,VNP,06/15/2021,13.1,14.3,13.1,13.9,443000
89,1446,VNP,06/16/2021,13.7,14.2,13.7,13.8,76700
90,1447,VNP,06/17/2021,13.8,13.9,13.1,13.9,252700
91,1448,VNP,06/18/2021,13.9,14.6,13.9,14.5,311100
92,1449,VNP,06/21/2021,14.5,14.9,14.3,14.9,256700
93,1450,VNP,06/22/2021,14.9,15.5,14.7,14.9,317700
94,1451,VNP,06/23/2021,14.9,14.9,14.1,14.4,342200
95,1452,VNP,06/24/2021,14.4,14.9,14.2,14.7,124600
96,1453,VNP,06/25/2021,14.7,14.8,14.4,14.8,59600
97,1454,VNP,06/28/2021,14.9,15.4,14.5,14.6,156000
98,1455,VNP,06/29/2021,14.7,14.8,14.4,14.5,121700
99,1456,VNP,06/30/2021,14.6,14.8,14.3,14.6,214300
100,1457,VNP,07/01/2021,14.6,14.7,14.4,14.7,98500
101,1458,VNP,07/02/2021,14.8,14.8,14.2,14.5,188900
102,1459,VNP,07/05/2021,14.4,14.5,14.1,14.4,217300
103,1460,VNP,07/06/2021,14.2,14.3,13.5,13.8,230000
104,1461,VNP,07/07/2021,13.7,13.7,12.0,12.7,184200
105,1462,VNP,07/08/2021,12.7,12.9,12.5,12.8,68100
106,1463,VNP,07/09/2021,12.5,12.8,12.3,12.4,113700
107,1464,VNP,07/12/2021,12.0,12.0,11.2,11.7,124400
108,1465,VNP,07/13/2021,11.6,12.4,11.6,11.9,50400
109,1466,VNP,07/14/2021,12.0,12.3,11.8,11.8,33700
110,1467,VNP,07/15/2021,12.0,12.1,12.0,12.0,21600
111,1468,VNP,07/16/2021,12.0,12.2,11.8,12.0,50500
112,1469,VNP,07/19/2021,12.0,12.6,11.4,12.5,164300
113,1470,VNP,07/20/2021,12.2,13.6,12.2,13.6,220800
114,1471,VNP,07/21/2021,14.0,14.4,13.5,13.7,102100
115,1472,VNP,07/22/2021,13.4,14.3,13.3,14.2,113100
116,1473,VNP,07/23/2021,13.8,14.3,13.5,13.7,134700
117,1474,VNP,07/26/2021,13.5,14.0,13.2,13.8,66100
118,1475,VNP,07/27/2021,14.1,14.2,13.7,13.8,60900
119,1476,VNP,07/28/2021,14.0,14.0,13.5,13.5,98300
120,1477,VNP,07/29/2021,13.5,13.6,13.4,13.6,66800
121,1478,VNP,07/30/2021,13.5,13.9,13.4,13.4,154400
122,1479,VNP,08/02/2021,13.5,15.2,13.4,14.6,497700
123,1480,VNP,08/03/2021,14.6,15.0,14.4,14.6,132600
124,1481,VNP,08/04/2021,14.7,15.8,14.6,15.2,421300
125,1482,VNP,08/05/2021,15.0,15.2,14.8,15.1,132200
126,1483,VNP,08/06/2021,15.0,15.7,14.9,15.3,251300
127,1484,VNP,08/09/2021,15.3,15.5,14.9,15.4,168900
128,1485,VNP,08/10/2021,15.4,16.9,15.4,16.5,391100
129,1486,VNP,08/11/2021,16.5,17.0,16.1,16.4,213300
130,1487,VNP,08/12/2021,16.3,16.5,15.8,15.8,279500
131,1488,VNP,08/13/2021,15.7,16.2,15.2,16.0,260300
132,1489,VNP,08/16/2021,15.6,16.4,15.5,16.1,103300
133,1490,VNP,08/17/2021,16.1,17.9,15.8,16.9,546100
134,1491,VNP,08/18/2021,16.9,17.2,16.7,16.9,188300
135,1492,VNP,08/19/2021,17.0,17.1,16.7,17.0,83900
136,1493,VNP,08/20/2021,16.8,16.8,15.4,15.7,533300
137,1494,VNP,08/23/2021,16.0,16.2,15.0,16.1,340000
138,1495,VNP,08/24/2021,16.4,17.4,16.0,16.2,238800
139,1496,VNP,08/25/2021,16.5,16.6,15.9,16.1,84500
140,1497,VNP,08/26/2021,16.0,16.6,15.9,16.4,116000
141,1498,VNP,08/27/2021,16.4,17.9,16.1,17.9,758700
142,1499,VNP,08/30/2021,17.7,19.0,17.6,18.9,350500
143,1500,VNP,08/31/2021,19.2,20.9,18.9,20.9,517000
144,1501,VNP,09/01/2021,23.5,23.5,21.5,23.0,992500
145,1502,VNP,09/06/2021,23.1,24.3,21.3,23.6,618000
146,1503,VNP,09/07/2021,23.6,24.0,22.5,23.0,298500
147,1504,VNP,09/08/2021,23.1,23.1,21.8,22.4,202600
148,1505,VNP,09/09/2021,21.7,25.0,21.2,23.7,937300
149,1506,VNP,09/10/2021,23.7,23.9,23.0,23.5,292800
150,1507,VNP,09/13/2021,23.6,23.8,22.4,23.1,256300
151,1508,VNP,09/14/2021,23.5,24.0,22.8,23.3,513600
152,1509,VNP,09/15/2021,23.3,23.5,22.5,23.2,120400
