,index,Ticker,Date,Open,High,Low,Close,Volume
0,1097,VOC,02/01/2021,17.20929,17.93987,16.80341,16.96576,279800
1,1098,VOC,02/02/2021,17.04694,17.37164,16.47871,17.29047,241300
2,1099,VOC,02/03/2021,17.12811,18.02105,17.04694,17.77752,348600
3,1100,VOC,02/04/2021,17.77752,18.02105,17.29047,17.69635,270700
4,1101,VOC,02/05/2021,17.69635,17.8587,17.53399,17.77752,226100
5,1102,VOC,02/08/2021,17.93987,19.48222,17.77752,17.93987,515500
6,1103,VOC,02/09/2021,17.8587,18.58928,17.77752,18.42693,190500
7,1104,VOC,02/17/2021,18.26458,18.99516,18.26458,18.91398,259200
8,1105,VOC,02/18/2021,18.83281,19.48222,18.42693,19.23869,518900
9,1106,VOC,02/19/2021,19.15751,19.48222,18.67046,19.31986,384700
10,1107,VOC,02/22/2021,19.31986,19.40104,18.91398,19.07634,219500
11,1108,VOC,02/23/2021,19.07634,19.07634,18.67046,18.83281,366500
12,1109,VOC,02/24/2021,18.91398,18.99516,18.10223,18.26458,477600
13,1110,VOC,02/25/2021,18.42693,18.42693,18.02105,18.26458,219900
14,1111,VOC,02/26/2021,18.10223,18.83281,17.93987,18.1834,226000
15,1112,VOC,03/01/2021,18.1834,18.91398,18.1834,18.83281,283000
16,1113,VOC,03/02/2021,18.91398,19.31986,18.58928,18.91398,127300
17,1114,VOC,03/03/2021,18.83281,18.99516,18.58928,18.67046,197600
18,1115,VOC,03/04/2021,18.75163,18.91398,18.1834,18.5081,302200
19,1116,VOC,03/05/2021,18.34575,19.23869,18.26458,19.07634,368100
20,1117,VOC,03/08/2021,19.23869,20.78103,19.23869,20.45633,707600
21,1118,VOC,03/09/2021,20.45633,20.61868,20.05045,20.2128,419400
22,1119,VOC,03/10/2021,19.8881,20.2128,19.64457,19.96927,183900
23,1120,VOC,03/11/2021,19.96927,20.05045,19.56339,19.8881,297100
24,1121,VOC,03/12/2021,19.8881,19.8881,19.31986,19.56339,203500
25,1122,VOC,03/15/2021,19.64457,19.8881,19.48222,19.80692,204800
26,1123,VOC,03/16/2021,19.8881,22.07985,19.8881,21.18691,1031500
27,1124,VOC,03/17/2021,21.18691,21.67397,20.78103,21.34926,708800
28,1125,VOC,03/18/2021,21.26809,21.59279,21.02456,21.02456,339700
29,1126,VOC,03/19/2021,21.59279,21.59279,20.5375,21.10573,445500
30,1127,VOC,03/22/2021,21.10573,21.83632,21.02456,21.34926,704800
31,1128,VOC,03/23/2021,21.43044,21.67397,21.10573,21.26809,595200
32,1129,VOC,03/24/2021,21.34926,21.34926,20.61868,20.94338,492200
33,1130,VOC,03/25/2021,21.10573,21.10573,20.5375,20.61868,308800
34,1131,VOC,03/26/2021,20.45633,20.61868,17.8587,20.2128,564200
35,1132,VOC,03/29/2021,20.61868,20.69985,20.05045,20.29398,201500
36,1133,VOC,03/30/2021,20.29398,20.37515,20.13162,20.2128,128300
37,1134,VOC,03/31/2021,20.37515,20.45633,19.96927,20.13162,211900
38,1135,VOC,04/01/2021,20.13162,20.78103,19.8881,20.5375,294800
39,1136,VOC,04/02/2021,20.61868,20.69985,20.29398,20.5375,234600
40,1137,VOC,04/05/2021,20.69985,20.69985,20.13162,20.29398,247100
41,1138,VOC,04/06/2021,20.13162,20.2128,19.96927,20.13162,220100
42,1139,VOC,04/07/2021,19.96927,20.29398,19.8881,20.29398,188100
43,1140,VOC,04/08/2021,20.29398,21.10573,20.2128,21.02456,512700
44,1141,VOC,04/09/2021,20.86221,21.91749,20.78103,21.51161,580700
45,1142,VOC,04/12/2021,21.51161,21.91749,21.10573,21.18691,283300
46,1143,VOC,04/13/2021,21.10573,21.10573,20.45633,20.61868,287400
47,1144,VOC,04/14/2021,20.29398,20.61868,20.13162,20.5375,210900
48,1145,VOC,04/15/2021,20.37515,20.61868,20.2128,20.37515,274400
49,1146,VOC,04/16/2021,20.29398,20.37515,19.72574,20.29398,207200
50,1147,VOC,04/19/2021,20.05045,20.29398,20.05045,20.13162,157600
51,1148,VOC,04/20/2021,20.13162,20.29398,20.05045,20.13162,199000
52,1149,VOC,04/22/2021,20.13162,21.10573,20.13162,20.29398,363400
53,1150,VOC,04/23/2021,20.13162,20.45633,20.13162,20.45633,168100
54,1151,VOC,04/26/2021,20.29398,21.43044,20.2128,20.86221,506100
55,1152,VOC,04/27/2021,20.61868,20.61868,20.29398,20.45633,150800
56,1153,VOC,04/28/2021,20.29398,20.45633,20.29398,20.37515,147000
57,1154,VOC,04/29/2021,20.29398,20.5375,20.2128,20.29398,209600
58,1155,VOC,05/04/2021,20.2128,20.45633,19.64457,20.29398,213500
59,1156,VOC,05/05/2021,20.29398,20.61868,20.29398,20.37515,207600
60,1157,VOC,05/06/2021,20.37515,20.45633,20.13162,20.29398,244000
61,1158,VOC,05/07/2021,20.2128,20.29398,19.80692,19.96927,221100
62,1159,VOC,05/10/2021,19.8881,19.96927,19.64457,19.8881,168200
63,1160,VOC,05/11/2021,19.64457,20.2128,19.64457,19.80692,103200
64,1161,VOC,05/12/2021,20.05045,20.45633,19.96927,20.29398,109100
65,1162,VOC,05/13/2021,20.13162,20.5375,19.96927,20.29398,133600
66,1163,VOC,05/14/2021,20.2128,20.2128,19.96927,20.05045,97100
67,1164,VOC,05/17/2021,20.05045,20.13162,19.64457,20.13162,106600
68,1165,VOC,05/18/2021,20.13162,21.34926,20.13162,20.5375,502500
69,1166,VOC,05/19/2021,20.69985,21.10573,19.96927,19.96927,128100
70,1167,VOC,05/20/2021,20.05045,20.13162,19.72574,19.96927,90500
71,1168,VOC,05/21/2021,20.05045,20.05045,19.31986,19.56339,387600
72,1169,VOC,05/24/2021,19.72574,20.29398,19.56339,20.29398,146000
73,1170,VOC,05/25/2021,20.45633,20.45633,19.80692,19.8881,155300
74,1171,VOC,05/26/2021,19.8881,19.96927,19.64457,19.80692,159000
75,1172,VOC,05/27/2021,19.80692,19.80692,19.31986,19.64457,284900
76,1173,VOC,05/28/2021,19.56339,19.8881,19.40104,19.8881,157100
77,1174,VOC,05/31/2021,19.64457,19.64457,19.23869,19.48222,174100
78,1175,VOC,06/01/2021,19.40104,19.48222,19.15751,19.23869,174900
79,1176,VOC,06/02/2021,19.64457,20.13162,19.48222,19.96927,308600
80,1177,VOC,06/03/2021,20.05045,21.34926,19.96927,21.10573,687600
81,1178,VOC,06/04/2021,21.26809,21.34926,20.37515,20.45633,271400
82,1179,VOC,06/07/2021,20.61868,20.69985,19.96927,20.45633,268000
83,1180,VOC,06/08/2021,20.29398,21.51161,20.13162,20.78103,519500
84,1181,VOC,06/09/2021,20.78103,20.78103,20.2128,20.45633,343400
85,1182,VOC,06/10/2021,20.37515,20.5375,20.2128,20.37515,179700
86,1183,VOC,06/11/2021,20.5375,21.10573,20.29398,20.86221,270900
87,1184,VOC,06/14/2021,21.10573,23.45984,21.02456,22.64808,1669900
88,1185,VOC,06/15/2021,22.48572,22.81043,22.07985,22.16102,356500
89,1186,VOC,06/16/2021,22.40455,22.40455,21.51161,21.59279,486700
90,1187,VOC,06/17/2021,21.59279,22.8916,21.10573,22.5669,798500
91,1188,VOC,06/18/2021,22.5669,22.81043,22.2422,22.40455,402200
92,1189,VOC,06/21/2021,22.40455,22.48572,21.75514,21.83632,370600
93,1190,VOC,06/22/2021,21.83632,22.97278,21.51161,21.99867,411900
94,1191,VOC,06/23/2021,21.99867,22.32337,21.83632,22.16102,312600
95,1192,VOC,06/24/2021,22.16102,22.16102,21.67397,21.99867,337300
96,1193,VOC,06/25/2021,21.99867,22.32337,21.83632,22.32337,292300
97,1194,VOC,06/28/2021,22.32337,23.21631,22.32337,23.05396,573200
98,1195,VOC,06/29/2021,22.8916,23.21631,22.64808,22.8916,195600
99,1196,VOC,06/30/2021,22.72925,23.05396,22.40455,22.72925,182200
100,1197,VOC,07/01/2021,22.40455,22.72925,22.32337,22.72925,310500
101,1198,VOC,07/02/2021,22.5669,23.21631,22.5669,23.21631,449500
